Node,GeneratorType,Period,genInvCap_MW,genInstalledCap_MW,genExpectedCapacityFactor,DiscountedInvestmentCost_Euro,genExpectedAnnualProduction_GWh
BosniaH,Liginiteexisting,2020-2025,0.0,1888.0,0.7499998908252006,0.0,12404.158194371084
BosniaH,Liginiteexisting,2025-2030,0.0,1161.8461538461538,0.698070057147639,0.0,7104.798096466423
BosniaH,Liginiteexisting,2030-2035,0.0,780.6153846153845,0.6834166985627025,0.0,4673.333759649635
BosniaH,Liginiteexisting,2035-2040,0.0,544.6153846153845,0.11131059931007882,0.0,531.0440321300424
BosniaH,Liginiteexisting,2040-2045,0.0,377.5999999999999,9.355020555136774e-08,0.0,0.0003094431247178812
BosniaH,Liginiteexisting,2045-2050,0.0,94.40000000000009,3.5135537799208454e-07,0.0,0.00029055122169828614
BosniaH,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
BosniaH,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Bulgaria,Liginiteexisting,2020-2025,0.0,12357.0,0.27127842816463216,0.0,29365.16282263397
Bulgaria,Liginiteexisting,2025-2030,0.0,7604.307692307692,0.5622316155211202,0.0,37452.34806118861
Bulgaria,Liginiteexisting,2030-2035,0.0,5109.1442307692305,0.5744693781302064,0.0,25711.01092308123
Bulgaria,Liginiteexisting,2035-2040,0.0,3564.5192307692305,0.11189705453167213,0.0,3494.0066160424994
Bulgaria,Liginiteexisting,2040-2045,0.0,2471.3999999999996,0.0013400128714027499,0.0,29.01056041897049
Bulgaria,Liginiteexisting,2045-2050,0.0,617.8500000000006,6.620813242583967e-08,0.0,0.00035834264486511345
Bulgaria,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Bulgaria,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
CzechR,Liginiteexisting,2020-2025,0.0,7250.0,0.7499999815689472,0.0,47632.49882944395
CzechR,Liginiteexisting,2025-2030,0.0,4461.538461538462,0.7203489047406683,0.0,28153.451655433713
CzechR,Liginiteexisting,2030-2035,0.0,2997.596153846154,0.630022989263232,0.0,16543.73732758299
CzechR,Liginiteexisting,2035-2040,0.0,2091.346153846154,0.08516790224927798,0.0,1560.2923476495137
CzechR,Liginiteexisting,2040-2045,0.0,1449.9999999999998,0.0001030373196736005,0.0,1.3087800344940734
CzechR,Liginiteexisting,2045-2050,0.0,362.50000000000034,9.528199352531833e-08,0.0,0.0003025679704396479
CzechR,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
CzechR,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Germany,Liginiteexisting,2020-2025,0.0,19106.0,0.7482622890390163,0.0,125235.58181876352
Germany,Liginiteexisting,2025-2030,0.0,11757.538461538463,0.7203952998933449,0.0,74197.86090702609
Germany,Liginiteexisting,2030-2035,0.0,7899.596153846153,0.6648736167464089,0.0,46009.561655038764
Germany,Liginiteexisting,2035-2040,0.0,5511.346153846153,0.1424579334906674,0.0,6877.782458339086
Germany,Liginiteexisting,2040-2045,0.0,3821.1999999999994,0.00010161132493920517,0.0,3.4013082269533723
Germany,Liginiteexisting,2045-2050,0.0,955.3000000000009,4.587127854102449e-08,0.0,0.00038387049173850936
Germany,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Germany,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2020-2025,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2025-2030,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2030-2035,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2035-2040,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2040-2045,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2045-2050,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Greece,Liginiteexisting,2020-2025,0.0,2001.0,0.745864716606524,0.0,13074.08360986376
Greece,Liginiteexisting,2025-2030,0.0,1231.3846153846155,0.6667344430231728,0.0,7192.01725260731
Greece,Liginiteexisting,2030-2035,0.0,827.3365384615385,0.6060415396575841,0.0,4392.266711957642
Greece,Liginiteexisting,2035-2040,0.0,577.2115384615385,0.13543477452583816,0.0,684.8087475915981
Greece,Liginiteexisting,2040-2045,0.0,400.19999999999993,0.0026078757954405983,0.0,9.14256578561747
Greece,Liginiteexisting,2045-2050,0.0,100.05000000000008,0.00015326771737078927,0.0,0.13432965167701985
Greece,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Greece,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Hungary,Liginiteexisting,2020-2025,0.0,1007.0,0.7499998989250004,0.0,6615.989108385091
Hungary,Liginiteexisting,2025-2030,0.0,619.6923076923077,0.7129000106873836,0.0,3869.9809983242153
Hungary,Liginiteexisting,2030-2035,0.0,416.3557692307692,0.5750245161768845,0.0,2097.2734268921504
Hungary,Liginiteexisting,2035-2040,0.0,290.4807692307692,0.08424317997298618,0.0,214.36616779595295
Hungary,Liginiteexisting,2040-2045,0.0,201.39999999999995,7.612397692763741e-05,0.0,0.1343027920302612
Hungary,Liginiteexisting,2045-2050,0.0,50.350000000000044,6.194786908845418e-07,0.0,0.0002732309882736818
Hungary,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Hungary,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Ireland,Liginiteexisting,2020-2025,0.0,228.0,0.6614061052275666,0.0,1321.0131858489144
Ireland,Liginiteexisting,2025-2030,0.0,140.30769230769232,0.6030017695902806,0.0,741.1466919183227
Ireland,Liginiteexisting,2030-2035,0.0,94.26923076923076,0.535381188937549,0.0,442.1169621612596
Ireland,Liginiteexisting,2035-2040,0.0,65.76923076923076,0.07881102955530365,0.0,45.40606532025483
Ireland,Liginiteexisting,2040-2045,0.0,45.59999999999999,7.114320125787123e-07,0.0,0.00028418578601664305
Ireland,Liginiteexisting,2045-2050,0.0,11.40000000000001,0.00020896550489571015,0.0,0.020868131180905206
Ireland,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Ireland,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Macedonia,Liginiteexisting,2020-2025,0.0,824.0,0.7498455610655195,0.0,5412.565222705573
Macedonia,Liginiteexisting,2025-2030,0.0,507.0769230769231,0.7024772809449563,0.0,3120.399759020389
Macedonia,Liginiteexisting,2030-2035,0.0,340.6923076923077,0.6600877051117833,0.0,1970.0083989565492
Macedonia,Liginiteexisting,2035-2040,0.0,237.69230769230768,0.10719040354278717,0.0,223.19020917366058
Macedonia,Liginiteexisting,2040-2045,0.0,164.79999999999995,0.0016014127210402806,0.0,2.3118762719043433
Macedonia,Liginiteexisting,2045-2050,0.0,41.20000000000004,8.427126138313002e-07,0.0,0.0003041450948830822
Macedonia,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Macedonia,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Poland,Liginiteexisting,2020-2025,0.0,7560.0,0.7499999826737356,0.0,49669.19885255755
Poland,Liginiteexisting,2025-2030,0.0,4652.307692307692,0.7086907614178386,0.0,28882.13593190964
Poland,Liginiteexisting,2030-2035,0.0,3125.7692307692305,0.6103213721872142,0.0,16711.66019071761
Poland,Liginiteexisting,2035-2040,0.0,2180.7692307692305,0.12175056609731653,0.0,2325.8666221541716
Poland,Liginiteexisting,2040-2045,0.0,1511.9999999999998,0.0001887741521003028,0.0,2.50033629746676
Poland,Liginiteexisting,2045-2050,0.0,378.00000000000034,9.266609820733566e-08,0.0,0.00030684339767198676
Poland,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Poland,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Romania,Liginiteexisting,2020-2025,0.0,2497.0,0.7499999478124806,0.0,16405.288858464795
Romania,Liginiteexisting,2025-2030,0.0,1536.6153846153848,0.7081600888300372,0.0,9532.366460457471
Romania,Liginiteexisting,2030-2035,0.0,1032.4134615384614,0.566629131498531,0.0,5124.560957196238
Romania,Liginiteexisting,2035-2040,0.0,720.2884615384614,0.11385532889553207,0.0,718.3960340679163
Romania,Liginiteexisting,2040-2045,0.0,499.39999999999986,0.0015750089666006616,0.0,6.890261026582455
Romania,Liginiteexisting,2045-2050,0.0,124.85000000000011,2.667373893776093e-07,0.0,0.0002917269484388401
Romania,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Romania,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Serbia,Liginiteexisting,2020-2025,0.0,5661.0,0.7499146361740834,0.0,37188.5367771418
Serbia,Liginiteexisting,2025-2030,0.0,3483.692307692308,0.7057983520920991,0.0,21538.950380094608
Serbia,Liginiteexisting,2030-2035,0.0,2340.605769230769,0.6741691216243123,0.0,13822.96582707729
Serbia,Liginiteexisting,2035-2040,0.0,1632.980769230769,0.1038267568025745,0.0,1485.2325713861842
Serbia,Liginiteexisting,2040-2045,0.0,1132.1999999999998,3.205264460862142e-08,0.0,0.0003179004370187194
Serbia,Liginiteexisting,2045-2050,0.0,283.05000000000024,1.2159977286904656e-07,0.0,0.0003015088256247129
Serbia,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Serbia,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Slovenia,Liginiteexisting,2020-2025,0.0,936.0,0.7499998803661878,0.0,6149.519019079288
Slovenia,Liginiteexisting,2025-2030,0.0,576.0,0.7001640001371868,0.0,3532.8595053322165
Slovenia,Liginiteexisting,2030-2035,0.0,387.0,0.6832655740006983,0.0,2316.352287731243
Slovenia,Liginiteexisting,2035-2040,0.0,270.0,0.0643015771608953,0.0,152.08609030094985
Slovenia,Liginiteexisting,2040-2045,0.0,187.19999999999996,1.7932897542319578e-07,0.0,0.00029407656558518664
Slovenia,Liginiteexisting,2045-2050,0.0,46.80000000000004,6.537087883066e-07,0.0,0.00026799968452447914
Slovenia,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Slovenia,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Slovakia,Liginiteexisting,2020-2025,0.0,0.0,0,0.0,0.0
Slovakia,Liginiteexisting,2025-2030,0.0,0.0,0,0.0,0.0
Slovakia,Liginiteexisting,2030-2035,0.0,0.0,0,0.0,0.0
Slovakia,Liginiteexisting,2035-2040,0.0,0.0,0,0.0,0.0
Slovakia,Liginiteexisting,2040-2045,0.0,0.0,0,0.0,0.0
Slovakia,Liginiteexisting,2045-2050,0.0,0.0,0,0.0,0.0
Slovakia,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Slovakia,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
BosniaH,Lignite,2020-2025,0.013840446234643854,0.013840446234643854,0.7877018697352312,34262.76957200603,0.09550279350250997
BosniaH,Lignite,2025-2030,4.530827542041961e-06,0.013844952857282839,0.7643023144447771,8.386276725130223,0.09269595052687321
BosniaH,Lignite,2030-2035,2.698971314071583e-06,0.01384762762927862,0.7373178757433027,3.6747399362929927,0.08944050567628695
