Node,GeneratorType,Period,genInvCap_MW,genInstalledCap_MW,genExpectedCapacityFactor,DiscountedInvestmentCost_Euro,genExpectedAnnualProduction_GWh
BosniaH,Liginiteexisting,2020-2025,0.0,1888.0,0.7499996360597007,0.0,12404.153980835043
BosniaH,Liginiteexisting,2025-2030,0.0,1161.8461538461538,0.6957622916535029,0.0,7081.310184727571
BosniaH,Liginiteexisting,2030-2035,0.0,780.6153846153845,0.6848496828664344,0.0,4683.132779687866
BosniaH,Liginiteexisting,2035-2040,0.0,544.6153846153845,0.11152922680688072,0.0,532.0870669187827
BosniaH,Liginiteexisting,2040-2045,0.0,377.5999999999999,3.394926493144547e-07,0.0,0.0011229656375787683
BosniaH,Liginiteexisting,2045-2050,0.0,94.40000000000009,1.2833598033050522e-06,0.0,0.0010612666891842942
BosniaH,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
BosniaH,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Bulgaria,Liginiteexisting,2020-2025,0.0,12357.0,0.27457177323153653,0.0,29721.65859996148
Bulgaria,Liginiteexisting,2025-2030,0.0,7604.307692307692,0.5566600340758856,0.0,37081.20420912198
Bulgaria,Liginiteexisting,2030-2035,0.0,5109.1442307692305,0.5757342415921116,0.0,25767.621283046883
Bulgaria,Liginiteexisting,2035-2040,0.0,3564.5192307692305,0.11202352684679154,0.0,3497.955737917277
Bulgaria,Liginiteexisting,2040-2045,0.0,2471.3999999999996,0.0013030250007159867,0.0,28.209792844100722
Bulgaria,Liginiteexisting,2045-2050,0.0,617.8500000000006,2.3435741810759036e-07,0.0,0.0012684281216133097
Bulgaria,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Bulgaria,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
CzechR,Liginiteexisting,2020-2025,0.0,7250.0,0.7499999334307592,0.0,47632.49577218736
CzechR,Liginiteexisting,2025-2030,0.0,4461.538461538462,0.7199314898052132,0.0,28137.137795402472
CzechR,Liginiteexisting,2030-2035,0.0,2997.596153846154,0.6307689972156927,0.0,16563.326707367778
CzechR,Liginiteexisting,2035-2040,0.0,2091.346153846154,0.08785784682564576,0.0,1609.5726495856018
CzechR,Liginiteexisting,2040-2045,0.0,1449.9999999999998,0.00010464385110213177,0.0,1.329186196699278
CzechR,Liginiteexisting,2045-2050,0.0,362.50000000000034,3.48279706943241e-07,0.0,0.0011059622093982596
CzechR,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
CzechR,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Germany,Liginiteexisting,2020-2025,0.0,19106.0,0.748390792331094,0.0,125257.08922971369
Germany,Liginiteexisting,2025-2030,0.0,11757.538461538463,0.7206834619744629,0.0,74227.54045937274
Germany,Liginiteexisting,2030-2035,0.0,7899.596153846153,0.6655357575156003,0.0,46055.38210237955
Germany,Liginiteexisting,2035-2040,0.0,5511.346153846153,0.14453139418816952,0.0,6977.8878807883675
Germany,Liginiteexisting,2040-2045,0.0,3821.1999999999994,0.00011919537472228571,0.0,3.989911645185873
Germany,Liginiteexisting,2045-2050,0.0,955.3000000000009,1.6983895887375779e-07,0.0,0.001421285098930004
Germany,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Germany,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2020-2025,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2025-2030,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2030-2035,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2035-2040,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2040-2045,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2045-2050,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Greece,Liginiteexisting,2020-2025,0.0,2001.0,0.7458173646763105,0.0,13073.253589243513
Greece,Liginiteexisting,2025-2030,0.0,1231.3846153846155,0.6651434256979328,0.0,7174.855061315003
Greece,Liginiteexisting,2030-2035,0.0,827.3365384615385,0.6073025585168449,0.0,4401.405905884547
Greece,Liginiteexisting,2035-2040,0.0,577.2115384615385,0.13501227615017608,0.0,682.6724381798543
Greece,Liginiteexisting,2040-2045,0.0,400.19999999999993,0.0025920731161068974,0.0,9.087165510938028
Greece,Liginiteexisting,2045-2050,0.0,100.05000000000008,0.0001540596396943951,0.0,0.13502372249447636
Greece,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Greece,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Hungary,Liginiteexisting,2020-2025,0.0,1007.0,0.7499996522256821,0.0,6615.9869321714605
Hungary,Liginiteexisting,2025-2030,0.0,619.6923076923077,0.7119778117709007,0.0,3864.9748372497793
Hungary,Liginiteexisting,2030-2035,0.0,416.3557692307692,0.5747412558289186,0.0,2096.2402980707398
Hungary,Liginiteexisting,2035-2040,0.0,290.4807692307692,0.08467658019937116,0.0,215.469003012784
Hungary,Liginiteexisting,2040-2045,0.0,201.39999999999995,6.912536024246405e-05,0.0,0.12195538456281052
Hungary,Liginiteexisting,2045-2050,0.0,50.350000000000044,2.263688435222965e-06,0.0,0.0009984360033700567
Hungary,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Hungary,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Ireland,Liginiteexisting,2020-2025,0.0,228.0,0.6642397523675071,0.0,1326.672772608585
Ireland,Liginiteexisting,2025-2030,0.0,140.30769230769232,0.6002323997814879,0.0,737.7428722680423
Ireland,Liginiteexisting,2030-2035,0.0,94.26923076923076,0.5321327101562923,0.0,439.43437338135857
Ireland,Liginiteexisting,2035-2040,0.0,65.76923076923076,0.07671973418526971,0.0,44.20118962314106
