Node,GeneratorType,Period,genInvCap_MW,genInstalledCap_MW,genExpectedCapacityFactor,DiscountedInvestmentCost_Euro,genExpectedAnnualProduction_GWh
BosniaH,Liginiteexisting,2020-2025,0.0,1888.0,0.7499999039382794,0.0,12404.158411246703
BosniaH,Liginiteexisting,2025-2030,0.0,1161.8461538461538,0.6986598692463662,0.0,7110.801069711597
BosniaH,Liginiteexisting,2030-2035,0.0,780.6153846153845,0.6725234626293988,0.0,4598.843734243464
BosniaH,Liginiteexisting,2035-2040,0.0,544.6153846153845,0.11336599416480748,0.0,540.8499731458996
BosniaH,Liginiteexisting,2040-2045,0.0,377.5999999999999,1.0386837208822047e-07,0.0,0.0003435733083524858
BosniaH,Liginiteexisting,2045-2050,0.0,94.40000000000009,3.791766022648576e-07,0.0,0.00031355781618331116
BosniaH,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
BosniaH,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Bulgaria,Liginiteexisting,2020-2025,0.0,12357.0,0.2733600104081407,0.0,29590.48852185336
Bulgaria,Liginiteexisting,2025-2030,0.0,7604.307692307692,0.5636416942348795,0.0,37546.27867149844
Bulgaria,Liginiteexisting,2030-2035,0.0,5109.1442307692305,0.5452720012748266,0.0,24404.25010373617
Bulgaria,Liginiteexisting,2035-2040,0.0,3564.5192307692305,0.11167165885276742,0.0,3486.968593490289
Bulgaria,Liginiteexisting,2040-2045,0.0,2471.3999999999996,0.0014495094679232753,0.0,31.38110304346406
Bulgaria,Liginiteexisting,2045-2050,0.0,617.8500000000006,7.128204112968321e-08,0.0,0.0003858044958208982
Bulgaria,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Bulgaria,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
CzechR,Liginiteexisting,2020-2025,0.0,7250.0,0.7499999817722647,0.0,47632.49884235652
CzechR,Liginiteexisting,2025-2030,0.0,4461.538461538462,0.7205054215654878,0.0,28159.568814538008
CzechR,Liginiteexisting,2030-2035,0.0,2997.596153846154,0.6229204638918634,0.0,16357.232523617351
CzechR,Liginiteexisting,2035-2040,0.0,2091.346153846154,0.0867929938342001,0.0,1590.064338002903
CzechR,Liginiteexisting,2040-2045,0.0,1449.9999999999998,0.00010120053206025709,0.0,1.2854491582293857
CzechR,Liginiteexisting,2045-2050,0.0,362.50000000000034,1.0432518320634517e-07,0.0,0.0003312846192717505
CzechR,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
CzechR,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Germany,Liginiteexisting,2020-2025,0.0,19106.0,0.748402138196927,0.0,125258.98817094065
Germany,Liginiteexisting,2025-2030,0.0,11757.538461538463,0.7204475618919584,0.0,74203.24368576484
Germany,Liginiteexisting,2030-2035,0.0,7899.596153846153,0.6630581447590739,0.0,45883.930154208654
Germany,Liginiteexisting,2035-2040,0.0,5511.346153846153,0.14104217281480905,0.0,6809.430393255498
Germany,Liginiteexisting,2040-2045,0.0,3821.1999999999994,4.1568591385170996e-05,0.0,1.3914550562728962
Germany,Liginiteexisting,2045-2050,0.0,955.3000000000009,5.0948854658233083e-08,0.0,0.000426361821889888
Germany,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Germany,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2020-2025,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2025-2030,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2030-2035,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2035-2040,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2040-2045,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2045-2050,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
