Node,to_Node,distance
Austria,Bosnia H,468.46123442851734
Austria,Belgium,819.4910630270699
Bosnia H,Belgium,1263.1447849742044
Austria,Bulgaria,1021.1929681958028
Bosnia H,Bulgaria,634.3705266112394
Belgium,Bulgaria,1840.2212621040733
Austria,Switzerland,490.59804317770227
Bosnia H,Switzerland,830.0239925893699
Belgium,Switzerland,517.4392570515361
Bulgaria,Switzerland,1453.5712811310473
Austria,Czech R,277.43597151514
Bosnia H,Czech R,689.7472146453861
Belgium,Czech R,769.1327124960542
Bulgaria,Czech R,1136.3215593365105
Switzerland,Czech R,628.5667932753877
Austria,Germany,497.2716035273675
Bosnia H,Germany,965.5684504252828
Belgium,Germany,428.33789232216435
Bulgaria,Germany,1478.444792797797
Switzerland,Germany,510.76643532913283
Czech R,Germany,355.8843401027396
Austria,Denmark,1051.6292734234603
Bosnia H,Denmark,1504.4482149168377
Belgium,Denmark,694.0348477595212
Bulgaria,Denmark,1923.012874403038
Switzerland,Denmark,1063.786395233635
Czech R,Denmark,818.743494956758
Germany,Denmark,588.551147563608
Austria,Estonia,1477.8628747505563
Bosnia H,Estonia,1750.2484528467805
Belgium,Estonia,1625.7686434483483
Bulgaria,Estonia,1831.8992411829195
Switzerland,Estonia,1785.073682319856
Czech R,Estonia,1212.2566181215602
Germany,Estonia,1297.5842667306617
Denmark,Estonia,1021.4079871982505
Austria,Spain,1660.3753554066436
Bosnia H,Spain,1822.2728331259582
Belgium,Spain,1349.2896569612815
Bulgaria,Spain,2434.0527338946335
Switzerland,Spain,1200.035399292551
Czech R,Spain,1828.5287268563288
Germany,Spain,1642.637575037194
Denmark,Spain,2041.9175281970333
Estonia,Spain,2937.807194797776
Austria,Finland,2017.3210824322498
Bosnia H,Finland,2324.9347778571255
Belgium,Finland,2002.5257036823098
Bulgaria,Finland,2416.862727992574
Switzerland,Finland,2261.354737783394
Czech R,Finland,1742.5772958744785
Germany,Finland,1752.991439867796
Denmark,Finland,1319.7390014980476
Estonia,Finland,587.6574700508453
Spain,Finland,3349.973096747296
Austria,France,926.317381577273
Bosnia H,France,1256.9417512458442
Belgium,France,480.6795609541342
Bulgaria,France,1887.2356301591255
Switzerland,France,440.5262316137535
Czech R,France,1016.4591893058761
Germany,France,774.696863392826
Denmark,France,1173.3453918347168
Estonia,France,2061.4762813275543
Spain,France,880.1423821376375
Finland,France,2471.6801281117405
Austria,Great Brit.,1289.1187346780741
Bosnia H,Great Brit.,1735.4873665645373
Belgium,Great Brit.,472.3701248126318
Bulgaria,Great Brit.,2307.763814833628
Switzerland,Great Brit.,962.9555897237008
Czech R,Great Brit.,1207.8845863133183
Germany,Great Brit.,852.2915120910103
Denmark,Great Brit.,802.1623982074395
Estonia,Great Brit.,1823.2843146616956
Spain,Great Brit.,1436.4104728185048
Finland,Great Brit.,2081.3644642908453
France,Great Brit.,735.3923589194761
Austria,Greece,1122.9324054066926
Bosnia H,Greece,654.5104175827811
Belgium,Greece,1901.0507908851575
Bulgaria,Greece,502.6918827480801
Switzerland,Greece,1428.5082716373777
Czech R,Greece,1331.2539905505503
Germany,Greece,1620.078044385063
Denmark,Greece,2149.964476518164
Estonia,Greece,2248.4399957379364
Spain,Greece,2192.564564319136
Finland,Greece,2835.9055665737874
France,Greece,1818.3681544431959
Great Brit.,Greece,2371.2468722113235
Austria,Croatia,277.3345287395664
Bosnia H,Croatia,193.42069683544167
Belgium,Croatia,1085.8279210180563
Bulgaria,Croatia,769.3999459598444
Switzerland,Croatia,687.039283502634
Czech R,Croatia,500.51496039618735
Germany,Croatia,773.3387063789729
Denmark,Croatia,1312.0779205160286
Estonia,Croatia,1609.6471791603205
Spain,Croatia,1763.7702340508813
Finland,Croatia,2175.0324990958215
France,Croatia,1125.112899875831
Great Brit.,Croatia,1557.7299815102128
Greece,Croatia,847.1643309162091
Austria,Hungary,342.5394369173516
Bosnia H,Hungary,341.2363040326615
Belgium,Hungary,1142.3059488156468
Bulgaria,Hungary,710.9333317113096
Switzerland,Hungary,827.5387947566508
Czech R,Hungary,429.2937269671743
Germany,Hungary,767.5995276478615
Denmark,Hungary,1238.4632325734249
Estonia,Hungary,1409.0844958613636
Spain,Hungary,1963.0488263052644
Finland,Hungary,1984.0579278912726
France,Hungary,1266.426907499874
Great Brit.,Hungary,1603.9350995545283
Greece,Hungary,925.0282570782618
Croatia,Hungary,229.93398945798256
Austria,Ireland,1760.2432389011917
Bosnia H,Ireland,2196.8905414756973
Belgium,Ireland,940.7935634796636
Bulgaria,Ireland,2780.9751847943253
Switzerland,Ireland,1395.4233321400814
Czech R,Ireland,1686.7132399199954
Germany,Ireland,1331.0775255763076
Denmark,Ireland,1199.599688578858
Estonia,Ireland,2205.4792014919008
Spain,Ireland,1538.5624513191824
Finland,Ireland,2376.703096974001
France,Ireland,1074.6518695551524
Great Brit.,Ireland,478.82994084077956
Greece,Ireland,2821.2115397446114
Croatia,Ireland,2024.311663435197
Hungary,Ireland,2080.271099188867
Austria,Italy,441.47100388641576
Bosnia H,Italy,558.2631662208646
Belgium,Italy,867.5516450633583
Bulgaria,Italy,1191.461345208429
Switzerland,Italy,353.8162204047628
Czech R,Italy,696.8534520590614
Germany,Italy,752.8682366410156
Denmark,Italy,1340.0203614746395
Estonia,Italy,1909.0886848027485
Spain,Italy,1283.5267623816578
Finland,Italy,2432.6944485507765
France,Italy,724.19738700685
Great Brit.,Italy,1316.6129415156179
Greece,Italy,1095.5493984610484
Croatia,Italy,480.3645531181868
Hungary,Italy,688.2442350761413
Ireland,Italy,1742.873523067145
Austria,Lithuania,1123.5175498410895
Bosnia H,Lithuania,1356.6726831335313
Belgium,Lithuania,1430.4386381128654
Bulgaria,Lithuania,1435.9751061884735
Switzerland,Lithuania,1488.2181043853873
Czech R,Lithuania,876.5790577771132
Germany,Lithuania,1044.1152403052222
Denmark,Lithuania,959.836535710325
Estonia,Lithuania,402.8559515950546
Spain,Lithuania,2675.4566646995463
Finland,Lithuania,990.1629055671499
France,Lithuania,1818.047277311922
Great Brit.,Lithuania,1719.7733329677935
Greece,Lithuania,1845.7430652972332
Croatia,Lithuania,1225.8353127943326
Hungary,Lithuania,1016.6925877932676
Ireland,Lithuania,2151.966580169957
Italy,Lithuania,1563.500014337651
Austria,Luxemb.,676.0685296982464
Bosnia H,Luxemb.,1111.0557472304943
Belgium,Luxemb.,156.56563618129184
Bulgaria,Luxemb.,1696.947952644953
Switzerland,Luxemb.,366.75037022548713
Czech R,Luxemb.,659.2990067337278
Germany,Luxemb.,352.51929944563693
Denmark,Luxemb.,759.4748418220469
Estonia,Luxemb.,1623.0275127641005
Spain,Luxemb.,1318.9137146376977
Finland,Luxemb.,2037.1334581030962
France,Luxemb.,439.2546997328858
Great Brit.,Luxemb.,625.6351097713973
Greece,Luxemb.,1745.9231733225124
Croatia,Luxemb.,936.8966592866542
Hungary,Luxemb.,1006.9445501653923
Ireland,Luxemb.,1087.4253408292154
Italy,Luxemb.,713.2440306643607
Lithuania,Luxemb.,1392.6509522215038
Austria,Latvia,1316.7997799354443
Bosnia H,Latvia,1555.3852428312348
Belgium,Latvia,1566.0038237461665
Bulgaria,Latvia,1611.5860386101147
Switzerland,Latvia,1664.1799154254215
Czech R,Latvia,1063.4046779882863
Germany,Latvia,1200.984557428719
Denmark,Latvia,1029.2127851148161
Estonia,Latvia,221.98187026444853
Spain,Latvia,2841.4768992716486
Finland,Latvia,805.5640224533463
France,Latvia,1975.0711867764305
Great Brit.,Latvia,1817.0266266269532
Greece,Latvia,2034.3335463470871
Croatia,Latvia,1424.7875064129682
Hungary,Latvia,1215.6502370520927
Ireland,Latvia,2228.69477225453
Italy,Latvia,1755.2039468219866
Lithuania,Latvia,199.10965087786482
Luxemb.,Latvia,1542.5848855863042
Austria,Macedonia,888.8363946741104
Bosnia H,Macedonia,429.76734601407924
Belgium,Macedonia,1692.778492935539
Bulgaria,Macedonia,327.20079567588186
Switzerland,Macedonia,1251.06273453672
Czech R,Macedonia,1074.5501717847542
Germany,Macedonia,1381.2007577731174
Denmark,Macedonia,1891.959966544383
Estonia,Macedonia,1973.5686203507482
Spain,Macedonia,2142.81354245843
Finland,Macedonia,2560.763492113709
France,Macedonia,1666.6279367701782
Great Brit.,Macedonia,2165.1433733082113
Greece,Macedonia,277.0604350588007
Croatia,Macedonia,612.137178785735
Hungary,Macedonia,657.3706618778401
Ireland,Macedonia,2626.3683067537604
Italy,Macedonia,947.0837534303336
Lithuania,Macedonia,1570.7329709772955
Luxemb.,Macedonia,1540.8221188391951
Latvia,Macedonia,1760.6455085050152
Austria,Netherlands,839.9936950644507
Bosnia H,Netherlands,1302.506026496862
Belgium,Netherlands,175.0
