newOnshoreNode,Latitude,Longitude,fromNode,toNode,dist
Moray Firth-Great Brit.,58.33015300000003,-3.1851529999999424,Moray Firth,Great Brit.,20.413166347101768
Firth of Forth-Great Brit.,56.28910000000012,-2.6046179999998955,Firth of Forth,Great Brit.,34.93784942436102
Dogger Bank-Great Brit.,54.130481943,-0.1050434659999246,Dogger Bank,Great Brit.,177.01888819142297
Hornsea-Great Brit.,52.94701770400006,1.2057646100001385,Hornsea,Great Brit.,106.07635260941159
Outer Dowsing-Great Brit.,52.98091800000013,0.7730560000001101,Outer Dowsing,Great Brit.,37.205824744638036
Norfolk-Great Brit.,52.73890931600004,1.6793258910001385,Norfolk,Great Brit.,32.697158993831415
East Anglia-Great Brit.,52.101286705000106,1.586886233000091,East Anglia,Great Brit.,30.46204699588585
Borssele-Belgium,51.35486221400009,3.1730558870000865,Borssele,Belgium,66.63970192710357
Borssele-Netherlands,51.70458200000006,3.678612000000102,Borssele,Netherlands,43.26993374335903
Hollandsee Kust-Netherlands,52.29402923500009,4.468609811000137,Hollandsee Kust,Netherlands,35.78644743633564
Helgoländer Bucht-Netherlands,53.54264100000017,6.577498999999994,Helgoländer Bucht,Netherlands,95.04280449514094
Helgoländer Bucht-Germany,54.19180700000003,7.865277000000048,Helgoländer Bucht,Germany,47.48735062310829
Nordsøen-Denmark,56.18707300000015,8.124695000000148,Nordsøen,Denmark,67.47744529655277
Nordvest A-NO4,66.01249700000005,11.685416000000146,Nordvest A,NO4,98.22470471926385
Nordvest C-NO3,63.4484410000001,7.7942710000001,Nordvest C,NO3,67.84751626139963
Vestavind A-NO3,61.84739300000012,4.839063000000073,Vestavind A,NO3,60.53816725295697
Sønnavind A-NO2,57.96097200000013,7.499722000000078,Sønnavind A,NO2,49.90421755888742
Sørvest C-NO2,58.42430499999999,5.8980550000001735,Sørvest C,NO2,195.97471496419743
Nordvest B-NO3,63.8859410000001,8.524479000000158,Nordvest B,NO3,110.49042159398515
Vestavind F-NO2,59.28208200000005,4.850277001000057,Vestavind F,NO2,20.45540860456791
Sørvest E-NO2,58.42541500000003,5.8980550000001735,Sørvest E,NO2,127.04020618291526
Sørvest A-NO2,58.53597300000013,5.696944000000031,Sørvest A,NO2,144.73054705876822
Vestavind B-NO3,61.03593400000011,4.508854000000042,Vestavind B,NO3,48.44073669654867
Vestavind C-NO5,60.183857000000046,3.9078120000001526,Vestavind C,NO5,27.438573226741337
Vestavind D-NO5,60.3276060000001,4.901563000000182,Vestavind D,NO5,28.527956900559587
Sørvest F-NO2,58.07125100000001,6.650277000000187,Sørvest F,NO2,175.42930730545189
Sørvest B-NO2,58.422359000000135,5.89138800000012,Sørvest B,NO2,191.798871160174
Nordavind B-NO4,71.1213530000001,27.63489500000014,Nordavind B,NO4,72.70715946006231
Nordavind A-NO4,70.54531097400013,30.58802032500006,Nordavind A,NO4,81.42444417412473
Nordavind D-NO4,70.28073100000017,19.59218800000008,Nordavind D,NO4,132.66921905631082
Nordavind C-NO4,70.65468600000021,21.944271000000185,Nordavind C,NO4,137.43979303659185
Vestavind E-NO2,59.28208200000005,4.850277001000057,Vestavind E,NO2,60.114246299694166
Sørvest D-NO2,58.070694000000096,6.647501000000034,Sørvest D,NO2,246.25732339223973
Energyhub EU-NO2,57.98485899999996,7.066944000000035,Energyhub EU,NO2,335.60815939925516
Energyhub EU-Great Brit.,52.848407780000045,1.4903464720000588,Energyhub EU,Great Brit.,371.04224007767635
Energyhub EU-Denmark,55.552639000000106,8.096944000000123,Energyhub EU,Denmark,162.3537698534707
Energyhub EU-Netherlands,53.502082826000105,6.163053989000106,Energyhub EU,Netherlands,177.3986994173048
Energyhub EU-Belgium,51.50009536700007,4.763122081000123,Energyhub EU,Belgium,403.3508679606694
Energyhub EU-Germany,54.81958389300012,8.28361225100014,Energyhub EU,Germany,169.26010718824313
Energyhub North-NO2,59.28208200000005,4.850277001000057,Energyhub North,NO2,219.90677151696178
Energyhub North-Great Brit.,57.62147500000008,-1.8491669999999594,Energyhub North,Great Brit.,214.7612510980066
Energyhub North-Denmark,56.79875200000014,8.233610000000171,Energyhub North,Denmark,445.02186958464574
Energyhub North-Netherlands,53.38263702400007,5.18361187000011,Energyhub North,Netherlands,610.206259221308
Energyhub North-Belgium,51.35319519100005,3.168612004000066,Energyhub North,Belgium,799.522133902907
Energyhub North-Germany,55.03014000000012,8.380277000000097,Energyhub North,Germany,569.300018495387
Energyhub Central-NO2,58.070694000000096,6.64861100000019,Energyhub Central,NO2,303.8093139725771
Energyhub Central-Great Brit.,54.48869658000006,-0.5930560239999619,Energyhub Central,Great Brit.,303.5286712685281
Energyhub Central-Denmark,56.010418,8.109167000000184,Energyhub Central,Denmark,300.5597951154137
Energyhub Central-Netherlands,53.38236236600004,5.183055877000075,Energyhub Central,Netherlands,321.7719636833523
Energyhub Central-Belgium,51.47111511200005,4.4428129190001195,Energyhub Central,Belgium,517.6666406131312
Energyhub Central-Germany,54.88986206100007,8.290833473000081,Energyhub Central,Germany,341.90751719474554
