Node,RESGeneratorType,Period,ExpectedAnnualCurtailment_GWh,Expected total available power_GWh,Expected annual curtailment ratio of total capacity_%
Austria,Hydrorun-of-the-river,2020-2025,0.0021008602709926888,41574.192089705255,5.053279848372354e-06
Austria,Hydrorun-of-the-river,2025-2030,750.5115890600557,41908.633948178955,1.7908280904313931
Austria,Hydrorun-of-the-river,2030-2035,8940.353301720708,49555.13007081727,18.04122658732689
Austria,Hydrorun-of-the-river,2035-2040,12047.14957268522,53992.78692102811,22.312516652096207
Austria,Hydrorun-of-the-river,2040-2045,11227.589967030024,52705.66189690506,21.3024361386292
Austria,Hydrorun-of-the-river,2045-2050,12069.51717683832,52866.62307893591,22.83012697598852
Austria,Hydrorun-of-the-river,2050-2055,17318.461655397216,58405.724947296825,29.651993312341823
Austria,Hydrorun-of-the-river,2055-2060,2815.6119355089845,41150.61683615751,6.8422107661701235
Belgium,Hydrorun-of-the-river,2020-2025,300.21606605545867,771.0160655680872,38.93771861086428
Belgium,Hydrorun-of-the-river,2025-2030,215.0330523871147,685.8330520601604,31.35355634161713
Belgium,Hydrorun-of-the-river,2030-2035,272.65840801864215,743.4584076669003,36.67433244507799
Belgium,Hydrorun-of-the-river,2035-2040,485.34359522451336,956.1435948095414,50.76053407241526
Belgium,Hydrorun-of-the-river,2040-2045,263.31436922477303,734.1143664106779,35.86830353316772
Belgium,Hydrorun-of-the-river,2045-2050,1074.1108589832254,1544.9108585499384,69.52574985403311
Belgium,Hydrorun-of-the-river,2050-2055,584.9033334556922,1055.7033328954751,55.40413819206946
Belgium,Hydrorun-of-the-river,2055-2060,377.62687181726506,848.4268710220624,44.50906550877563
Bulgaria,Hydrorun-of-the-river,2020-2025,3463.8053492929844,7435.5727160359775,46.5842441675373
Bulgaria,Hydrorun-of-the-river,2025-2030,1993.1038789996858,5213.8188858764515,38.2273324529692
Bulgaria,Hydrorun-of-the-river,2030-2035,3664.2169025240387,5634.584337042065,65.03082895459167
Bulgaria,Hydrorun-of-the-river,2035-2040,4084.34718335798,6047.231192143445,67.54078112086005
Bulgaria,Hydrorun-of-the-river,2040-2045,4567.273104745602,6487.997471725472,70.39572879998278
Bulgaria,Hydrorun-of-the-river,2045-2050,4552.971675914187,6763.245458767192,67.31933217080228
Bulgaria,Hydrorun-of-the-river,2050-2055,5452.415916770024,7141.926056303441,76.34377440743367
Bulgaria,Hydrorun-of-the-river,2055-2060,3981.038103680331,5712.995487882284,69.6839007159104
Switzerland,Hydrorun-of-the-river,2020-2025,0.001139722552335299,1493.088719419442,7.633321031173938e-05
Switzerland,Hydrorun-of-the-river,2025-2030,0.00241047296890683,1213.4563431068675,0.00019864521559425751
Switzerland,Hydrorun-of-the-river,2030-2035,0.0052618201876751605,1102.6511389171444,0.0004771971843100363
Switzerland,Hydrorun-of-the-river,2035-2040,73.30281161732086,16689.886301905884,0.4392049789395516
Switzerland,Hydrorun-of-the-river,2040-2045,424.32052182860417,23448.49761014231,1.8095851123744084
Switzerland,Hydrorun-of-the-river,2045-2050,171.89498231836157,14263.525838782536,1.2051366840236584
Switzerland,Hydrorun-of-the-river,2050-2055,478.06485527564155,19830.302791898186,2.4107794030808165
Switzerland,Hydrorun-of-the-river,2055-2060,479.8422956861398,15342.39909741589,3.1275571221906184
CzechR,Hydrorun-of-the-river,2020-2025,53.01225359811991,1304.0285802437288,4.065267771064626
CzechR,Hydrorun-of-the-river,2025-2030,209.45515275361103,1388.0523501656091,15.0898597397008
CzechR,Hydrorun-of-the-river,2030-2035,580.8579218911273,1417.7148551930297,40.97142099932643
CzechR,Hydrorun-of-the-river,2035-2040,365.12153928295675,1689.1126629331097,21.616174414851088
CzechR,Hydrorun-of-the-river,2040-2045,481.4641034112497,1869.8902641360828,25.74825446421014
CzechR,Hydrorun-of-the-river,2045-2050,583.1101384672415,1754.1266484192345,33.242191434279995
CzechR,Hydrorun-of-the-river,2050-2055,424.6776808703697,1794.2314665635784,23.669057687620334
CzechR,Hydrorun-of-the-river,2055-2060,330.7255186870953,1574.79063718043,21.001237299660346
Germany,Hydrorun-of-the-river,2020-2025,0.0021627037217081158,22677.87200950326,9.536625485856106e-06
Germany,Hydrorun-of-the-river,2025-2030,0.0008653679375559759,19664.385350323933,4.400686429498396e-06
Germany,Hydrorun-of-the-river,2030-2035,0.003405774028518978,22302.471848760335,1.5270836576387318e-05
