Node,GeneratorType,Period,genInvCap_MW,genInstalledCap_MW,genExpectedCapacityFactor,DiscountedInvestmentCost_Euro,genExpectedAnnualProduction_GWh
BosniaH,Liginiteexisting,2020-2025,0.0,1888.0,0.7499998369345089,0.0,12404.157303079444
BosniaH,Liginiteexisting,2025-2030,0.0,1161.8461538461538,0.7199155823329296,0.0,7327.136877744285
BosniaH,Liginiteexisting,2030-2035,0.0,780.6153846153845,0.654367240888724,0.0,4474.688026332276
BosniaH,Liginiteexisting,2035-2040,0.0,544.6153846153845,0.022493979695273655,0.0,107.31497045266374
BosniaH,Liginiteexisting,2040-2045,0.0,377.5999999999999,2.317771604622076e-07,0.0,0.0007666669287250416
BosniaH,Liginiteexisting,2045-2050,0.0,94.40000000000009,6.175933630327866e-07,0.0,0.0005107151259997859
BosniaH,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
BosniaH,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Bulgaria,Liginiteexisting,2020-2025,0.0,12357.0,0.34752941809573473,0.0,37619.12813002277
Bulgaria,Liginiteexisting,2025-2030,0.0,7604.307692307692,0.5431721460370869,0.0,36182.72560440823
Bulgaria,Liginiteexisting,2030-2035,0.0,5109.1442307692305,0.5314051256698447,0.0,23783.622784471434
Bulgaria,Liginiteexisting,2035-2040,0.0,3564.5192307692305,0.051549580072936765,0.0,1609.645352890618
Bulgaria,Liginiteexisting,2040-2045,0.0,2471.3999999999996,3.555759676923232e-08,0.0,0.0007698029111820133
Bulgaria,Liginiteexisting,2045-2050,0.0,617.8500000000006,9.559718153272673e-08,0.0,0.0005174069350235601
Bulgaria,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Bulgaria,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
CzechR,Liginiteexisting,2020-2025,0.0,7250.0,0.7499997734589224,0.0,47632.48561237637
CzechR,Liginiteexisting,2025-2030,0.0,4461.538461538462,0.7288470302261514,0.0,28485.58454748487
CzechR,Liginiteexisting,2030-2035,0.0,2997.596153846154,0.6476312722909251,0.0,17006.112215744783
CzechR,Liginiteexisting,2035-2040,0.0,2091.346153846154,0.033388926803863586,0.0,611.6915599942438
CzechR,Liginiteexisting,2040-2045,0.0,1449.9999999999998,6.734814183523689e-08,0.0,0.0008554560975911771
CzechR,Liginiteexisting,2045-2050,0.0,362.50000000000034,1.802570738340509e-07,0.0,0.0005724063379600285
CzechR,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
CzechR,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Germany,Liginiteexisting,2020-2025,0.0,19106.0,0.7403726441746028,0.0,123915.10331889568
Germany,Liginiteexisting,2025-2030,0.0,11757.538461538463,0.7342716515294457,0.0,75627.07013249534
Germany,Liginiteexisting,2030-2035,0.0,7899.596153846153,0.6765239469330411,0.0,46815.76988999103
Germany,Liginiteexisting,2035-2040,0.0,5511.346153846153,0.047362333098644176,0.0,2286.6246602770425
Germany,Liginiteexisting,2040-2045,0.0,3821.1999999999994,3.043070436271573e-08,0.0,0.001018628633794691
Germany,Liginiteexisting,2045-2050,0.0,955.3000000000009,7.30717824163924e-08,0.0,0.000611495949983245
Germany,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Germany,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2020-2025,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2025-2030,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2030-2035,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2035-2040,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2040-2045,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2045-2050,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
