Node,StorageType,Period,storPWInvCap_MW,storPWInstalledCap_MW,storENInvCap_MWh,storENInstalledCap_MWh,DiscountedInvestmentCostPWEN_EuroPerMWMWh,ExpectedAnnualDischargeVolume_GWh,ExpectedAnnualLossesChargeDischarge_GWh
Austria,HydroPumpStorage,2020-2025,1.8374539649812505e-05,3503.0000183745396,3.574101720005274e-05,124704.00003574102,23.04607343830864,2385.4636810628776,596.365920254917
Austria,HydroPumpStorage,2025-2030,2.5836534353811512e-05,3503.0000441833013,1.4625196750234863e-05,124704.00005031071,22.458999308999815,2652.15841181688,663.0396029383254
Austria,HydroPumpStorage,2030-2035,1751.4996571163542,5254.499701316334,1.9359828268684857e-06,124704.00005219113,1129032295.85441,6071.277906155263,1517.819476510906
Austria,HydroPumpStorage,2035-2040,0.0002597689502853986,5254.499959725772,1.317907422981358e-05,124704.00006531464,131.8666047768035,8495.582286513487,2123.8955716102646
Austria,HydroPumpStorage,2040-2045,1.5082079380679486e-06,5254.499960574156,3.7247215191256776e-06,124704.00006898382,0.6580831375048349,11061.172786238685,2765.2931963759593
Austria,HydroPumpStorage,2045-2050,2.2580274363982485e-05,5254.499965116033,6.172944696443063e-06,124704.00003941575,5.297241601985376,9984.100530477557,2496.025132603438
Austria,HydroPumpStorage,2050-2055,3.2006213529059754e-05,5254.499972868762,3.518394399995195e-05,124704.00005997448,4.728484291316659,11138.160676542784,2784.540169117526
Austria,HydroPumpStorage,2055-2060,1751.499599546298,5254.499915298856,2.476628653808783e-05,124704.00008280476,102418101.07996874,10117.584698791772,2529.396176397228
Austria,Li-Ion_BESS,2020-2025,0.0032944033818412526,0.0032944033818412526,0.006588806763682505,0.006588806763682505,1944.7408651224212,0.009398372612315626,0.001044261679187617
Austria,Li-Ion_BESS,2025-2030,0.0036135879440256924,0.006907963553574514,0.0072271758881545505,0.013815927107149028,1359.3207575562435,0.012925711679846902,0.001436188178638401
Austria,Li-Ion_BESS,2030-2035,596.1570929756462,596.1640009115138,1192.3141859512298,1192.3280018230275,173072347.5909599,451.94136978522715,50.21570775181074
Austria,Li-Ion_BESS,2035-2040,0.0028724865793184028,596.1635787694613,0.00574522856980026,1192.3271575389226,653.4246201462645,478.28241188676697,53.142490207435515
Austria,Li-Ion_BESS,2040-2045,7963.515086659632,8559.67505191263,15927.030172855859,17119.35010382526,1419314976.8654926,6847.488548175199,760.8320609062253
