BetweenNode,AndNode,Period,transmissionInvCap_MW,transmissionInstalledCap_MW,DiscountedInvestmentCost_EuroPerMW,transmissionExpectedAnnualVolume_GWh,ExpectedAnnualLosses_GWh
Switzerland,Austria,2020-2025,0.0,1200.0,0.0,2035.8542961779476,61.075628885338496
Switzerland,Austria,2025-2030,0.0,1200.0,0.0,4740.74320148072,142.2222960444218
Switzerland,Austria,2030-2035,861.7552279286597,2061.7552279286597,206318051.0856999,6713.243817139867,201.39731451419686
Switzerland,Austria,2035-2040,138.24475328882536,2199.999981189716,23776334.566240616,13797.682888259329,413.93048664777905
Switzerland,Austria,2040-2045,999.9999806604474,3199.9999627345883,119154996.95207335,16612.64614212842,498.37938426385216
Switzerland,Austria,2045-2050,1.797669256654973e-06,3199.999964212791,0.13978595336782254,18229.1748051604,546.8752441548122
Switzerland,Austria,2050-2055,1.437534734278007e-06,3199.999965000798,0.06515645338133134,16202.019733820081,486.06059201460295
Switzerland,Austria,2055-2060,5.791979597265126e-06,3199.9999707662078,0.11532942644128363,19881.34026443163,596.4402079329494
CzechR,Austria,2020-2025,0.0,900.0,0.0,4487.432846590125,134.62298539770325
CzechR,Austria,2025-2030,0.0,900.0,0.0,2706.804831842683,81.20414495528061
CzechR,Austria,2030-2035,999.9999412620873,1899.9999412620873,87917385.84478116,8689.286180573481,260.678585417205
CzechR,Austria,2035-2040,2.2664559230561275e-05,1899.999963898874,1.4314131898698754,9314.319617659432,279.4295885297838
CzechR,Austria,2040-2045,1.4724541004886652e-06,1899.9999653435557,0.06442812992927545,9819.731808630966,294.59195425892864
CzechR,Austria,2045-2050,5.834360911525805e-07,1899.9999658992203,0.016659751694614647,10563.237172217434,316.89711516652335
CzechR,Austria,2050-2055,1.7333923463693453e-06,1899.99996760484,0.02885077314708092,10710.134123457907,321.30402370373895
CzechR,Austria,2055-2060,4.326820786860572e-06,1899.9999719038883,0.031637598337824195,11698.390502204044,350.95171506612115
Germany,Austria,2020-2025,0.0,5000.0,0.0,16180.46230768706,485.41386923061333
Germany,Austria,2025-2030,1999.9996446762852,6999.999644676285,891259.7962880365,18472.37995681331,554.1713987043995
Germany,Austria,2030-2035,500.0002537989456,7499.999899396201,149745.40651088045,30986.44057983047,929.5932173949145
Germany,Austria,2035-2040,0.00010141226882328164,7499.999999832082,0.02181808999738812,37659.73681990622,1129.7921045971887
Germany,Austria,2040-2045,699.9999032420371,8199.999907411597,104337.453432305,39064.7736779639,1171.9432103389174
