Node,RESGeneratorType,Period,ExpectedAnnualCurtailment_GWh,Expected total available power_GWh,Expected annual curtailment ratio of total capacity_%
Austria,Hydrorun-of-the-river,2020-2025,0.0001719609114475242,41329.91132947767,4.1606890969755546e-07
Austria,Hydrorun-of-the-river,2025-2030,0.00016383773336936996,35409.637085915754,4.626924951866754e-07
Austria,Hydrorun-of-the-river,2030-2035,0.00022436574916772105,38905.14489792802,5.766994307728954e-07
Austria,Hydrorun-of-the-river,2035-2040,2982.6696568739058,43618.62825629296,6.838063864247242
Austria,Hydrorun-of-the-river,2040-2045,0.0003413571648609482,41197.97534673673,8.285775259292856e-07
Austria,Hydrorun-of-the-river,2045-2050,938.4443512949225,42208.18136015139,2.2233707330041583
Austria,Hydrorun-of-the-river,2050-2055,2303.33884864871,43072.73433519605,5.347556602104504
Austria,Hydrorun-of-the-river,2055-2060,0.000548665548125335,41140.301429794155,1.3336449395287774e-06
Belgium,Hydrorun-of-the-river,2020-2025,193.3854749686114,664.1854749117687,29.11618550440312
Belgium,Hydrorun-of-the-river,2025-2030,65.14882886636076,535.9488288231578,12.155792747866483
Belgium,Hydrorun-of-the-river,2030-2035,0.0001395244490478626,460.9444356469617,3.0269255523614703e-05
Belgium,Hydrorun-of-the-river,2035-2040,287.7906157806608,758.5906156884311,37.937539672763684
Belgium,Hydrorun-of-the-river,2040-2045,93.20755183080868,564.0075517011144,16.525940397372967
Belgium,Hydrorun-of-the-river,2045-2050,187.78714865630153,658.5871485062903,28.513636970021732
Belgium,Hydrorun-of-the-river,2050-2055,30.811960676241082,501.61196027691807,6.142588916586267
Belgium,Hydrorun-of-the-river,2055-2060,142.7609542059744,613.560953971457,23.26760744501608
Bulgaria,Hydrorun-of-the-river,2020-2025,1520.3196553392831,5492.1514363127,27.681677626136064
Bulgaria,Hydrorun-of-the-river,2025-2030,2816.1199905545486,6184.563708203275,45.534658925401885
Bulgaria,Hydrorun-of-the-river,2030-2035,3171.973840977464,5443.474401948366,58.27112624690821
Bulgaria,Hydrorun-of-the-river,2035-2040,3282.327629712034,6182.503328638655,53.09059219600583
Bulgaria,Hydrorun-of-the-river,2040-2045,3699.835523225811,6221.321661730604,59.47024964140202
Bulgaria,Hydrorun-of-the-river,2045-2050,3646.7375657823836,6171.396813056879,59.090959085096394
Bulgaria,Hydrorun-of-the-river,2050-2055,2970.590675984398,5600.010812648074,53.046159648032834
Bulgaria,Hydrorun-of-the-river,2055-2060,3313.836787015665,5632.215590390531,58.83717932725454
Switzerland,Hydrorun-of-the-river,2020-2025,0.00014904205011149842,1530.8805789689839,9.73570715828632e-06
Switzerland,Hydrorun-of-the-river,2025-2030,0.00014137931148017018,1291.5097205384325,1.0946825194720865e-05
Switzerland,Hydrorun-of-the-river,2030-2035,0.00018150156852371433,1756.9697675908244,1.0330375164769694e-05
