Node,RESGeneratorType,Period,ExpectedAnnualCurtailment_GWh,Expected total available power_GWh,Expected annual curtailment ratio of total capacity_%
Austria,Hydrorun-of-the-river,2020-2025,0.0002294875755796617,40677.21463574109,5.641673788008635e-07
Austria,Hydrorun-of-the-river,2025-2030,0.0002387275409837782,41061.03083014542,5.813968528245367e-07
Austria,Hydrorun-of-the-river,2030-2035,0.0002587797728309676,39735.45295410753,6.512566325337863e-07
Austria,Hydrorun-of-the-river,2035-2040,0.00033164715534688316,38740.94717871985,8.560636213072633e-07
Austria,Hydrorun-of-the-river,2040-2045,7495.7792291349215,48051.43062481888,15.59949231826472
Austria,Hydrorun-of-the-river,2045-2050,730.1159930720365,40757.75920818186,1.7913545966616107
Austria,Hydrorun-of-the-river,2050-2055,5016.192522455641,45855.203970891176,10.939200108323394
Austria,Hydrorun-of-the-river,2055-2060,1045.5876257437117,42608.1351197374,2.453962424793765
Belgium,Hydrorun-of-the-river,2020-2025,257.35800212348266,728.1580020273543,35.34370307089129
Belgium,Hydrorun-of-the-river,2025-2030,79.39533876576634,550.1953386569902,14.430391024316547
Belgium,Hydrorun-of-the-river,2030-2035,130.79055273359768,601.5905526054079,21.740792332452923
Belgium,Hydrorun-of-the-river,2035-2040,228.68556588222756,699.4855657360797,32.693393128359716
Belgium,Hydrorun-of-the-river,2040-2045,125.42099915443785,596.2209989631657,21.03599158240757
Belgium,Hydrorun-of-the-river,2045-2050,60.00829775087316,530.808297523906,11.305079071069073
Belgium,Hydrorun-of-the-river,2050-2055,112.50378049780015,583.3037802191888,19.287339515530736
Belgium,Hydrorun-of-the-river,2055-2060,152.1361480569508,622.9361477337116,24.422430550937445
Bulgaria,Hydrorun-of-the-river,2020-2025,2219.167012081385,6190.999056651007,35.845054922069934
Bulgaria,Hydrorun-of-the-river,2025-2030,2223.4093579484506,5800.592219464103,38.33073027419024
Bulgaria,Hydrorun-of-the-river,2030-2035,3513.3490149129357,6056.205127760901,58.01238466656579
Bulgaria,Hydrorun-of-the-river,2035-2040,4099.836545399678,6521.431181253991,62.86712887785668
Bulgaria,Hydrorun-of-the-river,2040-2045,4139.699675140963,6032.958025386393,68.6180752082363
Bulgaria,Hydrorun-of-the-river,2045-2050,2793.8727239419354,5080.244683196288,54.994845684955116
Bulgaria,Hydrorun-of-the-river,2050-2055,5266.946717659201,7456.99547435875,70.6309496333994
Bulgaria,Hydrorun-of-the-river,2055-2060,5169.762845889747,7134.460649277822,72.46185941768492
Switzerland,Hydrorun-of-the-river,2020-2025,0.00017794128586642698,1697.5990523443004,1.0481938336422777e-05
Switzerland,Hydrorun-of-the-river,2025-2030,0.00017853905862092194,1695.912078479031,1.0527612892588375e-05
Switzerland,Hydrorun-of-the-river,2030-2035,0.00022152049554613492,1269.4637287714047,1.7449927124780785e-05
