Node,RESGeneratorType,Period,ExpectedAnnualCurtailment_GWh,Expected total available power_GWh,Expected annual curtailment ratio of total capacity_%
Austria,Hydrorun-of-the-river,2020-2025,0.00027483518608314533,40830.63399638705,6.731102586050084e-07
Austria,Hydrorun-of-the-river,2025-2030,2835.9400494678853,43708.871093024834,6.488248217237648
Austria,Hydrorun-of-the-river,2030-2035,3155.7826971432078,44966.64554817761,7.018052288917301
Austria,Hydrorun-of-the-river,2035-2040,6980.904636468891,48111.36679609047,14.509886335293555
Austria,Hydrorun-of-the-river,2040-2045,15852.072447235387,57206.0022332109,27.710505591024294
Austria,Hydrorun-of-the-river,2045-2050,14540.380380039509,55999.005382566764,25.965426136954427
Austria,Hydrorun-of-the-river,2050-2055,8883.322220641574,50144.105685748706,17.715586107593648
Austria,Hydrorun-of-the-river,2055-2060,11790.8481022306,53577.55732646116,22.007065440453136
Belgium,Hydrorun-of-the-river,2020-2025,156.61231592896007,627.4123157830561,24.961626029526776
Belgium,Hydrorun-of-the-river,2025-2030,164.798922683317,635.5989225950161,25.928131219996065
Belgium,Hydrorun-of-the-river,2030-2035,171.56428420381508,642.3642840365951,26.708253940538384
Belgium,Hydrorun-of-the-river,2035-2040,185.574626772053,656.3746266090408,28.27266918143495
Belgium,Hydrorun-of-the-river,2040-2045,228.92709999284995,699.7270996876517,32.716626252583296
Belgium,Hydrorun-of-the-river,2045-2050,389.7847242640927,860.584724134279,45.29300989582447
Belgium,Hydrorun-of-the-river,2050-2055,450.60311153098644,921.4031113358218,48.90401453905619
Belgium,Hydrorun-of-the-river,2055-2060,540.0581818945947,1010.8581816379436,53.42571210330529
Bulgaria,Hydrorun-of-the-river,2020-2025,2597.8675905267355,6216.0273872458365,41.79305251867277
Bulgaria,Hydrorun-of-the-river,2025-2030,3123.54244464129,5888.375051775519,53.04591533617496
Bulgaria,Hydrorun-of-the-river,2030-2035,3353.913714815814,5438.17170902993,61.67355306649724
Bulgaria,Hydrorun-of-the-river,2035-2040,3608.044789362835,5113.642358127071,70.55723761417532
Bulgaria,Hydrorun-of-the-river,2040-2045,5366.621940601456,7313.883919614837,73.37581508791669
Bulgaria,Hydrorun-of-the-river,2045-2050,3980.8558544071234,5935.5820838607815,67.06765736137858
Bulgaria,Hydrorun-of-the-river,2050-2055,4328.399929930798,6223.176978965354,69.55289789380896
Bulgaria,Hydrorun-of-the-river,2055-2060,4154.563006890893,6126.651263380044,67.81131858644164
Switzerland,Hydrorun-of-the-river,2020-2025,0.0002476250881294009,1293.7239911972601,1.9140488219611623e-05
Switzerland,Hydrorun-of-the-river,2025-2030,0.00034471429098657704,21862.31416291956,1.5767511546021203e-06
Switzerland,Hydrorun-of-the-river,2030-2035,1.2873397546101266,13839.923428343867,0.009301639284894326
Switzerland,Hydrorun-of-the-river,2035-2040,12.821748938647717,14784.690901214639,0.08672314507159798
Switzerland,Hydrorun-of-the-river,2040-2045,113.9377590119254,14182.064461073855,0.8033933234801989
Switzerland,Hydrorun-of-the-river,2045-2050,171.4306354791572,20090.481272346075,0.8532928263651213
Switzerland,Hydrorun-of-the-river,2050-2055,421.94233740167675,19023.56068848763,2.217998745403225
Switzerland,Hydrorun-of-the-river,2055-2060,92.80175159745185,17937.529386197428,0.5173608338105969
CzechR,Hydrorun-of-the-river,2020-2025,48.6822418845545,1403.7357297256292,3.4680489249974293
CzechR,Hydrorun-of-the-river,2025-2030,86.29400751665963,1605.8366371580937,5.373772494652831
CzechR,Hydrorun-of-the-river,2030-2035,297.10208945071696,1601.2695362849468,18.554158604679
CzechR,Hydrorun-of-the-river,2035-2040,294.8010236002324,1614.5605658826312,18.258901513494703
CzechR,Hydrorun-of-the-river,2040-2045,439.8128912888972,1869.3604353860308,23.527452649765426
CzechR,Hydrorun-of-the-river,2045-2050,235.6752943443519,1673.304732761909,14.084421667495853
CzechR,Hydrorun-of-the-river,2050-2055,91.78192557969558,1592.9738611607884,5.761671789944799
CzechR,Hydrorun-of-the-river,2055-2060,526.8914414327093,1755.950032303914,30.006061205591106
Germany,Hydrorun-of-the-river,2020-2025,0.00028033239344200033,22200.801581012143,1.2627129359228293e-06
Germany,Hydrorun-of-the-river,2025-2030,0.00018568305012366785,21875.935206828068,8.488005123808887e-07
Germany,Hydrorun-of-the-river,2030-2035,0.001730849554057888,19443.16232672642,8.902098974294298e-06
Germany,Hydrorun-of-the-river,2035-2040,17.37506672214826,20631.72096689845,0.08421530491821226
Germany,Hydrorun-of-the-river,2040-2045,839.3375753403096,22239.133084788748,3.774147005372276
Germany,Hydrorun-of-the-river,2045-2050,441.57455744821317,22537.315934231494,1.95930411028899
Germany,Hydrorun-of-the-river,2050-2055,862.1963186634006,21338.669637789382,4.040534547367037
Germany,Hydrorun-of-the-river,2055-2060,412.2482403494545,22328.312493253863,1.8463027175654612
Denmark,Hydrorun-of-the-river,2020-2025,0.00019665450402540447,14.55317167097922,0.0013512827888752064
Denmark,Hydrorun-of-the-river,2025-2030,0.00027991534651752224,13.60475976732957,0.0020574809941863886
Denmark,Hydrorun-of-the-river,2030-2035,0.003994868202220243,28.60630529621142,0.013964991846567888
Denmark,Hydrorun-of-the-river,2035-2040,0.005005714094735588,22.22683818267417,0.022521035396917334
Denmark,Hydrorun-of-the-river,2040-2045,0.004614039696511267,20.106021536022997,0.022948546475216457
Denmark,Hydrorun-of-the-river,2045-2050,0.007972096756781028,22.833507153870148,0.034914026579704834
