Node,RESGeneratorType,Period,ExpectedAnnualCurtailment_GWh,Expected total available power_GWh,Expected annual curtailment ratio of total capacity_%
Austria,Hydrorun-of-the-river,2020-2025,0.00026469349124926363,38164.82916337,6.935534549786803e-07
Austria,Hydrorun-of-the-river,2025-2030,2005.4722138062873,42868.8020309034,4.678162483664872
Austria,Hydrorun-of-the-river,2030-2035,6478.907503276767,47762.40404458719,13.564868923324239
Austria,Hydrorun-of-the-river,2035-2040,7457.259708036731,49184.22099039967,15.161894522010064
Austria,Hydrorun-of-the-river,2040-2045,15090.487295499152,55870.36180471418,27.009825617821328
Austria,Hydrorun-of-the-river,2045-2050,14847.841025694614,56279.04416436457,26.38253944457739
Austria,Hydrorun-of-the-river,2050-2055,7017.386068803653,48733.81920096489,14.399417455598707
Austria,Hydrorun-of-the-river,2055-2060,5553.91374482495,47042.627553810664,11.806129958348933
Belgium,Hydrorun-of-the-river,2020-2025,171.77300253105923,642.5730024634967,26.732060306380102
Belgium,Hydrorun-of-the-river,2025-2030,155.9075574995459,626.7075575308163,24.877242284074363
Belgium,Hydrorun-of-the-river,2030-2035,115.01738040799025,585.8173803491078,19.633657905377888
Belgium,Hydrorun-of-the-river,2035-2040,628.2556931474642,1099.0556931287674,57.16322631103068
Belgium,Hydrorun-of-the-river,2040-2045,430.653062363273,901.4530623164097,47.773209761654115
Belgium,Hydrorun-of-the-river,2045-2050,704.55288927927,1175.352889242817,59.943944982613296
Belgium,Hydrorun-of-the-river,2050-2055,562.4392605437095,1033.239259823685,54.43456152059938
Belgium,Hydrorun-of-the-river,2055-2060,725.1996178652498,1195.9996177834178,60.63543893176857
Bulgaria,Hydrorun-of-the-river,2020-2025,2750.497484355448,6722.323630541842,40.91587426494889
Bulgaria,Hydrorun-of-the-river,2025-2030,2495.2327873243808,5157.286094334934,48.38267146097035
Bulgaria,Hydrorun-of-the-river,2030-2035,3968.6332589537087,5913.666824387004,67.10951727256104
Bulgaria,Hydrorun-of-the-river,2035-2040,4194.605562720283,6098.203251466815,68.78428595687336
Bulgaria,Hydrorun-of-the-river,2040-2045,5559.11352970419,7784.604667995169,71.41163574509267
Bulgaria,Hydrorun-of-the-river,2045-2050,5031.842497314046,6942.305260808357,72.48085914228643
Bulgaria,Hydrorun-of-the-river,2050-2055,4336.26568736164,6344.565380987735,68.34614235918806
Bulgaria,Hydrorun-of-the-river,2055-2060,4383.897589522261,6064.173631091806,72.2917557479794
Switzerland,Hydrorun-of-the-river,2020-2025,0.0002497267216430367,1382.8723158243258,1.8058552390223778e-05
Switzerland,Hydrorun-of-the-river,2025-2030,27.962248687294803,13954.980131054965,0.2003746936555539
Switzerland,Hydrorun-of-the-river,2030-2035,12.00578871327502,16255.22996511424,0.07385800594049391
Switzerland,Hydrorun-of-the-river,2035-2040,0.0020281189094668133,13718.144567943455,1.4784207145666911e-05
Switzerland,Hydrorun-of-the-river,2040-2045,223.54642804065864,19665.533864232617,1.1367422292422051
Switzerland,Hydrorun-of-the-river,2045-2050,105.14323235487345,11990.87326696185,0.8768605089386771
Switzerland,Hydrorun-of-the-river,2050-2055,331.72146190769564,19341.087904278207,1.7151127358989955
Switzerland,Hydrorun-of-the-river,2055-2060,145.74202915940475,15586.482287605286,0.9350540196956565
CzechR,Hydrorun-of-the-river,2020-2025,0.00018575521797096358,1281.2785478992273,1.4497645205683508e-05
CzechR,Hydrorun-of-the-river,2025-2030,53.84042856843964,1426.7051387992558,3.773760050640376
CzechR,Hydrorun-of-the-river,2030-2035,274.1737258635631,1695.3471581127437,16.17212879094171
CzechR,Hydrorun-of-the-river,2035-2040,591.1659508873122,1730.571606535309,34.16015544545169
CzechR,Hydrorun-of-the-river,2040-2045,512.0619141858972,1809.3087066241244,28.301522692681967
CzechR,Hydrorun-of-the-river,2045-2050,282.06157723662534,1694.130528778197,16.649341502631884
CzechR,Hydrorun-of-the-river,2050-2055,289.2962145839624,1768.7534472986297,16.355937851360622
CzechR,Hydrorun-of-the-river,2055-2060,387.7583086119361,1575.4560256668237,24.61244885891464
Germany,Hydrorun-of-the-river,2020-2025,0.00027043945344245804,20920.285719789266,1.2927139574706643e-06
Germany,Hydrorun-of-the-river,2025-2030,11.002812500695152,22591.775986031254,0.04870273371822699
Germany,Hydrorun-of-the-river,2030-2035,2.5334835908753304,21045.485489051436,0.012038133271828455
Germany,Hydrorun-of-the-river,2035-2040,0.0017112515856383753,20649.011842144853,8.287329189020525e-06
Germany,Hydrorun-of-the-river,2040-2045,1069.884063397152,22644.898923546494,4.724613993682572
Germany,Hydrorun-of-the-river,2045-2050,738.6616960203336,23518.196389157914,3.1408092857021246
Germany,Hydrorun-of-the-river,2050-2055,1025.7600157633244,21019.94518724858,4.87993668216407
Germany,Hydrorun-of-the-river,2055-2060,711.6134048390851,20253.42678516409,3.5135456946986943
Denmark,Hydrorun-of-the-river,2020-2025,0.0002461768790147367,15.495592019370834,0.0015886897300018887
Denmark,Hydrorun-of-the-river,2025-2030,0.00022667501082932677,25.96263479931267,0.0008730816905968561
Denmark,Hydrorun-of-the-river,2030-2035,0.003421265907298138,21.4211069257574,0.01597147112497862
Denmark,Hydrorun-of-the-river,2035-2040,0.009581434733830224,30.541371425067027,0.03137198588916737
