Node,RESGeneratorType,Period,ExpectedAnnualCurtailment_GWh,Expected total available power_GWh,Expected annual curtailment ratio of total capacity_%
Austria,Hydrorun-of-the-river,2020-2025,0.0002836139559611449,40669.73513358472,6.973587485376537e-07
Austria,Hydrorun-of-the-river,2025-2030,7821.020646493293,48671.165702141465,16.069104846094078
Austria,Hydrorun-of-the-river,2030-2035,4742.90447477468,46009.73851045456,10.308479526996168
Austria,Hydrorun-of-the-river,2035-2040,7419.82954993578,49206.29747936244,15.079024291652349
Austria,Hydrorun-of-the-river,2040-2045,7421.1473203273645,49350.38764184672,15.037667736645282
Austria,Hydrorun-of-the-river,2045-2050,13151.038519707303,54357.214794631625,24.19373135543014
Austria,Hydrorun-of-the-river,2050-2055,6157.3525864041,47469.57591281587,12.971155667606743
Austria,Hydrorun-of-the-river,2055-2060,13262.325991188261,54658.923368475786,24.263789284289544
Belgium,Hydrorun-of-the-river,2020-2025,72.41861282792793,543.2186126584269,13.331393869868077
Belgium,Hydrorun-of-the-river,2025-2030,92.0931954063711,562.8931953092251,16.360687280253895
Belgium,Hydrorun-of-the-river,2030-2035,127.5441521480956,598.344151984627,21.31618596505854
Belgium,Hydrorun-of-the-river,2035-2040,1125.0822550799003,1595.882254990631,70.49907670578776
Belgium,Hydrorun-of-the-river,2040-2045,802.8817962019209,1273.6817960593542,63.03629357708951
Belgium,Hydrorun-of-the-river,2045-2050,740.2638595895008,1211.0638594699215,61.12508880526843
Belgium,Hydrorun-of-the-river,2050-2055,440.87038107526115,911.6703805825805,48.35852852798988
Belgium,Hydrorun-of-the-river,2055-2060,829.1566211579011,1299.956620961595,63.78340690665224
Bulgaria,Hydrorun-of-the-river,2020-2025,2263.382899766995,5906.778497719,38.318398102130246
Bulgaria,Hydrorun-of-the-river,2025-2030,3315.0144052936107,5961.37742470906,55.60819537366227
Bulgaria,Hydrorun-of-the-river,2030-2035,2517.879279877273,4945.2455084998965,50.915152251784825
Bulgaria,Hydrorun-of-the-river,2035-2040,5138.121313860846,7036.878989851975,73.01704805881462
Bulgaria,Hydrorun-of-the-river,2040-2045,4977.015243862718,6376.648285916998,78.05064699670817
Bulgaria,Hydrorun-of-the-river,2045-2050,5198.706534800809,7094.163056105881,73.2814638412678
Bulgaria,Hydrorun-of-the-river,2050-2055,4339.168803998621,5828.343690778188,74.44943253542526
Bulgaria,Hydrorun-of-the-river,2055-2060,4510.121192228437,6292.546478356245,71.67402271467343
Switzerland,Hydrorun-of-the-river,2020-2025,0.00027569994169393417,1581.3412468789174,1.743456336436435e-05
Switzerland,Hydrorun-of-the-river,2025-2030,14.141793267690785,18595.982343513093,0.07604757310723045
Switzerland,Hydrorun-of-the-river,2030-2035,0.0010629429315509424,21065.49785963153,5.045895134469587e-06
Switzerland,Hydrorun-of-the-river,2035-2040,0.0033160948691850155,17535.630109747224,1.8910611414766076e-05
Switzerland,Hydrorun-of-the-river,2040-2045,54.624699701740674,15434.067167810008,0.3539229103244311
Switzerland,Hydrorun-of-the-river,2045-2050,337.6433295945271,14126.720046675297,2.3901042030912967
Switzerland,Hydrorun-of-the-river,2050-2055,254.96252955826054,20147.98602868393,1.265449207654204
Switzerland,Hydrorun-of-the-river,2055-2060,69.26601013586586,14420.835978066136,0.4803189651502754
CzechR,Hydrorun-of-the-river,2020-2025,0.00030015850936490965,1215.9370808852736,2.4685365228468615e-05
CzechR,Hydrorun-of-the-river,2025-2030,185.24032762012348,1443.681374910809,12.831108777833174
CzechR,Hydrorun-of-the-river,2030-2035,0.002218409137151244,1533.0340252455865,0.00014470710373149501
CzechR,Hydrorun-of-the-river,2035-2040,499.6073809192139,1688.4885833163864,29.589029257036927
CzechR,Hydrorun-of-the-river,2040-2045,250.28596404029224,1730.219275071006,14.465563275499912
CzechR,Hydrorun-of-the-river,2045-2050,257.5617485503565,1751.0158867252367,14.709275369971115
CzechR,Hydrorun-of-the-river,2050-2055,357.7666593397584,1642.8344823920613,21.777401386098834
CzechR,Hydrorun-of-the-river,2055-2060,429.52542854215,1883.6101342745549,22.803308430254095
Germany,Hydrorun-of-the-river,2020-2025,0.0003070248455373144,20597.36434092281,1.4906025861149521e-06
Germany,Hydrorun-of-the-river,2025-2030,0.00020508749720533247,22627.054764869285,9.063817599617555e-07
Germany,Hydrorun-of-the-river,2030-2035,0.0008923882119022032,21839.28175267344,4.086160991961021e-06
Germany,Hydrorun-of-the-river,2035-2040,0.004571566808781443,20674.73514800895,2.2111851861965454e-05
Germany,Hydrorun-of-the-river,2040-2045,452.9963472423376,20365.15517923443,2.2243697298424747
Germany,Hydrorun-of-the-river,2045-2050,1152.7134845085943,23291.222998236946,4.9491324890747475
Germany,Hydrorun-of-the-river,2050-2055,978.1744891329698,21004.92251292891,4.65688215955515
Germany,Hydrorun-of-the-river,2055-2060,1031.9899541082068,21964.72914569284,4.698395993244352
Denmark,Hydrorun-of-the-river,2020-2025,0.00015153228006418396,17.473754333332792,0.0008671993274800838
Denmark,Hydrorun-of-the-river,2025-2030,0.0005006922042473639,24.461930998204057,0.0020468220774726396
Denmark,Hydrorun-of-the-river,2030-2035,0.0017999757517654252,25.02982843814141,0.0071913227700057
Denmark,Hydrorun-of-the-river,2035-2040,0.004086384830378292,25.195132997663638,0.01621894526517175
Denmark,Hydrorun-of-the-river,2040-2045,0.00495598354645778,29.899599083846045,0.016575418060155077
Denmark,Hydrorun-of-the-river,2045-2050,0.0069691482256163655,23.212883845208356,0.03002275922323606
Denmark,Hydrorun-of-the-river,2050-2055,0.010567400854463352,22.903039871630263,0.04613973041872521
Denmark,Hydrorun-of-the-river,2055-2060,0.0062285569822379235,25.125659496604957,0.02478962585272455
Estonia,Hydrorun-of-the-river,2020-2025,4.482733312106356,36.58273316940173,12.253686162125723
Estonia,Hydrorun-of-the-river,2025-2030,7.630573341164994,39.730573179780954,19.205797275152886
