Node,RESGeneratorType,Period,ExpectedAnnualCurtailment_GWh
Austria,Hydrorun-of-the-river,2020-2025,0.00040295671368902774
Austria,Hydrorun-of-the-river,2025-2030,1895.892215494804
Austria,Hydrorun-of-the-river,2030-2035,8268.534968435568
Austria,Hydrorun-of-the-river,2035-2040,10152.95907226475
Austria,Hydrorun-of-the-river,2040-2045,9345.761899199884
Austria,Hydrorun-of-the-river,2045-2050,12825.366598122908
Austria,Hydrorun-of-the-river,2050-2055,15494.769517243803
Austria,Hydrorun-of-the-river,2055-2060,1382.4358552175684
Belgium,Hydrorun-of-the-river,2020-2025,50.3926794918221
Belgium,Hydrorun-of-the-river,2025-2030,179.130527510245
Belgium,Hydrorun-of-the-river,2030-2035,232.56771497002518
Belgium,Hydrorun-of-the-river,2035-2040,258.4590075422015
Belgium,Hydrorun-of-the-river,2040-2045,524.2572725976823
Belgium,Hydrorun-of-the-river,2045-2050,869.2288072329709
Belgium,Hydrorun-of-the-river,2050-2055,929.3300546003463
Belgium,Hydrorun-of-the-river,2055-2060,157.50031419452054
Bulgaria,Hydrorun-of-the-river,2020-2025,1255.7947295412246
Bulgaria,Hydrorun-of-the-river,2025-2030,3097.161753896898
Bulgaria,Hydrorun-of-the-river,2030-2035,4748.9348667347385
Bulgaria,Hydrorun-of-the-river,2035-2040,3201.0418218551927
Bulgaria,Hydrorun-of-the-river,2040-2045,5707.046078263304
Bulgaria,Hydrorun-of-the-river,2045-2050,3002.418370808791
Bulgaria,Hydrorun-of-the-river,2050-2055,4161.91691425481
Bulgaria,Hydrorun-of-the-river,2055-2060,2127.4206119743358
Switzerland,Hydrorun-of-the-river,2020-2025,0.000224158110787218
Switzerland,Hydrorun-of-the-river,2025-2030,3.782221131881878
Switzerland,Hydrorun-of-the-river,2030-2035,0.0012911937769640594
Switzerland,Hydrorun-of-the-river,2035-2040,0.001717055991940332
Switzerland,Hydrorun-of-the-river,2040-2045,68.5912383409895
Switzerland,Hydrorun-of-the-river,2045-2050,424.2888818231047
Switzerland,Hydrorun-of-the-river,2050-2055,323.0365160522067
Switzerland,Hydrorun-of-the-river,2055-2060,356.2967137802696
CzechR,Hydrorun-of-the-river,2020-2025,0.00024376023213233932
CzechR,Hydrorun-of-the-river,2025-2030,107.59188363531916
CzechR,Hydrorun-of-the-river,2030-2035,283.11963463094304
CzechR,Hydrorun-of-the-river,2035-2040,356.9809034885641
CzechR,Hydrorun-of-the-river,2040-2045,47.45118138536189
CzechR,Hydrorun-of-the-river,2045-2050,741.6451954653897
CzechR,Hydrorun-of-the-river,2050-2055,548.0604074822137
CzechR,Hydrorun-of-the-river,2055-2060,0.024152566015651026
Germany,Hydrorun-of-the-river,2020-2025,0.0002475867915643774
Germany,Hydrorun-of-the-river,2025-2030,0.0001573406670018225
Germany,Hydrorun-of-the-river,2030-2035,0.0012308817184511227
Germany,Hydrorun-of-the-river,2035-2040,0.0020130922142475543
Germany,Hydrorun-of-the-river,2040-2045,745.2391674218595
Germany,Hydrorun-of-the-river,2045-2050,368.77892859462906
Germany,Hydrorun-of-the-river,2050-2055,1455.690423508588
Germany,Hydrorun-of-the-river,2055-2060,1117.5901408745453
Denmark,Hydrorun-of-the-river,2020-2025,0.00015793422034574296
Denmark,Hydrorun-of-the-river,2025-2030,0.00010874933105934598
Denmark,Hydrorun-of-the-river,2030-2035,0.002265571938834514
Denmark,Hydrorun-of-the-river,2035-2040,0.0017948673375543583
Denmark,Hydrorun-of-the-river,2040-2045,0.00784867794183821
Denmark,Hydrorun-of-the-river,2045-2050,0.016420296479803406
Denmark,Hydrorun-of-the-river,2050-2055,0.01633432434154457
Denmark,Hydrorun-of-the-river,2055-2060,0.01680717161972149
Estonia,Hydrorun-of-the-river,2020-2025,0.7921596783214927
Estonia,Hydrorun-of-the-river,2025-2030,0.19610832236877498
Estonia,Hydrorun-of-the-river,2030-2035,6.143817354680249
Estonia,Hydrorun-of-the-river,2035-2040,17.54920790999751
Estonia,Hydrorun-of-the-river,2040-2045,36.093300077375794
Estonia,Hydrorun-of-the-river,2045-2050,27.546725414408716
Estonia,Hydrorun-of-the-river,2050-2055,31.576655204217165
Estonia,Hydrorun-of-the-river,2055-2060,37.90050142677806
Spain,Hydrorun-of-the-river,2020-2025,137.5359471997919
Spain,Hydrorun-of-the-river,2025-2030,3844.1088071926706
Spain,Hydrorun-of-the-river,2030-2035,10397.741360116052
Spain,Hydrorun-of-the-river,2035-2040,10141.567277024791
Spain,Hydrorun-of-the-river,2040-2045,28429.385110193438
Spain,Hydrorun-of-the-river,2045-2050,6499.322649862266
Spain,Hydrorun-of-the-river,2050-2055,12077.785160565905
Spain,Hydrorun-of-the-river,2055-2060,77.22449355439771
Finland,Hydrorun-of-the-river,2020-2025,0.00021674826256195604
Finland,Hydrorun-of-the-river,2025-2030,0.0031904870664940617
