Node,RESGeneratorType,Period,ExpectedAnnualCurtailment_GWh
Austria,Hydrorun-of-the-river,2020-2025,0.0014578161513711958
Austria,Hydrorun-of-the-river,2025-2030,1986.4636749664148
Austria,Hydrorun-of-the-river,2030-2035,5395.661297424979
Austria,Hydrorun-of-the-river,2035-2040,6784.231376949649
Austria,Hydrorun-of-the-river,2040-2045,3991.691811183101
Austria,Hydrorun-of-the-river,2045-2050,12551.49245143255
Austria,Hydrorun-of-the-river,2050-2055,12365.152259277438
Austria,Hydrorun-of-the-river,2055-2060,7304.322478246287
Belgium,Hydrorun-of-the-river,2020-2025,154.7558013325047
Belgium,Hydrorun-of-the-river,2025-2030,142.34006313722944
Belgium,Hydrorun-of-the-river,2030-2035,292.7754743605532
Belgium,Hydrorun-of-the-river,2035-2040,840.3128999653392
Belgium,Hydrorun-of-the-river,2040-2045,655.0482895353595
Belgium,Hydrorun-of-the-river,2045-2050,392.0287068149289
Belgium,Hydrorun-of-the-river,2050-2055,741.4874190164543
Belgium,Hydrorun-of-the-river,2055-2060,780.0723515969245
Bulgaria,Hydrorun-of-the-river,2020-2025,1770.643348494001
Bulgaria,Hydrorun-of-the-river,2025-2030,4129.736641269677
Bulgaria,Hydrorun-of-the-river,2030-2035,3710.566332170066
Bulgaria,Hydrorun-of-the-river,2035-2040,3685.4620195823527
Bulgaria,Hydrorun-of-the-river,2040-2045,4414.905690462716
Bulgaria,Hydrorun-of-the-river,2045-2050,3521.6436275905007
Bulgaria,Hydrorun-of-the-river,2050-2055,4461.15247355694
Bulgaria,Hydrorun-of-the-river,2055-2060,3385.8759463855977
Switzerland,Hydrorun-of-the-river,2020-2025,0.0009756933090985506
Switzerland,Hydrorun-of-the-river,2025-2030,105.08983452604477
Switzerland,Hydrorun-of-the-river,2030-2035,0.003982761262046456
Switzerland,Hydrorun-of-the-river,2035-2040,0.0050315345410964305
Switzerland,Hydrorun-of-the-river,2040-2045,276.22349770385244
Switzerland,Hydrorun-of-the-river,2045-2050,77.58623292871474
Switzerland,Hydrorun-of-the-river,2050-2055,404.0328877694741
Switzerland,Hydrorun-of-the-river,2055-2060,625.772757796683
CzechR,Hydrorun-of-the-river,2020-2025,0.0011096903310511212
CzechR,Hydrorun-of-the-river,2025-2030,15.432882544400906
CzechR,Hydrorun-of-the-river,2030-2035,323.49903902957635
CzechR,Hydrorun-of-the-river,2035-2040,180.26820273614825
CzechR,Hydrorun-of-the-river,2040-2045,306.5216052562394
CzechR,Hydrorun-of-the-river,2045-2050,412.88581659383584
CzechR,Hydrorun-of-the-river,2050-2055,340.27517349631734
CzechR,Hydrorun-of-the-river,2055-2060,300.64333695826696
Germany,Hydrorun-of-the-river,2020-2025,0.001114987323797194
Germany,Hydrorun-of-the-river,2025-2030,0.0007204295650883504
Germany,Hydrorun-of-the-river,2030-2035,0.003030526128296818
Germany,Hydrorun-of-the-river,2035-2040,0.005428579718217427
Germany,Hydrorun-of-the-river,2040-2045,693.4141932402443
Germany,Hydrorun-of-the-river,2045-2050,642.4823126446059
Germany,Hydrorun-of-the-river,2050-2055,765.1872696373786
Germany,Hydrorun-of-the-river,2055-2060,679.9676360502481
Denmark,Hydrorun-of-the-river,2020-2025,0.001118773621893352
Denmark,Hydrorun-of-the-river,2025-2030,0.003318916113650076
Denmark,Hydrorun-of-the-river,2030-2035,0.020472182796797658
Denmark,Hydrorun-of-the-river,2035-2040,0.036921603997114916
Denmark,Hydrorun-of-the-river,2040-2045,0.07903940435256626
Denmark,Hydrorun-of-the-river,2045-2050,0.10921892353879185
Denmark,Hydrorun-of-the-river,2050-2055,0.17983364109039596
Denmark,Hydrorun-of-the-river,2055-2060,0.2639901213238601
Estonia,Hydrorun-of-the-river,2020-2025,0.33964767998171996
Estonia,Hydrorun-of-the-river,2025-2030,2.5206869598329504
Estonia,Hydrorun-of-the-river,2030-2035,8.560259856162453
Estonia,Hydrorun-of-the-river,2035-2040,17.321714349123468
Estonia,Hydrorun-of-the-river,2040-2045,37.34714070847415
Estonia,Hydrorun-of-the-river,2045-2050,31.429700669433764
Estonia,Hydrorun-of-the-river,2050-2055,33.57756095090046
Estonia,Hydrorun-of-the-river,2055-2060,33.493654609105036
Spain,Hydrorun-of-the-river,2020-2025,263.2507427924186
Spain,Hydrorun-of-the-river,2025-2030,3981.602146141496
Spain,Hydrorun-of-the-river,2030-2035,10844.13505560558
Spain,Hydrorun-of-the-river,2035-2040,18235.312501528842
Spain,Hydrorun-of-the-river,2040-2045,16724.631270129845
Spain,Hydrorun-of-the-river,2045-2050,674.0397350799215
Spain,Hydrorun-of-the-river,2050-2055,17031.38363618148
Spain,Hydrorun-of-the-river,2055-2060,11367.414509087403
Finland,Hydrorun-of-the-river,2020-2025,0.0009367398813066863
Finland,Hydrorun-of-the-river,2025-2030,0.014751245280808336
Finland,Hydrorun-of-the-river,2030-2035,1226.5177135353595
Finland,Hydrorun-of-the-river,2035-2040,1000.125101954564
Finland,Hydrorun-of-the-river,2040-2045,0.050767473116037506
Finland,Hydrorun-of-the-river,2045-2050,222.67906382721011
Finland,Hydrorun-of-the-river,2050-2055,25.349921789710272
Finland,Hydrorun-of-the-river,2055-2060,0.08661459528242249
France,Hydrorun-of-the-river,2020-2025,0.0015094297067127136
France,Hydrorun-of-the-river,2025-2030,6854.571708906718
France,Hydrorun-of-the-river,2030-2035,14452.52140867899
France,Hydrorun-of-the-river,2035-2040,19266.046479587476
France,Hydrorun-of-the-river,2040-2045,13996.665560442805
France,Hydrorun-of-the-river,2045-2050,6424.04286398035
France,Hydrorun-of-the-river,2050-2055,15751.618258138451
France,Hydrorun-of-the-river,2055-2060,13892.767895364022
Greece,Hydrorun-of-the-river,2020-2025,0.0007273931970017708
Greece,Hydrorun-of-the-river,2025-2030,0.006822191028569483
Greece,Hydrorun-of-the-river,2030-2035,0.02203254793434458
Greece,Hydrorun-of-the-river,2035-2040,230.11822828223958
Greece,Hydrorun-of-the-river,2040-2045,57.46941876314208
Greece,Hydrorun-of-the-river,2045-2050,0.1678504550092956
Greece,Hydrorun-of-the-river,2050-2055,0.2793556619215403
Greece,Hydrorun-of-the-river,2055-2060,1.301478077278968
Hungary,Hydrorun-of-the-river,2020-2025,0.0010708898301823096
Hungary,Hydrorun-of-the-river,2025-2030,16.80413605847197
Hungary,Hydrorun-of-the-river,2030-2035,66.31592677202427
Hungary,Hydrorun-of-the-river,2035-2040,117.93230944312609
Hungary,Hydrorun-of-the-river,2040-2045,344.855661406109
Hungary,Hydrorun-of-the-river,2045-2050,331.9800696781697
Hungary,Hydrorun-of-the-river,2050-2055,487.6758933860999
Hungary,Hydrorun-of-the-river,2055-2060,553.4584744320442
Ireland,Hydrorun-of-the-river,2020-2025,0.0010664674626245177
Ireland,Hydrorun-of-the-river,2025-2030,0.007674526509445089
Ireland,Hydrorun-of-the-river,2030-2035,0.013511207310658874
Ireland,Hydrorun-of-the-river,2035-2040,31.667109575293285
Ireland,Hydrorun-of-the-river,2040-2045,0.09680077791956028
Ireland,Hydrorun-of-the-river,2045-2050,0.12709895198280738
Ireland,Hydrorun-of-the-river,2050-2055,0.09678139506917494
Ireland,Hydrorun-of-the-river,2055-2060,0.21682162380106687
Italy,Hydrorun-of-the-river,2020-2025,4845.550269421559
Italy,Hydrorun-of-the-river,2025-2030,6644.81771903611
Italy,Hydrorun-of-the-river,2030-2035,2278.725727239813
Italy,Hydrorun-of-the-river,2035-2040,5358.373119561026
Italy,Hydrorun-of-the-river,2040-2045,3936.767241712087
Italy,Hydrorun-of-the-river,2045-2050,4386.864421161095
Italy,Hydrorun-of-the-river,2050-2055,3220.7888507495136
Italy,Hydrorun-of-the-river,2055-2060,269.3762084623755
Luxemb.,Hydrorun-of-the-river,2020-2025,0.0010850150962273936
Luxemb.,Hydrorun-of-the-river,2025-2030,2.6217945437094783
Luxemb.,Hydrorun-of-the-river,2030-2035,24.711651321678378
Luxemb.,Hydrorun-of-the-river,2035-2040,64.5098054620441
Luxemb.,Hydrorun-of-the-river,2040-2045,13.74801572733929
Luxemb.,Hydrorun-of-the-river,2045-2050,0.03264629442395644
Luxemb.,Hydrorun-of-the-river,2050-2055,19.53563247830703
Luxemb.,Hydrorun-of-the-river,2055-2060,27.741397244053903
Latvia,Hydrorun-of-the-river,2020-2025,0.0005736296627335852
Latvia,Hydrorun-of-the-river,2025-2030,634.1432616262236
Latvia,Hydrorun-of-the-river,2030-2035,0.012896291577872976
Latvia,Hydrorun-of-the-river,2035-2040,0.007037339302030552
Latvia,Hydrorun-of-the-river,2040-2045,0.07838942501926909
Latvia,Hydrorun-of-the-river,2045-2050,0.06472901244704968
Latvia,Hydrorun-of-the-river,2050-2055,0.07459764549860147
Latvia,Hydrorun-of-the-river,2055-2060,109.85839892242001
Netherlands,Hydrorun-of-the-river,2020-2025,0.0009744474378945829
Netherlands,Hydrorun-of-the-river,2025-2030,0.0005780073860067065
Netherlands,Hydrorun-of-the-river,2030-2035,50.719915319108004
Netherlands,Hydrorun-of-the-river,2035-2040,58.84220888610427
