Period,Scenario,AnnualCO2emission_Ton,CO2Price_EuroPerTon,CO2Cap_Ton,AnnualGeneration_GWh,AvgCO2factor_TonPerMWh,AvgPowerPrice_Euro,TotAnnualCurtailedRES_GWh,TotAnnualLossesChargeDischarge_GWh,AnnualLossesTransmission_GWh,AvgH2MarginalCost_EuroPerKg
2020-2025,scenario1,1099999999.9923868,2.6504232871553963,3504634.232428004,0.3138701293887801,44.863950762049605,3154.7548849667187,10929.028825723382,15565.308674385946,0.0
2020-2025,scenario2,1032235136.3733711,2.9040226344081515e-08,3377259.4716430223,0.3056428281689973,36.90056243470978,13135.83523819189,16242.39092220003,19190.538177172595,0.0
2020-2025,scenario3,1057120240.6154263,3.270732193149616e-08,3339907.838903241,0.31651179960782283,35.126819113154454,14579.346156912023,18287.058595863866,18683.514222341943,0.0
2025-2030,scenario1,989999999.9943442,3.5882627016164585,4486983.191810497,0.22063822342844377,53.56677020978607,66217.29397044021,14660.656271181839,22404.327720618792,0.8917562363634879
2025-2030,scenario2,989999999.9999946,48.33217654802223,4510285.395698672,0.21949830512813065,78.11918168976436,27239.52640707872,11187.574022050083,20364.49449497146,1.3452267031404128
2025-2030,scenario3,987507380.7489332,3.923316487510291e-09,4579853.794573706,0.21561984837137085,54.42966617753831,62420.721859423844,19045.30115631457,21368.703610532884,1.2517331643079885
2030-2035,scenario1,724895059.7568476,3.1651176306649544e-08,6005349.221220775,0.12070822745751354,39.85748886309114,146077.86990264137,26645.524898754327,52736.39561499196,5.758008810622553
2030-2035,scenario2,770000000.0021994,43.110982409978,6122091.807039062,0.12577400409397513,180.56878837636498,97442.76552264947,25856.427977935495,57001.233628051064,6.678631977552565
2030-2035,scenario3,769999999.9999313,59.966993828470706,5989599.836887868,0.12855616751853824,67.10452299937609,56075.725076961004,14406.939422779024,53366.456394632216,7.562435466850862
2035-2040,scenario1,329999999.9995505,150.8263715396034,7187950.557693519,0.04591016554034801,88.13922178320412,192013.2749743126,48378.975894869385,66631.33604339199,8.973099318676525
2035-2040,scenario2,330000000.00006306,123.4438001535453,7161208.398497426,0.046081608247748075,82.20521696223129,268869.9853092828,38683.33830758825,67742.53793094947,7.985142185204832
2035-2040,scenario3,329999999.99997944,83.40243619499464,7154607.8837526,0.046124121036650374,199.637638168495,358334.8281227379,41253.54181868299,73892.78997075105,2.0222185577671405
2040-2045,scenario1,66000000.00006654,134.09427095305693,8810494.368668294,0.007491066589268356,39.71097430675973,397970.5656367729,78987.88448066957,93839.03818719999,3.2874746384277835
2040-2045,scenario2,66000000.000063345,134.09427172377332,8791776.801415771,0.007507014963054149,134.10414999090273,224647.7873570203,82615.93532853678,86572.98633790022,4.374017961085208
2040-2045,scenario3,66000000.00015929,553.8067594900035,8800033.568527153,0.007499971390587534,84.152407951619,321171.8384734485,79122.70507395061,89890.05238165495,5.243184125841372
2045-2050,scenario1,55000000.00019949,436.8526111603168,9542315.054998938,0.0057638004701369506,67.6034881058457,473519.14358646097,97292.30998012079,86526.38569356945,3.1320065886811554
2045-2050,scenario2,55000000.00002633,161.94890047707943,9617668.002685271,0.005718641981056941,43.38299995599437,355513.23145183414,117777.077596225,87798.88414465275,3.149557641681842
2045-2050,scenario3,54999999.99977428,289.3213782588855,9659124.631798962,0.005694097767276049,277.3029981167535,297975.3296885006,108635.23592812991,83739.49480272857,10.363438740923323
2050-2055,scenario1,32999999.999987677,237.5966524387306,10263460.872110594,0.003215289697226694,44.71646815593604,608569.7159096885,113853.22984134943,82359.03257425092,2.732934203577233
2050-2055,scenario2,32999999.99948127,359.1497940280885,10230430.679688187,0.0032256706518721564,105.96556253207224,625892.7052410175,84872.44514542926,85452.5323257841,10.599607595505283
2050-2055,scenario3,33000000.000167347,527.3369331023337,10041082.652317354,0.00328649819375322,54.35444933312818,497680.31657728023,92624.258501966,88572.2409361534,2.4542057577978675
2055-2060,scenario1,22000000.00000887,780.4224647010517,10241558.44953362,0.002148110574031612,403.48111242210535,288392.31029235804,87743.44978070552,81714.96462076216,14.09972713767387
2055-2060,scenario2,22000000.000007585,352.4950176775446,10150608.290365899,0.00216735779479219,119.49113058185786,388515.340790008,89953.58102454155,77477.74548551589,10.853388942876528
2055-2060,scenario3,21999999.99989454,193.85801499516302,10249463.424912492,0.002146453827662918,28.41636350845757,672798.6356372609,80938.31873257359,92275.806832328,1.6740069183990907
""
GeneratorType,Period,genInvCap_MW,genInstalledCap_MW,TotDiscountedInvestmentCost_Euro,genExpectedAnnualProduction_GWh
Liginiteexisting,2020-2025,0.0,61315.0,0.0,118914.93901315598
Liginiteexisting,2025-2030,0.0,37732.307692307695,0.0,81048.88058823871
Liginiteexisting,2030-2035,0.0,25351.39423076923,0.0,42396.9298167135
Liginiteexisting,2035-2040,0.0,17687.01923076923,0.0,4332.252073507338
Liginiteexisting,2040-2045,0.0,12263.0,0.0,9.166204508663238
Liginiteexisting,2045-2050,0.0,3065.7500000000023,0.0,10.255841562395746
Liginiteexisting,2050-2055,0.0,0.0,0.0,0.0
Liginiteexisting,2055-2060,0.0,0.0,0.0,0.0
Lignite,2020-2025,27096.93120659974,27096.93120659974,64641187799.77017,62948.91546889927
Lignite,2025-2030,3.676925279578596e-05,27096.931243293693,68.72702239857257,62705.959573954126
Lignite,2030-2035,0.00021141301390495055,27096.931454631405,295.4566203347799,56198.12294710296
Lignite,2035-2040,8.466173167220357e-06,27096.93146302227,8.703337778496216,18254.717868574193
Lignite,2040-2045,6.261352709142932e-06,27096.931469208306,4.62391461583475,9.897181167948597
Lignite,2045-2050,0.0002722015167870312,27096.931741334512,139.26699372893808,135.41392257859837
Lignite,2050-2055,6.077404690660752e-06,27096.931747336603,2.0291646593307844,0.00025502557531311174
Lignite,2055-2060,2.4309296706721674e-06,27096.931749692223,0.47310427854651504,6.239792571652204
LigniteCCSadv,2020-2025,0.0,0.0,0.0,0.0
LigniteCCSadv,2025-2030,0.0,0.0,0.0,0.0
LigniteCCSadv,2030-2035,0.0,0.0,0.0,0.0
LigniteCCSadv,2035-2040,0.0,0.0,0.0,0.0
LigniteCCSadv,2040-2045,0.0,0.0,0.0,0.0
LigniteCCSadv,2045-2050,0.0,0.0,0.0,0.0
LigniteCCSadv,2050-2055,0.0,0.0,0.0,0.0
LigniteCCSadv,2055-2060,0.0,0.0,0.0,0.0
Coalexisting,2020-2025,0.0,71229.0,0.0,115894.35362390187
Coalexisting,2025-2030,0.0,43833.23076923077,0.0,83879.82176915917
Coalexisting,2030-2035,0.0,29450.451923076922,0.0,26548.886224904687
Coalexisting,2035-2040,0.0,20546.826923076926,0.0,3216.978659508696
Coalexisting,2040-2045,0.0,14245.799999999997,0.0,8.824700601485484
Coalexisting,2045-2050,0.0,3561.4500000000035,0.0,22.508637112522315
Coalexisting,2050-2055,0.0,0.0,0.0,0.0
Coalexisting,2055-2060,0.0,0.0,0.0,0.0
Coal,2020-2025,0.03803906220225455,0.03803906220225455,78407.49359237202,0.06222513311147804
Coal,2025-2030,3.281475995211758e-05,0.03807169622543561,52.996904795003765,0.07036331851777566
Coal,2030-2035,0.0002122375316981144,0.03828375301221975,256.2847382448046,0.039806250987307654
Coal,2035-2040,1.92360515362114e-05,0.038302808315577634,17.086502479215454,0.008186994944175479
Coal,2040-2045,1.7832414881013094e-05,0.038320459974264504,11.378639734071848,0.0004982829472083411
Coal,2045-2050,0.0005544742943340034,0.03887475353821399,245.11936743497375,0.0014165613940988005
Coal,2050-2055,8.293178131181069e-06,0.03888286597305507,2.3925370802826325,0.0006569659226952829
Coal,2055-2060,9.534982282834825e-06,0.038892220212049675,1.6034038496765675,0.002030075022054556
CoalCCSadv,2020-2025,0.0,0.0,0.0,0.0
CoalCCSadv,2025-2030,0.0,0.0,0.0,0.0
CoalCCSadv,2030-2035,0.0,0.0,0.0,0.0
CoalCCSadv,2035-2040,0.0,0.0,0.0,0.0
CoalCCSadv,2040-2045,0.0,0.0,0.0,0.0
CoalCCSadv,2045-2050,0.0,0.0,0.0,0.0
CoalCCSadv,2050-2055,0.0,0.0,0.0,0.0
CoalCCSadv,2055-2060,0.0,0.0,0.0,0.0
Gasexisting,2020-2025,0.0,222718.99999999997,0.0,51067.641236690106
Gasexisting,2025-2030,0.0,152048.5480769231,0.0,67315.79669446038
Gasexisting,2030-2035,0.0,94227.26923076923,0.0,37050.84964717066
Gasexisting,2035-2040,0.0,21415.288461538465,0.0,1793.714514148384
Gasexisting,2040-2045,0.0,17817.519999999993,0.0,476.5314741980578
Gasexisting,2045-2050,0.0,0.0,0.0,0.0
Gasexisting,2050-2055,0.0,0.0,0.0,0.0
Gasexisting,2055-2060,0.0,0.0,0.0,0.0
GasOCGT,2020-2025,0.01829156201615033,0.01829156201615033,13073.911049546115,0.0035559859647917086
GasOCGT,2025-2030,0.014994859367339783,0.033286142737589536,8397.512010310935,0.005669442099891084
GasOCGT,2030-2035,23791.9538940992,23791.98718073617,10439792118.158102,0.0050557577286655005
GasOCGT,2035-2040,479.401594469962,24271.38877497631,164821825.57997462,299.87444162315444
GasOCGT,2040-2045,0.012737124282504337,24271.401512467834,3145.7889162853435,205.14997387436566
GasOCGT,2045-2050,50206.105040425005,74477.50655115025,8590743351.425388,773.1878048175445
GasOCGT,2050-2055,0.00015993657732533997,74477.4884197947,17.859261044826827,0.0014118658498524178
GasOCGT,2055-2060,26198.027450853224,100675.50087535547,1705177637.2709575,175.9036874748783
GasCCGT,2020-2025,928.1200018765417,928.1200018765417,892959199.9468107,1095.422341279208
GasCCGT,2025-2030,80273.41541962959,81201.53542272128,60513563731.81999,118927.28915980234
