Period,Scenario,AnnualCO2emission_Ton,CO2Price_EuroPerTon,CO2Cap_Ton,AnnualGeneration_GWh,AvgCO2factor_TonPerMWh,AvgPowerPrice_Euro,TotAnnualCurtailedRES_GWh,TotAnnualLossesChargeDischarge_GWh,AnnualLossesTransmission_GWh
2020-2025,scenario1,1042980202.4604826,6.424908980134332e-09,3523734.0507017337,0.2959872077328511,38.950304644189615,10676.848104859046,7519.445455052887,22226.44966952622
2020-2025,scenario2,1011072216.9477242,1.1076103065549928e-08,3386320.551320784,0.2985754601859296,37.308307896804536,8438.7410652148,7370.900500726053,21008.133144779567
2020-2025,scenario3,903556267.7618676,1.3656166181616622e-08,3307726.4429361294,0.27316535491970373,29.751125407799325,18221.559093812495,12792.024096024003,25512.755714953408
2025-2030,scenario1,990000000.0279949,24.262035920254895,4545431.776329239,0.21780109101702738,57.806045565132465,18305.116600042646,13401.800573496746,26331.220209350053
2025-2030,scenario2,913780772.8497751,9.961658645861383e-08,4506040.726126781,0.20279017176911537,45.756176381734434,64770.92589985515,16721.967132502923,27970.345592160807
2025-2030,scenario3,990000000.027497,24.57318926919423,4537002.012212023,0.21820576613429477,72.64058481150862,12579.644226381508,12637.082600433652,26085.891102885726
2030-2035,scenario1,769999999.9562845,24.729019049162932,5507052.044037717,0.1398207232833257,93.34573522901304,71534.50214148198,23578.667331675442,55809.801822805995
2030-2035,scenario2,770000000.0077884,59.36345696591477,5592988.472978921,0.13767237385306572,58.55274131065096,56870.720464170496,16674.299574106408,58518.090508188085
2030-2035,scenario3,769999999.9867386,0.5686314157056793,5523473.62345742,0.13940502887833053,165.86895856999269,104003.57545231978,22221.889792152306,58442.851228887565
2035-2040,scenario1,330000000.0083385,91.60480450748696,6666796.778086082,0.0494990339428192,535.255869735001,322939.8764323327,31305.057155090548,71538.04419253812
2035-2040,scenario2,330000000.00807244,152.6550761654859,6739281.873159154,0.04896664158274472,75.18588251689864,221205.87027489688,35374.170520716645,71929.84541245291
2035-2040,scenario3,330000000.0172196,75.66386301603237,6543521.395626107,0.0504315612443457,41.40821224330833,192507.97566467852,43277.84449386055,73083.73209565201
2040-2045,scenario1,66000000.00766176,697.5323925460316,7359322.498277328,0.008968216846470568,117.29469888992108,363872.414169032,64357.14283215271,84301.54370989116
2040-2045,scenario2,66000000.008111924,144.21185594480795,7395795.6958410265,0.00892398907736495,54.5540580645924,404350.09834756685,62831.24420901582,87876.06878646053
2040-2045,scenario3,66000000.00803918,134.09427085346633,7311468.1354179755,0.009026914811859034,40.348972086320714,279688.43806709745,64813.38010655876,86756.82108026573
2045-2050,scenario1,55000000.006679624,161.948904816633,8003078.497471703,0.006872355434731078,50.16679796929384,448987.29350927286,100117.86189621438,90035.44222217899
2045-2050,scenario2,55000000.006692134,173.04602619993688,8073840.96004285,0.006812123285420515,48.575018395856866,428408.33057524066,95229.80577998392,89872.28766897938
2045-2050,scenario3,55000000.00740651,966.6831668934537,8106466.550749469,0.006784706957474793,163.46833090704243,350933.17947476404,110463.14270783793,88828.97807890103
2050-2055,scenario1,33000000.00493498,193.85801064084507,7969052.028433188,0.004141019519911776,196.61026538817683,580237.2717914643,112466.23237047794,87304.34267151667
2050-2055,scenario2,33000000.005032152,380.0740395593344,8109708.404010001,0.004069196863935925,66.3306172332881,531301.9825967329,84635.24562390007,94890.5426772182
2050-2055,scenario3,33000000.005001172,341.8572294668398,8106733.512846118,0.004070690118616426,65.10589158192262,305253.0630376725,107397.47507159165,91371.65250040806
2055-2060,scenario1,22000000.00542073,1505.4590373100027,8101036.858781399,0.0027157017538531657,156.29602751541256,303112.53395317064,83208.15772218304,90955.4212805244
2055-2060,scenario2,22000000.002419982,306.7117748538631,8026917.058494859,0.0027407782891114237,62.332106699068355,295275.1899892688,79678.99420844771,91452.00403631237
2055-2060,scenario3,22000000.004882798,206.03270216066096,7998901.433578207,0.002750377684681854,262.1704740392228,345135.53586675844,81213.21882297721,91064.58783089864
""
GeneratorType,Period,genInvCap_MW,genInstalledCap_MW,TotDiscountedInvestmentCost_Euro,genExpectedAnnualProduction_GWh
Liginiteexisting,2020-2025,0.0,61315.0,0.0,116487.06673558928
Liginiteexisting,2025-2030,0.0,37732.307692307695,0.0,74896.20168118995
Liginiteexisting,2030-2035,0.0,25351.39423076923,0.0,47201.229819925895
Liginiteexisting,2035-2040,0.0,17687.01923076923,0.0,3068.7237342521203
Liginiteexisting,2040-2045,0.0,12263.0,0.0,19.295305107145403
Liginiteexisting,2045-2050,0.0,3065.7500000000023,0.0,4.751395394659177
Liginiteexisting,2050-2055,0.0,0.0,0.0,0.0
Liginiteexisting,2055-2060,0.0,0.0,0.0,0.0
Lignite,2020-2025,23930.49027488416,23930.49027488416,57087472533.516945,55853.60001553259
Lignite,2025-2030,3.543145141067956e-05,23930.490309833956,66.22647917922315,54629.71281048056
Lignite,2030-2035,0.0005075230737669029,23930.490816875543,709.2801400792906,50935.39241856686
Lignite,2035-2040,8.948182252412113e-06,23930.49082534188,9.198849481111811,33937.37718239163
Lignite,2040-2045,1.2172637472765353e-05,23930.490837032783,8.989309329498216,25.588337021373114
Lignite,2045-2050,1.465627633388537e-05,23930.490851207454,7.49861928902391,1.193626216499835
Lignite,2050-2055,7.78316772567861e-06,23930.49085850893,2.598696267645441,0.0003350163565763959
Lignite,2055-2060,1.4633705319106324e-06,23930.4908594907,0.28479921410247006,107.68954037695245
LigniteCCSadv,2020-2025,0.0,0.0,0.0,0.0
LigniteCCSadv,2025-2030,0.0,0.0,0.0,0.0
LigniteCCSadv,2030-2035,0.0,0.0,0.0,0.0
LigniteCCSadv,2035-2040,0.0,0.0,0.0,0.0
LigniteCCSadv,2040-2045,0.0,0.0,0.0,0.0
LigniteCCSadv,2045-2050,0.0,0.0,0.0,0.0
LigniteCCSadv,2050-2055,0.0,0.0,0.0,0.0
LigniteCCSadv,2055-2060,0.0,0.0,0.0,0.0
Coalexisting,2020-2025,0.0,71229.0,0.0,88276.38404579426
Coalexisting,2025-2030,0.0,43833.23076923077,0.0,87034.8889967889
Coalexisting,2030-2035,0.0,29450.451923076922,0.0,49301.3669623013
Coalexisting,2035-2040,0.0,20546.826923076926,0.0,2888.2716017699067
Coalexisting,2040-2045,0.0,14245.799999999997,0.0,64.64369404768074
Coalexisting,2045-2050,0.0,3561.4500000000035,0.0,0.23453167518148582
Coalexisting,2050-2055,0.0,0.0,0.0,0.0
Coalexisting,2055-2060,0.0,0.0,0.0,0.0
Coal,2020-2025,0.029367912042716608,0.029367912042716608,60534.20463068539,0.03752922885675865
Coal,2025-2030,0.0034630161493403085,0.03282982056626313,5592.883733964524,0.059186709471376095
Coal,2030-2035,0.0005031130600421587,0.0333318258235296,607.5277914739946,0.05262899156010635
Coal,2035-2040,3.0362622896739666e-05,0.03336108042284524,26.969725591762653,0.007837537991177139
Coal,2040-2045,3.845192687276873e-05,0.03339842442590589,24.535691093188305,0.0020630390406776804
Coal,2045-2050,7.202164227417706e-05,0.033469338354659726,31.838986182540527,0.0003371757504940312
Coal,2050-2055,0.0002008024096334669,0.03366903251983819,57.93041018277901,0.0010159276255558847
Coal,2055-2060,6.298087426481793e-06,0.033674223220886056,1.0590871934182735,0.0023772141836246744
CoalCCSadv,2020-2025,0.0,0.0,0.0,0.0
CoalCCSadv,2025-2030,0.0,0.0,0.0,0.0
CoalCCSadv,2030-2035,0.0,0.0,0.0,0.0
CoalCCSadv,2035-2040,0.0,0.0,0.0,0.0
CoalCCSadv,2040-2045,0.0,0.0,0.0,0.0
CoalCCSadv,2045-2050,0.0,0.0,0.0,0.0
CoalCCSadv,2050-2055,0.0,0.0,0.0,0.0
CoalCCSadv,2055-2060,0.0,0.0,0.0,0.0
Gasexisting,2020-2025,0.0,222718.99999999997,0.0,17540.76773068914
Gasexisting,2025-2030,0.0,152048.5480769231,0.0,50061.74966849126
Gasexisting,2030-2035,0.0,94227.26923076923,0.0,26956.460232912334
Gasexisting,2035-2040,0.0,21415.288461538465,0.0,1949.7882320207666
Gasexisting,2040-2045,0.0,17817.519999999993,0.0,283.7154978904266
Gasexisting,2045-2050,0.0,0.0,0.0,0.0
