Period,Scenario,AnnualCO2emission_Ton,CO2Price_EuroPerTon,CO2Cap_Ton,AnnualGeneration_GWh,AvgCO2factor_TonPerMWh,AvgPowerPrice_Euro,TotAnnualCurtailedRES_GWh,TotAnnualLossesChargeDischarge_GWh,AnnualLossesTransmission_GWh,AvgH2MarginalCost_EuroPerKg
2020-2025,scenario1,999612204.2268362,1.1228355949702293e-08,3402543.458545176,0.2937838168433549,34.31775594320998,6558.09734331863,11235.846648836374,23945.966733884463,0.0
2020-2025,scenario2,978789125.8879639,8.712788353513275e-09,3369672.459228121,0.2904701088105569,33.58688631563574,6415.046006756393,8461.628343996048,22837.741214609632,0.0
2020-2025,scenario3,985835225.3846663,1.6941607939709338e-08,3450231.7907513767,0.28573014370433875,36.473097721242986,11332.519663318066,8977.30702498733,22775.90749971505,0.0
2025-2030,scenario1,989999999.9956691,48.33217731704963,4634603.066556432,0.2136105262475632,93.12791534498206,26162.718632165423,10664.534688062464,24632.21616454118,1.5541961042139973
2025-2030,scenario2,966326588.3562299,4.645147112176539e-10,4405525.477332463,0.219344228816355,89.19782296647665,65685.10276638645,19347.99720932912,26079.036329520495,0.931309765615381
2025-2030,scenario3,989999999.9673725,0.28994342161760495,4553675.559626873,0.2174067930409296,86.8352380339454,56399.316591932795,16524.98425065484,27400.37539875007,0.8869106358112955
2030-2035,scenario1,752951158.9420923,-4.006963172461578e-09,5975626.597538761,0.12600371637213267,42.55559149890723,118033.0251010324,22052.78015045765,64563.17211807708,5.987624785823621
2030-2035,scenario2,770000000.0013962,13.404502028418825,6052770.461508732,0.12721447226489263,157.03723707456592,89192.24568305066,23678.396362692478,62816.838540522775,6.336876311742504
2030-2035,scenario3,769999999.999913,59.96699150249189,6106413.45276897,0.12609693168594818,73.95418759567883,88013.1633057825,16845.238348962514,58439.77272594699,8.142171775763096
2035-2040,scenario1,329999999.9974457,81.9505088343842,7202161.387176118,0.045819578631634175,371.7396944087713,203940.25684982544,42170.248566457914,76093.51951246457,3.4620447827748566
2035-2040,scenario2,330000000.00007856,134.65266303652288,7131003.144653884,0.04627679911310669,83.98868418258881,187122.7049164441,43359.9850590417,70726.68549051677,9.15022086863935
2035-2040,scenario3,329999999.9999357,78.62055840272733,7184222.568298266,0.045933988940725624,44.44840744213731,241735.1360997265,43241.009468362885,76438.80752954117,3.418285275246097
2040-2045,scenario1,66000000.00004351,134.09427009881443,8795905.310825514,0.007503491416490489,29.91884202096457,522551.5933705703,63671.78268820989,99326.86333556578,1.8777382783531391
2040-2045,scenario2,66000000.000043124,134.09426992368643,8812268.775443336,0.0074895582150153305,35.7534079072811,435404.0584440776,69986.97245479305,93725.7584764778,1.9877450371411396
2040-2045,scenario3,66000000.00034126,449.8241747637155,8819861.36191516,0.007483110821371119,161.27500565998542,227386.92631544016,75655.2433579516,95128.19546180658,9.289437544875877
2045-2050,scenario1,55000000.00004044,201.81634732272622,9669560.741655815,0.005687952273065085,44.54223071823314,344623.6632328123,86051.39640577267,96505.52613924115,2.104601458248839
2045-2050,scenario2,54999999.9999941,161.94889918575018,9571475.997894187,0.005746240184072986,22.665840161082542,437379.23527625465,92918.67066626578,100957.68693359678,1.6766736123731165
2045-2050,scenario3,54999999.99993701,579.8033412218058,9582667.951367676,0.005739528936937149,144.90456690951632,282705.2311004787,101407.00190233707,86617.74951197501,13.258264974493507
2050-2055,scenario1,33000000.00011206,856.6649307017453,10258232.087441852,0.0032169285817299138,151.58566800009254,324888.3493129609,87831.76315971359,86247.46779396641,11.42487931450909
2050-2055,scenario2,32999999.999922715,193.85801049725217,10091429.288050443,0.0032701016930273795,45.67308059847155,429533.41400580737,86893.00495025514,93730.0793714119,2.041409541046029
2050-2055,scenario3,32999999.999938447,206.03268370059828,10160529.80388363,0.0032478621328709554,53.97209179589781,520808.45913226,94107.80570157286,92776.94995656489,4.62441744866832
2055-2060,scenario1,22000000.00011481,1237.280337591675,10175970.979924988,0.0021619558510450132,145.71273058714814,411852.7322833525,76939.63340861016,87613.9489369462,10.810785554378766
2055-2060,scenario2,21999999.99986901,193.85801991131342,10181744.884226598,0.0021607298405159586,53.17558311529605,475861.2101943814,74280.95081438121,99735.14925331989,5.763690017858927
2055-2060,scenario3,21999999.99987061,193.8580487224129,10116095.229124514,0.002174752164899469,356.59261232347956,544286.7405371289,76325.7631029101,89720.42689244448,5.726432367016621
""
GeneratorType,Period,genInvCap_MW,genInstalledCap_MW,TotDiscountedInvestmentCost_Euro,genExpectedAnnualProduction_GWh
Liginiteexisting,2020-2025,0.0,61315.0,0.0,116503.02430750174
Liginiteexisting,2025-2030,0.0,37732.307692307695,0.0,80508.12120106515
Liginiteexisting,2030-2035,0.0,25351.39423076923,0.0,42554.72590814468
Liginiteexisting,2035-2040,0.0,17687.01923076923,0.0,6443.222991078023
Liginiteexisting,2040-2045,0.0,12263.0,0.0,281.30110784164884
Liginiteexisting,2045-2050,0.0,3065.7500000000023,0.0,0.0002896436390607682
Liginiteexisting,2050-2055,0.0,0.0,0.0,0.0
Liginiteexisting,2055-2060,0.0,0.0,0.0,0.0
Lignite,2020-2025,27292.577678944752,27292.577678944752,65107912989.60039,63497.94663985834
Lignite,2025-2030,3.661238758733748e-05,27292.577715484986,68.43381876034607,63012.13133103575
Lignite,2030-2035,0.0005155974090640774,27292.578231010226,720.5642884592273,57580.98030748478
Lignite,2035-2040,1.4000547150774634e-05,27292.578244938628,14.392747293280454,32755.52756404102
Lignite,2040-2045,1.4327468407000528e-05,27292.57825919394,10.58061950068752,98.83033691570705
Lignite,2045-2050,3.2325166844518256e-05,27292.57829144695,16.538588253880327,7.010389264410054
Lignite,2050-2055,3.778149821886631e-06,27292.578295152933,1.261474015052917,83.29957085198699
Lignite,2055-2060,2.326979063787875e-06,27292.578297407763,0.4528735505794377,111.55663248412074
LigniteCCSadv,2020-2025,0.0,0.0,0.0,0.0
LigniteCCSadv,2025-2030,0.0,0.0,0.0,0.0
LigniteCCSadv,2030-2035,0.0,0.0,0.0,0.0
LigniteCCSadv,2035-2040,0.0,0.0,0.0,0.0
LigniteCCSadv,2040-2045,0.0,0.0,0.0,0.0
LigniteCCSadv,2045-2050,0.0,0.0,0.0,0.0
LigniteCCSadv,2050-2055,0.0,0.0,0.0,0.0
LigniteCCSadv,2055-2060,0.0,0.0,0.0,0.0
Coalexisting,2020-2025,0.0,71229.0,0.0,97634.50160163347
Coalexisting,2025-2030,0.0,43833.23076923077,0.0,85075.07814629885
Coalexisting,2030-2035,0.0,29450.451923076922,0.0,35734.06324634979
Coalexisting,2035-2040,0.0,20546.826923076926,0.0,2521.638722379067
Coalexisting,2040-2045,0.0,14245.799999999997,0.0,74.81396562961186
Coalexisting,2045-2050,0.0,3561.4500000000035,0.0,2.1248529215476184
Coalexisting,2050-2055,0.0,0.0,0.0,0.0
Coalexisting,2055-2060,0.0,0.0,0.0,0.0
Coal,2020-2025,0.031193402208630257,0.031193402208630257,64296.97111861237,0.046352769387239
Coal,2025-2030,0.005641447842806098,0.03683467687358336,9111.121783838635,0.0684571768148326
Coal,2030-2035,0.0004919448735190782,0.0373264485692353,594.041789555125,0.042918127036540514
Coal,2035-2040,3.7170803854751296e-05,0.03736344619522801,33.017120536563475,0.009141232758520235
Coal,2040-2045,3.2511228294162906e-05,0.037395784245348375,20.745006020767644,0.0011632234013701978
Coal,2045-2050,6.71481456389194e-05,0.0374627592134387,29.684533893880875,0.0007373913665597446
Coal,2050-2055,0.0001377919731559342,0.03760037800872693,39.7522397235584,0.002023696623494266
Coal,2055-2060,1.0723270006329219e-05,0.03761092810088831,1.8032264664216784,0.0027645892935908756
CoalCCSadv,2020-2025,0.0,0.0,0.0,0.0
CoalCCSadv,2025-2030,0.0,0.0,0.0,0.0
CoalCCSadv,2030-2035,0.0,0.0,0.0,0.0
CoalCCSadv,2035-2040,0.0,0.0,0.0,0.0
CoalCCSadv,2040-2045,0.0,0.0,0.0,0.0
CoalCCSadv,2045-2050,0.0,0.0,0.0,0.0
CoalCCSadv,2050-2055,0.0,0.0,0.0,0.0
CoalCCSadv,2055-2060,0.0,0.0,0.0,0.0
Gasexisting,2020-2025,0.0,222718.99999999997,0.0,54288.894290653094
Gasexisting,2025-2030,0.0,152048.5480769231,0.0,53407.41905894535
Gasexisting,2030-2035,0.0,94227.26923076923,0.0,21233.214081291997
Gasexisting,2035-2040,0.0,21415.288461538465,0.0,791.3991572810081
Gasexisting,2040-2045,0.0,17817.519999999993,0.0,1456.3520811229403
Gasexisting,2045-2050,0.0,0.0,0.0,0.0
Gasexisting,2050-2055,0.0,0.0,0.0,0.0
Gasexisting,2055-2060,0.0,0.0,0.0,0.0
GasOCGT,2020-2025,0.01810009524722482,0.01810009524722482,12937.059997478182,0.004226688329978722
GasOCGT,2025-2030,3917.866432552374,3917.8845323685355,2194107301.453767,169.09406854469913
GasOCGT,2030-2035,3688.9873971760976,7606.871928836792,1618709489.9580855,2.3543224598540218
