Period,Scenario,AnnualCO2emission_Ton,CO2Price_EuroPerTon,CO2Cap_Ton,AnnualGeneration_GWh,AvgCO2factor_TonPerMWh,AvgELPrice_EuroPerMWh,TotAnnualCurtailedRES_GWh,TotAnnualLossesChargeDischarge_GWh,AnnualLossesTransmission_GWh
2020-2025,scenario1,950013722.7951792,-2.8071964847763172e-08,1100000000.0,3496691.129410619,0.2716893450509712,36.044857185660824,10658.757012333252,10270.0451831509,24879.236959372654
2020-2025,scenario2,909633384.3658855,-7.967736764791545e-08,1100000000.0,3360486.259599442,0.2706850479651637,32.88460811170688,10547.557602507462,11096.796343834407,25281.134465588057
2025-2030,scenario1,989999999.9798429,-0.2272092253532111,990000000.0,4559669.902767283,0.21712098048567322,34.426013385487124,93717.50471718298,17522.070113596714,32292.489101977117
2025-2030,scenario2,990000000.0837924,-39.906093928243244,990000000.0,4554465.79986333,0.2173690710584446,101.18200947930914,15208.311293962477,6984.120312830875,26598.60542550241
2030-2035,scenario1,770000000.0569459,-6.038786861581538,770000000.0,5692239.91131204,0.13527188102644722,86.61984580762301,82416.64363322187,25767.778995555633,63238.62204620757
2030-2035,scenario2,737002148.6982163,-1.9278641395713734e-09,770000000.0,5476438.073416866,0.13457691638580283,80.58221022624738,92619.19920840608,24957.421986289442,64747.59471083391
2035-2040,scenario1,330000000.0711309,-50.91775368329572,330000000.0,6715189.3087148145,0.049142322710526855,100.46795628414948,197972.15923780372,40820.68969559814,84561.46254051449
2035-2040,scenario2,330000000.06561196,-62.47404289202673,330000000.0,6698459.193894094,0.049265060891380594,32.770342283413314,133498.6705261755,37458.78584260529,84821.11705653036
2040-2045,scenario1,66000000.06952272,-167.96124957486904,66000000.0,7521815.93348136,0.008774476888718002,33.49494976359285,214843.27974451875,60402.683031848304,102873.0939734819
2040-2045,scenario2,66000000.069276296,-62.335694666592154,66000000.0,7309962.456290614,0.00902877415088226,13.638774527731961,342528.67305951344,65598.7339131068,101228.61874305595
2045-2050,scenario1,55000000.05860453,-161.6825380087874,55000000.0,7971098.274244904,0.0068999274838085324,24.22877151495452,391961.7734209699,78119.6864929908,114006.45512095287
2045-2050,scenario2,55000000.057520196,-59.5969295504658,55000000.0,8241499.524324337,0.00667354282981985,63.617913438399775,320383.4585654069,63758.89055901428,121938.66457953755
2050-2055,scenario1,33000000.044055466,-189.98888437295997,33000000.0,8372754.939176877,0.003941355059807811,21.388268136327994,401096.3036972801,83579.91111916743,119747.71345114351
2050-2055,scenario2,33000000.042502668,-47.67128987913932,33000000.0,7875102.116527843,0.004190421857926656,20.667151833802095,559341.2540559166,89282.7352024238,117755.2786396166
2055-2060,scenario1,22000000.03987584,-65.48150326802762,22000000.0,8128898.860926416,0.002706393623080314,10.556193909346481,470304.6634551596,90089.40216060197,121805.12886957404
2055-2060,scenario2,22000000.042668305,-58.28571947364654,22000000.0,8117829.042817275,0.0027100841772634676,28.377131122401824,511025.7149196943,83431.60165329135,111472.16004336851
""
GeneratorType,Period,genInvCap_MW,genInstalledCap_MW,TotDiscountedInvestmentCost_Euro,genExpectedAnnualProduction_GWh
Liginiteexisting,2020-2025,0.0,61315.0,0.0,355312.97706905945
Liginiteexisting,2025-2030,0.0,37732.307692307695,0.0,222035.7113353383
Liginiteexisting,2030-2035,0.0,25351.39423076923,0.0,150626.71420256022
Liginiteexisting,2035-2040,0.0,17687.01923076923,0.0,3838.5957560433194
Liginiteexisting,2040-2045,0.0,12263.0,0.0,89.81733268125326
Liginiteexisting,2045-2050,0.0,3065.7500000000023,0.0,1.4817345538256146
Liginiteexisting,2050-2055,0.0,0.0,0.0,0.0
Liginiteexisting,2055-2060,0.0,0.0,0.0,0.0
Lignite,2020-2025,15891.169925277973,15891.169925277973,39339446141.529655,111233.21526151325
Lignite,2025-2030,18847.84208311409,34739.0120281441,34886169625.10898,240249.34583593463
Lignite,2030-2035,0.0029720815740233793,34739.01494801012,4046.5886812725603,230539.70431590488
Lignite,2035-2040,8.008938205242533e-05,34739.01504104401,78.33326441905125,31052.77199551578
Lignite,2040-2045,8.045515821488698e-05,34739.015123359495,54.51816111337942,655.7111342579615
Lignite,2045-2050,0.00010196854198640859,34739.01522136033,45.09153173003044,98.22459286947415
Lignite,2050-2055,0.00011450092428673424,34739.015331719595,29.513663354627383,16.812729140789795
Lignite,2055-2060,0.00010899615564913506,34739.01543768635,12.342391738951157,312.5621674296904
LigniteCCSadv,2020-2025,0.0,0.0,0.0,0.0
LigniteCCSadv,2025-2030,0.0,0.0,0.0,0.0
LigniteCCSadv,2030-2035,0.0,0.0,0.0,0.0
LigniteCCSadv,2035-2040,0.0,0.0,0.0,0.0
LigniteCCSadv,2040-2045,0.0,0.0,0.0,0.0
LigniteCCSadv,2045-2050,0.0,0.0,0.0,0.0
LigniteCCSadv,2050-2055,0.0,0.0,0.0,0.0
LigniteCCSadv,2055-2060,0.0,0.0,0.0,0.0
Coalexisting,2020-2025,0.0,71229.0,0.0,306719.9924784833
Coalexisting,2025-2030,0.0,43833.23076923077,0.0,208062.3331331416
Coalexisting,2030-2035,0.0,29450.451923076922,0.0,150505.04780935406
Coalexisting,2035-2040,0.0,20546.826923076926,0.0,8656.922764455168
Coalexisting,2040-2045,0.0,14245.799999999997,0.0,746.1885189189344
Coalexisting,2045-2050,0.0,3561.4500000000035,0.0,24.029640614352555
Coalexisting,2050-2055,0.0,0.0,0.0,0.0
Coalexisting,2055-2060,0.0,0.0,0.0,0.0
Coal,2020-2025,0.10578204545019645,0.10578204545019645,226504.34760859783,0.44928912972372026
Coal,2025-2030,0.028476930301092156,0.1342495204524467,45590.7816674856,0.581414617339431
Coal,2030-2035,0.003420120902754273,0.13766018605643554,4027.745382004795,0.6593086675986037
Coal,2035-2040,0.00034723820290158424,0.1379979689604519,293.7588740853347,0.09790454449205174
Coal,2040-2045,0.00029017944083098093,0.13827869310242583,170.07722349239145,0.025076750009839353
Coal,2045-2050,0.002238529853582613,0.14050776765724576,856.2170696229903,0.022139656658918254
Coal,2050-2055,0.0015453981412703799,0.14204371049952427,344.5456131268753,0.02069307557964458
Coal,2055-2060,0.003606151811021471,0.14564040701196554,353.2029840334344,0.026301096608563078
