Node,Period,New capacity [MW],Total capacity [MW],New capacity [kg/h],Total capacity [kg/h],Expected annual power usage [MWh],Expected annual hydrogen production [kg],Expected marginal price of hydrogen [EUR/kg]
Austria,2020-2025,4.6377201918418834e-05,4.6377201918418834e-05,0.0008432218530621607,0.0008432218530621607,0.1514025914547528,2.7527743900864143,0.0
Austria,2025-2030,5.0849963855425155e-05,9.721782644924465e-05,0.0009685707401033362,0.0018517681228427552,0.4584796707951401,8.732946110383622,0.0
Austria,2030-2035,0.0005547750750275425,0.000651983561923813,0.010567144286238905,0.012418734512834533,4.183364773403204,79.6831385410134,2.8707901009670214
Austria,2035-2040,3.4474466139099343e-06,0.0006554216691734344,7.257782345073546e-05,0.013798350929967042,4.338020018208965,91.3267372254519,2.1716880176261855
Austria,2040-2045,0.00015208218335455512,0.0007611196612156919,0.0032017301758853712,0.016023571815067198,4.78527021878259,100.74253092173873,1.4505785648227678
Austria,2045-2050,3.5848958469560257e-07,0.0007106281798582667,7.547149151486371e-06,0.014960593260174036,2.983263249663942,62.80554209818825,1.2601914657781057
Austria,2050-2055,0.0007462016473279861,0.000902054738298437,0.01570950836479971,0.01899062606944078,5.543597732167694,116.7073206772146,1.0166087586796466
Austria,2055-2060,1.8144519494485743e-06,0.0009004217437559749,3.819898840944367e-05,0.018956247236967892,5.987582599633712,126.05437051860447,1.0953817427966843
BosniaH,2020-2025,4.906168274071188e-05,4.906168274071188e-05,0.0008920305952856707,0.0008920305952856707,0.1654422224987522,3.008040409068222,0.0
BosniaH,2025-2030,5.5641739566977203e-05,0.00010469408286640349,0.0010598426584186133,0.001994173006979114,0.5259272677455609,10.017662242772587,0.0
BosniaH,2030-2035,0.009039179893183046,0.009143864636595733,0.1721748551082485,0.17416885022087109,72.84080272735319,1387.4438614733942,0.0
BosniaH,2035-2040,1.2221813965207298e-06,0.009145077478712668,2.5730134663594314e-05,0.1925279469202667,77.40986044606585,1629.6812725487548,0.0
BosniaH,2040-2045,71.2739782859923,71.28307413926073,1500.5048060208906,1500.696297668647,607203.1241225516,12783223.665737929,0.0
BosniaH,2045-2050,7.467437291710155e-06,71.28302612050936,0.00015720920614126642,1500.6952867475657,472425.6040098724,9945802.189681524,0.0
BosniaH,2050-2055,0.00011635266638438097,71.27410330121369,0.002449529818618547,1500.507437920288,598268.1474177135,12595118.893004496,0.0
BosniaH,2055-2060,5.013059176235381e-05,71.27415220173057,0.0010553808792074487,1500.5084674048542,600496.3081769281,12642027.540566906,0.0
Belgium,2020-2025,4.567675042394419e-05,4.567675042394419e-05,0.0008304863713444399,0.0008304863713444399,0.14320686172804042,2.6037611223280077,0.0
Belgium,2025-2030,3.330684231520101e-05,7.897425318107834e-05,0.0006344160440990668,0.0015042714891633968,0.3138074047827149,5.977283900623141,0.0
Belgium,2030-2035,0.00020026670032548277,0.0002792316137678986,0.003814603815723481,0.0053186974051028305,1.4950351013443837,28.476859073226358,2.870790105823869
Belgium,2035-2040,5.605980932049069e-06,0.0002848282553370214,0.00011802065120103304,0.005996384322884661,1.5987192600466598,33.65724757992968,2.1716880221821047
Belgium,2040-2045,0.0003542449317455463,0.0005933917516766207,0.007457788036748344,0.01249245793003412,3.256232634390317,68.55226598716456,1.450578565913656
