Between node,And node,Period,Pipeline capacity built [kg],Pipeline total capacity [kg],Discounted cost of (newly) built pipeline [EUR],Expected hydrogen transmission [tons]
Switzerland,Austria,2020-2025,0.006134631787941621,0.006134631787941621,43.44609822561213,0.017479715341221724
Switzerland,Austria,2025-2030,0.0005354940284124404,0.0066701216697926235,2.971463608708894,0.018511283649543693
Switzerland,Austria,2030-2035,0.001832617112468772,0.008502734635661853,7.6033819138690335,0.02386117441508854
Switzerland,Austria,2035-2040,0.0023319693721676905,0.01083469986120629,7.116961123052108,0.03042529421451714
Switzerland,Austria,2040-2045,0.0029310786628162365,0.01376577437751351,6.4260214485822935,0.03820282954279755
Switzerland,Austria,2045-2050,0.0035882640721685163,0.017354034302941673,5.450233594812631,0.04691651021257566
Switzerland,Austria,2050-2055,0.0017642965594961105,0.01911832671599712,1.748814639249215,0.05434822309905473
Switzerland,Austria,2055-2060,1.814716430345081e-05,0.019136469733710207,0.01048494875551101,0.05630504253095375
CzechR,Austria,2020-2025,0.016852862303142306,0.016852862303142306,43.73399001285327,0.048739035767179445
CzechR,Austria,2025-2030,0.001677787004591604,0.018530645161371304,3.411424466973655,0.05354446867870863
CzechR,Austria,2030-2035,0.005071324239359381,0.023601965253959717,7.709737584244871,0.06827398305946336
CzechR,Austria,2035-2040,0.006483227906080854,0.030085189013430592,7.250136613516683,0.08742248228540739
CzechR,Austria,2040-2045,0.00787838075976978,0.0379635656269158,6.328995882194919,0.10797636902548234
CzechR,Austria,2045-2050,0.01028374061287575,0.04824730209292127,5.723543442531572,0.13633345621879753
CzechR,Austria,2050-2055,0.004518545986564035,0.052765843932888634,1.6411718131829967,0.15364684473614953
CzechR,Austria,2055-2060,4.973890182903252e-05,0.052815578688219324,0.010530206387719926,0.15909195166292747
Germany,Austria,2020-2025,0.00027546537808386334,0.00027546537808386334,0.0,0.0004970484857154269
Germany,Austria,2025-2030,0.004428560006349594,0.004704025384433458,0.0,0.0
Germany,Austria,2030-2035,58228.93270533548,58228.937409360864,0.0,224399.95495142762
Germany,Austria,2035-2040,17444.896884456684,75673.83429381755,0.0,259925.19045056077
Germany,Austria,2040-2045,123942.35874219946,199616.193036017,0.0,794529.5269584496
