Between node,And node,Period,Pipeline capacity built [kg],Pipeline total capacity [kg],Discounted cost of (newly) built pipeline [EUR],Expected hydrogen transmission [tons]
Switzerland,Austria,2020-2025,0.08531049143145769,0.08531049143145769,604.1777434289955,0.2389692603937799
Switzerland,Austria,2025-2030,0.0021623050663832633,0.08747273877616431,11.998660068597449,0.2087041230041104
Switzerland,Austria,2030-2035,0.023961853885756945,0.11143453493620564,99.41581643985731,0.2592801853520543
Switzerland,Austria,2035-2040,0.030064336406276985,0.14149881360812838,91.75365506406283,0.3152997601287487
Switzerland,Austria,2040-2045,0.04628952096994559,0.18778827686085187,101.48395482217028,0.4486497431387981
Switzerland,Austria,2045-2050,0.055224581802757966,0.24301280093081762,83.88091426587025,0.5960153084363004
Switzerland,Austria,2050-2055,0.01535319896491509,0.2583659421668285,15.218472747471566,0.6405014663326033
Switzerland,Austria,2055-2060,0.00024004479090973795,0.2586059292341618,0.13869149414365306,0.6491611008795178
CzechR,Austria,2020-2025,0.23272659511529142,0.23272659511529142,603.9367321359855,0.6550434114824198
CzechR,Austria,2025-2030,0.004787764595193299,0.237514244260562,9.734905108606638,0.5582365829069583
CzechR,Austria,2030-2035,0.06678852970826041,0.30430265851158655,101.53601177614237,0.7110208959054668
CzechR,Austria,2035-2040,0.08317394090995947,0.3874764839728497,93.01268488744222,0.8755024543819002
CzechR,Austria,2040-2045,0.12448894639122551,0.5119653149178738,100.00659438956512,1.22433244636436
CzechR,Austria,2045-2050,0.1470868609845138,0.6590520604391791,81.86301758879635,1.6183353417603925
CzechR,Austria,2050-2055,0.04323609438654487,0.7022880393620589,15.703693097361695,1.7554395670917537
CzechR,Austria,2055-2060,0.0006436518989551636,0.7029315758235581,0.13626732976821657,1.747496743923629
Germany,Austria,2020-2025,0.0037449155379102083,0.0037449155379102083,0.0,0.006049317654109236
Germany,Austria,2025-2030,0.027897637806210653,0.03164255334412086,0.0,4.4541498286327644e-05
Germany,Austria,2030-2035,86213.76155841541,86213.79320096875,0.0,315321.4757856436
Germany,Austria,2035-2040,48017.641997428334,134231.43519839708,0.0,354360.5080192946
Germany,Austria,2040-2045,281831.4431445992,416062.8783429963,0.0,1164569.8229547937
Germany,Austria,2045-2050,26756.259942788456,442819.13828578475,0.0,1248656.67493321
Germany,Austria,2050-2055,1457.8343049342511,444276.972590719,0.0,1686496.057269319
Germany,Austria,2055-2060,142745.63876513456,587022.6113558535,0.0,1686495.3999077491
Hungary,Austria,2020-2025,0.27089332181477743,0.27089332181477743,596.5537907702875,0.7372180608005277
Hungary,Austria,2025-2030,0.008058981355989002,0.27895218772132985,13.905447403584382,0.6559899672922224
Hungary,Austria,2030-2035,0.08071283756056966,0.3596649098233367,104.12780545993593,0.8419732470771019
Hungary,Austria,2035-2040,0.09052699122342041,0.45019178560605194,85.90904070605941,0.9765800467475525
Hungary,Austria,2040-2045,0.15197736142407564,0.6021690315583896,103.60545657534587,1.4316489921403923
Hungary,Austria,2045-2050,0.17457308682245556,0.7767420029426247,82.45121178054043,1.91249585252171
Hungary,Austria,2050-2055,0.04770246413602834,0.8244443516360618,14.702867332427617,2.0136838950732017
Hungary,Austria,2055-2060,0.0007848720868768429,0.825229108266599,0.1410085533296756,2.0709336267229057
Italy,Austria,2020-2025,0.07442444354894463,0.07442444354894463,588.6386018732028,0.19534791766657375
Italy,Austria,2025-2030,0.003272363503044386,0.07769674932616336,20.279077159907214,0.18237871397995029
Italy,Austria,2030-2035,0.02196446462441813,0.09966115622498574,101.77158855328977,0.23048986676656588
Italy,Austria,2035-2040,0.02574218284789311,0.12540328134983025,87.73805159664768,0.2714316628463113
Italy,Austria,2040-2045,0.04268435094768237,0.16808757457414888,104.50913241984634,0.4016802172056003
Italy,Austria,2045-2050,0.049000415493395656,0.21708793233391682,83.1191983362137,0.5318543246755786
Italy,Austria,2050-2055,0.013298689516356488,0.23038656412076547,14.721494573619594,0.5667393355873069
Italy,Austria,2055-2060,0.0002162448310142023,0.23060275123087565,0.13953210294423113,0.5788798770072079
Slovenia,Austria,2020-2025,0.20861337303049576,0.20861337303049576,599.5958919157356,0.5730033886326451
Slovenia,Austria,2025-2030,0.0073385930497257956,0.21595190835204628,16.52657326976538,0.6139711131648904
Slovenia,Austria,2030-2035,1.0578156034720747,1.2737674540975843,1781.1449386910388,0.3569014317433051
Slovenia,Austria,2035-2040,0.0765085707531232,1.3502759671328528,94.76240293135035,0.39936265449259484
Slovenia,Austria,2040-2045,0.04987534774942512,1.4001512571397228,44.37668513361829,0.5413467266148164
Slovenia,Austria,2045-2050,0.5551992652319745,1.9553504646587283,342.2424110377038,0.7932137178359413
Slovenia,Austria,2050-2055,0.29570017687864997,2.2510505838130155,118.9537127318662,0.7531607020941141
Slovenia,Austria,2055-2060,0.0005420652728578831,2.251592591356941,0.12710520945289408,0.8394707937018617
Slovakia,Austria,2020-2025,1.0321970456354548,1.0321970456354548,586.9444613059939,2.7155361171886057
Slovakia,Austria,2025-2030,0.03145335189344406,1.0636502820733542,14.013765162818654,2.40458701499682
Slovakia,Austria,2030-2035,9301.436208418114,9302.499858584722,3098540.647832528,1.7287778887589382
Slovakia,Austria,2035-2040,2370.8017791487478,11673.301637618079,580950.4785688306,1.7958292796474915
Slovakia,Austria,2040-2045,31243.127325453712,42916.42896295511,5499729.296797052,2.4496781044399665
Slovakia,Austria,2045-2050,11442.978329841319,54359.407292682605,1395538.7920263652,4.001297930606518
Slovakia,Austria,2050-2055,34728.99775797301,89088.40505054328,2763990.595909936,3.6559414602822944
Slovakia,Austria,2055-2060,0.002218583588744255,89088.40726900383,0.10292134546793201,4.237370543841358
Croatia,BosniaH,2020-2025,0.19648285412100672,0.19648285412100672,593.1700532113895,0.5246232609521259
Croatia,BosniaH,2025-2030,0.019381489627172392,0.21586428602177538,45.845341991931775,0.34368449915335486
Croatia,BosniaH,2030-2035,0.045767573817487826,0.2616318021125807,80.94410743259475,0.6589737197488374
Croatia,BosniaH,2035-2040,0.07016629637502185,0.33179804075498526,91.28356333486646,0.7920649573761669
Croatia,BosniaH,2040-2045,0.4482998117795382,0.7800977948212099,418.96286746644256,0.6575678720972286
Croatia,BosniaH,2045-2050,0.11916743432837865,0.8992651714207627,77.1579337077795,1.0066500685049407
Croatia,BosniaH,2050-2055,0.28821282822031824,1.1874779419148092,121.7805076128843,1.0116155935034061
Croatia,BosniaH,2055-2060,0.0008199000466154642,1.1882977842298093,0.20193459697358176,1.0315728027941526
Italy,BosniaH,2020-2025,0.3331583829372873,0.3331583829372873,585.5599626592267,0.8611743466457399
Italy,BosniaH,2025-2030,0.921302972084108,1.2544612395723758,1268.751608307567,0.42624485732236356
Italy,BosniaH,2030-2035,0.27488973035872794,1.5293508544765535,283.0426834532645,10.428932910808987
Italy,BosniaH,2035-2040,0.0009515271251612221,1.5303022661516343,0.7206946106604427,10.430781539154514
Italy,BosniaH,2040-2045,0.0004314961428415784,1.530733646836831,0.23477398119853823,2.310636042742514
Italy,BosniaH,2045-2050,0.0006713333708706806,1.5314048647577798,0.2530622151816919,2.9933089901973324
Italy,BosniaH,2050-2055,0.027277525401903906,1.5586822747066496,6.710200725534313,3.0759960499257493
Italy,BosniaH,2055-2060,0.001053019908571917,1.5597351791627305,0.15099149072637294,2.679347361904263
Serbia,BosniaH,2020-2025,0.3020555017954456,0.3020555017954456,602.720228051417,0.8281811153794061
Serbia,BosniaH,2025-2030,0.9772408040036662,1.279296190344809,1527.8619438350397,10.152651020782434
Serbia,BosniaH,2030-2035,0.2610612317745015,1.5403573066744725,305.1716516568706,0.5055388289010475
Serbia,BosniaH,2035-2040,0.010787920215489516,1.5511451114382604,9.276330527386927,0.5635969925944169
Serbia,BosniaH,2040-2045,0.5141836627826707,2.0653286587666977,317.61405168846204,6.574450127898007
Serbia,BosniaH,2045-2050,0.00039077787480018734,2.0657193211914855,0.1672350960206247,7.629668803030253
Serbia,BosniaH,2050-2055,0.36337259490455204,2.4290918006426563,101.4824867315906,9.969827921666493
Serbia,BosniaH,2055-2060,0.0025209824234601187,2.4316126676140275,0.41038747357299926,9.750584852098413
Germany,Belgium,2020-2025,0.005907451823216003,0.005907451823216003,0.0,0.0023106595665220216
Germany,Belgium,2025-2030,1029.8111218935856,1029.8170293454089,0.0,6549.902126080223
Germany,Belgium,2030-2035,985421.4966606329,986451.3136899783,0.0,618050.5153675054
Germany,Belgium,2035-2040,291365.8748409336,1277817.188530912,0.0,490135.43829208816
Germany,Belgium,2040-2045,1774643.431940451,3052460.620471363,0.0,512874.17868232366
Germany,Belgium,2045-2050,91870.08220354188,3144330.702674905,0.0,606911.1965203689
Germany,Belgium,2050-2055,0.0,3144330.702674905,0.0,841176.1352290483
Germany,Belgium,2055-2060,0.0,3144330.702674905,0.0,711565.1661911521
France,Belgium,2020-2025,0.006132406112273683,0.006132406112273683,0.0,0.00020046301964574202
France,Belgium,2025-2030,1029.818709509268,1029.8248419153804,0.0,0.0
France,Belgium,2030-2035,875034.9675849156,876064.792426831,0.0,54232.06890713489
France,Belgium,2035-2040,337424.1766524591,1213488.96907929,0.0,115518.51687035359
France,Belgium,2040-2045,1977168.9723487576,3190657.9414280476,0.0,1716115.2629745407
France,Belgium,2045-2050,89680.83967303485,3280338.7811010825,0.0,1430073.7349963172
France,Belgium,2050-2055,153886.07282696106,3434224.8539280435,0.0,1856721.172638573
France,Belgium,2055-2060,0.0,3434224.8539280435,0.0,2560012.4124115696
GreatBrit.,Belgium,2020-2025,0.004099005169834274,0.004099005169834274,0.0,0.0023996349855671156
GreatBrit.,Belgium,2025-2030,686.3793749535125,686.3834739586823,0.0,0.0
GreatBrit.,Belgium,2030-2035,1057039.26552668,1057725.6490006386,0.0,639433.9199175774
GreatBrit.,Belgium,2035-2040,312040.0674747578,1369765.7164753964,0.0,811603.0549628864
GreatBrit.,Belgium,2040-2045,1636845.7014836534,3006611.41795905,0.0,3509513.6111532906
GreatBrit.,Belgium,2045-2050,189900.40470725624,3196511.822666306,0.0,3964115.259293921
GreatBrit.,Belgium,2050-2055,0.0,3196511.822666306,0.0,4133957.74859007
GreatBrit.,Belgium,2055-2060,0.0,3196511.822666306,0.0,3719404.5118624284
Luxemb.,Belgium,2020-2025,0.0008220381573806057,0.0008220381573806057,0.0,0.0035777857957314373
Luxemb.,Belgium,2025-2030,0.0013473683094280264,0.002169406466808632,0.0,0.007447023792682833
Luxemb.,Belgium,2030-2035,13144.66381443306,13144.665983839528,0.0,0.0
Luxemb.,Belgium,2035-2040,4095.217157289837,17239.883141129365,0.0,0.0
Luxemb.,Belgium,2040-2045,31091.10345402266,48330.986595152026,0.0,0.0
Luxemb.,Belgium,2045-2050,20855.9975666015,69186.98416175353,0.0,0.0
Luxemb.,Belgium,2050-2055,28439.758398387305,97626.74256014083,0.0,0.0
Luxemb.,Belgium,2055-2060,4165.55119493074,101792.29375507157,0.0,0.0
Netherlands,Belgium,2020-2025,0.004885756158479734,0.004885756158479734,0.0,0.0022236463307519867
Netherlands,Belgium,2025-2030,0.03152081330016157,0.036406569458641305,0.0,0.010736915533526884
