Node,Period,New capacity [MW],Total capacity [MW],New capacity [kg/h],Total capacity [kg/h],Expected annual power usage [MWh],Expected annual hydrogen production [kg],Expected marginal price of hydrogen [EUR/kg]
Austria,2020-2025,7.501510249119397e-05,7.501510249119397e-05,0.0013639109543853451,0.0013639109543853451,0.22254063845433258,4.046193426442411,0.0
Austria,2025-2030,6.03889893195213e-05,0.00013539524567295807,0.0011502664632289771,0.0025789570604372964,0.5199707518357395,9.904204796871229,0.0
Austria,2030-2035,0.0001640477282049664,0.000299434127739822,0.00312471863247555,0.005703507195044228,1.3909599294222925,26.494474846138907,4.07450568784097
Austria,2035-2040,3.1968392181744667e-07,0.0002997449655234987,6.73018782773572e-06,0.0063104203268105,0.7041753079713806,14.824743325713277,2.5122138534885137
Austria,2040-2045,0.0025832283611608438,0.002807951589588758,0.05438375497180724,0.05911477030713175,7.938967293464048,167.13615354661152,1.5661519397690433
Austria,2045-2050,5.213423689424641e-07,0.002748083942638548,1.097562881984135e-05,0.05785439879239049,7.421831126254584,156.24907634220176,1.448940746746508
Austria,2050-2055,4.464062706413385e-06,0.002588500277141099,9.398026750343969e-05,0.05449474267665472,10.15503161360357,213.7901392337594,1.1116473860135374
Austria,2055-2060,1.137131624217242e-06,0.0025893177248431667,2.3939613141415623e-05,0.05451195210196141,9.766909162246371,205.61914025781834,1.4648789018590427
BosniaH,2020-2025,7.504165945008242e-05,7.504165945008242e-05,0.001364393808183317,0.001364393808183317,0.21328764602686626,3.8779572004884773,0.0
BosniaH,2025-2030,5.570487473213895e-05,0.00013073768804423331,0.0010610452329931229,0.0024902416770330154,0.5015322143914598,9.55299455983733,0.0
BosniaH,2030-2035,0.00021148025034324955,0.000342209092249412,0.004028195244633325,0.0065182684237983235,1.5464234108645585,29.45568401646778,0.0
BosniaH,2035-2040,3.3152847179691545e-07,0.0003425317745826197,6.979546774671905e-06,0.007211195254370942,0.8685849961708488,18.285999919386292,0.0
BosniaH,2040-2045,0.0022930165936841202,0.002560500074213831,0.04827403355124464,0.05390526472029118,8.146403822940032,171.50323837768488,0.0
BosniaH,2045-2050,1.1427207092121918e-06,0.0025059379201908833,2.4057278088677726e-05,0.052756587793492286,9.516267223140169,200.3424678555825,0.0
BosniaH,2050-2055,0.0004368696948556666,0.00273132736470373,0.009197256733803508,0.057501628730604847,11.827436118589508,248.99865512820017,0.0
BosniaH,2055-2060,1.950505251627693e-05,0.0027505008887483977,0.0004106326845531986,0.05790528186838732,12.769825327385401,268.8384279449558,0.0
Belgium,2020-2025,7.713816977501523e-05,7.713816977501523e-05,0.0014025121777275498,0.0014025121777275498,0.22791696483358764,4.143944815156139,0.0
Belgium,2025-2030,5.797856627522825e-05,0.00013510788991267158,0.001104353643337681,0.0025734836173842207,0.5244861445674373,9.990212277474996,0.0
Belgium,2030-2035,0.00027468023719608533,0.0004097792809706512,0.0052320045180206725,0.007805319637536213,2.0040001295753638,38.17143103953074,4.07450570098576
Belgium,2035-2040,8.295279971026916e-05,0.0004927232345438691,0.0017463747307425088,0.01037312072723935,1.670001134322831,35.15791861732276,2.5122138652178756
Belgium,2040-2045,0.001999642672896365,0.0024152233145957793,0.042097740482028745,0.05084680662306904,8.611627110655927,181.29741285591427,1.5661519422400287
Belgium,2045-2050,1.0266054717807906e-06,0.002358271353793749,2.1612746774332434e-05,0.04964781797460525,9.09653126401504,191.50592134768505,1.4489407491093362
Belgium,2050-2055,7.314363157021634e-06,0.0020909054797513503,0.00015398659277940282,0.04401906273160738,7.986709351322554,168.14124950152745,1.1116473882758924
Belgium,2055-2060,1.6626166650457133e-06,0.0020096152967087667,3.500245610622554e-05,0.04230769045702667,8.97347552412205,188.91527419204314,1.4648789041111159
Bulgaria,2020-2025,0.00010243923434538252,0.00010243923434538252,0.0018625315335524097,0.0018625315335524097,0.4587454981599925,8.34082723927259,0.0
Bulgaria,2025-2030,89.98592169617908,89.98602412654496,1714.0175561176966,1714.0195071722849,788272.1094102862,15014706.845910214,0.0
Bulgaria,2030-2035,328.48591901661774,418.4719431337993,6256.874647935576,7970.8941549295105,2798259.713995708,53300185.02848968,3.9939274555721194
Bulgaria,2035-2040,3.3306399827094375e-07,418.4719438328762,7.011873647809343e-06,8809.9356596395,1306027.3195144949,27495311.98977884,2.5650456207259076
Bulgaria,2040-2045,1622.179508937235,2040.6513498415384,34151.14755657337,42961.08104929555,5955136.2681435365,125371289.8556534,1.4886332123990758
Bulgaria,2045-2050,1.565835025808388e-06,1950.6654298187927,3.2964947911755536e-05,41066.64062776406,8480161.43320434,178529714.38324925,1.4141508254438881
Bulgaria,2050-2055,1.3016699026357854e-05,1622.1795237527888,0.00027403576897595485,34151.14786847977,9091116.117176201,191391918.25634107,1.1179960828513043
Bulgaria,2055-2060,9.711200951682468e-07,1622.179524538844,2.0444633582489407e-05,34151.147885028295,7333698.17320378,154393645.75165853,1.4821695920806852
Switzerland,2020-2025,7.499781016439405e-05,7.499781016439405e-05,0.0013635965484435283,0.0013635965484435283,0.22403468672981192,4.073357940542035,0.0
Switzerland,2025-2030,7.44243401804222e-05,0.0001494133042065931,0.0014176064796270896,0.0028459676991732016,0.595039542773992,11.334086529028419,0.0
Switzerland,2030-2035,0.00023766384952075907,0.0003870683075887226,0.004526930467062078,0.007372729668356621,1.961655823173559,37.364872822353504,0.0
Switzerland,2035-2040,2.5239318884169656e-07,0.00038731185463885105,5.313540817719928e-06,0.00815393378187055,1.0183903802497158,21.439797478941387,0.0
Switzerland,2040-2045,0.0022216566559268647,0.002533966277332906,0.04677171907214452,0.053346658470166446,8.507145478013188,179.09779953711973,0.0
Switzerland,2045-2050,4.2384513310778833e-07,0.0024599657822879884,8.923055433848176e-06,0.051788753311326076,7.649709060841525,161.0465065440321,0.0
Switzerland,2050-2055,1.1352667368803237e-06,0.0022234371995029983,2.3900352355375236e-05,0.046809204200063126,8.96749058661842,188.7892755077562,0.0
Switzerland,2055-2060,1.4093867700842587e-06,0.0022245941930820697,2.96713004228265e-05,0.04683356195962252,9.355344488494813,196.9546208104171,0.0
CzechR,2020-2025,7.914330955868397e-05,7.914330955868397e-05,0.001438969264703345,0.001438969264703345,0.2519805518731659,4.581464579512108,0.0
CzechR,2025-2030,5.343231756942565e-05,0.00013256678099008912,0.0010177584298938218,0.002525081542668364,0.5140758689832665,9.79192131396698,0.0
CzechR,2030-2035,0.0004237837844168777,0.0005563417192692305,0.008072072084131004,0.010596985128937723,2.7849765130469795,53.04717167708532,4.074505656849294
CzechR,2035-2040,3341.6651385665655,3341.665694904669,70350.84502245401,70350.85673483515,12236112.578977233,257602370.0837312,2.5122138386741293
CzechR,2040-2045,5021.855019180488,8363.520634811739,105723.26356169449,176074.11862761556,30793922.68964514,648293109.2556872,1.5661519346010908
CzechR,2045-2050,7.18760941800961e-07,8363.520582057603,1.5131809301072865e-05,176074.1175170022,27710497.42719274,583378893.2040577,1.4489407417283091
CzechR,2050-2055,1.2456268260245901e-05,8363.52017076718,0.0002622372265314927,176074.10885825646,34566277.96137904,727711114.9764007,1.1116473837623895
CzechR,2055-2060,4583.477768550218,9605.332800883565,96494.26881158353,202217.53265018034,43071218.64308241,906762497.7491033,1.464878899608776
Germany,2020-2025,7.811892433428885e-05,7.811892433428885e-05,0.001420344078805252,0.001420344078805252,0.24536988645262867,4.461270662775067,0.0
Germany,2025-2030,5.396305296120688e-05,0.00013206428501917231,0.0010278676754515595,0.0025155101908413773,0.5045637345373924,9.610737800712238,4.1411806232336446
