Period,Scenario,AnnualCO2emission_Ton,CO2Price_EuroPerTon,CO2Cap_Ton,AnnualGeneration_GWh,AvgCO2factor_TonPerMWh,AvgELPrice_EuroPerMWh,TotAnnualCurtailedRES_GWh,TotAnnualLossesChargeDischarge_GWh,AnnualLossesTransmission_GWh
2020-2025,scenario1,1054299585.4868071,-1.1317237152263656e-10,1100000000.0,3437302.5936832293,0.3067229482281103,39.680330444254565,10476.104298411743,9333.833413367203,19146.555607893457
2020-2025,scenario2,1081494612.9915736,-3.947302885798028e-10,1100000000.0,3416067.9355062516,0.3165904874873169,44.39434245353942,9260.889004470517,6077.764762001309,17401.951471098317
2020-2025,scenario3,1053736366.4524643,-4.3753340498754705e-09,1100000000.0,3402713.234463523,0.3096753366636428,38.869796195390094,10836.553484040749,8106.160308457248,18460.415507826532
2025-2030,scenario1,935963462.1948316,-5.806428289241587e-09,990000000.0,4418417.33225239,0.2118322901195188,39.83644755792795,75319.45826543996,19143.457326254833,23744.427335027995
2025-2030,scenario2,990000000.00939,-40.79598420860082,990000000.0,4646698.311159823,0.2130545031579883,65.682984607123,34533.28617686667,13379.299109474008,21232.231939293964
2025-2030,scenario3,990000000.0226344,-37.86952553518357,990000000.0,4584648.117819737,0.21593805556737763,53.30491079778986,21686.26291797999,8270.239383854976,20686.31432969636
2030-2035,scenario1,747363899.7105689,-1.2496327506782959e-08,770000000.0,5553560.621095918,0.13457382582114816,26.730948570371964,49515.88572725702,25982.88938813594,53216.62156538938
2030-2035,scenario2,766615358.3976818,-1.9390913012370786e-09,770000000.0,5805689.677812496,0.13204552791159152,162.8307661374813,70842.66061168209,20989.90506754452,52160.83538947465
2030-2035,scenario3,756279657.1014919,-4.412293109188692e-10,770000000.0,5353441.110860752,0.14126981906408126,27.89937275258864,39985.34299235558,22305.266353189396,49739.41128572983
2035-2040,scenario1,330000000.05418074,-32.72139888694246,330000000.0,6537965.03198625,0.05047442108357744,20.019602474154937,216072.44441424723,34111.05705355461,63155.83631627646
2035-2040,scenario2,330000000.0341177,-54.761836615935415,330000000.0,6644620.802974241,0.04966423364390607,40.99509441286347,74808.40262686815,30529.542907346608,54448.41683406969
2035-2040,scenario3,330000000.01914287,-91.1177894776482,330000000.0,6844039.139549854,0.048217140973402725,55.08946306205328,105479.95050557084,36558.816860186394,61637.62055505763
2040-2045,scenario1,66000000.02168549,-54.35191320749279,66000000.0,7309521.263317785,0.00902931910915942,26.31721094733731,261002.52641032648,48808.7209944501,69955.19586521194
2040-2045,scenario2,66000000.02164246,-50.538720539694296,66000000.0,7254115.366743143,0.009098283758240957,21.644008934944658,256085.21004557173,48901.79286578185,77334.69261688048
2040-2045,scenario3,66000000.02124608,-347.0686917689289,66000000.0,7561542.393859382,0.008728377966224986,43.700023538098094,365333.3140991193,51580.99647416829,79782.20244804164
2045-2050,scenario1,55000000.01803979,-47.82395901427868,55000000.0,7995201.335560648,0.006879126329615461,11.346623697718535,392769.82780918403,71701.56252355804,83015.47957412437
2045-2050,scenario2,55000000.01806434,-59.59692834509174,55000000.0,8061557.153213991,0.006822503267391434,161.7029692378953,381242.88716528355,66726.81494295117,79210.73310858155
2045-2050,scenario3,55000000.01815107,-91.96177488606422,55000000.0,8146944.945122338,0.0067509968937593005,24.673491219867273,488900.5415286399,65176.4949569681,79700.01731028467
2050-2055,scenario1,33000000.01411472,-325.0710223682429,33000000.0,8158087.795135853,0.00404506556472654,27.08338888666764,448355.62860709534,69478.68224588853,87609.24694844292
2050-2055,scenario2,33000000.013418034,-44.85437183891782,33000000.0,7886530.307407277,0.004184349609665568,8.61475001702256,664141.2742118121,70879.3830804186,82858.59017441791
2050-2055,scenario3,33000000.013447408,-50.57539006202928,33000000.0,8175407.470080542,0.004036496056522768,11.942691246152382,393919.669097989,66979.1469654472,88148.17489010892
2055-2060,scenario1,22000000.01330764,-35.14457425831745,22000000.0,7840664.62560404,0.0028058845855320415,4.504409581010218,1013361.6859123745,65490.01521488654,81571.26358045639
2055-2060,scenario2,22000000.013701465,-210.59674234224696,22000000.0,8276447.415916207,0.0026581453259032707,19.00925915529829,504044.9201125299,59576.22957515898,86142.38589639601
2055-2060,scenario3,22000000.0134543,-61.975413748373875,22000000.0,8072942.357519723,0.0027251526195973545,12.2424079724895,525070.734297669,55458.63797186936,89523.1133689022
""
GeneratorType,Period,genInvCap_MW,genInstalledCap_MW,TotDiscountedInvestmentCost_Euro,genExpectedAnnualProduction_GWh
Liginiteexisting,2020-2025,0.0,61315.0,0.0,356663.6039404738
Liginiteexisting,2025-2030,0.0,37732.307692307695,0.0,210532.94849278676
Liginiteexisting,2030-2035,0.0,25351.39423076923,0.0,148799.4514303581
Liginiteexisting,2035-2040,0.0,17687.01923076923,0.0,13209.529856651385
Liginiteexisting,2040-2045,0.0,12263.0,0.0,29.664472104661193
Liginiteexisting,2045-2050,0.0,3065.7500000000023,0.0,17.53241173236625
Liginiteexisting,2050-2055,0.0,0.0,0.0,0.0
Liginiteexisting,2055-2060,0.0,0.0,0.0,0.0
Lignite,2020-2025,27437.80718403561,27437.80718403561,67923768437.07557,191599.75846210605
Lignite,2025-2030,7.168313347114187e-05,27437.807254438332,132.68097013962065,186304.22022422226
Lignite,2030-2035,0.0008295441955452895,27437.80808270222,1129.4522355228967,180231.6998131047
Lignite,2035-2040,1.2947340464859845e-05,27437.808094369077,12.663444590402598,41541.102446666126
Lignite,2040-2045,1.643658864032214e-05,27437.80810952513,11.137789227825726,63.088522073146784
Lignite,2045-2050,1.320423864557709e-05,27437.80812144911,5.839049365665768,259.30958845067045
Lignite,2050-2055,1.4855571021760708e-05,27437.80813502429,3.8291597046536348,8.000497402023449
Lignite,2055-2060,3.7341968685382694e-05,27437.80817108585,4.2284905058578355,0.0019187966255761006
LigniteCCSadv,2020-2025,0.0,0.0,0.0,0.0
LigniteCCSadv,2025-2030,0.0,0.0,0.0,0.0
LigniteCCSadv,2030-2035,0.0,0.0,0.0,0.0
LigniteCCSadv,2035-2040,0.0,0.0,0.0,0.0
LigniteCCSadv,2040-2045,0.0,0.0,0.0,0.0
LigniteCCSadv,2045-2050,0.0,0.0,0.0,0.0
LigniteCCSadv,2050-2055,0.0,0.0,0.0,0.0
LigniteCCSadv,2055-2060,0.0,0.0,0.0,0.0
Coalexisting,2020-2025,0.0,71229.0,0.0,337314.04388484464
Coalexisting,2025-2030,0.0,43833.23076923077,0.0,187951.78710329402
Coalexisting,2030-2035,0.0,29450.451923076922,0.0,155524.76448901303
Coalexisting,2035-2040,0.0,20546.826923076926,0.0,10223.055577413736
Coalexisting,2040-2045,0.0,14245.799999999997,0.0,49.179840408910415
Coalexisting,2045-2050,0.0,3561.4500000000035,0.0,24.981301084229393
Coalexisting,2050-2055,0.0,0.0,0.0,0.0
Coalexisting,2055-2060,0.0,0.0,0.0,0.0
Coal,2020-2025,0.029726801088978457,0.029726801088978457,63652.10382652662,0.14868575258634334
Coal,2025-2030,0.0016579203002853836,0.03138177646958418,2654.2847921549355,0.12844228383099465
Coal,2030-2035,0.0033619047666465698,0.03474073647428373,3959.1864994997522,0.17449723445150872
Coal,2035-2040,7.292841744915804e-05,0.034810719816462575,61.6964659641676,0.026792867439049673
Coal,2040-2045,8.083838297053108e-05,0.034888613186918695,47.38022719921995,0.005385988175469522
Coal,2045-2050,0.00034254366138782434,0.035228212022951594,131.01979935767548,0.005771600057789757
Coal,2050-2055,5.1232124932827985e-05,0.03527649922888029,11.42217242526143,0.004552220463729784
Coal,2055-2060,0.00013717906622795608,0.03541073337611092,13.435944590769038,0.004848713360711895
CoalCCSadv,2020-2025,0.0,0.0,0.0,0.0
CoalCCSadv,2025-2030,0.0,0.0,0.0,0.0
CoalCCSadv,2030-2035,0.0,0.0,0.0,0.0
CoalCCSadv,2035-2040,0.0,0.0,0.0,0.0
CoalCCSadv,2040-2045,0.0,0.0,0.0,0.0
CoalCCSadv,2045-2050,0.0,0.0,0.0,0.0
CoalCCSadv,2050-2055,0.0,0.0,0.0,0.0
CoalCCSadv,2055-2060,0.0,0.0,0.0,0.0
Gasexisting,2020-2025,0.0,222718.99999999997,0.0,223102.58191619563
Gasexisting,2025-2030,0.0,152048.5480769231,0.0,155890.00044748216
Gasexisting,2030-2035,0.0,94227.26923076923,0.0,43659.741337403604
Gasexisting,2035-2040,0.0,21415.288461538465,0.0,16784.986068670387
Gasexisting,2040-2045,0.0,17817.519999999993,0.0,821.1824418734711
Gasexisting,2045-2050,0.0,0.0,0.0,0.0
Gasexisting,2050-2055,0.0,0.0,0.0,0.0
Gasexisting,2055-2060,0.0,0.0,0.0,0.0
GasOCGT,2020-2025,0.018002347626803743,0.018002347626803743,13227.241746946209,0.011579499329921614
GasOCGT,2025-2030,4877.668181808374,4877.68617992145,2808056906.4148426,674.3573986728755
GasOCGT,2030-2035,29189.520011282282,34067.20619278436,13166614194.293104,1402.9772103165653
