Node,RESGeneratorType,Period,ExpectedAnnualCurtailment_GWh,Expected total available power_GWh,Expected annual curtailment ratio of total capacity_%
Austria,Hydrorun-of-the-river,2020-2025,0.0002466884006107646,38513.96047634012,6.405168348300874e-07
Austria,Hydrorun-of-the-river,2025-2030,3109.4383875282874,44908.51896815971,6.92393884049681
Austria,Hydrorun-of-the-river,2030-2035,4751.487992706344,46590.77157756152,10.198345792141158
Austria,Hydrorun-of-the-river,2035-2040,12068.849958449488,53035.38441283145,22.75622226946569
Austria,Hydrorun-of-the-river,2040-2045,11023.555724438895,51935.82431742744,21.22534083037527
Austria,Hydrorun-of-the-river,2045-2050,10403.672439441005,52162.76195499964,19.9446349263794
Austria,Hydrorun-of-the-river,2050-2055,8057.621630091539,49224.54986661319,16.36911185968338
Austria,Hydrorun-of-the-river,2055-2060,6962.872200214358,48002.09753918262,14.505349885035299
Belgium,Hydrorun-of-the-river,2020-2025,237.58461420178244,708.3846143656732,33.53892918955176
Belgium,Hydrorun-of-the-river,2025-2030,133.19941391331264,603.9994141054298,22.052904490079904
Belgium,Hydrorun-of-the-river,2030-2035,93.05714779705767,563.8571477395454,16.503674409398858
Belgium,Hydrorun-of-the-river,2035-2040,185.09127084487412,655.8912708125839,28.21981006326925
Belgium,Hydrorun-of-the-river,2040-2045,581.5163759522941,1052.3163761207063,55.260603098852755
Belgium,Hydrorun-of-the-river,2045-2050,807.0811325589498,1277.8811325881256,63.157762641377104
Belgium,Hydrorun-of-the-river,2050-2055,623.2900923208274,1094.0900918170287,56.96880878298494
Belgium,Hydrorun-of-the-river,2055-2060,947.6248466484171,1418.4248466215074,66.80825204842745
Bulgaria,Hydrorun-of-the-river,2020-2025,2286.845455502364,6258.665560234422,36.538866528230166
Bulgaria,Hydrorun-of-the-river,2025-2030,2981.8615909474875,5473.733697179703,54.475825020202706
Bulgaria,Hydrorun-of-the-river,2030-2035,2082.396753476283,3979.5244905216414,52.32777831713557
Bulgaria,Hydrorun-of-the-river,2035-2040,4258.874281366278,6429.292551138631,66.24172484750332
Bulgaria,Hydrorun-of-the-river,2040-2045,3717.8218807924795,5595.505237052829,66.44300600727645
Bulgaria,Hydrorun-of-the-river,2045-2050,4457.296934416075,6269.198404982389,71.09835494875514
Bulgaria,Hydrorun-of-the-river,2050-2055,2952.0874959687158,4769.260697312075,61.898220360075804
Bulgaria,Hydrorun-of-the-river,2055-2060,4015.7617138451865,5890.93037138549,68.16854827127618
Switzerland,Hydrorun-of-the-river,2020-2025,0.000242778180770652,1262.0096688699457,1.923742636520728e-05
Switzerland,Hydrorun-of-the-river,2025-2030,10.699126409348205,1402.3249487549265,0.7629562904694501
Switzerland,Hydrorun-of-the-river,2030-2035,0.0018612579586304268,1171.8800891572405,0.00015882665605906435
Switzerland,Hydrorun-of-the-river,2035-2040,13.067170211617753,16844.37550431331,0.07757586624847959
Switzerland,Hydrorun-of-the-river,2040-2045,448.2417891297857,18856.4194261842,2.3771309865294623
Switzerland,Hydrorun-of-the-river,2045-2050,144.24906260083986,16624.182704476345,0.8677061914267722
Switzerland,Hydrorun-of-the-river,2050-2055,368.92677129355496,12768.041799397475,2.889454601495467
Switzerland,Hydrorun-of-the-river,2055-2060,259.6630823168578,17175.642554957158,1.5118100035326771
CzechR,Hydrorun-of-the-river,2020-2025,0.0002660150063313494,1174.6954102883478,2.2645445278963994e-05
CzechR,Hydrorun-of-the-river,2025-2030,81.1802591479502,1459.1448954292853,5.563550227413618
CzechR,Hydrorun-of-the-river,2030-2035,229.20276639343567,1551.7917607397992,14.77020127263505
CzechR,Hydrorun-of-the-river,2035-2040,375.56190646136093,1778.292920451993,21.119237564411122
CzechR,Hydrorun-of-the-river,2040-2045,626.2728902824639,1662.3816238492554,37.67323226494317
CzechR,Hydrorun-of-the-river,2045-2050,322.94758143858695,1804.2299335594837,17.899469210194194
CzechR,Hydrorun-of-the-river,2050-2055,496.24596833294714,1657.4216722602523,29.940839838072623
CzechR,Hydrorun-of-the-river,2055-2060,380.5943179599224,1732.7733616768912,21.96446034879035
Germany,Hydrorun-of-the-river,2020-2025,0.00026618334321048973,19489.126710530072,1.365804364475036e-06
Germany,Hydrorun-of-the-river,2025-2030,0.00016556064905792788,21992.85300445766,7.527929597145534e-07
Germany,Hydrorun-of-the-river,2030-2035,0.0010613383055666267,21139.091185558675,5.020737628927433e-06
Germany,Hydrorun-of-the-river,2035-2040,25.73832538691743,21118.84489486496,0.12187373653743579
Germany,Hydrorun-of-the-river,2040-2045,609.013988634878,21656.71685804665,2.812125183271241
Germany,Hydrorun-of-the-river,2045-2050,654.8904742352621,21689.18514675508,3.01943327886267
Germany,Hydrorun-of-the-river,2050-2055,818.4177844876237,21256.223541694435,3.85025017676486
Germany,Hydrorun-of-the-river,2055-2060,784.9859365193878,20374.39078983053,3.852806911464552
Denmark,Hydrorun-of-the-river,2020-2025,0.0002041529946251347,17.73277555688989,0.0011512749031880297
Denmark,Hydrorun-of-the-river,2025-2030,0.0003142277481103825,22.811738472147443,0.0013774826872316051
Denmark,Hydrorun-of-the-river,2030-2035,0.004444922173401481,21.734452652343723,0.020451042611934214
Denmark,Hydrorun-of-the-river,2035-2040,0.007138946032740547,21.700482238105383,0.03289763773177711
Denmark,Hydrorun-of-the-river,2040-2045,0.014232846902478,24.154174464229456,0.058924998341615
Denmark,Hydrorun-of-the-river,2045-2050,0.017047537868056854,25.8076879125981,0.06605604471733807
Denmark,Hydrorun-of-the-river,2050-2055,0.027997849059152223,22.017374667499542,0.1271625226984061
Denmark,Hydrorun-of-the-river,2055-2060,0.04050156817664624,25.568571193822127,0.1584037209964717
Estonia,Hydrorun-of-the-river,2020-2025,1.424195886412672,33.52419583624003,4.248262638035005
Estonia,Hydrorun-of-the-river,2025-2030,8.06729896688127,40.16729824118202,20.08424594166548
Estonia,Hydrorun-of-the-river,2030-2035,7.3281811029852415,39.42818108208918,18.586150570141754
Estonia,Hydrorun-of-the-river,2035-2040,22.155554365712007,54.255554379856235,40.83555060666346
Estonia,Hydrorun-of-the-river,2040-2045,33.05896864325173,65.15896822311328,50.73586882169968
Estonia,Hydrorun-of-the-river,2045-2050,33.10697529473596,65.20697483886572,50.77213806735749
Estonia,Hydrorun-of-the-river,2050-2055,33.021334587536046,65.12132534549174,50.70740561919793
Estonia,Hydrorun-of-the-river,2055-2060,32.993957046265095,65.09395593525723,50.68666755955199
Spain,Hydrorun-of-the-river,2020-2025,443.4906865785704,22319.333649992088,1.9870247630745357
Spain,Hydrorun-of-the-river,2025-2030,2850.6915073853934,25813.36995894655,11.043468992693004
Spain,Hydrorun-of-the-river,2030-2035,2569.959853173896,25648.624689086137,10.01987390874588
Spain,Hydrorun-of-the-river,2035-2040,10788.53742185881,38834.49963521099,27.7808070741226
Spain,Hydrorun-of-the-river,2040-2045,9860.380527724086,39548.40641638217,24.93243450547634
Spain,Hydrorun-of-the-river,2045-2050,8693.528734697167,39633.38191322998,21.93486479082217
Spain,Hydrorun-of-the-river,2050-2055,7504.559633806134,35187.21791801826,21.32751629097476
Spain,Hydrorun-of-the-river,2055-2060,12458.510892141792,43194.09148230281,28.84309048899943
Finland,Hydrorun-of-the-river,2020-2025,0.0004257244663856685,15648.58448680894,2.7205301971212496e-06
Finland,Hydrorun-of-the-river,2025-2030,0.003941039891759473,15486.860949602999,2.5447635286352206e-05
Finland,Hydrorun-of-the-river,2030-2035,581.6282516973338,16631.62822777408,3.497121530927684
Finland,Hydrorun-of-the-river,2035-2040,0.0036656064442732073,15290.130050093716,2.397367734783093e-05
Finland,Hydrorun-of-the-river,2040-2045,0.0040426513226937974,13897.765646257067,2.9088498292404002e-05
Finland,Hydrorun-of-the-river,2045-2050,2018.707591181099,18068.707590537706,11.172396149895434
Finland,Hydrorun-of-the-river,2050-2055,395.28649656353684,16445.286458734612,2.4036461605908217
Finland,Hydrorun-of-the-river,2055-2060,0.01702322147516901,15560.63048272531,0.0001093993041867256
France,Hydrorun-of-the-river,2020-2025,0.00040833840528073145,62443.56858277103,6.539318852981077e-07
France,Hydrorun-of-the-river,2025-2030,5349.770606043628,67636.43205083931,7.909599078234112
France,Hydrorun-of-the-river,2030-2035,0.0028502859029101244,60397.80364310968,4.719188001855911e-06
France,Hydrorun-of-the-river,2035-2040,13062.398959206866,74196.61021189037,17.605115546253828
France,Hydrorun-of-the-river,2040-2045,12265.891174487018,75282.86151510473,16.293072457170073
France,Hydrorun-of-the-river,2045-2050,12612.206122699272,76932.52651119807,16.39385406231716
France,Hydrorun-of-the-river,2050-2055,3128.67687256438,66338.62210848332,4.716222274632212
France,Hydrorun-of-the-river,2055-2060,13345.89311321564,77315.25018677831,17.261656763671603
Greece,Hydrorun-of-the-river,2020-2025,0.0002226810028430155,636.2558357345279,3.499865782542342e-05
Greece,Hydrorun-of-the-river,2025-2030,0.003923513949119446,650.488700269031,0.0006031640438176325
Greece,Hydrorun-of-the-river,2030-2035,0.004073856673420821,583.6151662088514,0.0006980381781173517
Greece,Hydrorun-of-the-river,2035-2040,459.998985598895,3281.9763840722962,14.015913942321715
Greece,Hydrorun-of-the-river,2040-2045,0.027108901048628852,3292.8992155343103,0.0008232532875814155
Greece,Hydrorun-of-the-river,2045-2050,0.03947289627051118,2868.741921074178,0.0013759654007402264
Greece,Hydrorun-of-the-river,2050-2055,0.048644739996581456,2821.5725253782657,0.0017240294041373275
Greece,Hydrorun-of-the-river,2055-2060,0.07297039169947017,2981.020142909213,0.0024478328961661257
