Node,Period,Converter invested capacity [MW],Converter total capacity [MW]
EnergyhubEU,2020-2025,0.010571859906060412,0.010571859906060412
EnergyhubEU,2025-2030,7.291855173861456e-05,0.010644714437786166
EnergyhubEU,2030-2035,0.1649152816918073,0.1755599554145063
EnergyhubEU,2035-2040,6.908064815128796e-07,0.17556055889609923
EnergyhubEU,2040-2045,15007.913894292678,15008.089460259604
EnergyhubEU,2045-2050,0.028045860540808185,15008.117505707613
EnergyhubEU,2050-2055,0.00021800625658315926,15008.117726694085
EnergyhubEU,2055-2060,6.061513777705163e-07,15008.117695887724
EnergyhubNorth,2020-2025,0.009808112749919037,0.009808112749919037
EnergyhubNorth,2025-2030,3.236032638076175e-05,0.009840409056334714
EnergyhubNorth,2030-2035,0.03590530741577785,0.045745652452314815
EnergyhubNorth,2035-2040,2.334071318077848e-06,0.0457479225034598
EnergyhubNorth,2040-2045,874.1648821090394,874.2106299672074
EnergyhubNorth,2045-2050,3018.6894435136373,3892.900073406185
EnergyhubNorth,2050-2055,138.41421481392322,4031.3142901279416
EnergyhubNorth,2055-2060,6.467996297491458e-07,4031.314288718195
EnergyhubCentral,2020-2025,0.011172205295212491,0.011172205295212491
EnergyhubCentral,2025-2030,7.999793600971541e-05,0.011252139211219004
EnergyhubCentral,2030-2035,0.12667509781785233,0.1379271764112313
EnergyhubCentral,2035-2040,8.040838890718777e-07,0.1379279130729556
EnergyhubCentral,2040-2045,5451.500635274612,5451.638563135743
EnergyhubCentral,2045-2050,0.004146598258901987,5451.642709655552
EnergyhubCentral,2050-2055,8.999910974968586e-05,5451.642799598906
EnergyhubCentral,2055-2060,6.087797903331959e-07,5451.642800079331
