Node,Period,Converter invested capacity [MW],Converter total capacity [MW]
EnergyhubEU,2020-2025,0.037859682660697926,0.037859682660697926
EnergyhubEU,2025-2030,8.578299292507232e-05,0.037945339658571865
EnergyhubEU,2030-2035,1483.365609703908,1483.4035425842878
EnergyhubEU,2035-2040,4.7852419813531645e-06,1483.4035595748653
EnergyhubEU,2040-2045,2922.288996452623,4405.692555904024
EnergyhubEU,2045-2050,1.9047923287905888,4407.597348251551
EnergyhubEU,2050-2055,1.1738594754172102e-05,4407.597360396851
EnergyhubEU,2055-2060,3.207155415446319e-06,4407.5973627947715
EnergyhubNorth,2020-2025,0.03671748420444849,0.03671748420444849
EnergyhubNorth,2025-2030,6.233600915525259e-05,0.03677969421860454
EnergyhubNorth,2030-2035,0.07826938180710392,0.11504895003064193
EnergyhubNorth,2035-2040,0.013457508940256583,0.1285063329758677
EnergyhubNorth,2040-2045,7558.90324124494,7559.031747619142
EnergyhubNorth,2045-2050,4861.838267731783,12420.87001807044
EnergyhubNorth,2050-2055,2.4849110466853234e-05,12420.870036691527
EnergyhubNorth,2055-2060,5.277882992424862e-06,12420.870045162877
EnergyhubCentral,2020-2025,0.042309759822843324,0.042309759822843324
EnergyhubCentral,2025-2030,9.793357403809913e-05,0.04240756740185384
EnergyhubCentral,2030-2035,1541.9071440817013,1541.949551427843
EnergyhubCentral,2035-2040,5.517926908649375e-06,1541.9495569129165
EnergyhubCentral,2040-2045,18239.90035842081,19781.84991505743
EnergyhubCentral,2045-2050,0.00041590305017205446,19781.85033064267
EnergyhubCentral,2050-2055,2.2502242914249515e-05,19781.850352901532
EnergyhubCentral,2055-2060,3.527604966887186e-06,19781.85035666165
