BetweenNode,AndNode,Period,transmissionInvCap_MW,transmissionInstalledCap_MW,DiscountedInvestmentCost_EuroPerMW,transmissionExpectedAnnualVolume_GWh,ExpectedAnnualLosses_GWh
Switzerland,Austria,2020-2025,0.0,1200.0,0.0,2695.835965682778,80.87507897048334
Switzerland,Austria,2025-2030,0.0,1200.0,0.0,3259.1253745317217,97.77376123595198
Switzerland,Austria,2030-2035,999.9994475597723,2199.9994475597723,239415939.02855763,5948.12782471053,178.44383474131584
Switzerland,Austria,2035-2040,0.000352737143523813,2199.999800241669,60.66629032090822,11244.96942905064,337.3490828715185
Switzerland,Austria,2040-2045,1000.0000593389707,3199.999859317543,119155006.32701273,18335.59865911564,550.067959773469
Switzerland,Austria,2045-2050,3.5350649894095164e-07,3199.9998597669246,0.02748850646093368,17272.22668533048,518.166800559915
Switzerland,Austria,2050-2055,3.510202513369336e-06,3199.9998622771163,0.15910039664972034,19992.717092238236,599.7815127671486
Switzerland,Austria,2055-2060,2.687345733488841e-07,3199.9998634918275,0.005351020957308662,19308.532064259925,579.2559619277978
CzechR,Austria,2020-2025,0.0,900.0,0.0,4782.139877119457,143.4641963135841
CzechR,Austria,2025-2030,0.0,900.0,0.0,1888.321149505847,56.64963448517556
CzechR,Austria,2030-2035,999.9998463100087,1899.9998463100087,87917377.49684215,6246.2423472329165,187.38727041698692
CzechR,Austria,2035-2040,4.063977055449754e-05,1899.999886894532,2.5666637949240427,7361.079112463715,220.83237337391148
CzechR,Austria,2040-2045,1.2229613262958796e-05,1899.9998990688982,0.5351142096919748,9942.739606959618,298.2821882087886
CzechR,Austria,2045-2050,2.599524937618608e-05,1899.999925008901,0.7422824991702279,11916.704672086937,357.5011401626089
CzechR,Austria,2050-2055,1.71725177620426e-07,1899.999925125379,0.002858212771936066,11638.710662207104,349.1613198662131
CzechR,Austria,2055-2060,1.2490393002069966e-07,1899.9999251950358,0.0009132942091825851,10175.937779539518,305.27813338618563
Germany,Austria,2020-2025,0.0,5000.0,0.0,15346.464383038103,460.3939314911433
