Node,RESGeneratorType,Period,ExpectedAnnualCurtailment_GWh,Expected total available power_GWh,Expected annual curtailment ratio of total capacity_%
Austria,Hydrorun-of-the-river,2020-2025,9.080053142111685,41073.26001072492,0.022106969692059334
Austria,Hydrorun-of-the-river,2025-2030,2375.70970421626,44047.43759874088,5.3935253302547865
Austria,Hydrorun-of-the-river,2030-2035,5750.9787828239005,46968.15554635409,12.24442117414662
Austria,Hydrorun-of-the-river,2035-2040,7685.263587357152,49354.15867001991,15.571663654000348
Austria,Hydrorun-of-the-river,2040-2045,9620.249722640825,50785.26634706781,18.94299353851133
Austria,Hydrorun-of-the-river,2045-2050,16241.915802520458,56216.56723691581,28.891689053284736
Austria,Hydrorun-of-the-river,2050-2055,4509.511065772205,45907.178829280354,9.823106496136862
Austria,Hydrorun-of-the-river,2055-2060,2119.9919991261468,43681.061515630834,4.853343590030495
Belgium,Hydrorun-of-the-river,2020-2025,41.38484702810656,512.1848410204364,8.080060890840636
Belgium,Hydrorun-of-the-river,2025-2030,143.03531699613,613.835317544045,23.301904095126734
Belgium,Hydrorun-of-the-river,2030-2035,352.86638009280773,823.666380575701,42.840935166756715
Belgium,Hydrorun-of-the-river,2035-2040,393.8282221522927,864.6282226988707,45.54885114934002
Belgium,Hydrorun-of-the-river,2040-2045,682.5271102789385,1153.3271113805317,59.178970436405855
Belgium,Hydrorun-of-the-river,2045-2050,992.5551425861798,1463.3551430693885,67.82735874384495
Belgium,Hydrorun-of-the-river,2050-2055,632.2826645877207,1103.0826627969986,57.31960857625048
Belgium,Hydrorun-of-the-river,2055-2060,670.6364278288557,1141.436425454925,58.7537258206536
Bulgaria,Hydrorun-of-the-river,2020-2025,1721.6079151525275,5693.390779177173,30.238709793978693
Bulgaria,Hydrorun-of-the-river,2025-2030,2522.9139965522777,5198.542489946577,48.531179680291594
Bulgaria,Hydrorun-of-the-river,2030-2035,3871.4910638059123,6204.546650347861,62.39764614532884
Bulgaria,Hydrorun-of-the-river,2035-2040,4198.703209091788,6100.175012753732,68.82922539621393
Bulgaria,Hydrorun-of-the-river,2040-2045,3911.1977328841344,5209.020679402706,75.08508745894656
Bulgaria,Hydrorun-of-the-river,2045-2050,5409.175889119716,7035.030203160058,76.88916369811709
Bulgaria,Hydrorun-of-the-river,2050-2055,4125.991021059716,5497.831392940919,75.04760925112014
Bulgaria,Hydrorun-of-the-river,2055-2060,4380.648362110581,5989.1340890968795,73.1432674063097
Switzerland,Hydrorun-of-the-river,2020-2025,0.00060402287273389,1284.4327248340385,4.7026431284046874e-05
Switzerland,Hydrorun-of-the-river,2025-2030,0.0005709617105476898,17087.007472579615,3.3414962301850744e-06
Switzerland,Hydrorun-of-the-river,2030-2035,0.0030446561797980894,16748.807695112595,1.817834579763274e-05
Switzerland,Hydrorun-of-the-river,2035-2040,0.004200228853920411,16640.558711137484,2.5240912440693523e-05
Switzerland,Hydrorun-of-the-river,2040-2045,57.10259996709763,15539.099895452337,0.36747688316109767
Switzerland,Hydrorun-of-the-river,2045-2050,188.4400195282942,24234.195380534286,0.7775790224075503
Switzerland,Hydrorun-of-the-river,2050-2055,37.76305205589283,19598.8279436888,0.19268015497862084
Switzerland,Hydrorun-of-the-river,2055-2060,0.04324327664493957,16078.476803356905,0.0002689513265081872
CzechR,Hydrorun-of-the-river,2020-2025,23.9926395036348,1268.5386034057024,1.8913606128517244
CzechR,Hydrorun-of-the-river,2025-2030,28.838418606191038,1570.6722208362269,1.8360558125130302
CzechR,Hydrorun-of-the-river,2030-2035,259.5341450565901,1671.2868168094244,15.5290009139218
CzechR,Hydrorun-of-the-river,2035-2040,258.74326165791337,1732.1674578292009,14.937543162378619
CzechR,Hydrorun-of-the-river,2040-2045,371.26720343626704,1609.6689721140713,23.06481704425602
CzechR,Hydrorun-of-the-river,2045-2050,407.86977729875684,1697.4626887742118,24.028202799160887
CzechR,Hydrorun-of-the-river,2050-2055,114.85994372191415,1573.7858508997374,7.29832102990686
CzechR,Hydrorun-of-the-river,2055-2060,538.7355131246175,1947.2675160629885,27.66623017539162
Germany,Hydrorun-of-the-river,2020-2025,0.0007988944556668253,20083.117521424705,3.977940450801841e-06
Germany,Hydrorun-of-the-river,2025-2030,0.0004631429717342368,20758.55810873564,2.2310941314336107e-06
Germany,Hydrorun-of-the-river,2030-2035,0.0021256774469612908,20126.158889537273,1.05617642125758e-05
Germany,Hydrorun-of-the-river,2035-2040,0.0034835795928562885,20737.75359018729,1.679824951968111e-05
Germany,Hydrorun-of-the-river,2040-2045,240.15414503299485,21466.395756404494,1.1187446078894958
Germany,Hydrorun-of-the-river,2045-2050,988.09853361598,23552.519899200735,4.1952985831019785
Germany,Hydrorun-of-the-river,2050-2055,576.4523923220823,20660.49367638785,2.790119158579882
Germany,Hydrorun-of-the-river,2055-2060,649.092545651879,19315.98686051111,3.3603902836507924
Denmark,Hydrorun-of-the-river,2020-2025,0.0008689074048446093,16.972457890463634,0.005119514276908737
Denmark,Hydrorun-of-the-river,2025-2030,0.00394544379394765,18.20629743044817,0.021670764245284153
Denmark,Hydrorun-of-the-river,2030-2035,0.014116729167280627,18.182347156696412,0.07763975159874531
Denmark,Hydrorun-of-the-river,2035-2040,0.0407369739071431,21.996102180385652,0.18520087592368545
Denmark,Hydrorun-of-the-river,2040-2045,0.06747985244308163,26.602575717621995,0.25365909361318667
Denmark,Hydrorun-of-the-river,2045-2050,0.06882255807730756,20.451853800858384,0.3365101215148477
Denmark,Hydrorun-of-the-river,2050-2055,0.10802924418732067,24.128856640339947,0.4477180406746313
Denmark,Hydrorun-of-the-river,2055-2060,0.10569318486173311,24.90851797589404,0.4243254655456452
Estonia,Hydrorun-of-the-river,2020-2025,4.954885441439348,37.05488452385477,13.37174708573049
Estonia,Hydrorun-of-the-river,2025-2030,8.190174707968893,40.29017435528137,20.32797037746077
Estonia,Hydrorun-of-the-river,2030-2035,8.734495536973554,40.83449269477868,21.389993999093797
Estonia,Hydrorun-of-the-river,2035-2040,17.303981344471755,49.40397899159317,35.025481140732175
