Node,RESGeneratorType,Period,ExpectedAnnualCurtailment_GWh,Expected total available power_GWh,Expected annual curtailment ratio of total capacity_%
Austria,Hydrorun-of-the-river,2020-2025,0.0003967859159783705,41038.9456139448,9.668521206927522e-07
Austria,Hydrorun-of-the-river,2025-2030,2061.391325058806,44107.440466810054,4.673568230761341
Austria,Hydrorun-of-the-river,2030-2035,5605.464454242743,46564.303465700075,12.03811511616792
Austria,Hydrorun-of-the-river,2035-2040,12620.646119989784,53750.823079170914,23.479912300878674
Austria,Hydrorun-of-the-river,2040-2045,16411.959612454662,57929.78470384422,28.330779574545122
Austria,Hydrorun-of-the-river,2045-2050,14386.925692081348,56374.01339135987,25.520492203037566
Austria,Hydrorun-of-the-river,2050-2055,12118.805932671235,53727.732607033155,22.555960105945065
Austria,Hydrorun-of-the-river,2055-2060,10244.728278002824,52039.93817559014,19.686280647443617
Belgium,Hydrorun-of-the-river,2020-2025,0.00020793760344847185,470.1773135379707,4.422535870218655e-05
Belgium,Hydrorun-of-the-river,2025-2030,130.15953316869573,600.9595331876739,21.658618589223405
Belgium,Hydrorun-of-the-river,2030-2035,169.10375439538086,639.9037543467107,26.426435732983304
Belgium,Hydrorun-of-the-river,2035-2040,225.83776539383845,696.6377653351342,32.41824899992234
Belgium,Hydrorun-of-the-river,2040-2045,558.5018223147795,1029.3018218528791,54.26025782305548
Belgium,Hydrorun-of-the-river,2045-2050,260.1295554560125,730.9295548810406,35.588868136321125
Belgium,Hydrorun-of-the-river,2050-2055,1073.433592305076,1544.233592242909,69.51238450563535
Belgium,Hydrorun-of-the-river,2055-2060,718.8628986517816,1189.6628986000915,60.425764264623794
Bulgaria,Hydrorun-of-the-river,2020-2025,1691.6354834143647,5663.460543263584,29.869290524615455
Bulgaria,Hydrorun-of-the-river,2025-2030,3834.371806020107,6554.556392598604,58.49933353765747
Bulgaria,Hydrorun-of-the-river,2030-2035,4132.3119560317655,6083.987519872055,67.92111164814926
Bulgaria,Hydrorun-of-the-river,2035-2040,4556.596936329393,6718.985512701602,67.81674000807982
Bulgaria,Hydrorun-of-the-river,2040-2045,4564.350920764638,6359.762206800766,71.7692072807971
Bulgaria,Hydrorun-of-the-river,2045-2050,4845.0068354052755,7089.638571626177,68.33926421574913
Bulgaria,Hydrorun-of-the-river,2050-2055,4700.7897623031295,6777.895600492924,69.35470888576778
Bulgaria,Hydrorun-of-the-river,2055-2060,3814.3734961190576,5484.641261302805,69.54645371305475
Switzerland,Hydrorun-of-the-river,2020-2025,0.0002069069359194286,1391.3430323527598,1.4871022537810043e-05
