Node,RESGeneratorType,Period,ExpectedAnnualCurtailment_GWh,Expected total available power_GWh,Expected annual curtailment ratio of total capacity_%
Austria,Hydrorun-of-the-river,2020-2025,0.00031586435226828237,41966.348019312754,7.526610419446619e-07
Austria,Hydrorun-of-the-river,2025-2030,1397.9931544491951,43118.1967459631,3.2422347406726395
Austria,Hydrorun-of-the-river,2030-2035,5688.334950709063,45646.507298729826,12.461709093057705
Austria,Hydrorun-of-the-river,2035-2040,11401.590519515928,52071.04080692526,21.896221667225745
Austria,Hydrorun-of-the-river,2040-2045,8498.595171769128,49365.56108097203,17.215635729996624
Austria,Hydrorun-of-the-river,2045-2050,9773.905455499858,50963.20267481384,19.178357996582797
Austria,Hydrorun-of-the-river,2050-2055,12997.058064046654,53665.355231568945,24.21871244113383
Austria,Hydrorun-of-the-river,2055-2060,1684.1084639712772,42710.65817365504,3.943063712865178
Belgium,Hydrorun-of-the-river,2020-2025,160.1743592812188,630.974359240298,25.385240610105136
Belgium,Hydrorun-of-the-river,2025-2030,289.98103549969403,760.7810354598316,38.11622818968188
Belgium,Hydrorun-of-the-river,2030-2035,137.17162071640095,607.9716206330785,22.562174953752724
Belgium,Hydrorun-of-the-river,2035-2040,342.5958150817267,813.3958150360725,42.119200609181064
Belgium,Hydrorun-of-the-river,2040-2045,555.7213356418582,1026.5213351320374,54.13636488815675
Belgium,Hydrorun-of-the-river,2045-2050,710.4817498391243,1181.2817497710307,60.14498657723594
Belgium,Hydrorun-of-the-river,2050-2055,456.7222897567107,927.5222889685961,49.241112066922454
Belgium,Hydrorun-of-the-river,2055-2060,970.9614082625469,1441.7614081797092,67.34549855155512
Bulgaria,Hydrorun-of-the-river,2020-2025,1823.6185871341872,5795.441847812159,31.4664288767322
Bulgaria,Hydrorun-of-the-river,2025-2030,2737.8467245456027,5884.10181404758,46.529560688588454
Bulgaria,Hydrorun-of-the-river,2030-2035,3219.5067905220358,5322.0406812359315,60.493840302144655
Bulgaria,Hydrorun-of-the-river,2035-2040,3309.278196115508,5180.526246912502,63.879189842687836
Bulgaria,Hydrorun-of-the-river,2040-2045,5010.420112665771,7014.8711783505805,71.42568958541987
Bulgaria,Hydrorun-of-the-river,2045-2050,4495.996491384493,6247.491302488005,71.96482994052356
Bulgaria,Hydrorun-of-the-river,2050-2055,3815.0560883139296,5535.663569971412,68.9177736343835
Bulgaria,Hydrorun-of-the-river,2055-2060,3288.477039827448,4598.499691008768,71.51195522003087
Switzerland,Hydrorun-of-the-river,2020-2025,0.00021671944613612404,1378.062101401129,1.572639185968303e-05
Switzerland,Hydrorun-of-the-river,2025-2030,8.934371974437742,1257.8776388186186,0.7102735352564802
Switzerland,Hydrorun-of-the-river,2030-2035,0.0008814434502725024,18668.377920195533,4.721585635562654e-06
Switzerland,Hydrorun-of-the-river,2035-2040,0.0010032984773948388,16598.853712256136,6.0443841170431605e-06
Switzerland,Hydrorun-of-the-river,2040-2045,288.15913660401134,19635.20547862697,1.4675636418354479
Switzerland,Hydrorun-of-the-river,2045-2050,144.26239099908858,16448.517668209126,0.8770540538003113
Switzerland,Hydrorun-of-the-river,2050-2055,153.91644679661587,16676.195808650526,0.9229709734924919
Switzerland,Hydrorun-of-the-river,2055-2060,396.6213387678581,13175.040250119466,3.0103994465160113
CzechR,Hydrorun-of-the-river,2020-2025,0.0002006918718927445,1174.2916883589369,1.7090461755137664e-05
CzechR,Hydrorun-of-the-river,2025-2030,19.51140763812154,1373.7781558747151,1.4202735394127877
CzechR,Hydrorun-of-the-river,2030-2035,208.29619102381886,1616.8489387918555,12.882847990701116
CzechR,Hydrorun-of-the-river,2035-2040,276.14923402114607,1674.9035363369253,16.48747095161638
CzechR,Hydrorun-of-the-river,2040-2045,309.59913452886093,1722.0559997798043,17.978459153967624
CzechR,Hydrorun-of-the-river,2045-2050,181.63609113684788,1752.8397941966043,10.362389748237025
