Node,GeneratorType,Period,genInvCap_MW,genInstalledCap_MW,genExpectedCapacityFactor,DiscountedInvestmentCost_Euro,genExpectedAnnualProduction_GWh
BosniaH,Liginiteexisting,2020-2025,0.0,1888.0,0.7499999454799762,0.0,12404.159098299842
BosniaH,Liginiteexisting,2025-2030,0.0,1161.8461538461538,0.7077693701535122,0.0,7203.515495781242
BosniaH,Liginiteexisting,2030-2035,0.0,780.6153846153845,0.6786694500390166,0.0,4640.871168615726
BosniaH,Liginiteexisting,2035-2040,0.0,544.6153846153845,0.013531448725383454,0.0,64.55625193132794
BosniaH,Liginiteexisting,2040-2045,0.0,377.5999999999999,0.001857773510205855,0.0,6.145098630494679
BosniaH,Liginiteexisting,2045-2050,0.0,94.40000000000009,2.0359831019265058e-07,0.0,0.00016836440102395195
BosniaH,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
BosniaH,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Bulgaria,Liginiteexisting,2020-2025,0.0,12357.0,0.31891746624868644,0.0,34521.96102261075
Bulgaria,Liginiteexisting,2025-2030,0.0,7604.307692307692,0.5549698740107799,0.0,36968.61633378738
Bulgaria,Liginiteexisting,2030-2035,0.0,5109.1442307692305,0.5170957583301151,0.0,23143.19125934522
Bulgaria,Liginiteexisting,2035-2040,0.0,3564.5192307692305,0.04561164184354338,0.0,1424.2321126048364
Bulgaria,Liginiteexisting,2040-2045,0.0,2471.3999999999996,0.02225061127855035,0.0,481.71380785296975
Bulgaria,Liginiteexisting,2045-2050,0.0,617.8500000000006,0.005251496952255901,0.0,28.423023553493472
Bulgaria,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Bulgaria,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
CzechR,Liginiteexisting,2020-2025,0.0,7250.0,0.7499999885670809,0.0,47632.49927389522
CzechR,Liginiteexisting,2025-2030,0.0,4461.538461538462,0.7338623999526838,0.0,28681.60062830453
CzechR,Liginiteexisting,2030-2035,0.0,2997.596153846154,0.6679903235670878,0.0,17540.719368644863
CzechR,Liginiteexisting,2035-2040,0.0,2091.346153846154,0.017897250660680677,0.0,327.8810738826423
CzechR,Liginiteexisting,2040-2045,0.0,1449.9999999999998,0.0024013534695653174,0.0,30.501991770418677
CzechR,Liginiteexisting,2045-2050,0.0,362.50000000000034,5.39989430933864e-08,0.0,0.0001714736437930488
CzechR,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
CzechR,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Germany,Liginiteexisting,2020-2025,0.0,19106.0,0.74530136268117,0.0,124740.01583798474
Germany,Liginiteexisting,2025-2030,0.0,11757.538461538463,0.7371642249625178,0.0,75924.99373261128
Germany,Liginiteexisting,2030-2035,0.0,7899.596153846153,0.6749879648193817,0.0,46709.47921762962
Germany,Liginiteexisting,2035-2040,0.0,5511.346153846153,0.049999051631265154,0.0,2413.923828718413
Germany,Liginiteexisting,2040-2045,0.0,3821.1999999999994,0.0019140140132292243,0.0,64.06915384279921
Germany,Liginiteexisting,2045-2050,0.0,955.3000000000009,2.6163623248729846e-08,0.0,0.0002189483973761222
