Node,Period,Converter invested capacity [MW],Converter total capacity [MW]
EnergyhubEU,2020-2025,0.007793918017646242,0.007793918017646242
EnergyhubEU,2025-2030,4.844440607211182e-07,0.007794384984005713
EnergyhubEU,2030-2035,21262.337971321365,21262.345755396425
EnergyhubEU,2035-2040,0.0006118807010635257,21262.34637121112
EnergyhubEU,2040-2045,5941.097383168024,27203.443755917848
EnergyhubEU,2045-2050,2.9793496176268404e-05,27203.443783354942
EnergyhubEU,2050-2055,1.2402648414434572e-06,27203.443805060047
EnergyhubEU,2055-2060,5.946975878221674e-07,27203.44378599371
EnergyhubNorth,2020-2025,0.007315332153517587,0.007315332153517587
EnergyhubNorth,2025-2030,4.859919158953418e-07,0.007315800667728695
EnergyhubNorth,2030-2035,0.0323542646792437,0.03967004786927483
EnergyhubNorth,2035-2040,0.000886002947742029,0.040556033339311286
EnergyhubNorth,2040-2045,2942.326687844675,2942.367243826962
EnergyhubNorth,2045-2050,10120.87460516413,13063.241849539125
EnergyhubNorth,2050-2055,2814.9718899107056,15878.213737648206
EnergyhubNorth,2055-2060,6.229157758689969e-07,15878.213739573068
EnergyhubCentral,2020-2025,0.008008040273278595,0.008008040273278595
EnergyhubCentral,2025-2030,4.909645558995652e-07,0.008008513760131475
EnergyhubCentral,2030-2035,6514.190356984973,6514.198365521092
EnergyhubCentral,2035-2040,0.018042231534006782,6514.216407712705
EnergyhubCentral,2040-2045,14325.053878147872,20839.27028635798
EnergyhubCentral,2045-2050,2091.2096442869592,22930.479929621266
EnergyhubCentral,2050-2055,1.2932329273922446e-05,22930.479943850994
EnergyhubCentral,2055-2060,6.383191492128144e-07,22930.479943945968
