BetweenNode,AndNode,Period,transmissionInvCap_MW,transmissionInstalledCap_MW,DiscountedInvestmentCost_EuroPerMW,transmissionExpectedAnnualVolume_GWh,ExpectedAnnualLosses_GWh
Switzerland,Austria,2020-2025,0.0,1200.0,0.0,3506.670198840079,105.20010596520245
Switzerland,Austria,2025-2030,0.0,1200.0,0.0,4223.2689043454375,126.69806713036306
Switzerland,Austria,2030-2035,999.9997016085376,2199.9997016085376,239415999.85191497,7070.063923789937,212.10191771369867
Switzerland,Austria,2035-2040,0.00025770629618802226,2199.9999592973554,44.322196482869344,14122.742713796153,423.6822814138844
Switzerland,Austria,2040-2045,999.9999715157084,3199.9999306525274,119154995.86243199,19018.538399589066,570.5561519876733
Switzerland,Austria,2045-2050,7.676736077737498e-07,3199.999931263089,0.05969395468087793,19161.21953715643,574.8365861146938
Switzerland,Austria,2050-2055,7.244468046333868e-07,3199.999931972909,0.03283564795187841,16899.09221842934,506.97276655288067
Switzerland,Austria,2055-2060,1.6138786573227065e-06,3199.9999338489697,0.032135420501609335,20900.09462246735,627.0028386740196
CzechR,Austria,2020-2025,0.0,900.0,0.0,5005.919198000433,150.17757594001355
CzechR,Austria,2025-2030,0.0,900.0,0.0,1865.4988460970465,55.9649653829112
CzechR,Austria,2030-2035,999.999911384813,1899.999911384813,87917383.21804915,7708.297229309413,231.24891687928266
CzechR,Austria,2035-2040,5.470320229405479e-05,1899.9999660705378,3.454860273048907,8647.406829980437,259.42220489941326
CzechR,Austria,2040-2045,2.822595192936489e-07,1899.9999663353196,0.012350437936768835,10638.114131117569,319.14342393352774
CzechR,Austria,2045-2050,1.5387033558969466e-07,1899.9999664717122,0.004393697309721191,9924.070414709944,297.722112441299
CzechR,Austria,2050-2055,1.72519208181463e-07,1899.9999666267543,0.0028714287040568637,10213.61869972813,306.40856099184435
CzechR,Austria,2055-2060,2.8679471847730805e-07,1899.999966896071,0.0020970353420109943,11674.137628742827,350.224128862286
Germany,Austria,2020-2025,0.0,5000.0,0.0,17061.190065180024,511.83570195540153
Germany,Austria,2025-2030,1999.9998276672277,6999.999827667228,891259.8778342862,17432.20176776766,522.9660530330316
Germany,Austria,2030-2035,500.00013196063577,7499.999961191583,149745.3700214445,27348.01737516332,820.440521254903
Germany,Austria,2035-2040,4.207803599242086e-07,7499.999960014331,9.052774253535006e-05,40533.43343074726,1216.0030029224204
Germany,Austria,2040-2045,700.0000038616793,8199.999964076307,104337.46843001741,42057.21053566595,1261.7163160699847
Germany,Austria,2045-2050,9.419919600424029e-08,8199.99996386656,9.162857277969995e-06,41691.872387180294,1250.7561716154105
Germany,Austria,2050-2055,1.4061610100387286e-07,8199.999964009547,7.972676190247967e-06,44144.74715423078,1324.3424146269201
Germany,Austria,2055-2060,5.445317140008203e-07,8199.999964585872,1.356332823112221e-05,46155.91653875335,1384.6774961626018
Hungary,Austria,2020-2025,0.0,800.0,0.0,3230.3938116889053,96.91181435066709
Hungary,Austria,2025-2030,0.0,800.0,0.0,3931.9242943162503,117.95772882948731
Hungary,Austria,2030-2035,1999.9999619219197,2799.9999619219197,149305056.36061263,13589.420290417116,407.682608712513
Hungary,Austria,2035-2040,6.141214804001564e-06,2799.9999680456563,0.329337938006412,15390.102221335113,461.7030666400536
Hungary,Austria,2040-2045,1.630636358093563e-07,2799.9999681912423,0.00605843730802456,17693.100885855605,530.7930265756684
Hungary,Austria,2045-2050,8.029948410015542e-08,2799.9999682540642,0.0019469631197852803,16731.523611100147,501.94570833300446
Hungary,Austria,2050-2055,1.0875767806786555e-07,2799.999968345344,0.0015370579621455482,17142.04487743278,514.261346322983
