Period,Scenario,AnnualCO2emission_Ton,CO2Price_EuroPerTon,CO2Cap_Ton,AnnualGeneration_GWh,AvgCO2factor_TonPerMWh,AvgELPrice_EuroPerMWh,TotAnnualCurtailedRES_GWh,TotAnnualLossesChargeDischarge_GWh,AnnualLossesTransmission_GWh
2020-2025,scenario1,1099999999.519722,-0.014978142514000424,1100000000.0,3454366.95487243,0.31843750646352587,47.507565373990566,3220.1344093604544,12008.298008614343,15830.526646585444
2020-2025,scenario2,1039418004.5098094,-5.603505280259236e-10,1100000000.0,3380328.0516818715,0.307490275682754,44.27335343093525,9656.470548328592,10562.416490617805,17846.990965343743
2020-2025,scenario3,994305951.1356003,-2.493044898901448e-09,1100000000.0,3433987.0814712625,0.2895485415482254,42.522887370320355,11812.83963133101,13713.7633822824,18368.37133349637
2025-2030,scenario1,986147457.1934443,-2.1608205676366923e-09,990000000.0,4519432.681940747,0.21820160329726615,40.17832094822072,103691.94441156849,12240.179172826663,21148.093448884214
2025-2030,scenario2,990000000.006193,-37.86952578441047,990000000.0,4536394.34091457,0.21823499581533606,65.73710751335234,44522.04868728879,8397.099238158704,19551.28631497892
2025-2030,scenario3,990000000.0669948,-25.084693313788623,990000000.0,4579484.832982678,0.21618152175916516,67.18409631240633,32057.998313002736,9171.967702067288,21039.14534787316
2030-2035,scenario1,770000000.0068038,-24.448451717801497,770000000.0,5521923.543956045,0.13944416178118868,156.83863331958975,75231.15965802943,23934.961989497737,47792.74572138847
2030-2035,scenario2,641023800.68587,-5.23227306373661e-08,770000000.0,5527992.789691134,0.11595959420954809,42.36072634873956,201554.6235301023,30871.11485197811,54878.67708039953
2030-2035,scenario3,769999999.9155209,-31.151231720381116,770000000.0,5668717.683750524,0.1358331888925682,37.95486123434212,95420.25399046612,22018.434821867602,51722.383313466285
2035-2040,scenario1,330000000.0108146,-37.817877033166326,330000000.0,6581865.8225347875,0.05013775863995467,27.720597817252802,207873.65839595147,35195.240262054285,59704.546436382094
2035-2040,scenario2,330000000.0071348,-56.5466177733828,330000000.0,6771977.067727677,0.048730229991443906,51.502648503882966,158223.80570463813,32885.18585131488,59127.08064417683
2035-2040,scenario3,330000000.03498596,-52.963845818613486,330000000.0,6673765.092899821,0.0494473502500235,27.27653824424203,164758.99317783603,29596.07222708848,59315.85048865941
2040-2045,scenario1,66000000.00667445,-50.53872006155017,66000000.0,7227658.079373079,0.00913158858400126,13.978784524629285,250780.71731815042,66244.76533635585,84414.8660674624
2040-2045,scenario2,66000000.00664907,-50.53872002250985,66000000.0,7280245.4425463015,0.009065628422488361,42.38198782955044,477615.5456377368,71341.57729675918,83365.07278728644
2040-2045,scenario3,66000000.00666285,-335.0470651274418,66000000.0,7692987.2323740125,0.008579242108830144,51.63371451329691,345678.9486445073,61020.55191231957,84932.92056994284
2045-2050,scenario1,55000000.005584046,-89.18436637799266,55000000.0,8135360.557746772,0.006760610008023617,21.316489710064413,266006.1728112957,68984.80543277448,86448.69269375649
2045-2050,scenario2,55000000.00005798,-123.59381052438809,55000000.0,8001323.180471396,0.00687386307983366,23.54742819812328,425889.7045276336,67798.25097104999,87445.7471975456
2045-2050,scenario3,55000000.00561744,-91.96177388808346,55000000.0,8081490.889760891,0.006805674937442931,21.502020161846357,353667.7676880065,70333.36874479694,86304.03708247803
2050-2055,scenario1,33000000.002550356,-294.0808509809723,33000000.0,8078159.585628378,0.004085088893423433,26.714871573581295,464141.0422684894,78304.2940317375,87191.81099597394
2050-2055,scenario2,33000000.00411851,-53.569281464533724,33000000.0,8144670.920921885,0.004051729078377911,10.953010049986917,493001.3709862708,80517.53114640381,84811.13654035835
2050-2055,scenario3,33000000.004116803,-71.14584486672713,33000000.0,8044060.108110276,0.004102405944337081,26.378569723240854,633548.8350958993,95077.48324276108,89194.5400647171
2055-2060,scenario1,22000000.00414099,-61.975432031728765,22000000.0,8074506.835677026,0.002724624605794401,6.790305248558182,722245.5645683082,74151.06049700087,86725.22185815005
2055-2060,scenario2,22000000.004091468,-254.44529993538183,22000000.0,8050596.989517562,0.0027327165963885887,18.88291432355422,617441.943906242,74145.09989530762,86209.31638117282
2055-2060,scenario3,22000000.004011597,-44.39122782404471,22000000.0,8105842.668335004,0.00271409166254259,10.434891270369828,365717.01406691846,69802.76458911365,83292.98924076192
""
GeneratorType,Period,genInvCap_MW,genInstalledCap_MW,TotDiscountedInvestmentCost_Euro,genExpectedAnnualProduction_GWh
Liginiteexisting,2020-2025,0.0,61315.0,0.0,348628.0200934654
Liginiteexisting,2025-2030,0.0,37732.307692307695,0.0,228702.81515830188
Liginiteexisting,2030-2035,0.0,25351.39423076923,0.0,136451.40866077572
Liginiteexisting,2035-2040,0.0,17687.01923076923,0.0,5829.293404765165
Liginiteexisting,2040-2045,0.0,12263.0,0.0,44.1486764110755
Liginiteexisting,2045-2050,0.0,3065.7500000000023,0.0,0.001182058581548653
Liginiteexisting,2050-2055,0.0,0.0,0.0,0.0
Liginiteexisting,2055-2060,0.0,0.0,0.0,0.0
Lignite,2020-2025,21306.36570868985,21306.36570868985,52745055059.45605,149007.97653160227
Lignite,2025-2030,9.709856532832363e-05,21306.365805386675,179.72333550560805,146928.0578962998
Lignite,2030-2035,0.0003381680000821736,21306.366143152947,460.42707034319255,133807.89390419947
Lignite,2035-2040,2.102771310838886e-05,21306.36616377891,20.566639190008143,22892.729987446328
Lignite,2040-2045,1.7390146829134718e-05,21306.366180767287,11.78394095406699,16.79586563928806
Lignite,2045-2050,1.8986573036032224e-05,21306.366199352164,8.39605676767632,0.0009674863251854339
Lignite,2050-2055,3.889642400345581e-05,21306.36623784684,10.025910093323542,79.27553519464594
Lignite,2055-2060,0.00019254016084983277,21306.366429985264,21.802659870703458,16.03092326683917
LigniteCCSadv,2020-2025,0.0,0.0,0.0,0.0
LigniteCCSadv,2025-2030,0.0,0.0,0.0,0.0
LigniteCCSadv,2030-2035,0.0,0.0,0.0,0.0
LigniteCCSadv,2035-2040,0.0,0.0,0.0,0.0
LigniteCCSadv,2040-2045,0.0,0.0,0.0,0.0
LigniteCCSadv,2045-2050,0.0,0.0,0.0,0.0
LigniteCCSadv,2050-2055,0.0,0.0,0.0,0.0
LigniteCCSadv,2055-2060,0.0,0.0,0.0,0.0
Coalexisting,2020-2025,0.0,71229.0,0.0,386393.1697972687
Coalexisting,2025-2030,0.0,43833.23076923077,0.0,235946.31759650013
Coalexisting,2030-2035,0.0,29450.451923076922,0.0,144091.0137819912
Coalexisting,2035-2040,0.0,20546.826923076926,0.0,6521.955443244921
Coalexisting,2040-2045,0.0,14245.799999999997,0.0,57.089835874311554
Coalexisting,2045-2050,0.0,3561.4500000000035,0.0,18.011763320153943
Coalexisting,2050-2055,0.0,0.0,0.0,0.0
Coalexisting,2055-2060,0.0,0.0,0.0,0.0
Coal,2020-2025,0.027502091104251572,0.027502091104251572,58888.47418108023,0.14371934361701988
Coal,2025-2030,0.00019825878452968979,0.027699425906780564,317.40686002680303,0.13124199567922648
Coal,2030-2035,0.00042777878852262764,0.028126280683026472,503.77869744970025,0.11424718495407718
Coal,2035-2040,0.0001236808557806001,0.028249037541672222,104.63235013164284,0.02011697264347921
Coal,2040-2045,0.00016552288575496016,0.02841363640458602,97.01470570730568,0.0042635673507736265
Coal,2045-2050,0.00015720487714334717,0.028569917310296972,60.12941935028166,0.0029954164183549005
Coal,2050-2055,0.0003411230716130341,0.028910116384773667,76.05319020648712,0.003231183899558238
Coal,2055-2060,0.00047567047767724767,0.029384862865334253,46.58934017611564,0.0036164289363429815
CoalCCSadv,2020-2025,0.0,0.0,0.0,0.0
CoalCCSadv,2025-2030,0.0,0.0,0.0,0.0
CoalCCSadv,2030-2035,0.0,0.0,0.0,0.0
CoalCCSadv,2035-2040,0.0,0.0,0.0,0.0
CoalCCSadv,2040-2045,0.0,0.0,0.0,0.0
CoalCCSadv,2045-2050,0.0,0.0,0.0,0.0
CoalCCSadv,2050-2055,0.0,0.0,0.0,0.0
CoalCCSadv,2055-2060,0.0,0.0,0.0,0.0
Gasexisting,2020-2025,0.0,222718.99999999997,0.0,206495.73906006268
Gasexisting,2025-2030,0.0,152048.5480769231,0.0,123860.86537831591
Gasexisting,2030-2035,0.0,94227.26923076923,0.0,57117.129384876265
Gasexisting,2035-2040,0.0,21415.288461538465,0.0,12641.941674445041
Gasexisting,2040-2045,0.0,17817.519999999993,0.0,1078.911631356618
Gasexisting,2045-2050,0.0,0.0,0.0,0.0
Gasexisting,2050-2055,0.0,0.0,0.0,0.0
Gasexisting,2055-2060,0.0,0.0,0.0,0.0
GasOCGT,2020-2025,0.016285152164144383,0.016285152164144383,11965.530775565127,0.011633699561945897
GasOCGT,2025-2030,2857.6989669327677,2857.715252122069,1645167531.1736848,208.86769944185687
GasOCGT,2030-2035,71223.14286121931,74080.85811323748,32126860715.63465,7489.700897282884
GasOCGT,2035-2040,31430.637093615962,105511.49523096971,10184583806.965384,7661.912590365075
GasOCGT,2040-2045,3121.433141942457,108632.92837292452,700745249.2386286,1001.9774249202234
GasOCGT,2045-2050,9.346177488546338e-05,108632.92843340045,13.692464459884196,2202.4936866265725
GasOCGT,2050-2055,0.0002349854827209006,108632.91232871817,20.06660855110911,448.2197104200759
GasOCGT,2055-2060,0.009469007608623209,105775.22287815342,355.2314683351688,9027.811437256783
GasCCGT,2020-2025,2692.222318633198,2692.222318633198,2687150450.8967433,8695.891555117138
GasCCGT,2025-2030,143815.4276508919,146507.64994500828,112470867332.64037,721134.9595089892
GasCCGT,2030-2035,71860.477444982,218368.1274056249,42643332216.890976,689417.0174010491
GasCCGT,2035-2040,16478.421386106224,234846.54879898412,7024567424.522331,716242.2555221012
GasCCGT,2040-2045,0.00021886590855660522,234846.54901680312,62.533053094979806,165483.97118974445
GasCCGT,2045-2050,5.724453575733975e-05,234846.54904308566,10.673504181925033,125829.30550358836
GasCCGT,2050-2055,0.0003053788555603054,232154.32698104958,32.44390506340737,72668.09112132671
GasCCGT,2055-2060,437.1564152736058,88776.05581929797,20403516.993857335,32524.105964509687
GasCCSadv,2020-2025,0.0,0.0,0.0,0.0
GasCCSadv,2025-2030,0.0,0.0,0.0,0.0
GasCCSadv,2030-2035,0.0,0.0,0.0,0.0
GasCCSadv,2035-2040,0.0,0.0,0.0,0.0
GasCCSadv,2040-2045,0.0,0.0,0.0,0.0
GasCCSadv,2045-2050,0.0,0.0,0.0,0.0
GasCCSadv,2050-2055,0.0,0.0,0.0,0.0
GasCCSadv,2055-2060,0.0,0.0,0.0,0.0
Oilexisting,2020-2025,0.0,16049.0,0.0,214.6007562301708
Oilexisting,2025-2030,0.0,8916.111111111117,0.0,130.27410252209464
Oilexisting,2030-2035,0.0,5349.666666666669,0.0,73.24272050557902
Oilexisting,2035-2040,0.0,3863.6481481481514,0.0,168.7251443632996
Oilexisting,2040-2045,0.0,2407.35,0.0,7.920443919569034
Oilexisting,2045-2050,0.0,802.4500000000007,0.0,3.898235748065152
Oilexisting,2050-2055,0.0,0.0,0.0,0.0
Oilexisting,2055-2060,0.0,0.0,0.0,0.0
Bioexisting,2020-2025,0.0,34841.0,0.0,897.7333785442481
Bioexisting,2025-2030,0.0,24886.428571428572,0.0,1912.9861091441915
Bioexisting,2030-2035,0.0,19909.14285714286,0.0,5245.492620190307
Bioexisting,2035-2040,0.0,14931.857142857141,0.0,25313.6511578345
Bioexisting,2040-2045,0.0,9954.57142857143,0.0,15591.315186936634
Bioexisting,2045-2050,0.0,4977.2857142857165,0.0,13378.547715799188
Bioexisting,2050-2055,0.0,0.0,0.0,0.0
Bioexisting,2055-2060,0.0,0.0,0.0,0.0
Bio10cofiring,2020-2025,10399.442739219545,10399.442739219545,23541760524.462135,70122.75678480438
Bio10cofiring,2025-2030,0.000875841321633428,10399.443614136871,1482.4279163853046,64681.66618154558
Bio10cofiring,2030-2035,0.00040511327338006855,10399.444018326147,504.38401002254164,52857.66122593306
Bio10cofiring,2035-2040,0.00013553055801454917,10399.444152932703,121.21741244451022,17332.247897519625
Bio10cofiring,2040-2045,0.0001766903834037925,10399.444328699094,109.4855283913578,248.8846152845914
Bio10cofiring,2045-2050,0.0001925038161200973,10399.44452027891,77.84390643401564,364.31501843382114
Bio10cofiring,2050-2055,0.00022420702814656998,10399.444743561942,52.84694043393203,66.42896420663844
Bio10cofiring,2055-2060,0.00028743275918554945,10399.445030070705,29.763288220482394,398.72532381006323
Nuclear,2020-2025,0.0016844086477842066,117634.0016844086,13261.164295573455,738032.9922107564
Nuclear,2025-2030,0.0022869337850045133,84024.28968420195,13461.921934521335,529385.0355652759
Nuclear,2030-2035,0.002474833433665256,67219.43501489272,10593.466310688345,395075.60515204497
Nuclear,2035-2040,133938.08219688514,184352.66006119273,411850063215.59155,1061973.282744238
Nuclear,2040-2045,11591.525290705453,179139.32817511164,24293849819.62896,733491.57207984
Nuclear,2045-2050,24044.778784019298,186379.2498870724,32886527180.490532,885322.5246289656
Nuclear,2050-2055,2732.618038500185,172307.01074644018,2163140875.1248627,686655.8639663396
Nuclear,2055-2060,3521.6639082710017,175828.67465801994,1224694588.4959996,638574.380281597
Wave,2020-2025,0.00015579982133584545,243.00015579982136,984.9402807059844,702.4644658206144
Wave,2025-2030,1.21629219222874e-07,243.00015572035267,0.5749103757379392,702.4642356451083
Wave,2030-2035,0.001192190013850967,243.0013477097282,2262.2216902856107,702.4662167564903
Wave,2035-2040,1.0909003153072222e-06,243.00134859975776,1.4870230318209696,702.4661970771273
Wave,2040-2045,2108.998575325014,2351.9999238997125,1366013899.697788,6798.994445461878
Wave,2045-2050,2.114845616185576e-06,2351.9999253399283,0.8939206600219902,6798.982549188047
Wave,2050-2055,1.7521746724153434e-06,2351.999926789879,0.4085226231050909,6796.295592189371
Wave,2055-2060,2.119306619696582e-06,2351.9999291074996,0.21707335943156428,6798.704379355564
Geo,2020-2025,0.0021235750139110615,937.0021235750139,14338.170362195027,6566.509104732471
Geo,2025-2030,529.398859699956,1466.4009821348895,2800674490.0975785,10094.251452082239
Geo,2030-2035,120.00106624081344,1586.4020478446573,467710431.0572778,10171.820716152466
Geo,2035-2040,74.99781375941697,1661.3998613040342,209982692.43171188,11218.343528204572
Geo,2040-2045,3.974112944709994e-05,1661.399901315776,65.82940645603983,9638.56270174802
Geo,2045-2050,4.4284032925864385e-06,1661.399905514701,4.7870545000924904,9788.48993184763
Geo,2050-2055,0.002093981760083245,1661.3998756419364,1206.2058177744675,9523.49146123224
Geo,2055-2060,529.3987759085084,1661.3997927357875,133969358.11188896,9118.948501727924
Hydroregulated,2020-2025,9.768251362878267e-05,98787.00009768251,323.8035821361357,254451.23075511245
Hydroregulated,2025-2030,323.74024009933794,99110.7403373894,802381285.7041583,270335.74194760586
Hydroregulated,2030-2035,275.1115519798885,99385.8518889665,501567764.40355647,257226.8968468625
