Node,RESGeneratorType,Period,ExpectedAnnualCurtailment_GWh,Expected total available power_GWh,Expected annual curtailment ratio of total capacity_%
Austria,Hydrorun-of-the-river,2020-2025,0.0003437412769512942,41548.32386508386,8.273288666649811e-07
Austria,Hydrorun-of-the-river,2025-2030,1085.5035067035394,42186.47647100287,2.573107776492466
Austria,Hydrorun-of-the-river,2030-2035,5519.101409169468,46629.85087928334,11.835983399255278
Austria,Hydrorun-of-the-river,2035-2040,14456.128892580176,55435.63374363848,26.077322322014744
Austria,Hydrorun-of-the-river,2040-2045,5278.539583793809,46550.33553444777,11.339423278458712
Austria,Hydrorun-of-the-river,2045-2050,12886.398736308787,54029.02015438305,23.850883653797656
Austria,Hydrorun-of-the-river,2050-2055,5599.335030237999,46593.81177340054,12.017336245141774
Austria,Hydrorun-of-the-river,2055-2060,10725.838643857738,51853.14166087553,20.685031418165057
Belgium,Hydrorun-of-the-river,2020-2025,108.20250971781638,579.0025096175644,18.687744512417563
Belgium,Hydrorun-of-the-river,2025-2030,323.91430538412106,794.714305357763,40.758584965738336
Belgium,Hydrorun-of-the-river,2030-2035,265.82233307383706,736.6223330249528,36.08665134849128
Belgium,Hydrorun-of-the-river,2035-2040,727.6600701223366,1198.4600701241407,60.71625482248758
Belgium,Hydrorun-of-the-river,2040-2045,462.3351478427445,933.1351473568839,49.5464294911958
Belgium,Hydrorun-of-the-river,2045-2050,913.7843294692096,1384.5843294119422,65.99701513719357
Belgium,Hydrorun-of-the-river,2050-2055,880.6957674771646,1351.4957673764295,65.16452280030457
Belgium,Hydrorun-of-the-river,2055-2060,859.4366214005572,1330.2366210962111,64.60780042969493
Bulgaria,Hydrorun-of-the-river,2020-2025,1964.961761151583,5936.785235076693,33.09807721427873
Bulgaria,Hydrorun-of-the-river,2025-2030,3633.6289486796636,6076.26672264862,59.80035298871441
Bulgaria,Hydrorun-of-the-river,2030-2035,4152.119119462256,6163.429280038236,67.36702784779088
Bulgaria,Hydrorun-of-the-river,2035-2040,4853.89418683711,7080.458341058325,68.5533895269214
