Node,GeneratorType,Period,genInvCap_MW,genInstalledCap_MW,genExpectedCapacityFactor,DiscountedInvestmentCost_Euro,genExpectedAnnualProduction_GWh
BosniaH,Liginiteexisting,2020-2025,0.0,1888.0,0.7499999761312651,0.0,12404.159605237852
BosniaH,Liginiteexisting,2025-2030,0.0,1161.8461538461538,0.714226173707084,0.0,7269.231372184985
BosniaH,Liginiteexisting,2030-2035,0.0,780.6153846153845,0.6458420759484175,0.0,4416.391322131299
BosniaH,Liginiteexisting,2035-2040,0.0,544.6153846153845,0.008927300455774168,0.0,42.59063970057535
BosniaH,Liginiteexisting,2040-2045,0.0,377.5999999999999,0.0006849814055637245,0.0,2.2657650537699547
BosniaH,Liginiteexisting,2045-2050,0.0,94.40000000000009,1.1948356683538294e-07,0.0,9.880621869311905e-05
BosniaH,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
BosniaH,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Bulgaria,Liginiteexisting,2020-2025,0.0,12357.0,0.26268338881994474,0.0,28434.772848276945
Bulgaria,Liginiteexisting,2025-2030,0.0,7604.307692307692,0.5273222662236466,0.0,35126.90590463776
Bulgaria,Liginiteexisting,2030-2035,0.0,5109.1442307692305,0.5272859100528859,0.0,23599.262744138374
Bulgaria,Liginiteexisting,2035-2040,0.0,3564.5192307692305,0.05838933456300005,0.0,1823.217975873493
Bulgaria,Liginiteexisting,2040-2045,0.0,2471.3999999999996,0.0006849389234171094,0.0,14.82856056471747
Bulgaria,Liginiteexisting,2045-2050,0.0,617.8500000000006,1.8223604678358556e-08,0.0,9.863281835858882e-05
Bulgaria,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Bulgaria,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
CzechR,Liginiteexisting,2020-2025,0.0,7250.0,0.7499999608244836,0.0,47632.49751196305
CzechR,Liginiteexisting,2025-2030,0.0,4461.538461538462,0.7453740342064474,0.0,29131.510715354732
CzechR,Liginiteexisting,2030-2035,0.0,2997.596153846154,0.6414199159972659,0.0,16843.008569177087
CzechR,Liginiteexisting,2035-2040,0.0,2091.346153846154,0.010306193949366096,0.0,188.8114551127619
CzechR,Liginiteexisting,2040-2045,0.0,1449.9999999999998,0.0003815966141942875,0.0,4.847040193495837
CzechR,Liginiteexisting,2045-2050,0.0,362.50000000000034,3.1559457281253295e-08,0.0,0.00010021705659661995
CzechR,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
CzechR,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Germany,Liginiteexisting,2020-2025,0.0,19106.0,0.7424379593744594,0.0,124260.77214984207
Germany,Liginiteexisting,2025-2030,0.0,11757.538461538463,0.7471499248467047,0.0,76953.4812465853
Germany,Liginiteexisting,2030-2035,0.0,7899.596153846153,0.6551991046391232,0.0,45340.08094461338
Germany,Liginiteexisting,2035-2040,0.0,5511.346153846153,0.05223448226975505,0.0,2521.8490614907023
Germany,Liginiteexisting,2040-2045,0.0,3821.1999999999994,7.117098155185779e-09,0.0,0.00023823569392242028
Germany,Liginiteexisting,2045-2050,0.0,955.3000000000009,1.3431394609426492e-08,0.0,0.00011239965872857371
Germany,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Germany,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2020-2025,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2025-2030,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2030-2035,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2035-2040,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2040-2045,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2045-2050,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
