Period,Scenario,AnnualCO2emission_Ton,CO2Price_EuroPerTon,CO2Cap_Ton,AnnualGeneration_GWh,AvgCO2factor_TonPerMWh,AvgELPrice_EuroPerMWh,TotAnnualCurtailedRES_GWh,TotAnnualLossesChargeDischarge_GWh,AnnualLossesTransmission_GWh
2020-2025,scenario1,1099999999.0338516,-0.014977749920605302,1100000000.0,3515426.192271777,0.3129065834043087,32.53045314815286,4647.835063511412,4831.183563836881,14850.96204481133
2020-2025,scenario2,990715523.1187856,-8.717040809940599e-10,1100000000.0,3364309.988928152,0.2944780731797137,25.84610595780445,28159.423611537306,10331.000151213515,18982.676079666042
2020-2025,scenario3,976102179.857625,-4.701287855749283e-10,1100000000.0,3375859.5518681775,0.28914182147107303,27.8459706133553,22700.56156540018,10138.132831263989,18863.27184521463
2025-2030,scenario1,977146493.2219908,-3.4794641935092787e-09,990000000.0,4371601.103580447,0.22352142157295732,33.99712818136477,57794.30427771379,16238.548693716783,19974.4258728307
2025-2030,scenario2,990000000.0052127,-37.86954003596973,990000000.0,4564138.709102469,0.21690839457414068,168.31531455085948,28259.990660929583,9802.363001876862,18491.118901458052
2025-2030,scenario3,990000000.0837263,-26.034250399653335,990000000.0,4710003.850668733,0.21019091097838372,41.44520975654899,60803.83536076106,14212.178418729716,21434.810973899668
2030-2035,scenario1,759640293.4449592,-1.257258881256517e-09,770000000.0,5550596.086921761,0.13685742604019058,38.2686301951237,124986.78874286042,23883.681600508964,38283.04556649836
2030-2035,scenario2,733845751.9712307,-6.223744268547305e-08,770000000.0,5632419.305754066,0.1302896166167023,110.3293145364564,115379.75353740132,28465.417393229534,36320.139969813914
2030-2035,scenario3,769999999.9891516,-7.369674760724831,770000000.0,5494138.347736337,0.14014936487836463,113.94337043932903,99629.83662024006,23837.31146007002,37028.09657789842
2035-2040,scenario1,329999999.99219334,-75.79344180645599,330000000.0,6834963.239426878,0.0482811667645285,145.00530906658486,123653.08628685777,36220.99979003371,45546.81229205604
2035-2040,scenario2,330000000.0008726,-37.81783244385496,330000000.0,6439937.823098068,0.05124273076321694,23.85466618222268,166135.02139260527,33126.67443455971,44874.56262849054
2035-2040,scenario3,330000000.0037345,-40.256528110897875,330000000.0,6717187.3239056,0.0491277054056993,132.41756543160415,137471.17987839886,37472.12456478951,45677.74496768275
2040-2045,scenario1,66000000.00103464,-50.538720306497495,66000000.0,7158342.89714007,0.0092200109647454,17.376363647150615,353666.4842330366,53222.53485382789,50359.96814130837
2040-2045,scenario2,66000000.00136412,-518.1957961321909,66000000.0,7455782.5354302395,0.008852189517024234,54.351297221297834,418578.13538340747,46743.75940956112,53047.340378214445
2040-2045,scenario3,66000000.00103115,-50.53872048330147,66000000.0,7434823.339127841,0.008877144350382843,15.319104652191022,401469.10787105636,43698.030210047575,56696.5026557402
2045-2050,scenario1,55000000.00356194,-200.90931773025554,55000000.0,7992378.190294442,0.006881556239461935,24.956860774232673,299526.4070785809,79691.7182482806,51569.394248042125
2045-2050,scenario2,55000000.000933446,-47.82395952293319,55000000.0,7886567.407971102,0.006973883206189359,15.100624859654427,444641.4910010352,74721.6170842328,50608.71613963126
2045-2050,scenario3,54999999.9918448,-69.48228000743661,55000000.0,8265988.790058662,0.00665377142272334,20.70665607206141,279550.42590640986,75505.51341403615,54940.27180156935
2050-2055,scenario1,33000000.000828,-361.72178144222414,33000000.0,8157432.397448383,0.004045390558326853,28.428499261367016,500093.34553805797,75797.35008880882,54883.476357022584
2050-2055,scenario2,33000000.00051273,-47.67131671099143,33000000.0,8054401.2012654925,0.00409713884072813,11.067761502816607,587635.2922022503,82519.3852606958,54913.95078172384
2050-2055,scenario3,33000000.00049626,-44.85437204617853,33000000.0,7953636.268234805,0.004149045655040879,9.47790891462344,860324.7120756542,84198.96613233768,56121.25428541349
2055-2060,scenario1,22000000.000576418,-35.14457402473553,22000000.0,7885326.863939763,0.0027899921436589812,5.467099053687434,888189.142650035,64018.237051478005,57813.59485081668
2055-2060,scenario2,22000000.00075443,-65.89206390533677,22000000.0,8169155.553107846,0.002693056810796568,14.134711393867631,371249.99525087856,64490.45068552978,54390.457433535725
2055-2060,scenario3,22000000.001881905,-173.98847934899246,22000000.0,8072328.318055898,0.0027253599129104748,18.30842889595276,373035.2171298263,72758.4449331542,55717.052209878944
""
GeneratorType,Period,genInvCap_MW,genInstalledCap_MW,TotDiscountedInvestmentCost_Euro,genExpectedAnnualProduction_GWh
Liginiteexisting,2020-2025,0.0,61315.0,0.0,350921.93639110937
Liginiteexisting,2025-2030,0.0,37732.307692307695,0.0,223817.22175478053
Liginiteexisting,2030-2035,0.0,25351.39423076923,0.0,145300.39275956314
Liginiteexisting,2035-2040,0.0,17687.01923076923,0.0,6560.028181835411
Liginiteexisting,2040-2045,0.0,12263.0,0.0,0.14010539500007907
Liginiteexisting,2045-2050,0.0,3065.7500000000023,0.0,0.9837921199525193
Liginiteexisting,2050-2055,0.0,0.0,0.0,0.0
Liginiteexisting,2055-2060,0.0,0.0,0.0,0.0
Lignite,2020-2025,27944.146868068132,27944.146868068132,69177239577.0265,195237.31650331573
Lignite,2025-2030,0.00014544754164747773,27944.147013446556,269.21424881599575,190594.36405114847
Lignite,2030-2035,0.0014219919282504093,27944.148435369374,1936.0896874243208,179611.97950773255
Lignite,2035-2040,8.875715623308786e-06,27944.148444175968,8.681098122119876,56726.578685762346
Lignite,2040-2045,9.786573517866422e-06,27944.14845389342,6.63159463863548,5.00133297200321
Lignite,2045-2050,1.4782741789281155e-05,27944.148468607047,6.537079598785946,71.06143782749643
Lignite,2050-2055,2.2201308002423103e-05,27944.14849073924,5.72259079566549,0.0024477159686276404
Lignite,2055-2060,3.795178114114591e-05,27944.148528621903,4.297543806214707,11.702897391626337
LigniteCCSadv,2020-2025,0.0,0.0,0.0,0.0
LigniteCCSadv,2025-2030,0.0,0.0,0.0,0.0
LigniteCCSadv,2030-2035,0.0,0.0,0.0,0.0
LigniteCCSadv,2035-2040,0.0,0.0,0.0,0.0
LigniteCCSadv,2040-2045,0.0,0.0,0.0,0.0
LigniteCCSadv,2045-2050,0.0,0.0,0.0,0.0
LigniteCCSadv,2050-2055,0.0,0.0,0.0,0.0
LigniteCCSadv,2055-2060,0.0,0.0,0.0,0.0
Coalexisting,2020-2025,0.0,71229.0,0.0,311147.87509525317
Coalexisting,2025-2030,0.0,43833.23076923077,0.0,219199.36532624773
Coalexisting,2030-2035,0.0,29450.451923076922,0.0,146347.65495726766
Coalexisting,2035-2040,0.0,20546.826923076926,0.0,7906.69302383346
Coalexisting,2040-2045,0.0,14245.799999999997,0.0,116.52362503797386
Coalexisting,2045-2050,0.0,3561.4500000000035,0.0,28.67497342008771
Coalexisting,2050-2055,0.0,0.0,0.0,0.0
Coalexisting,2055-2060,0.0,0.0,0.0,0.0
Coal,2020-2025,0.049574071487344426,0.049574071487344426,106149.79849231188,0.23564108632893865
Coal,2025-2030,0.006617454859068131,0.05619122922657425,10594.363186320155,0.26989753697817426
Coal,2030-2035,0.001259597256672188,0.057450530491312435,1483.379452892075,0.2744003604773464
Coal,2035-2040,2.5060114124370175e-05,0.057475292032588006,21.20052144570717,0.040906473282447495
Coal,2040-2045,3.9261500448156354e-05,0.057514255462515866,23.01157869639786,0.007390515665780197
Coal,2045-2050,3.717674977212058e-05,0.05755113594700942,14.219764791966115,0.00675319828936494
Coal,2050-2055,4.3724316606849e-05,0.057594562949488004,9.748310930201797,0.005847025910281925
Coal,2055-2060,4.488505862102845e-05,0.05763915091407108,4.396247745143613,0.005542887770069785
CoalCCSadv,2020-2025,0.0,0.0,0.0,0.0
CoalCCSadv,2025-2030,0.0,0.0,0.0,0.0
CoalCCSadv,2030-2035,0.0,0.0,0.0,0.0
CoalCCSadv,2035-2040,0.0,0.0,0.0,0.0
CoalCCSadv,2040-2045,0.0,0.0,0.0,0.0
CoalCCSadv,2045-2050,0.0,0.0,0.0,0.0
CoalCCSadv,2050-2055,0.0,0.0,0.0,0.0
CoalCCSadv,2055-2060,0.0,0.0,0.0,0.0
Gasexisting,2020-2025,0.0,222718.99999999997,0.0,203043.84534413696
Gasexisting,2025-2030,0.0,152048.5480769231,0.0,132395.4716022571
Gasexisting,2030-2035,0.0,94227.26923076923,0.0,45569.48901989245
Gasexisting,2035-2040,0.0,21415.288461538465,0.0,13184.438549929813
Gasexisting,2040-2045,0.0,17817.519999999993,0.0,1422.098305491764
Gasexisting,2045-2050,0.0,0.0,0.0,0.0
Gasexisting,2050-2055,0.0,0.0,0.0,0.0
Gasexisting,2055-2060,0.0,0.0,0.0,0.0
GasOCGT,2020-2025,0.028167984687366022,0.028167984687366022,20696.453079782048,0.018145321883378068
GasOCGT,2025-2030,30309.741233196368,30309.76940109479,17449214466.64891,1284.767397429648
GasOCGT,2030-2035,89327.12298419255,119636.89245019948,40293083441.058205,4830.702955344281
