Node,StorageType,Period,storPWInvCap_MW,storPWInstalledCap_MW,storENInvCap_MWh,storENInstalledCap_MWh,DiscountedInvestmentCostPWEN_EuroPerMWMWh,ExpectedAnnualDischargeVolume_GWh,ExpectedAnnualLossesChargeDischarge_GWh
Austria,HydroPumpStorage,2020-2025,1.4007150639372412e-06,3503.000001400715,6.491478416137397e-06,124704.00000649148,2.1523560508285273,2777.5936179602695,694.3984044879436
Austria,HydroPumpStorage,2025-2030,8.391825760882697e-06,3503.0000097856287,3.9004892522389807e-07,124704.00000686767,6.936065243107614,4024.4359371431046,1006.1089842545833
Austria,HydroPumpStorage,2030-2035,1751.499819127468,5254.499828879462,5.37897300448586e-07,124704.00000739175,1129032400.1980965,8509.965796181903,2127.4914490720453
Austria,HydroPumpStorage,2035-2040,9.868612255619245e-05,5254.499927621158,3.090209492191192e-06,124704.00001046817,49.99927448677576,8912.83494482101,2228.2087367640643
Austria,HydroPumpStorage,2040-2045,2.2007862250910303e-06,5254.499930664724,1.192149600757905e-06,124704.00001164648,0.8118093380599004,10151.914494667126,2537.9786239458385
Austria,HydroPumpStorage,2045-2050,7.015263158893628e-07,5254.499929479465,2.1680725663538563e-06,124704.00000732306,0.2097045099754705,10834.015505626476,2708.5038764800443
Austria,HydroPumpStorage,2050-2055,3.5703973615471246e-06,5254.499924248829,4.140523952379356e-06,124704.00001107356,0.530348093415252,11338.615928499059,2834.653982094065
Austria,HydroPumpStorage,2055-2060,1751.4997293210063,5254.499834452193,6.650459380817067e-06,124704.00001718612,102418108.56255129,10786.117602862792,2696.529400706379
Austria,Li-Ion_BESS,2020-2025,0.001081530610666206,0.001081530610666206,0.002163061221332412,0.002163061221332412,638.4454274897686,0.0030767332599751884,0.00034185887068955887
Austria,Li-Ion_BESS,2025-2030,0.0058820260187836945,0.0069635497177254774,0.011764052037565049,0.013927099435450955,2212.637463808547,0.008335585272916352,0.0009261757426074967
Austria,Li-Ion_BESS,2030-2035,297.2182583122386,297.2252218549861,594.4365166242842,594.4504437099722,86286420.67517015,252.1516107090998,28.016845633703767
Austria,Li-Ion_BESS,2035-2040,3775.5657295779592,4072.789870085288,7551.13145985569,8145.579740170576,858820711.0003674,2921.5151731383567,324.61279701511506
Austria,Li-Ion_BESS,2040-2045,3292.527595662725,7365.311584016189,6585.055191232623,14730.623168032378,586817966.3723074,5608.341621027927,623.1490690038293
Austria,Li-Ion_BESS,2045-2050,16825.881766742034,23893.975092194665,33651.76353330536,47787.95018438933,2349661581.3090863,17243.936962908367,1915.9929958787325
Austria,Li-Ion_BESS,2050-2055,2.9909468994965904e-05,20118.409393445218,5.9990033954273936e-05,40236.818786890435,2.440701415283295,17625.32834892919,1958.3698165473136
Austria,Li-Ion_BESS,2055-2060,0.00013075681415935557,16825.881929109495,0.00026365384071534964,33651.76385821899,4.709465410293419,14111.861252127004,1567.9845835993867
BosniaH,HydroPumpStorage,2020-2025,2.1323597252376203e-06,440.0000021323597,5.19317381986184e-07,2199.3400005193175,2.2935060366080475,47.68775051516473,11.921937627267532
BosniaH,HydroPumpStorage,2025-2030,5.0477197764211656e-08,440.0000021759259,1.4924971038125728e-06,2199.340001997991,0.16431582161380795,401.47678060772574,100.36919515043276
BosniaH,HydroPumpStorage,2030-2035,3.7276731134329093e-06,440.00000589668656,9.956701162803426e-06,2199.340011940869,3.0447091602301244,576.7688399511577,144.1922099862747
BosniaH,HydroPumpStorage,2035-2040,9.292325969353833e-08,440.0000059826987,219.93384195568788,2419.273857700402,11108153.582032464,581.7931491712347,145.4482872911911
BosniaH,HydroPumpStorage,2040-2045,1.2106472205419688e-07,440.00000609685117,1.526974456819594e-05,2419.273870202929,0.5766779790684082,639.778195271334,159.94454881635374
BosniaH,HydroPumpStorage,2045-2050,9.861280013680854e-07,440.00000495061937,2.8409918529165958e-05,2419.273897028523,0.8739354823473303,721.9937106861531,180.4984276698783
BosniaH,HydroPumpStorage,2050-2055,2.5316574611248704e-07,440.000005153308,4.001622217242815e-06,2419.273899537107,0.08696087622313635,638.9743208094005,159.74358020085884
BosniaH,HydroPumpStorage,2055-2060,7.01661524697391e-07,440.00000212729634,6.08919904115338e-06,2419.2738973323517,0.07663562189488579,606.2667370493564,151.56668426093586
BosniaH,Li-Ion_BESS,2020-2025,0.001087453116710004,0.001087453116710004,0.002174906233420008,0.002174906233420008,641.94158087244,0.0030671255516445304,0.00034079138161595965
BosniaH,Li-Ion_BESS,2025-2030,0.0037173328407549256,0.004804779045743427,0.00743466568151306,0.009609558091486853,1398.3464001414804,0.006485512712932082,0.0007206121734278928
BosniaH,Li-Ion_BESS,2030-2035,0.008742485844605177,0.01354725797862551,0.017484971689194797,0.02709451595725102,2538.0601300121566,0.01613600257035747,0.0017928888316243042
BosniaH,Li-Ion_BESS,2035-2040,0.18562577300439587,0.19808557786629138,0.3712515440938296,0.39617115573258277,42223.939147761215,0.1553344531981578,0.017259383335951096
BosniaH,Li-Ion_BESS,2040-2045,39.755706264430366,39.95007450949799,79.5114125309414,79.90014901899598,7085548.116087917,31.30060354589409,3.47784483808253
BosniaH,Li-Ion_BESS,2045-2050,429.07588342011996,469.01721543929943,858.1517668242823,938.0344308785989,59918590.46100522,345.3866462059195,38.37629402252233
BosniaH,Li-Ion_BESS,2050-2055,4.842531070646075e-06,468.83159451435597,9.702616645626274e-06,937.6631890287119,0.39480103094995816,336.6122726205941,37.4013636241621
BosniaH,Li-Ion_BESS,2055-2060,1.2248090308858812e-05,429.07590049434754,2.4485804983455324e-05,858.1518009886951,0.43781750330784336,305.6595746113634,33.96217495647112
Belgium,HydroPumpStorage,2020-2025,3.792109282585443e-06,1308.0000037921093,4.111077942070551e-06,7762.500004111078,4.413377930632117,1218.4987006348495,304.6246751575312
Belgium,HydroPumpStorage,2025-2030,3.674958775436172e-06,1308.0000074601562,1.3408001918110856e-06,7762.500005438054,3.133705642909919,602.44231446592,150.61057861481416
Belgium,HydroPumpStorage,2030-2035,4.280359718579101e-06,1308.0000117336047,5.181318000324967e-05,7762.500057244321,6.099081819984821,1283.6193804438733,320.90484510892276
Belgium,HydroPumpStorage,2035-2040,7.324093009290102e-07,1308.0000124591022,776.2496205652122,8538.749679074332,39205881.057158396,1757.0999823773866,439.2749955888472
Belgium,HydroPumpStorage,2040-2045,1.571608018858569e-06,1308.0000140237985,6.918483669305616e-06,8538.749686729085,0.7920233153427475,1616.4628195870698,404.11570489607124
Belgium,HydroPumpStorage,2045-2050,2.7922136110663223e-06,1308.0000130239025,4.3854116325873525e-05,8538.749723680994,1.639034474553523,1816.3383658684706,454.08459146570345
Belgium,HydroPumpStorage,2050-2055,7.599164678416996e-07,1308.0000101088601,1.8627077565023496e-05,8538.749741719774,0.34908302075009773,1692.8551626167782,423.21379065452106
Belgium,HydroPumpStorage,2055-2060,1.1282727803788651e-06,1308.0000069567732,6.320529719678937e-06,8538.749700798347,0.10293420599656093,1310.3948434701072,327.59871086026317
Belgium,Li-Ion_BESS,2020-2025,0.0011371892408324601,0.0011371892408324601,0.0022743784816649203,0.0022743784816649203,671.3016384740329,0.0032388503774917116,0.00035987186527064344
Belgium,Li-Ion_BESS,2025-2030,0.004753138602486652,0.005890320931596289,0.009506277204977332,0.011780641863192578,1787.984702712517,0.006871762381295808,0.0007635287816169986
Belgium,Li-Ion_BESS,2030-2035,0.020989741432600538,0.026880055452483554,0.0419794828652212,0.05376011090496711,6093.601615870598,0.02644551519916929,0.00293839016038427
Belgium,Li-Ion_BESS,2035-2040,0.04580326371886072,0.07154612993050859,0.09160652743772096,0.14309225986101717,10418.780741066397,0.06552754311957074,0.0072808377104589105
Belgium,Li-Ion_BESS,2040-2045,5.044706139636778e-06,0.06679803603415498,1.0089412231237169e-05,0.13359607206830995,0.8991038341866534,0.06753968544202908,0.00750440908768157
Belgium,Li-Ion_BESS,2045-2050,0.371841658395194,0.4176499529967528,0.7436833167904388,0.8352999059935056,51926.07859592482,0.359390449938038,0.03993227182147781
Belgium,Li-Ion_BESS,2050-2055,7.418758261438556,7.790604913013068,14.837516522874477,15.581209826026136,603870.8293083418,5.376752603317746,0.5974169555195652
Belgium,Li-Ion_BESS,2055-2060,3.148172743116079e-05,7.790631387737551,6.296345699332639e-05,15.581262775475102,1.125758974487362,5.007468200340427,0.5563853551832609
Bulgaria,HydroPumpStorage,2020-2025,2.9673092285520397e-06,864.0000029673092,7.792045835230965e-07,1499.2000007792046,3.197491171249563,0.0033662582832132363,0.000841562987485047
Bulgaria,HydroPumpStorage,2025-2030,8.409817984417273e-06,864.0000113702155,2.4248173494619855e-06,1499.200003190199,7.118268391761423,162.32404856315895,40.58101213922779
Bulgaria,HydroPumpStorage,2030-2035,2.759188978823029e-06,864.0000141224928,149.9199549719087,1649.1199599820181,9663975.747984108,531.8177725587685,132.95444313809804
Bulgaria,HydroPumpStorage,2035-2040,1.6418938043534597e-07,864.0000142797704,8.517218282538831e-07,1649.1199597446725,0.1259445343118614,474.08412289673174,118.52103072257681
Bulgaria,HydroPumpStorage,2040-2045,8.117668430160885e-07,864.0000150846255,6.762927549060841e-07,1649.1199596645308,0.30771621386306913,465.31988945503593,116.32997236209711
Bulgaria,HydroPumpStorage,2045-2050,2.5968697620957108e-06,864.0000147141862,1.9604894501111466e-06,1649.1199602010377,0.6377722283036511,389.6063846281684,97.40159615535839
Bulgaria,HydroPumpStorage,2050-2055,2.1295341454359253e-06,864.0000084339023,3.4002191986405395e-06,1649.1199618054252,0.3287089637869333,360.1267201227477,90.03168002911166
Bulgaria,HydroPumpStorage,2055-2060,5.036984863898229e-07,864.0000061784119,149.91990227038522,1649.1199091038145,876649.4838349835,389.01707917230857,97.25426979145604
Bulgaria,Li-Ion_BESS,2020-2025,0.00111192203887308,0.00111192203887308,0.00222384407774616,0.00222384407774616,656.385990782388,0.0038485685795094865,0.0004276183795808937
Bulgaria,Li-Ion_BESS,2025-2030,0.0010616756127347306,0.0021735907398836994,0.0021233512254682334,0.004347181479767399,399.36974567034343,0.00502272423078118,0.0005580801202576145
Bulgaria,Li-Ion_BESS,2030-2035,0.027956251291477725,0.03012983511962795,0.055912502582898475,0.0602596702392559,8116.072253211272,0.03199184726333611,0.003554649346594836
Bulgaria,Li-Ion_BESS,2035-2040,0.1315594251993875,0.1605773382798492,0.2631188503972284,0.3211546765596984,29925.570675035397,0.1672178010235608,0.01857975531165638
Bulgaria,Li-Ion_BESS,2040-2045,2011.5698713024365,2011.7293919417507,4023.1397454088874,4023.4587838835014,358516461.1491953,1428.5817625099724,158.73130694529306
Bulgaria,Li-Ion_BESS,2045-2050,7738.499648058539,9750.201045455336,15476.999304328914,19500.402090910673,1080647991.033835,5919.239022100998,657.6932246793193
Bulgaria,Li-Ion_BESS,2050-2055,4.658699223361049e-05,9750.069526127649,7.857054573709674e-05,19500.139052255297,3.2683991696565577,5685.472245116123,631.7191383465397
Bulgaria,Li-Ion_BESS,2055-2060,3.3341139589887234e-05,7738.499684294477,6.016876689668514e-05,15476.999368588955,1.0896372409465425,4512.309395431249,501.36771060266403
Switzerland,HydroPumpStorage,2020-2025,7.82914776209509e-06,6681.000007829148,7.028284016996622e-06,368989.0000070283,8.95857497198448,2289.820750611919,572.4551870016387
Switzerland,HydroPumpStorage,2025-2030,2.8425172070720644e-06,6681.000010664754,6.813852522046393e-06,368989.0000138283,2.899123274172139,7623.223723711324,1905.8059308919924
Switzerland,HydroPumpStorage,2030-2035,1952.7909095235643,8633.790920181784,6.163862502541668e-07,368989.0000144308,1258786431.8276823,14632.831790340788,3658.207947534691
Switzerland,HydroPumpStorage,2035-2040,663.1412664595246,9296.93218663459,1.1160798795784684e-06,368989.0000155331,334931402.05393696,16125.654930712577,4031.413732604382
Switzerland,HydroPumpStorage,2040-2045,724.5676132010796,10021.499799598327,9.015975622897107e-06,368989.0000245352,253538989.09411117,18176.94340868557,4544.235852172824
Switzerland,HydroPumpStorage,2045-2050,0.00019147855828810853,10021.499981491326,1.497881894765956e-05,368989.0000324858,44.06680865875651,20638.57225514075,5159.643063792769
Switzerland,HydroPumpStorage,2050-2055,5.427946718935463e-06,10021.499986066481,3.2169217294217203e-06,368989.00002888887,0.7653026666833637,22571.332452050072,5642.833113052459
Switzerland,HydroPumpStorage,2055-2060,1952.7908886422936,10021.499965184707,5.548036656776242e-06,368989.0000338206,114188512.773189,20250.504099342415,5062.626024838347
Switzerland,Li-Ion_BESS,2020-2025,0.0010742913770853241,0.0010742913770853241,0.0021485827541706482,0.0021485827541706482,634.1719880395459,0.003032026349010198,0.000336891189282181
