BetweenNode,AndNode,Period,transmissionInvCap_MW,transmissionInstalledCap_MW,DiscountedInvestmentCost_EuroPerMW,transmissionExpectedAnnualVolume_GWh,ExpectedAnnualLosses_GWh
Switzerland,Austria,2020-2025,0.0,1200.0,0.0,2623.6411744376232,78.70923523312894
Switzerland,Austria,2025-2030,0.0,1200.0,0.0,3389.311428232737,101.67934284698256
Switzerland,Austria,2030-2035,999.9994503464663,2199.9994503464663,239415939.69573697,6994.356097679954,209.8306829303983
Switzerland,Austria,2035-2040,0.0005238014941343898,2199.999974141049,90.08717708668848,11501.243527080997,345.03730581243
Switzerland,Austria,2040-2045,999.9999690112709,3199.9999431603974,119154995.56401573,17396.644275915427,521.8993282774637
Switzerland,Austria,2045-2050,1.915736881033663e-07,3199.9999436697444,0.014896683876960075,15817.82872067876,474.5348616203628
Switzerland,Austria,2050-2055,1.644698420155694e-07,3199.999943598676,0.007454617504810803,16281.68474266427,488.45054227992927
Switzerland,Austria,2055-2060,6.326294011961496e-07,3199.999944113028,0.012596865158899297,19981.544433821702,599.4463330146522
CzechR,Austria,2020-2025,0.0,900.0,0.0,4149.166206280905,124.47498618842758
CzechR,Austria,2025-2030,0.0,900.0,0.0,2070.673403663533,62.120202109906046
CzechR,Austria,2030-2035,999.9999633968191,1899.999963396819,87917387.79080904,7866.575849985689,235.9972754995718
CzechR,Austria,2035-2040,2.398624147549815e-06,1899.9999657885314,0.15148859536229173,9846.838729601164,295.4051618880346
CzechR,Austria,2040-2045,3.1473610355375586e-07,1899.9999660963556,0.013771470748368752,9694.279632079673,290.82838896239065
CzechR,Austria,2045-2050,2.0759372806540287e-07,1899.999966297038,0.005927744298603067,10287.993589042575,308.6398076712781
CzechR,Austria,2050-2055,1.8886100848416196e-07,1899.9999664789873,0.003143423428353175,11080.24496171183,332.40734885135487
CzechR,Austria,2055-2060,3.285056968214025e-07,1899.9999668005814,0.0024020249045867154,9896.701385052194,296.9010415515656
Germany,Austria,2020-2025,0.0,5000.0,0.0,20135.82926701763,604.0748780105292
Germany,Austria,2025-2030,1999.9998439153096,6999.99984391531,891259.8850749184,25250.567585945144,757.5170275783531
Germany,Austria,2030-2035,500.00012078821567,7499.999970281567,149745.36667540902,29425.17154700226,882.7551464100704
Germany,Austria,2035-2040,2.475366859628759e-07,7499.999964934051,5.3255663783683615e-05,31664.670574812186,949.9401172443665
Germany,Austria,2040-2045,699.9999741971311,8199.999943484137,104337.4640084119,42668.65139917034,1280.0595419751146
Germany,Austria,2045-2050,1.3483393092491277e-07,8199.999938809202,1.3115441720299048e-05,36281.374903107746,1088.4412470932327
Germany,Austria,2050-2055,2.7073414718390345e-07,8199.99993941015,1.5350131839317228e-05,39355.61018588151,1180.6683055764495
Germany,Austria,2055-2060,4.0628136001636226e-07,8199.999939921623,1.0119754824932658e-05,42787.4571035805,1283.623713107417
Hungary,Austria,2020-2025,0.0,800.0,0.0,3059.78148143134,91.79344444294016
Hungary,Austria,2025-2030,0.0,800.0,0.0,3651.3071885335007,109.53921565600537
Hungary,Austria,2030-2035,1999.9999544395887,2799.9999544395887,149305055.8020377,12882.00728942864,386.46021868285914
Hungary,Austria,2035-2040,1.783983312649512e-05,2799.9999722725133,0.95670547990441,16245.214242459087,487.356427273773
Hungary,Austria,2040-2045,6.850399133584144e-08,2799.999972334108,0.002545185103948476,17369.238799962433,521.0771639988736
Hungary,Austria,2045-2050,6.354936514353314e-08,2799.99997239074,0.0015408351822771894,17639.960091714278,529.1988027514284
Hungary,Austria,2050-2055,7.743244752618141e-08,2799.9999724612558,0.0010943425982693964,17246.530192887796,517.3959057866332
Hungary,Austria,2055-2060,1.7066592451114253e-07,2799.9999726250153,0.0010596224595976695,16418.972877716093,492.56918633148393
Italy,Austria,2020-2025,0.0,405.0,0.0,2294.5560284659846,68.83668085397969
Italy,Austria,2025-2030,1.0348176147090271e-06,405.0000010348176,0.41164445889519086,2076.608392576909,62.298251777307335
Italy,Austria,2030-2035,889.9999375188498,1294.9999391183253,237934448.1192835,7169.285746986728,215.07857240960178
Italy,Austria,2035-2040,4.9645722787653734e-05,1294.9999881867193,9.534372840768388,7351.279193302951,220.53837579908904
Italy,Austria,2040-2045,999.9999797517409,2294.9999681221534,133053501.17329225,14456.478220153718,433.69434660461263
Italy,Austria,2045-2050,1.8886349498451805e-07,2294.9999680653564,0.01639894129839521,12931.569852717077,387.94709558151175
Italy,Austria,2050-2055,1.449313104245507e-07,2294.999968249008,0.007335257364696182,12983.634512609788,389.5090353782939
Italy,Austria,2055-2060,3.497251411523536e-07,2294.9999685977664,0.007775959868667093,14267.95381054859,428.0386143164576
Slovenia,Austria,2020-2025,0.0,950.0,0.0,2148.100867730342,64.44302603191024
Slovenia,Austria,2025-2030,0.0,950.0,0.0,2298.8467468170984,68.96540240451297
Slovenia,Austria,2030-2035,999.9997970134932,1949.9997970134932,97342404.35481533,6649.899080032249,199.4969724009675
Slovenia,Austria,2035-2040,0.0001811718238123492,1949.9999781784054,12.668808137973699,8127.372310503447,243.82116931510376
Slovenia,Austria,2040-2045,999.9999689774517,2949.9999468342285,48446355.54551124,16610.49379709481,498.31481391284336
Slovenia,Austria,2045-2050,2.777668249579148e-07,2949.999947848812,0.008781788500511778,14920.666141024762,447.6199842307445
Slovenia,Austria,2050-2055,2.9851994031708546e-07,2949.999947629234,0.005501248877521129,15430.63861264609,462.91915837938427
Slovenia,Austria,2055-2060,8.096309315939769e-07,2949.999948514064,0.0065546432302713755,13721.622848166222,411.6486854449871
Slovakia,Austria,2020-2025,0.0,0.0,0.0,0.0,0.0
Slovakia,Austria,2025-2030,0.0,0.0,0.0,0.0,0.0
Slovakia,Austria,2030-2035,999.9999396751875,999.9999396751875,19498630.99523779,3959.59461548185,118.7878384644555
