Node,Period,Converter invested capacity [MW],Converter total capacity [MW]
EnergyhubEU,2020-2025,0.03823236156638397,0.03823236156638397
EnergyhubEU,2025-2030,0.00014568330723498522,0.038377762983586854
EnergyhubEU,2030-2035,14575.993925964827,14576.03230341642
EnergyhubEU,2035-2040,329.5864178662911,14905.61871931174
EnergyhubEU,2040-2045,1.787166382269777e-05,14905.618738081548
EnergyhubEU,2045-2050,6.366366546325436e-05,14905.618802567686
EnergyhubEU,2050-2055,2.4159481004583427e-05,14905.618820540329
EnergyhubEU,2055-2060,2.0225005840854073e-06,14905.618827470877
EnergyhubNorth,2020-2025,0.03670471627123129,0.03670471627123129
EnergyhubNorth,2025-2030,0.0005719374806070056,0.03727637188105484
EnergyhubNorth,2030-2035,1396.8403309773253,1396.8776070680958
EnergyhubNorth,2035-2040,1393.0219765042673,2789.8995832931855
EnergyhubNorth,2040-2045,63623.05471758587,66412.95429871297
EnergyhubNorth,2045-2050,3.128589213320667e-05,66412.95433201025
EnergyhubNorth,2050-2055,721.3628204941543,67134.31716141521
EnergyhubNorth,2055-2060,2.1243436326950333e-06,67134.31715769833
EnergyhubCentral,2020-2025,0.040372798604704316,0.040372798604704316
EnergyhubCentral,2025-2030,0.00015503975873803734,0.04052755649122312
EnergyhubCentral,2030-2035,9866.463141556209,9866.50366865508
EnergyhubCentral,2035-2040,0.18088609330443872,9866.68455632834
EnergyhubCentral,2040-2045,9.944042764382377e-06,9866.684563302537
EnergyhubCentral,2045-2050,8.91704285892389e-05,9866.684652887036
EnergyhubCentral,2050-2055,9.401041396753355e-06,9866.684658802382
EnergyhubCentral,2055-2060,1.9694316400586402e-06,9866.684664100838
