Node,GeneratorType,Period,genInvCap_MW,genInstalledCap_MW,genExpectedCapacityFactor,DiscountedInvestmentCost_Euro,genExpectedAnnualProduction_GWh
BosniaH,Liginiteexisting,2020-2025,0.0,1888.0,0.7498211179523406,0.0,12401.201491279617
BosniaH,Liginiteexisting,2025-2030,0.0,1161.8461538461538,0.7104276572190787,0.0,7230.570936263057
BosniaH,Liginiteexisting,2030-2035,0.0,780.6153846153845,0.7110723633220426,0.0,4862.448471123888
BosniaH,Liginiteexisting,2035-2040,0.0,544.6153846153845,0.003073992296112476,0.0,14.665497030671697
BosniaH,Liginiteexisting,2040-2045,0.0,377.5999999999999,2.306702505394947e-07,0.0,0.0007630055186485272
BosniaH,Liginiteexisting,2045-2050,0.0,94.40000000000009,8.814226239784361e-07,0.0,0.000728887150363224
BosniaH,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
BosniaH,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Bulgaria,Liginiteexisting,2020-2025,0.0,12357.0,0.33496148933766107,0.0,36258.683524010354
Bulgaria,Liginiteexisting,2025-2030,0.0,7604.307692307692,0.49838787674747626,0.0,33199.478140556675
Bulgaria,Liginiteexisting,2030-2035,0.0,5109.1442307692305,0.6803331814909616,0.0,30449.062259127142
Bulgaria,Liginiteexisting,2035-2040,0.0,3564.5192307692305,0.007067394927780813,0.0,220.68073855207723
Bulgaria,Liginiteexisting,2040-2045,0.0,2471.3999999999996,3.325954237951706e-08,0.0,0.0007200512654018294
Bulgaria,Liginiteexisting,2045-2050,0.0,617.8500000000006,1.3869914327407054e-07,0.0,0.000750690527285708
Bulgaria,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Bulgaria,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
CzechR,Liginiteexisting,2020-2025,0.0,7250.0,0.7499996581083894,0.0,47632.478286463745
CzechR,Liginiteexisting,2025-2030,0.0,4461.538461538462,0.7113099738883165,0.0,27800.18242562893
CzechR,Liginiteexisting,2030-2035,0.0,2997.596153846154,0.6810741675211421,0.0,17884.28727219724
CzechR,Liginiteexisting,2035-2040,0.0,2091.346153846154,0.020923584759644936,0.0,383.32409656299654
CzechR,Liginiteexisting,2040-2045,0.0,1449.9999999999998,6.698765085899683e-08,0.0,0.0008508771412109789
CzechR,Liginiteexisting,2045-2050,0.0,362.50000000000034,3.149344175178899e-07,0.0,0.0010000742428280605
CzechR,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
CzechR,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Germany,Liginiteexisting,2020-2025,0.0,19106.0,0.7371445584632259,0.0,123374.8232618257
Germany,Liginiteexisting,2025-2030,0.0,11757.538461538463,0.748728935132183,0.0,77116.11304825035
Germany,Liginiteexisting,2030-2035,0.0,7899.596153846153,0.6996248887298745,0.0,48414.365742075104
Germany,Liginiteexisting,2035-2040,0.0,5511.346153846153,0.046371540562403495,0.0,2238.789798724345
Germany,Liginiteexisting,2040-2045,0.0,3821.1999999999994,3.282521237725677e-08,0.0,0.00109878170545513
Germany,Liginiteexisting,2045-2050,0.0,955.3000000000009,1.4191677993828739e-07,0.0,0.0011876203549054025
Germany,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Germany,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2020-2025,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2025-2030,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2030-2035,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2035-2040,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2040-2045,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2045-2050,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Greece,Liginiteexisting,2020-2025,0.0,2001.0,0.7296289817097831,0.0,12789.491309435221
Greece,Liginiteexisting,2025-2030,0.0,1231.3846153846155,0.5846674520856988,0.0,6306.766429182589
Greece,Liginiteexisting,2030-2035,0.0,827.3365384615385,0.6159363963434176,0.0,4463.979369913958
Greece,Liginiteexisting,2035-2040,0.0,577.2115384615385,0.013555936354787482,0.0,68.54387161682996
Greece,Liginiteexisting,2040-2045,0.0,400.19999999999993,1.810094313795672e-07,0.0,0.0006345741760777787
Greece,Liginiteexisting,2045-2050,0.0,100.05000000000008,8.302404138606284e-07,0.0,0.0007276542478431803
Greece,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Greece,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Hungary,Liginiteexisting,2020-2025,0.0,1007.0,0.7499994760591683,0.0,6615.985378150258
Hungary,Liginiteexisting,2025-2030,0.0,619.6923076923077,0.6844935549970316,0.0,3715.7764225024166
Hungary,Liginiteexisting,2030-2035,0.0,416.3557692307692,0.6698982919969119,0.0,2443.304323555794
Hungary,Liginiteexisting,2035-2040,0.0,290.4807692307692,0.012679882080829439,0.0,32.265374249210325
Hungary,Liginiteexisting,2040-2045,0.0,201.39999999999995,4.4419675203966654e-07,0.0,0.0007836803385405089
Hungary,Liginiteexisting,2045-2050,0.0,50.350000000000044,1.698859590901758e-06,0.0,0.0007493092043206753
Hungary,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Hungary,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Ireland,Liginiteexisting,2020-2025,0.0,228.0,0.7246166744148792,0.0,1447.2623914753497
Ireland,Liginiteexisting,2025-2030,0.0,140.30769230769232,0.56935051075772,0.0,699.7860850007262
Ireland,Liginiteexisting,2030-2035,0.0,94.26923076923076,0.5375294559395605,0.0,443.8909977464965
Ireland,Liginiteexisting,2035-2040,0.0,65.76923076923076,0.04815529550688776,0.0,27.74411786826832
Ireland,Liginiteexisting,2040-2045,0.0,45.59999999999999,0.006069462121419908,0.0,2.4244830611739077
Ireland,Liginiteexisting,2045-2050,0.0,11.40000000000001,0.005003930669342563,0.0,0.49971253236322594
Ireland,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Ireland,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Macedonia,Liginiteexisting,2020-2025,0.0,824.0,0.7495419021215199,0.0,5410.373339569653
Macedonia,Liginiteexisting,2025-2030,0.0,507.0769230769231,0.7102962164575409,0.0,3155.1314224507523
Macedonia,Liginiteexisting,2030-2035,0.0,340.6923076923077,0.7173637374717977,0.0,2140.946690844634
Macedonia,Liginiteexisting,2035-2040,0.0,237.69230769230768,0.008646038932621662,0.0,18.002649249521248
Macedonia,Liginiteexisting,2040-2045,0.0,164.79999999999995,4.881259268500292e-07,0.0,0.0007046820180451909
Macedonia,Liginiteexisting,2045-2050,0.0,41.20000000000004,2.0607417206701786e-06,0.0,0.0007437464158905158
Macedonia,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Macedonia,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Poland,Liginiteexisting,2020-2025,0.0,7560.0,0.7499999356855259,0.0,49669.195740735275
Poland,Liginiteexisting,2025-2030,0.0,4652.307692307692,0.6876859781980693,0.0,28026.102472464074
Poland,Liginiteexisting,2030-2035,0.0,3125.7692307692305,0.602616266495575,0.0,16500.681001850604
Poland,Liginiteexisting,2035-2040,0.0,2180.7692307692305,0.026456828135026363,0.0,505.4190338477902
Poland,Liginiteexisting,2040-2045,0.0,1511.9999999999998,0.006597525748206558,0.0,87.3850202380857
Poland,Liginiteexisting,2045-2050,0.0,378.00000000000034,0.000294111644089797,0.0,0.9738860048416641
Poland,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Poland,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Romania,Liginiteexisting,2020-2025,0.0,2497.0,0.7499997819347739,0.0,16405.285230102312
Romania,Liginiteexisting,2025-2030,0.0,1536.6153846153848,0.6646348846165616,0.0,8946.484534359972
Romania,Liginiteexisting,2030-2035,0.0,1032.4134615384614,0.6477232091403758,0.0,5857.9710856945685
Romania,Liginiteexisting,2035-2040,0.0,720.2884615384614,0.00975643893389521,0.0,61.5604654145543
Romania,Liginiteexisting,2040-2045,0.0,499.39999999999986,1.687555129795485e-07,0.0,0.0007382621678742025
Romania,Liginiteexisting,2045-2050,0.0,124.85000000000011,6.935723673927151e-07,0.0,0.000758550388204269
Romania,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Romania,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Serbia,Liginiteexisting,2020-2025,0.0,5661.0,0.7493126069730112,0.0,37158.68193233006
Serbia,Liginiteexisting,2025-2030,0.0,3483.692307692308,0.7282990227346895,0.0,22225.606600037863
Serbia,Liginiteexisting,2030-2035,0.0,2340.605769230769,0.7195943221042531,0.0,14754.350807168761
Serbia,Liginiteexisting,2035-2040,0.0,1632.980769230769,0.017989673557678727,0.0,257.34068884839473
Serbia,Liginiteexisting,2040-2045,0.0,1132.1999999999998,7.713397599895125e-08,0.0,0.0007650203276038676
Serbia,Liginiteexisting,2045-2050,0.0,283.05000000000024,3.042757061584914e-07,0.0,0.0007544570903826903
Serbia,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Serbia,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Slovenia,Liginiteexisting,2020-2025,0.0,936.0,0.7499994125982556,0.0,6149.515183681635
Slovenia,Liginiteexisting,2025-2030,0.0,576.0,0.7161880110508887,0.0,3613.7128186401287
Slovenia,Liginiteexisting,2030-2035,0.0,387.0,0.7113099776001889,0.0,2411.4261812619525
Slovenia,Liginiteexisting,2035-2040,0.0,270.0,0.004337656045439999,0.0,10.259424078674682
