Node,StorageType,Period,storPWInvCap_MW,storPWInstalledCap_MW,storENInvCap_MWh,storENInstalledCap_MWh,DiscountedInvestmentCostPWEN_EuroPerMWMWh,ExpectedAnnualDischargeVolume_GWh,ExpectedAnnualLossesChargeDischarge_GWh
Austria,HydroPumpStorage,2020-2025,1.3505606148100924e-05,3503.000013505606,3.168667899444699e-05,124704.00003168668,17.507987749922883,3928.120398384614,982.0300995312691
Austria,HydroPumpStorage,2025-2030,8.998153062267153e-07,3503.0000141998726,4.752907713743646e-06,124704.00003602849,1.1313031731437644,2940.8597154071367,735.2149287917096
Austria,HydroPumpStorage,2030-2035,1751.4838224068837,5254.483836401185,1.9072305095362666e-05,124704.0000546897,1129022089.7641222,7404.082428839124,1851.0206071374114
Austria,HydroPumpStorage,2035-2040,0.015666411609501153,5254.499497194001,2.2913467370621868e-05,124704.00007719207,7913.759728202054,8809.037836703348,2202.2594591075745
Austria,HydroPumpStorage,2040-2045,1.2333342681542815e-05,5254.499510133553,1.693472551132344e-05,124704.00009371569,4.908230074161688,11690.276870596712,2922.569217578132
Austria,HydroPumpStorage,2045-2050,8.170933152971395e-05,5254.499584606604,7.426829258687326e-05,124704.0001362973,20.35453726017698,9426.986270170091,2356.746567470002
Austria,HydroPumpStorage,2050-2055,1.4885476505252187e-06,5254.499583527443,2.0951419458471124e-05,124704.0001524958,0.47700512262493255,10192.31510734807,2548.07877833983
Austria,HydroPumpStorage,2055-2060,1751.4836321525538,5254.499393273183,2.882934266525144e-05,124704.00016225284,102417167.41801898,10080.205559105143,2520.0513897110177
Austria,Li-Ion_BESS,2020-2025,0.003768031096367139,0.003768031096367139,0.007536062192734278,0.007536062192734278,2224.3311473477356,0.010922477679802492,0.001213594135198532
Austria,Li-Ion_BESS,2025-2030,0.0027532896836277793,0.0065211152299643055,0.005506579366799393,0.013042230459928611,1035.7029844514702,0.013002121433862365,0.0014446656496834144
Austria,Li-Ion_BESS,2030-2035,1333.1053779684248,1333.1118988780834,2666.2107559366614,2666.2237977561667,387018254.19789296,1081.1228121044544,120.12475688549414
Austria,Li-Ion_BESS,2035-2040,8037.2629164277105,9370.371047241759,16074.525832864116,18740.742094483518,1828220814.1015704,6872.185947525788,763.5762163763347
Austria,Li-Ion_BESS,2040-2045,3469.1245143926567,12839.492808379144,6938.249028782776,25678.985616758288,618292340.3085674,11028.502133088343,1225.389125882782
Austria,Li-Ion_BESS,2045-2050,6033.243300294638,17539.630730702887,12066.486600580092,35079.261461405775,842516320.3910034,14931.241227180779,1659.0268030041705
Austria,Li-Ion_BESS,2050-2055,5122.767366946727,14625.135181223966,10245.534733906687,29250.270362447933,416982151.08521175,12331.944484702894,1370.2160538404282
Austria,Li-Ion_BESS,2055-2060,0.0001202086380885775,11156.010787041945,0.00024041770364491966,22312.02157408389,4.2985621232243565,9341.481913823996,1037.942434854389
BosniaH,HydroPumpStorage,2020-2025,1.9426067865424557e-07,440.0000001942607,2.789700374705717e-06,2199.3400027897005,0.4968922519310575,85.00226073389123,21.250565125687334
BosniaH,HydroPumpStorage,2025-2030,6.569540016481467e-07,440.00000064566484,6.902470576669708e-06,2199.340009281071,1.1083456455407905,240.82044906820474,60.205112215225164
BosniaH,HydroPumpStorage,2030-2035,3.71614506876499e-07,440.00000081172925,2.4762731030963825e-05,2199.3400336327018,1.8357737457747094,520.7653517342715,130.1913378776932
BosniaH,HydroPumpStorage,2035-2040,4.737399626397174e-07,440.0000010799192,219.9320615387957,2419.27209476039,11108063.851219257,592.2472980185536,148.0618244473947
BosniaH,HydroPumpStorage,2040-2045,5.951790572628468e-07,440.0000014695483,0.0011836584601061647,2419.2732850261204,41.626561069337626,739.4194907893742,184.85487264262605
BosniaH,HydroPumpStorage,2045-2050,8.3305760330357e-07,440.0000021083452,2.5956562768110755e-05,2419.2733087987585,0.7829581598533563,631.792372941371,157.94809317888308
BosniaH,HydroPumpStorage,2050-2055,1.4681697598648226e-06,440.000002919561,1.765525798639686e-05,2419.273311721907,0.4304193499285099,545.4688001756684,136.36719999236718
BosniaH,HydroPumpStorage,2055-2060,3.30691996120803e-06,440.0000058548664,6.448971133414358e-05,2419.2733549067316,0.5704710632535581,653.8512577504031,163.4628143843414
BosniaH,Li-Ion_BESS,2020-2025,0.0037795884747070982,0.0037795884747070982,0.0075591769494141965,0.0075591769494141965,2231.1536591492013,0.010834014394190713,0.001203766280835742
BosniaH,Li-Ion_BESS,2025-2030,0.0025881025926847968,0.006367485517580567,0.005176205185702304,0.012734971035161134,973.5646763186211,0.013422054300763703,0.00149132759545593
BosniaH,Li-Ion_BESS,2030-2035,0.007256220224219261,0.013623500191539916,0.014512440448105901,0.027247000383079832,2106.577416614967,0.0231453751538887,0.002571695605173318
BosniaH,Li-Ion_BESS,2035-2040,434.80982116780086,434.8196650795373,869.6196423356198,869.6393301590746,98905357.89361851,334.97790452192635,37.219767156133585
BosniaH,Li-Ion_BESS,2040-2045,392.4110028703199,827.2280798472898,784.8220057406652,1654.4561596945796,69938313.3470733,645.0317925800155,71.67019916327115
BosniaH,Li-Ion_BESS,2045-2050,6.25400083941428e-05,827.2208861670018,0.00012507989747823986,1654.4417723340036,8.733434214757077,594.179110427675,66.0199011457673
BosniaH,Li-Ion_BESS,2050-2055,0.00047846460545702935,392.41154346384025,0.0009569293623403807,784.8230869276805,38.945986403002685,273.8117038501024,30.423522638391145
BosniaH,Li-Ion_BESS,2055-2060,2.705342076597731,2.705882670111618,5.410684153163443,5.411765340223236,96740.65813604381,2.852824492789517,0.31698048709387
Belgium,HydroPumpStorage,2020-2025,2.3803825342838536e-05,1308.0000238038253,2.8665363061008975e-06,7762.500002866536,25.295002922121025,1496.5076543436994,374.12691352271196
Belgium,HydroPumpStorage,2025-2030,5.358052450608834e-07,1308.0000241340806,5.7212044638042435e-06,7762.500008176641,0.9114932082342696,696.4886444292181,174.12216104256876
Belgium,HydroPumpStorage,2030-2035,6.620437277926177e-06,1308.000030548968,1.8320313760515695e-05,7762.500026085855,5.44853665840549,1370.2139255605778,342.5534813207532
Belgium,HydroPumpStorage,2035-2040,1.0073896728330684e-06,1308.0000313508076,363.76528930290533,8126.265314977668,18372619.51270432,1682.5147403894655,420.62868503226065
Belgium,HydroPumpStorage,2040-2045,1.7649099067610673e-06,1308.0000329101676,412.4758693200513,8538.741183886625,14433258.866719874,1877.0625465099276,469.265636558586
Belgium,HydroPumpStorage,2045-2050,1.9612414345759296e-06,1308.0000110675837,0.008194789978151698,8538.749377425978,187.5785967101392,1480.2433612018194,370.06084023852605
Belgium,HydroPumpStorage,2050-2055,3.2013288487090714e-06,1308.0000137331076,3.743569544810273e-05,8538.749407524561,0.9243970552504878,1536.5553593826826,384.138839781519
Belgium,HydroPumpStorage,2055-2060,7.8623926885287e-06,1308.0000149750626,6.808793841389654e-05,8538.749454399307,0.8578906117071362,1644.1564285558647,411.0391070721427
Belgium,Li-Ion_BESS,2020-2025,0.004127078420434765,0.004127078420434765,0.00825415684086953,0.00825415684086953,2436.2827278602927,0.01214335734587783,0.0013492479014702678
Belgium,Li-Ion_BESS,2025-2030,0.0028374590004249496,0.006964331870934076,0.0056749180006697144,0.013928663741868153,1067.364895384689,0.013650323033347874,0.0015166881803083641
Belgium,Li-Ion_BESS,2030-2035,0.09062376240880111,0.09758788872949324,0.18124752481731868,0.19517577745898648,26309.285744313755,0.11068900923267916,0.012298763316236826
Belgium,Li-Ion_BESS,2035-2040,1704.035646852611,1704.1291075934503,3408.0712937110775,3408.2582151869005,387613727.4522402,1454.7205735541531,161.63561926912672
Belgium,Li-Ion_BESS,2040-2045,8.858253089259448e-05,1704.1263587866888,0.0001771605894739565,3408.2527175733776,15.78746507706531,1376.366254413507,152.92958380838226
Belgium,Li-Ion_BESS,2045-2050,7526.190521048507,9230.22625606951,15052.381042109231,18460.45251213902,1050999939.6269264,6122.073281836299,680.2303646345631
Belgium,Li-Ion_BESS,2050-2055,0.0001321740072200056,7526.19074139367,0.000264338795902653,15052.38148278734,10.758346890909325,5018.901277956959,557.6556975371278
Belgium,Li-Ion_BESS,2055-2060,5329.674319415138,12855.864972227157,10659.348638829211,25711.729944454313,190584475.7207394,7715.570469939904,857.2856077562435
Bulgaria,HydroPumpStorage,2020-2025,4.209626695228508e-06,864.0000042096267,4.036642394567025e-06,1499.2000040366424,4.843955481419464,0.013667443581493913,0.0034167995616659896
Bulgaria,HydroPumpStorage,2025-2030,1.6673658332540702e-07,864.0000041708132,1.0937868234774548e-05,1499.2000145634108,1.0370357263098071,143.0688324230071,35.76720804351843
Bulgaria,HydroPumpStorage,2030-2035,5.761563860362295e-07,864.0000045414198,149.91579642741695,1649.11581057973,9663706.277296046,505.9420170030207,126.48550419134337
Bulgaria,HydroPumpStorage,2035-2040,2.5401958127182614e-06,864.0000068760656,0.003841949486681066,1649.1196536301782,195.3275277743561,399.36879811240624,99.84219946223088
Bulgaria,HydroPumpStorage,2040-2045,1.8624777089115283e-06,864.0000085329933,1.5509229274422025e-05,1649.1196681787555,1.1944090929127318,427.34261675802895,106.83565412554428
Bulgaria,HydroPumpStorage,2045-2050,8.372587748129078e-07,864.0000051606254,1.3286922166654686e-05,1649.1196755844396,0.49460207585584787,373.0139175795036,93.25347933603767
Bulgaria,HydroPumpStorage,2050-2055,1.2129521666725914e-06,864.0000062068409,2.1279915482510506e-05,1649.119686808574,0.44469455949347686,305.5510631476345,76.38776572598704
Bulgaria,HydroPumpStorage,2055-2060,2.7074938397036757e-06,864.0000083381783,149.91543755618497,1649.119327937339,876623.5054982272,374.41624847134807,93.60406205859873
Bulgaria,Li-Ion_BESS,2020-2025,0.0038081873562406388,0.0038081873562406388,0.0076163747124812775,0.0076163747124812775,2248.036052459515,0.013758616962776932,0.001528721651176583
Bulgaria,Li-Ion_BESS,2025-2030,0.00334421354799681,0.007152195354214644,0.00668842709582921,0.014304390708429288,1257.990386218551,0.017963177751744573,0.001995894855183191
Bulgaria,Li-Ion_BESS,2030-2035,0.005552677498207675,0.012704667302268031,0.011105354996132511,0.025409334604536062,1612.0162643909664,0.027165117744301855,0.003018333220571003
Bulgaria,Li-Ion_BESS,2035-2040,1625.67974697318,1625.688643451426,3251.359493947698,3251.377286902852,369790260.8616418,1158.761818579717,128.75131316087672
