BetweenNode,AndNode,Period,transmissionInvCap_MW,transmissionInstalledCap_MW,DiscountedInvestmentCost_EuroPerMW,transmissionExpectedAnnualVolume_GWh,ExpectedAnnualLosses_GWh
Switzerland,Austria,2020-2025,0.0,1200.0,0.0,3428.971847025403,102.86915541076227
Switzerland,Austria,2025-2030,0.0,1200.0,0.0,5530.987025401389,165.92961076204148
Switzerland,Austria,2030-2035,578.880893346844,1778.880893346844,138593389.2308885,7509.039644106286,225.27118932318925
Switzerland,Austria,2035-2040,421.11893049015225,2199.999823631475,72427085.62394772,13362.876659675732,400.8862997902724
Switzerland,Austria,2040-2045,999.9998219341788,3199.9996456341496,119154978.03904493,18958.60340680857,568.7581022042573
Switzerland,Austria,2045-2050,0.0001472807093260069,3199.999791636642,11.452481756368181,21276.150338803127,638.2845101640942
Switzerland,Austria,2050-2055,5.465999901943776e-06,3199.9997948962964,0.24774717389505935,15761.611677374116,472.84835032122385
Switzerland,Austria,2055-2060,4.5487380464963184e-06,3199.9998020391417,0.09057410184624513,22132.782941547757,663.9834882464337
CzechR,Austria,2020-2025,0.0,900.0,0.0,3764.8235424044506,112.94470627213367
CzechR,Austria,2025-2030,0.0,900.0,0.0,4499.89835438409,134.99695063152285
CzechR,Austria,2030-2035,999.9998564593307,1899.9998564593307,87917378.38914406,8186.168524470969,245.5850557341292
CzechR,Austria,2035-2040,1.1799824327379419e-05,1899.999868053605,0.7452350609838023,8654.795862886825,259.64387588660526
CzechR,Austria,2040-2045,5.4236726585958975e-05,1899.9999220847817,2.3731611506661374,11783.424617536795,353.50273852610553
CzechR,Austria,2045-2050,2.6794543634564085e-06,1899.9999245586862,0.07651059824573227,10810.350227322542,324.31050681967673
CzechR,Austria,2050-2055,2.4640450863872193e-06,1899.9999268171812,0.04101183783373504,11042.87270776973,331.2861812330925
CzechR,Austria,2055-2060,2.38503174633084e-06,1899.9999289966636,0.017439288597881564,11267.378964524221,338.02136893572697
Germany,Austria,2020-2025,0.0,5000.0,0.0,19698.12229600472,590.9436688801437
Germany,Austria,2025-2030,1999.9998402824303,6999.99984028243,891259.8834559986,24127.82081971794,723.8346245915395
Germany,Austria,2030-2035,500.0000951320383,7499.999928283341,149745.3589916235,33240.8602680873,997.22580804262
Germany,Austria,2035-2040,5.900002382836609e-07,7499.999935593382,0.0001269341318039629,37172.949509673956,1115.1884852902178
Germany,Austria,2040-2045,699.9999923967968,8199.9999269312,104337.46672113625,48175.394863559544,1445.2618459067828
Germany,Austria,2045-2050,5.037060460877392e-07,8199.999928254856,4.8996029755336476e-05,45271.19107441243,1358.1357322323754
Germany,Austria,2050-2055,6.035972079698529e-07,8199.999928525176,3.4222859644990844e-05,46169.05869323028,1385.0717607969132
Germany,Austria,2055-2060,8.968429046332775e-07,8199.999929172413,2.2338780964511188e-05,44284.48593981293,1328.5345781943902
Hungary,Austria,2020-2025,0.0,800.0,0.0,2747.1455051288153,82.41436515386451
Hungary,Austria,2025-2030,0.0,800.0,0.0,3718.332221954595,111.54996665863808
Hungary,Austria,2030-2035,1999.99990336699,2799.99990336699,149305051.98933902,13856.303856349145,415.6891156904747
Hungary,Austria,2035-2040,1.5026736835204149e-06,2799.9999046641137,0.0805846185521224,13463.720717597971,403.9116215279391
Hungary,Austria,2040-2045,2.4593232404905442e-06,2799.9999069178866,0.09137325804570864,17058.403533005076,511.75210599015355
Hungary,Austria,2045-2050,1.7478869890697252e-06,2799.9999084602237,0.042379743075643315,16734.606698374664,502.0382009512396
Hungary,Austria,2050-2055,1.9971366668016906e-06,2799.9999102518104,0.0282252698819557,18206.120817106308,546.1836245131888
Hungary,Austria,2055-2060,3.0029791625426405e-06,2799.9999130492406,0.018644753927584603,17262.230149065876,517.8669044719774
Italy,Austria,2020-2025,0.0,405.0,0.0,2324.9370955157046,69.74811286547131
Italy,Austria,2025-2030,389.9990378281793,794.9990378281793,155139360.4191472,4335.793491705006,130.07380475115005
Italy,Austria,2030-2035,500.00088744848506,1294.999925609734,133671284.90577854,7929.726582798562,237.89179748395657
Italy,Austria,2035-2040,2.767191317850751e-06,1294.9999276327694,0.5314341752858418,7549.159249181418,226.47477747544266
Italy,Austria,2040-2045,999.9999838584968,2294.9999102064507,133053501.71971051,14598.685094175009,437.960552825251
Italy,Austria,2045-2050,5.200553228814807e-06,2294.9999157535867,0.4515619449142607,15973.38642364735,479.2015927094201
Italy,Austria,2050-2055,1.7678957362645282e-06,2294.9999173444485,0.08947666436922413,13513.403318075374,405.4020995422624
Italy,Austria,2055-2060,5.9794815218353425e-06,2294.999923617032,0.13295071722902685,15222.40304792813,456.67209143784333
Slovenia,Austria,2020-2025,0.0,950.0,0.0,3275.065562383427,98.2519668715028
Slovenia,Austria,2025-2030,0.0,950.0,0.0,3504.857162041337,105.14571486124018
Slovenia,Austria,2030-2035,999.9999246898067,1949.9999246898067,97342416.7831372,7763.21259075973,232.89637772279198
Slovenia,Austria,2035-2040,2.0297890676361652e-06,1949.999926514046,0.14193712751423046,10346.25299752397,310.38758992571906
Slovenia,Austria,2040-2045,999.9999889847869,2949.9999145131515,48446356.514793746,15190.824365287835,455.7247309586356
Slovenia,Austria,2045-2050,6.834325292968473e-06,2949.9999216478914,0.21607187710642103,15621.485564692213,468.6445669407676
Slovenia,Austria,2050-2055,3.008246356896474e-06,2949.9999239978342,0.055437207566789076,17024.783107780495,510.74349323341477
Slovenia,Austria,2055-2060,3.877392636656985e-06,2949.999928396628,0.0313907539907494,18083.48705147744,542.5046115443234
Slovakia,Austria,2020-2025,0.0,0.0,0.0,0.0,0.0
Slovakia,Austria,2025-2030,0.0,0.0,0.0,0.0,0.0
Slovakia,Austria,2030-2035,999.9998007684602,999.9998007684602,19498628.28674661,2581.0054029900766,77.43016208970239
Slovakia,Austria,2035-2040,7.504461294770992e-05,999.9998756075234,1.0511546460405399,5477.3977673370955,164.32193302011262
Slovakia,Austria,2040-2045,1.4559237036401457e-05,999.9998899612103,0.1412868464777296,5295.115268792657,158.8534580637796
Slovakia,Austria,2045-2050,5.1106085175520284e-06,999.9998948662687,0.03236511858983259,5448.59310185326,163.457793055598
Slovakia,Austria,2050-2055,4.004865532393393e-06,999.9998986655844,0.01478352074393357,5656.376468588504,169.691294057655
Slovakia,Austria,2055-2060,4.155200916607528e-06,999.9999026152353,0.006738387524988281,5811.674338618815,174.3502301585648
Croatia,BosniaH,2020-2025,0.0,750.0,0.0,3877.91638537035,116.33749156111075
Croatia,BosniaH,2025-2030,0.0,750.0,0.0,3468.191028616649,104.04573085849938
Croatia,BosniaH,2030-2035,0.0,750.0,0.0,2826.725285837416,84.80175857512249
Croatia,BosniaH,2035-2040,0.0,750.0,0.0,2396.288718687627,71.88866156062888
Croatia,BosniaH,2040-2045,1143.9993736218075,1893.9993736218075,58205081.21727901,6187.627470121754,185.62882410365273
Croatia,BosniaH,2045-2050,4.484600425768147e-05,1893.9994182622615,1.4890193446236977,5805.843271229803,174.17529813689384
Croatia,BosniaH,2050-2055,0.00032513427671382306,1893.999743190988,6.292521249265649,5146.569205724089,154.397076171723
Croatia,BosniaH,2055-2060,2.92160072325763e-06,1893.9997459070394,0.024840298870170988,5485.005341793945,164.55016025381875
Italy,BosniaH,2020-2025,0.0,0.0,0.0,0.0,0.0
Italy,BosniaH,2025-2030,0.0,0.0,0.0,0.0,0.0
Italy,BosniaH,2030-2035,0.0,0.0,0.0,0.0,0.0
Italy,BosniaH,2035-2040,0.0,0.0,0.0,0.0,0.0
Italy,BosniaH,2040-2045,0.0,0.0,0.0,0.0,0.0
Italy,BosniaH,2045-2050,0.0,0.0,0.0,0.0,0.0
Italy,BosniaH,2050-2055,0.0,0.0,0.0,0.0,0.0
Italy,BosniaH,2055-2060,0.0,0.0,0.0,0.0,0.0
Serbia,BosniaH,2020-2025,0.0,600.0,0.0,794.1580344926642,23.824741034779986
Serbia,BosniaH,2025-2030,0.0,600.0,0.0,2050.044535687489,61.501336070624696
Serbia,BosniaH,2030-2035,0.0,600.0,0.0,1626.7425500105996,48.80227650031804
Serbia,BosniaH,2035-2040,0.0,600.0,0.0,2233.399707966611,67.00199123899843
Serbia,BosniaH,2040-2045,1349.9993747671151,1949.9993747671151,45466893.40677095,7394.064865838446,221.82194597515402
Serbia,BosniaH,2045-2050,3.724499784684713e-05,1949.9994118065626,0.8185988699080466,6922.82512309629,207.6847536928891
Serbia,BosniaH,2050-2055,9.051527526213081e-06,1949.9994206525407,0.11596058877312518,6184.368785281247,185.53106355843772
Serbia,BosniaH,2055-2060,6.374322362107815e-06,1949.9994268213125,0.035875385576877104,6479.447506132494,194.38342518397508
Germany,Belgium,2020-2025,0.0,1000.0,0.0,4168.350982760725,125.05052948282206
Germany,Belgium,2025-2030,999.9993921045357,1999.9993921045357,445629.7064190258,7266.764875695143,218.00294627085415
Germany,Belgium,2030-2035,0.0005150794407603725,1999.9999069784262,0.15426148218131486,10165.2221513949,304.95666454184715
Germany,Belgium,2035-2040,5.4197344513567315e-05,1999.9999609702209,0.011660152700823842,13024.051465826604,390.7215439747992
Germany,Belgium,2040-2045,7.849577240219777e-07,1999.9999615496283,0.00011700071613888882,14841.746825012639,445.2524047503804
Germany,Belgium,2045-2050,4.937433946141024e-07,1999.9999618378217,4.80269519135364e-05,14233.410784195918,427.0023235258774
Germany,Belgium,2050-2055,3.39800589439757e-07,1999.9999619720677,1.926607301381483e-05,14187.497910504055,425.62493731512217
Germany,Belgium,2055-2060,5.018674552521076e-07,1999.99996226839,1.2500636508550755e-05,15098.653510241465,452.9596053072424
France,Belgium,2020-2025,0.0,3300.0,0.0,18873.207423918408,566.1962227175537
France,Belgium,2025-2030,49.99987433380147,3349.9998743338015,22281.442865148187,20124.99825462309,603.7499476386944
France,Belgium,2030-2035,2999.999968673607,6349.999842372738,898471.9736208366,32476.535000625685,974.2960500187729
France,Belgium,2035-2040,7.931022179278333e-05,6349.999921905099,0.01706300013663144,35369.32162609355,1061.0796487828095
