Period,Scenario,AnnualCO2emission_Ton,CO2Price_EuroPerTon,CO2Cap_Ton,AnnualGeneration_GWh,AvgCO2factor_TonPerMWh,AvgELPrice_EuroPerMWh,TotAnnualCurtailedRES_GWh,TotAnnualLossesChargeDischarge_GWh,AnnualLossesTransmission_GWh
2020-2025,scenario1,1060795390.95505,-3.6380851688332295e-09,1100000000.0,3343903.5091881165,0.31723265579891247,39.409233825264046,23006.71305720109,8663.24729693316,17814.543727144122
2020-2025,scenario2,1099999999.5768025,-0.014977916003874847,1100000000.0,3511158.8665199103,0.31328687803491095,46.20357242308705,13914.783569925843,8224.65354829139,16409.27609303213
2020-2025,scenario3,1074873878.140852,-1.4714616338162042e-09,1100000000.0,3397165.1307549733,0.3164031881787513,39.45436783477504,27719.347362828714,6432.552251107322,17326.82606632651
2025-2030,scenario1,990000000.1224021,-0.7911745403808985,990000000.0,4469534.513051268,0.22149957612625282,43.26499886158595,55042.95282091751,13167.791761175398,22571.57994684459
2025-2030,scenario2,990000000.0242062,-12.89859480267927,990000000.0,4634114.522364279,0.21363304580551865,43.31329098242349,53078.29042837785,15443.996589822804,23078.64405761631
2025-2030,scenario3,989999999.9925631,-37.86951101408081,990000000.0,4547874.277357202,0.21768411781336547,57.04742165302451,59714.689928331754,9204.556628678347,21683.405444554428
2030-2035,scenario1,770000000.0093195,-32.87704185957599,770000000.0,5466021.331433066,0.14087028815298094,42.52013554116715,54394.68382229698,17479.630443504557,54186.23131198353
2030-2035,scenario2,735140519.3262311,2.871024977257088e-10,770000000.0,5730628.405314041,0.12828270607192147,26.51626483899547,152955.60481843798,28215.967887689283,60319.29121345391
2030-2035,scenario3,679867327.363386,-9.913293959741946e-10,770000000.0,5536622.42468382,0.1227945984418887,152.55170274934292,202036.16124839243,26687.582955417136,61067.227919097386
2035-2040,scenario1,330000000.01147795,-62.333408051957456,330000000.0,6689363.646364918,0.04933204673225328,192.8250323140979,103845.64916793762,38517.306262323116,67917.85817771837
2035-2040,scenario2,330000000.00810194,-35.66314412139367,330000000.0,6579744.80074585,0.0501539208588599,31.20181469797821,189746.67871394864,36022.42077128129,67440.80645796595
2035-2040,scenario3,330000000.0093709,-37.81783271607449,330000000.0,6794221.8584927125,0.048570683572381056,165.04579858381265,181496.35824260235,34884.05720916528,71112.13511516209
2040-2045,scenario1,66000000.008345656,-50.53872665921759,66000000.0,7306913.761653431,0.009032541256297972,20.825756126443206,629539.63613977,42468.580846276906,96759.92837490918
2040-2045,scenario2,66000000.00824729,-103.7070023312574,66000000.0,7466342.65429292,0.008839669308547385,29.770875699319962,329506.6395918881,48178.925948374366,97834.72237282146
2040-2045,scenario3,66000000.00027713,-293.07821489975476,66000000.0,7407748.569098469,0.008909589652599506,34.2476438824257,257455.40974468307,49840.11401027725,97443.08215383068
2045-2050,scenario1,55000000.006825835,-47.823959071408844,55000000.0,7957669.04349002,0.006911571680882861,10.9246256338594,654012.9168640967,56255.39582461592,102456.13044477056
2045-2050,scenario2,55000000.00684913,-47.82396002108295,55000000.0,8243716.995486433,0.006671747712466126,15.833523094007406,455064.3253679405,54213.731098056145,102978.10672839593
2045-2050,scenario3,55000000.012597285,-773.9760935473109,55000000.0,8030430.076495074,0.006848948249184155,62.47743235137729,512713.2309490605,61569.2022470405,100678.13860010049
2050-2055,scenario1,33000000.00513312,-47.671324158684946,33000000.0,8093380.395798256,0.00407740627417758,18.174380842943787,484490.08215626894,66139.19643594541,98995.58777941564
2050-2055,scenario2,33000000.006037492,-61.567156083928595,33000000.0,8182543.205053945,0.004032975956137135,23.389099033290485,462250.5668571763,54585.708700485855,99875.1225917793
2050-2055,scenario3,33000000.005071197,-44.85437481640169,33000000.0,7967594.568955454,0.004141777009293653,13.313997651565172,477650.19135429536,68739.1223764937,99114.07979394025
2055-2060,scenario1,22000000.00528509,-37.35177228270982,22000000.0,8377928.5234609675,0.0026259474455622624,47.911514847970345,439121.3631885053,63631.775807959195,103677.00024044677
2055-2060,scenario2,22000000.006107192,-37.86278493886235,22000000.0,7904414.542308183,0.002783254836693156,8.68661006758138,431329.4165018217,68636.80789497438,98219.99915416856
2055-2060,scenario3,22000000.00506041,-58.62379941056917,22000000.0,7968101.752219703,0.0027610089189598567,11.741801213849023,482863.68219554593,58038.56305143867,104121.21132268867
""
GeneratorType,Period,genInvCap_MW,genInstalledCap_MW,TotDiscountedInvestmentCost_Euro,genExpectedAnnualProduction_GWh
Liginiteexisting,2020-2025,0.0,61315.0,0.0,351363.16187999205
Liginiteexisting,2025-2030,0.0,37732.307692307695,0.0,223188.59907343757
Liginiteexisting,2030-2035,0.0,25351.39423076923,0.0,136632.02749994711
Liginiteexisting,2035-2040,0.0,17687.01923076923,0.0,4799.353818131897
Liginiteexisting,2040-2045,0.0,12263.0,0.0,10.397806464450445
Liginiteexisting,2045-2050,0.0,3065.7500000000023,0.0,2.079422575400254
Liginiteexisting,2050-2055,0.0,0.0,0.0,0.0
Liginiteexisting,2055-2060,0.0,0.0,0.0,0.0
Lignite,2020-2025,29014.84961096224,29014.84961096224,71827821844.24193,202879.59060236657
Lignite,2025-2030,7.165316108491488e-05,29014.849682121545,132.62549313841512,199519.20795529764
Lignite,2030-2035,0.000558516557893595,29014.85024014431,760.4390197375978,182816.02662259142
Lignite,2035-2040,1.2138039610104011e-05,29014.85025178838,11.871889246740992,78149.6740574373
Lignite,2040-2045,1.1882714571963113e-05,29014.850263177126,8.051985314779081,0.8025236026944953
Lignite,2045-2050,2.0052567928254864e-05,29014.850282735915,8.86745061069206,7.351566216329454
Lignite,2050-2055,5.202314297670721e-05,29014.85033426517,13.409442323290232,0.002332666960201146
Lignite,2055-2060,0.00010230966717202046,29014.850436080967,11.5852342960083,189.04347844983542
LigniteCCSadv,2020-2025,0.0,0.0,0.0,0.0
LigniteCCSadv,2025-2030,0.0,0.0,0.0,0.0
LigniteCCSadv,2030-2035,0.0,0.0,0.0,0.0
LigniteCCSadv,2035-2040,0.0,0.0,0.0,0.0
LigniteCCSadv,2040-2045,0.0,0.0,0.0,0.0
LigniteCCSadv,2045-2050,0.0,0.0,0.0,0.0
LigniteCCSadv,2050-2055,0.0,0.0,0.0,0.0
LigniteCCSadv,2055-2060,0.0,0.0,0.0,0.0
Coalexisting,2020-2025,0.0,71229.0,0.0,360200.47837138857
Coalexisting,2025-2030,0.0,43833.23076923077,0.0,246435.20209996702
Coalexisting,2030-2035,0.0,29450.451923076922,0.0,136128.73213762481
Coalexisting,2035-2040,0.0,20546.826923076926,0.0,6839.978766518478
Coalexisting,2040-2045,0.0,14245.799999999997,0.0,18.88313092996857
Coalexisting,2045-2050,0.0,3561.4500000000035,0.0,12.650946402481841
Coalexisting,2050-2055,0.0,0.0,0.0,0.0
Coalexisting,2055-2060,0.0,0.0,0.0,0.0
Coal,2020-2025,0.023393046685888954,0.023393046685888954,50090.03935580063,0.11499759880127279
Coal,2025-2030,0.003600034306431741,0.02699194523572752,5763.5558893590905,0.1280933013069438
Coal,2030-2035,0.0006161633041980842,0.02760697247247457,725.6319273735915,0.11206466554086691
Coal,2035-2040,9.016750979041372e-05,0.027696004071773892,76.28050756395828,0.021543419515065974
Coal,2040-2045,8.214164017117974e-05,0.02777700979355139,48.14407996317569,0.0035479252491244797
Coal,2045-2050,0.0001157755972537886,0.027891649486191678,44.28310090821492,0.004106312468751455
Coal,2050-2055,0.0003709508544970965,0.028261464429145507,82.70327703407277,0.005811353559254357
Coal,2055-2060,0.0011793082769692806,0.029439636794618272,115.50684153560333,0.005948119459587468
CoalCCSadv,2020-2025,0.0,0.0,0.0,0.0
CoalCCSadv,2025-2030,0.0,0.0,0.0,0.0
CoalCCSadv,2030-2035,0.0,0.0,0.0,0.0
CoalCCSadv,2035-2040,0.0,0.0,0.0,0.0
CoalCCSadv,2040-2045,0.0,0.0,0.0,0.0
CoalCCSadv,2045-2050,0.0,0.0,0.0,0.0
CoalCCSadv,2050-2055,0.0,0.0,0.0,0.0
CoalCCSadv,2055-2060,0.0,0.0,0.0,0.0
Gasexisting,2020-2025,0.0,222718.99999999997,0.0,185851.46660012077
Gasexisting,2025-2030,0.0,152048.5480769231,0.0,116244.99509932069
Gasexisting,2030-2035,0.0,94227.26923076923,0.0,51577.5831666557
Gasexisting,2035-2040,0.0,21415.288461538465,0.0,10397.100346076673
Gasexisting,2040-2045,0.0,17817.519999999993,0.0,1228.759836872513
Gasexisting,2045-2050,0.0,0.0,0.0,0.0
Gasexisting,2050-2055,0.0,0.0,0.0,0.0
Gasexisting,2055-2060,0.0,0.0,0.0,0.0
GasOCGT,2020-2025,0.015563997333749432,0.015563997333749432,11435.661589814626,0.01006774528501003
GasOCGT,2025-2030,9987.275302956044,9987.290865326382,5749640267.726167,1670.2292816570277
GasOCGT,2030-2035,83486.21580804593,93473.50665685466,37658405950.53164,10497.184624173377
