Node,RESGeneratorType,Period,ExpectedAnnualCurtailment_GWh,Expected total available power_GWh,Expected annual curtailment ratio of total capacity_%
Austria,Hydrorun-of-the-river,2020-2025,0.00033524150288609996,40897.51699509271,8.197111402296759e-07
Austria,Hydrorun-of-the-river,2025-2030,167.14824474378696,41459.47779492733,0.4031605163252634
Austria,Hydrorun-of-the-river,2030-2035,12874.606472224466,53557.26036033999,24.038956409649213
Austria,Hydrorun-of-the-river,2035-2040,12305.812268854968,54019.74390233415,22.78021215928653
Austria,Hydrorun-of-the-river,2040-2045,14934.75317096035,55557.172302619605,26.881773409220383
Austria,Hydrorun-of-the-river,2045-2050,15380.053452117636,55497.30290652288,27.713154778031456
Austria,Hydrorun-of-the-river,2050-2055,14231.684032369047,54669.25223109188,26.0323371027839
Austria,Hydrorun-of-the-river,2055-2060,11240.865775237904,53212.27810706007,21.124571574669147
Belgium,Hydrorun-of-the-river,2020-2025,410.68236483680937,881.4823647851364,46.58996949268682
Belgium,Hydrorun-of-the-river,2025-2030,45.78731992581784,516.5873199519693,8.863423115006967
Belgium,Hydrorun-of-the-river,2030-2035,258.1169738576265,728.9169738178854,35.411025278458546
Belgium,Hydrorun-of-the-river,2035-2040,234.22882337625833,705.0288233810047,33.22258829830546
Belgium,Hydrorun-of-the-river,2040-2045,558.064442876172,1028.8644428953442,54.240813425888625
Belgium,Hydrorun-of-the-river,2045-2050,1409.1841468872078,1879.9841468415227,74.95723563705126
Belgium,Hydrorun-of-the-river,2050-2055,818.1151703446866,1288.9151703352527,63.47315860452562
Belgium,Hydrorun-of-the-river,2055-2060,515.7963187444444,986.5963177671302,52.28038149501685
Bulgaria,Hydrorun-of-the-river,2020-2025,2864.498670926153,6836.323336996808,41.90115841104328
Bulgaria,Hydrorun-of-the-river,2025-2030,2884.3278818505196,5523.441236174871,52.2197622554593
Bulgaria,Hydrorun-of-the-river,2030-2035,4635.153048037095,7434.066967398047,62.350165371989064
Bulgaria,Hydrorun-of-the-river,2035-2040,4077.090102741865,5931.506879705053,68.73616073331775
Bulgaria,Hydrorun-of-the-river,2040-2045,4228.98436287759,6112.502434696144,69.18581068978855
Bulgaria,Hydrorun-of-the-river,2045-2050,5456.080945456567,7066.370593240877,77.21192758663715
Bulgaria,Hydrorun-of-the-river,2050-2055,4829.7595887663965,6488.368388368894,74.4371974535889
Bulgaria,Hydrorun-of-the-river,2055-2060,4240.787156624494,5667.7636264277335,74.82293610217774
Switzerland,Hydrorun-of-the-river,2020-2025,0.00021256029239092854,1347.124887453223,1.5778811183035874e-05
Switzerland,Hydrorun-of-the-river,2025-2030,0.00015716339609593392,19731.604360022047,7.965059162363942e-07
Switzerland,Hydrorun-of-the-river,2030-2035,4.177919959960881,19379.388678036434,0.021558574573076767
Switzerland,Hydrorun-of-the-river,2035-2040,0.0014551373336144093,17539.123250175635,8.296522653148228e-06
Switzerland,Hydrorun-of-the-river,2040-2045,0.004410441542656853,19918.02190152482,2.2142969640570648e-05
Switzerland,Hydrorun-of-the-river,2045-2050,169.2612945379806,13012.33052918176,1.3007761688683763
Switzerland,Hydrorun-of-the-river,2050-2055,108.28159372701136,19271.656919674453,0.5618696626778705
Switzerland,Hydrorun-of-the-river,2055-2060,14.82675074317955,17078.51220693919,0.08681523638315096
CzechR,Hydrorun-of-the-river,2020-2025,85.0570605415786,1340.1125369253364,6.347008792017405
CzechR,Hydrorun-of-the-river,2025-2030,148.85965072994352,1372.6125264150955,10.84498704952999
CzechR,Hydrorun-of-the-river,2030-2035,297.1964238083363,1444.4850107346792,20.574559209664578
CzechR,Hydrorun-of-the-river,2035-2040,419.138950868615,1951.9958124046852,21.47232838334182
CzechR,Hydrorun-of-the-river,2040-2045,300.5120379196855,1769.2863933540111,16.98492901140833
CzechR,Hydrorun-of-the-river,2045-2050,578.9169720784187,1766.420663776739,32.77344881375261
CzechR,Hydrorun-of-the-river,2050-2055,279.6803268260331,1606.063134589109,17.41403066932271
