Node,Period,Converter invested capacity [MW],Converter total capacity [MW]
EnergyhubEU,2020-2025,0.10611742472030736,0.10611742472030736
EnergyhubEU,2025-2030,0.02821493288982611,0.13433206743325554
EnergyhubEU,2030-2035,41283.442258267176,41283.576588687465
EnergyhubEU,2035-2040,11047.916945642506,52331.49353674963
EnergyhubEU,2040-2045,13770.922219266871,66102.41575311164
EnergyhubEU,2045-2050,5.112803532004927e-05,66102.41579551657
EnergyhubEU,2050-2055,4.352622643028936e-06,66102.41581064595
EnergyhubEU,2055-2060,4.274108523991898e-06,66102.41581270579
EnergyhubNorth,2020-2025,0.09836604762092914,0.09836604762092914
EnergyhubNorth,2025-2030,0.015617261804639852,0.11398301924867164
EnergyhubNorth,2030-2035,0.3130398914511782,0.42702262052272694
EnergyhubNorth,2035-2040,2347.0723087810634,2347.499331111109
EnergyhubNorth,2040-2045,58580.44509113389,60927.94441891667
EnergyhubNorth,2045-2050,0.001654643561418544,60927.94607031841
EnergyhubNorth,2050-2055,5.3746695502020515e-06,60927.946082598064
EnergyhubNorth,2055-2060,5.225766134140125e-06,60927.94608850143
EnergyhubCentral,2020-2025,0.11774680410334964,0.11774680410334964
EnergyhubCentral,2025-2030,0.029765682272518825,0.14751219619890077
EnergyhubCentral,2030-2035,46528.45696805764,46528.604479756716
EnergyhubCentral,2035-2040,3010.114608556788,49538.719087753045
EnergyhubCentral,2040-2045,12930.190838014427,62468.90992528845
EnergyhubCentral,2045-2050,7.630557434529118e-05,62468.90999672237
EnergyhubCentral,2050-2055,4.439225192286907e-06,62468.910013361376
EnergyhubCentral,2055-2060,4.041934746731666e-06,62468.91000959225
