Period,Scenario,AnnualCO2emission_Ton,CO2Price_EuroPerTon,CO2Cap_Ton,AnnualGeneration_GWh,AvgCO2factor_TonPerMWh,AvgELPrice_EuroPerMWh,TotAnnualCurtailedRES_GWh,TotAnnualLossesChargeDischarge_GWh,AnnualLossesTransmission_GWh
2020-2025,scenario1,1062119973.276577,-2.2415750945166427e-10,1100000000.0,3344055.4323246595,0.3176143442509178,39.37860636650123,22877.45397549363,8722.375989313583,17907.338171558218
2020-2025,scenario2,1099999999.5606627,-0.01497800997485475,1100000000.0,3511370.734122965,0.31326797505916043,46.22930186256371,13872.25256060979,8292.522816481787,16553.274425032174
2020-2025,scenario3,1076328565.7264788,-5.897916567278171e-09,1100000000.0,3397313.2230504965,0.3168175835020923,39.453892269241,27793.546151476028,6404.8293202669865,17502.641274248042
2025-2030,scenario1,989999999.934575,-0.9293355065533498,990000000.0,4469738.0043379385,0.22148949199569062,43.470202968184246,55325.882016206095,13238.328443156002,22704.53460872984
2025-2030,scenario2,990000000.0177151,-12.939416039320351,990000000.0,4634237.208244223,0.21362739012508286,43.368030127624245,53466.17128076402,15476.152163661785,23169.174369204495
2025-2030,scenario3,989999999.9743819,-37.86951168220743,990000000.0,4547952.043614091,0.21768039558917818,57.01271488223791,59922.75391207739,9197.312366485156,21768.41602415246
2030-2035,scenario1,770000000.0458019,-32.252482635394564,770000000.0,5468046.545755411,0.1408181136723478,42.4352000608668,53195.323583752426,17355.478144493853,56335.59793238509
2030-2035,scenario2,733705801.576688,-9.054816580860442e-11,770000000.0,5732517.72570248,0.1279901496487275,26.595500311763324,150026.32767485647,27972.13111747978,62452.44840454743
2030-2035,scenario3,679750015.8211873,-1.5599757751852083e-08,770000000.0,5538812.221377794,0.12272487108292904,152.33231991850673,198473.888339714,26730.094771320393,63213.258115624754
2035-2040,scenario1,330000000.0132043,-61.04077162557626,330000000.0,6690505.459779768,0.04932362763875439,183.94406168730393,102408.63869543796,38235.74869863833,69341.22907644103
2035-2040,scenario2,330000000.0079246,-35.663144100414755,330000000.0,6580976.440627426,0.05014453447526632,31.06902720903941,188559.7780031137,35940.87690559402,68753.99022971511
2035-2040,scenario3,330000000.0083429,-37.81783265233124,330000000.0,6795842.796243131,0.04855909854047388,174.65639020007185,181226.38623043662,34883.40273597078,72733.72747203075
2040-2045,scenario1,66000000.008134186,-50.53872924179109,66000000.0,7307139.872820086,0.009032261754511092,20.941548228171406,627719.7284603704,42594.43368784128,96860.18647717641
2040-2045,scenario2,66000000.00816098,-103.70700186560809,66000000.0,7467083.097382932,0.008838792758485804,29.756682805172154,330217.4022288972,48256.47342197926,98497.61800457664
2040-2045,scenario3,66000000.00880557,-293.8270700776157,66000000.0,7408447.668030223,0.008908748899397545,34.15045865917027,258343.9963846731,49881.178728871026,98101.11635331243
2045-2050,scenario1,55000000.00665552,-47.82395904180588,55000000.0,7958443.035936795,0.006910899501108679,10.93501342687413,654143.2248966331,56450.5679852734,103034.95064020687
2045-2050,scenario2,55000000.00666825,-47.823959981057506,55000000.0,8244249.634593156,0.006671316668516178,15.900830599753505,453656.29706079763,54391.58347845871,103332.89361787922
2045-2050,scenario3,54999999.9940606,-776.392132814289,55000000.0,8030915.604793009,0.006848534177253815,62.52390701724732,513697.7654144488,61831.899895515606,100900.96937022492
2050-2055,scenario1,33000000.005073685,-47.67133304005606,33000000.0,8094107.053411174,0.004077040220411757,18.258846276447883,484443.6228337237,66355.97473197436,99505.46714167215
2050-2055,scenario2,33000000.003381867,-61.56028932581921,33000000.0,8183035.288435676,0.004032733434501946,23.335992170928435,461639.342173627,54674.16682265237,100278.74775381893
2050-2055,scenario3,33000000.00492735,-44.854375045557944,33000000.0,7968410.056933791,0.0041413531393522645,13.330733739638006,476637.8690938642,68835.95809223001,99832.73210022388
2055-2060,scenario1,22000000.004971936,-37.35174260117302,22000000.0,8378347.8525404055,0.002625816019121339,47.977819639474774,440474.4398303294,63750.62000689302,103977.48521503282
2055-2060,scenario2,22000000.007365633,-37.99611827032711,22000000.0,7905028.8469754895,0.002783038548402597,8.693358075914245,432405.06234531896,68631.45704109923,98839.65478033874
2055-2060,scenario3,22000000.004972883,-58.29024230509215,22000000.0,7968779.205244326,0.0027607741961898843,11.723736753908565,483873.65987762343,58344.11055486856,104493.11643758675
""
GeneratorType,Period,genInvCap_MW,genInstalledCap_MW,TotDiscountedInvestmentCost_Euro,genExpectedAnnualProduction_GWh
Liginiteexisting,2020-2025,0.0,61315.0,0.0,350813.5295552275
Liginiteexisting,2025-2030,0.0,37732.307692307695,0.0,223110.75942101912
Liginiteexisting,2030-2035,0.0,25351.39423076923,0.0,137396.24208714938
Liginiteexisting,2035-2040,0.0,17687.01923076923,0.0,4851.2246079084225
Liginiteexisting,2040-2045,0.0,12263.0,0.0,10.39731092523508
Liginiteexisting,2045-2050,0.0,3065.7500000000023,0.0,2.0546515934222906
Liginiteexisting,2050-2055,0.0,0.0,0.0,0.0
Liginiteexisting,2055-2060,0.0,0.0,0.0,0.0
Lignite,2020-2025,29111.763228645672,29111.763228645672,72067736720.88554,203575.53031565232
Lignite,2025-2030,6.148214885581024e-05,29111.763289646,113.79958940747915,200181.58898209527
Lignite,2030-2035,0.000544420353086864,29111.763833584548,741.2465642700678,183672.7709450982
Lignite,2035-2040,1.0402779637300424e-05,29111.76384350546,10.174678257721121,78220.23357968297
Lignite,2040-2045,1.2023572194678947e-05,29111.76385504717,8.147433497323048,1.0541800452873409
Lignite,2045-2050,1.9303153280024552e-05,29111.763873868542,8.536051789160192,7.366119430129058
Lignite,2050-2055,8.931207819884344e-05,29111.763962698784,23.021007437339986,0.0022365157852191836
Lignite,2055-2060,0.00013673558738539805,29111.764098952557,15.483520377391816,189.65103556373086
LigniteCCSadv,2020-2025,0.0,0.0,0.0,0.0
LigniteCCSadv,2025-2030,0.0,0.0,0.0,0.0
LigniteCCSadv,2030-2035,0.0,0.0,0.0,0.0
LigniteCCSadv,2035-2040,0.0,0.0,0.0,0.0
LigniteCCSadv,2040-2045,0.0,0.0,0.0,0.0
LigniteCCSadv,2045-2050,0.0,0.0,0.0,0.0
LigniteCCSadv,2050-2055,0.0,0.0,0.0,0.0
LigniteCCSadv,2055-2060,0.0,0.0,0.0,0.0
Coalexisting,2020-2025,0.0,71229.0,0.0,361078.9804368655
Coalexisting,2025-2030,0.0,43833.23076923077,0.0,246246.00162639594
Coalexisting,2030-2035,0.0,29450.451923076922,0.0,135912.2250015903
Coalexisting,2035-2040,0.0,20546.826923076926,0.0,7092.312659835532
Coalexisting,2040-2045,0.0,14245.799999999997,0.0,19.196785758103164
Coalexisting,2045-2050,0.0,3561.4500000000035,0.0,10.919971701187027
Coalexisting,2050-2055,0.0,0.0,0.0,0.0
Coalexisting,2055-2060,0.0,0.0,0.0,0.0
Coal,2020-2025,0.02214935900775041,0.02214935900775041,47427.01022664226,0.10952958255795166
Coal,2025-2030,0.003569172425781015,0.025717423246481373,5714.1468674329935,0.12243971413574035
Coal,2030-2035,0.0006110159319052346,0.02632733097926278,719.5700641429805,0.10835306171667493
Coal,2035-2040,3.316178512490265e-05,0.02635938455795481,28.054426776721666,0.021755535719371097
Coal,2040-2045,9.148906663092473e-05,0.026449765345994414,53.62270500633332,0.0034595496699888068
Coal,2045-2050,0.00018689754946433034,0.026635554778990135,71.48659336461506,0.003951827576506025
Coal,2050-2055,0.0004813185110009203,0.027115765051895196,107.30968179303142,0.005604866372239707
Coal,2055-2060,0.0015500920980252217,0.028664748992929354,151.8231032790879,0.0056652169172331426
CoalCCSadv,2020-2025,0.0,0.0,0.0,0.0
CoalCCSadv,2025-2030,0.0,0.0,0.0,0.0
CoalCCSadv,2030-2035,0.0,0.0,0.0,0.0
CoalCCSadv,2035-2040,0.0,0.0,0.0,0.0
CoalCCSadv,2040-2045,0.0,0.0,0.0,0.0
CoalCCSadv,2045-2050,0.0,0.0,0.0,0.0
CoalCCSadv,2050-2055,0.0,0.0,0.0,0.0
CoalCCSadv,2055-2060,0.0,0.0,0.0,0.0
Gasexisting,2020-2025,0.0,222718.99999999997,0.0,184245.17570076266
Gasexisting,2025-2030,0.0,152048.5480769231,0.0,116199.40855441996
Gasexisting,2030-2035,0.0,94227.26923076923,0.0,51608.48880195053
Gasexisting,2035-2040,0.0,21415.288461538465,0.0,10292.935761267809
Gasexisting,2040-2045,0.0,17817.519999999993,0.0,1254.923406275147
Gasexisting,2045-2050,0.0,0.0,0.0,0.0
Gasexisting,2050-2055,0.0,0.0,0.0,0.0
Gasexisting,2055-2060,0.0,0.0,0.0,0.0
GasOCGT,2020-2025,0.01515608373592783,0.01515608373592783,11135.946692507601,0.009885497441765667
GasOCGT,2025-2030,10316.072983399397,10316.08813784845,5938927968.932574,1736.220819737881
GasOCGT,2030-2035,84673.56282223706,94989.6509571056,38193986530.29305,10697.23482243449
