BetweenNode,AndNode,Period,transmissionInvCap_MW,transmissionInstalledCap_MW,DiscountedInvestmentCost_EuroPerMW,transmissionExpectedAnnualVolume_GWh,ExpectedAnnualLosses_GWh
Switzerland,Austria,2020-2025,0.0,1200.0,0.0,1644.3682983425226,49.33104895027565
Switzerland,Austria,2025-2030,0.0,1200.0,0.0,3867.2867122962734,116.01860136888833
Switzerland,Austria,2030-2035,465.00760675605306,1665.007606756053,111330294.33025587,7222.365459543271,216.67096378629807
Switzerland,Austria,2035-2040,534.9907452763506,2199.9983518117547,92011585.58949171,9758.966543174309,292.7689962952302
Switzerland,Austria,2040-2045,1000.0010086837067,3199.999358021348,119155119.44618405,15991.82180082286,479.7546540246848
Switzerland,Austria,2045-2050,1.8417651041240975e-06,3199.999361671004,0.14321482664649413,14654.409602288715,439.6322880686607
Switzerland,Austria,2050-2055,2.078441114547475e-06,3199.999363463944,0.09420562046723045,14588.853708171097,437.66561124513237
Switzerland,Austria,2055-2060,5.812605922187008e-06,3199.9993693454526,0.11574013614474245,16474.37795811825,494.23133874354835
CzechR,Austria,2020-2025,0.0,900.0,0.0,4592.1250293251,137.76375087975353
CzechR,Austria,2025-2030,0.0,900.0,0.0,3397.2727482046994,101.91818244614116
CzechR,Austria,2030-2035,999.9992645463885,1899.9992645463885,87917326.34970248,8373.588072717339,251.20764218151984
CzechR,Austria,2035-2040,0.00036970729646809355,1899.9996340329744,23.34940182035281,8088.82609578545,242.66478287356384
CzechR,Austria,2040-2045,2.7706719641996354e-06,1899.999636582936,0.12123244673067422,7677.266723170467,230.31800169511376
CzechR,Austria,2045-2050,6.415623975690916e-05,1899.9997005184666,1.831952188454435,11214.3868710065,336.4316061301952
CzechR,Austria,2050-2055,1.1054346189685117e-06,1899.9997014031908,0.0183989755623363,7722.628268956573,231.67884806869725
CzechR,Austria,2055-2060,3.552044663484863e-06,1899.9997047345253,0.02597245596180207,11110.718652486374,333.3215595745915
Germany,Austria,2020-2025,0.0,5000.0,0.0,15129.628664958553,453.8888599487556
Germany,Austria,2025-2030,1999.9941239611926,6999.994123961193,891257.336091895,18241.270915316585,547.2381274594981
Germany,Austria,2030-2035,500.0056368942293,7499.999755143221,149747.0186976452,35511.934046541166,1065.358021396233
Germany,Austria,2035-2040,7.703789014236639e-06,7499.9997681218165,0.001657412500319859,36528.7782688864,1095.8633480665926
Germany,Austria,2040-2045,699.9998846714149,8199.999642855646,104337.45066428828,41029.937285265296,1230.8981185579578
Germany,Austria,2045-2050,6.639138117181053e-06,8199.999659211278,0.0006457961171316372,38019.40350452573,1140.582105135772
Germany,Austria,2050-2055,5.560231418470422e-07,8199.999660501297,3.152549695648785e-05,31705.257242070125,951.1577172621071
