Period,Scenario,AnnualCO2emission_Ton,CO2Price_EuroPerTon,CO2Cap_Ton,AnnualGeneration_GWh,AvgCO2factor_TonPerMWh,AvgELPrice_EuroPerMWh,TotAnnualCurtailedRES_GWh,TotAnnualLossesChargeDischarge_GWh,AnnualLossesTransmission_GWh
2020-2025,scenario1,1054910300.7973427,-4.532721312136873e-10,1100000000.0,3343680.085921901,0.3154937893846093,39.75135864656714,23252.165703251947,8724.600150463113,17529.767311931264
2020-2025,scenario2,1099999999.6142821,-0.014977795644555066,1100000000.0,3510731.192524374,0.3133250423605883,46.34999418079492,13839.88444808765,8140.2839099722105,16065.971710540334
2020-2025,scenario3,1068913128.473124,-3.6537316055425983e-10,1100000000.0,3396757.335615593,0.31468633842797705,39.63459495080217,27879.275262300216,6483.551672846176,16868.03105174247
2025-2030,scenario1,989999999.9719217,-0.22721444285370648,990000000.0,4469051.004907449,0.22152354020681173,43.14488893013544,54003.35883131948,12997.497309676926,22258.365872296814
2025-2030,scenario2,990000000.0162843,-12.732087661754342,990000000.0,4634205.775483143,0.21362883911061956,43.26084258998056,51391.66324680707,15611.502946467832,23002.39079457248
2025-2030,scenario3,989999999.6783401,-37.52171671458087,990000000.0,4547674.4875333775,0.2176936811093774,56.79573993879611,58668.879599651686,9200.653138575046,21487.519095486943
2030-2035,scenario1,770000000.1604205,-34.513254854022705,770000000.0,5460012.629080125,0.14102531486088474,42.69729156335113,57211.40575293548,17564.2418758541,48092.91748302095
2030-2035,scenario2,736895148.2938979,5.845384266858053e-10,770000000.0,5724929.821024445,0.1287168876005523,26.39724237260948,160417.59025120368,28625.821197781097,54210.85366526704
2030-2035,scenario3,676242990.3007712,-1.9405284454980354e-10,770000000.0,5530148.609955341,0.12228296886695016,150.6108093158248,209143.11630525658,26506.607558916734,54771.64458740691
2035-2040,scenario1,330000000.0219639,-66.44721329159198,330000000.0,6685725.61911896,0.04935889069068048,184.94501479464427,106159.85189090841,39173.80074304947,63623.33624955393
2035-2040,scenario2,330000000.0135711,-35.663147727810575,330000000.0,6575536.516023734,0.05018601892171704,31.102338705984568,191496.99786432539,36007.842129271,63247.10036465504
2035-2040,scenario3,330000000.0112981,-37.81783283505378,330000000.0,6789811.421762444,0.04860223348083125,171.44162603809556,185336.8392560071,35176.888919040226,66408.86661596358
2040-2045,scenario1,66000000.0114836,-50.53872216789537,66000000.0,7303131.812714189,0.009037218785587848,20.590157542310692,637055.2769764788,42123.35151297312,93323.20850194157
2040-2045,scenario2,66000000.0115205,-103.70699833460674,66000000.0,7463167.486913696,0.008843430102196487,29.598125000592553,329925.0158421106,48791.10773368945,94047.37313460265
2040-2045,scenario3,66000000.01392467,-293.8256627964214,66000000.0,7404157.458127569,0.00891391091925942,34.41277879990002,256122.0484914546,50286.57903011344,93405.5062229402
2045-2050,scenario1,55000000.00952421,-47.8239589966651,55000000.0,7955347.742354476,0.006913588417600425,11.073443717340158,660947.5510751337,56413.92833242527,99976.29717261117
2045-2050,scenario2,55000000.00949102,-47.823959412236064,55000000.0,8241551.611191203,0.006673500646990832,15.911344419777482,460053.43028828653,54213.85518087133,100812.59873754022
2045-2050,scenario3,54999999.99971706,-773.3107914967431,55000000.0,8028196.560299215,0.006850853686330505,62.37080714728954,515057.78293903096,61708.27409968484,98305.55087394103
2050-2055,scenario1,33000000.007122528,-47.67132048129499,33000000.0,8090607.780651695,0.004078803583340461,18.190021106099636,485189.61229433306,66014.10677242244,96348.06229484244
2050-2055,scenario2,33000000.00756017,-61.33122426675806,33000000.0,8180079.77261133,0.0040341904877321914,23.370034400933292,467379.65891223506,54233.77017984226,97763.62851025231
2050-2055,scenario3,33000000.00705459,-44.85437319574007,33000000.0,7964997.736981199,0.004143127355057045,13.35081766000332,479149.08559616783,68582.13994140287,96674.23071397374
2055-2060,scenario1,22000000.00703924,-37.35172911571926,22000000.0,8376485.1616378175,0.002626399925805877,47.81864423964663,443934.94536061113,63864.336696588296,102001.0776479171
2055-2060,scenario2,22000000.019642506,-38.0568537422117,22000000.0,7902598.633842547,0.0027838943920836913,8.707476168239502,437197.8066048487,68608.73698233884,96432.16135684004
2055-2060,scenario3,22000000.00134159,-58.370439944842985,22000000.0,7966184.524127431,0.0027616734127497715,11.743731951485985,485772.05640873685,57954.21613289491,102288.32976124977
""
GeneratorType,Period,genInvCap_MW,genInstalledCap_MW,TotDiscountedInvestmentCost_Euro,genExpectedAnnualProduction_GWh
Liginiteexisting,2020-2025,0.0,61315.0,0.0,353542.67170942726
Liginiteexisting,2025-2030,0.0,37732.307692307695,0.0,223713.30785914094
Liginiteexisting,2030-2035,0.0,25351.39423076923,0.0,136228.27015744205
Liginiteexisting,2035-2040,0.0,17687.01923076923,0.0,4684.064874862169
Liginiteexisting,2040-2045,0.0,12263.0,0.0,10.414818076231018
Liginiteexisting,2045-2050,0.0,3065.7500000000023,0.0,1.9769006140915137
Liginiteexisting,2050-2055,0.0,0.0,0.0,0.0
Liginiteexisting,2055-2060,0.0,0.0,0.0,0.0
Lignite,2020-2025,28276.462718321323,28276.462718321323,69999905350.1755,197636.13394527524
Lignite,2025-2030,6.42129811790304e-05,28276.462781853825,118.85418822854425,194447.37308780476
Lignite,2030-2035,0.0005427189714443633,28276.463323892225,738.9300761192026,176848.29453819507
Lignite,2035-2040,1.556357680752037e-05,28276.463338775167,15.222314811711618,75627.57960827228
Lignite,2040-2045,1.9203571546919617e-05,28276.463357298155,13.012756904213061,3.0528289984095385
Lignite,2045-2050,2.965562575188921e-05,28276.463386273237,13.1140209884795,7.321854239447817
Lignite,2050-2055,6.807923009326234e-05,28276.463453671902,17.54804606400557,0.0023858807557177023
Lignite,2055-2060,0.0001855159008917865,28276.46363850724,21.007254122454764,184.27291739870833
LigniteCCSadv,2020-2025,0.0,0.0,0.0,0.0
LigniteCCSadv,2025-2030,0.0,0.0,0.0,0.0
LigniteCCSadv,2030-2035,0.0,0.0,0.0,0.0
LigniteCCSadv,2035-2040,0.0,0.0,0.0,0.0
LigniteCCSadv,2040-2045,0.0,0.0,0.0,0.0
LigniteCCSadv,2045-2050,0.0,0.0,0.0,0.0
LigniteCCSadv,2050-2055,0.0,0.0,0.0,0.0
LigniteCCSadv,2055-2060,0.0,0.0,0.0,0.0
Coalexisting,2020-2025,0.0,71229.0,0.0,358369.98228090757
Coalexisting,2025-2030,0.0,43833.23076923077,0.0,248291.04482961612
Coalexisting,2030-2035,0.0,29450.451923076922,0.0,133058.65184101372
Coalexisting,2035-2040,0.0,20546.826923076926,0.0,6797.145066455979
Coalexisting,2040-2045,0.0,14245.799999999997,0.0,18.753016725693005
Coalexisting,2045-2050,0.0,3561.4500000000035,0.0,11.609304418253867
Coalexisting,2050-2055,0.0,0.0,0.0,0.0
Coalexisting,2055-2060,0.0,0.0,0.0,0.0
Coal,2020-2025,0.023712043003261164,0.023712043003261164,50773.08583136586,0.11711301983477973
Coal,2025-2030,0.0036285867457062334,0.027339064501236948,5809.267559173475,0.1316524869109107
Coal,2030-2035,0.0005282003344720467,0.027865699486507023,622.0413064701274,0.11204495880455403
Coal,2035-2040,9.398847592437061e-05,0.027958122664064736,79.51299381937793,0.022313676826490367
Coal,2040-2045,7.796196850664906e-05,0.02803451929247272,45.694330403541436,0.0037199558147546696
Coal,2045-2050,6.455563827158665e-05,0.028097509673616742,24.69193777949908,0.004299611591496438
Coal,2050-2055,0.0005719064882282617,0.028667850863332744,127.50621857347903,0.006047889296582922
Coal,2055-2060,0.0019013923495823123,0.030567677914446187,186.2310551950223,0.006044557484106352
CoalCCSadv,2020-2025,0.0,0.0,0.0,0.0
CoalCCSadv,2025-2030,0.0,0.0,0.0,0.0
CoalCCSadv,2030-2035,0.0,0.0,0.0,0.0
CoalCCSadv,2035-2040,0.0,0.0,0.0,0.0
CoalCCSadv,2040-2045,0.0,0.0,0.0,0.0
CoalCCSadv,2045-2050,0.0,0.0,0.0,0.0
CoalCCSadv,2050-2055,0.0,0.0,0.0,0.0
CoalCCSadv,2055-2060,0.0,0.0,0.0,0.0
Gasexisting,2020-2025,0.0,222718.99999999997,0.0,190264.24852970958
Gasexisting,2025-2030,0.0,152048.5480769231,0.0,116982.66801277993
Gasexisting,2030-2035,0.0,94227.26923076923,0.0,51882.945034293334
Gasexisting,2035-2040,0.0,21415.288461538465,0.0,10113.015490317217
Gasexisting,2040-2045,0.0,17817.519999999993,0.0,1147.2507169861253
Gasexisting,2045-2050,0.0,0.0,0.0,0.0
Gasexisting,2050-2055,0.0,0.0,0.0,0.0
Gasexisting,2055-2060,0.0,0.0,0.0,0.0
GasOCGT,2020-2025,0.01625787009420999,0.01625787009420999,11945.485249178224,0.010632849392572651
GasOCGT,2025-2030,9322.302903613116,9322.31915923869,5366817929.479722,1581.6482380102768
GasOCGT,2030-2035,82185.45121612978,91507.77038459301,37071665725.5215,10923.47275768835
