Node,GeneratorType,Period,genInvCap_MW,genInstalledCap_MW,genExpectedCapacityFactor,DiscountedInvestmentCost_Euro,genExpectedAnnualProduction_GWh
BosniaH,Liginiteexisting,2020-2025,0.0,1888.0,0.7499999671801006,0.0,12404.159457195641
BosniaH,Liginiteexisting,2025-2030,0.0,1161.8461538461538,0.7266001265167485,0.0,7395.170646427902
BosniaH,Liginiteexisting,2030-2035,0.0,780.6153846153845,0.6391865154117036,0.0,4370.879329505112
BosniaH,Liginiteexisting,2035-2040,0.0,544.6153846153845,0.003440720855394011,0.0,16.415096925247763
BosniaH,Liginiteexisting,2040-2045,0.0,377.5999999999999,5.473236563842151e-08,0.0,0.00018104240548199544
BosniaH,Liginiteexisting,2045-2050,0.0,94.40000000000009,1.7572234844776553e-07,0.0,0.00014531254171478892
BosniaH,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
BosniaH,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Bulgaria,Liginiteexisting,2020-2025,0.0,12357.0,0.29579155688348036,0.0,32018.643311264288
Bulgaria,Liginiteexisting,2025-2030,0.0,7604.307692307692,0.4725934529635002,0.0,31481.215220212347
Bulgaria,Liginiteexisting,2030-2035,0.0,5109.1442307692305,0.5501976857895565,0.0,24624.704549496422
Bulgaria,Liginiteexisting,2035-2040,0.0,3564.5192307692305,0.004505219602575069,0.0,140.67633115102421
Bulgaria,Liginiteexisting,2040-2045,0.0,2471.3999999999996,0.0002701120364103767,0.0,5.847780808233141
Bulgaria,Liginiteexisting,2045-2050,0.0,617.8500000000006,4.071143994024962e-08,0.0,0.0002203452133436495
Bulgaria,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Bulgaria,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
CzechR,Liginiteexisting,2020-2025,0.0,7250.0,0.749999988630559,0.0,47632.499277926734
CzechR,Liginiteexisting,2025-2030,0.0,4461.538461538462,0.7367207560718086,0.0,28793.313980381947
CzechR,Liginiteexisting,2030-2035,0.0,2997.596153846154,0.6485211139983136,0.0,17029.478517802036
CzechR,Liginiteexisting,2035-2040,0.0,2091.346153846154,0.019328430283940816,0.0,354.10055980762047
CzechR,Liginiteexisting,2040-2045,0.0,1449.9999999999998,1.0727415846635612e-08,0.0,0.00013625963608396549
CzechR,Liginiteexisting,2045-2050,0.0,362.50000000000034,4.6089496218723855e-08,0.0,0.00014635719524255764
CzechR,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
CzechR,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Germany,Liginiteexisting,2020-2025,0.0,19106.0,0.7499935368993148,0.0,125525.33828014512
Germany,Liginiteexisting,2025-2030,0.0,11757.538461538463,0.7443519404616081,0.0,76665.29994354789
Germany,Liginiteexisting,2030-2035,0.0,7899.596153846153,0.6388086396832862,0.0,44205.853192231494
Germany,Liginiteexisting,2035-2040,0.0,5511.346153846153,0.0494977082530162,0.0,2389.719275079061
Germany,Liginiteexisting,2040-2045,0.0,3821.1999999999994,4.490368541507746e-09,0.0,0.00015030930333229093
Germany,Liginiteexisting,2045-2050,0.0,955.3000000000009,2.3303899043859104e-08,0.0,0.0001950170012678038
Germany,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Germany,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2020-2025,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2025-2030,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2030-2035,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2035-2040,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2040-2045,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2045-2050,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Greece,Liginiteexisting,2020-2025,0.0,2001.0,0.7492702559019253,0.0,13133.778490843446
Greece,Liginiteexisting,2025-2030,0.0,1231.3846153846155,0.6203027264732395,0.0,6691.161612120033
Greece,Liginiteexisting,2030-2035,0.0,827.3365384615385,0.5537615153249126,0.0,4013.3689045458536
Greece,Liginiteexisting,2035-2040,0.0,577.2115384615385,0.07490219732765675,0.0,378.73345396994375
Greece,Liginiteexisting,2040-2045,0.0,400.19999999999993,0.00022644482802421169,0.0,0.793859408735536
Greece,Liginiteexisting,2045-2050,0.0,100.05000000000008,0.0001447678487849642,0.0,0.1268800438533965
Greece,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Greece,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Hungary,Liginiteexisting,2020-2025,0.0,1007.0,0.7499999486352223,0.0,6615.989546894864
Hungary,Liginiteexisting,2025-2030,0.0,619.6923076923077,0.6656966229159484,0.0,3613.737189945187
Hungary,Liginiteexisting,2030-2035,0.0,416.3557692307692,0.6153821758163606,0.0,2244.4689720424217
Hungary,Liginiteexisting,2035-2040,0.0,290.4807692307692,0.02718731080469414,0.0,69.18114477336468
Hungary,Liginiteexisting,2040-2045,0.0,201.39999999999995,9.964638136514301e-08,0.0,0.00017580252337279245
Hungary,Liginiteexisting,2045-2050,0.0,50.350000000000044,3.124509294709173e-07,0.0,0.0001378114816580201
Hungary,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Hungary,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Ireland,Liginiteexisting,2020-2025,0.0,228.0,0.6763887698255429,0.0,1350.9377621971644
Ireland,Liginiteexisting,2025-2030,0.0,140.30769230769232,0.5664318428000277,0.0,696.1987636847016
Ireland,Liginiteexisting,2030-2035,0.0,94.26923076923076,0.5265165454837661,0.0,434.7965532350401
Ireland,Liginiteexisting,2035-2040,0.0,65.76923076923076,0.02813341444773621,0.0,16.2087421177427
Ireland,Liginiteexisting,2040-2045,0.0,45.59999999999999,4.07158573711067e-07,0.0,0.00016264193522032812
Ireland,Liginiteexisting,2045-2050,0.0,11.40000000000001,1.718867192496534e-06,0.0,0.0001716529533114741
Ireland,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Ireland,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Macedonia,Liginiteexisting,2020-2025,0.0,824.0,0.7499999087391279,0.0,5413.67934125714
Macedonia,Liginiteexisting,2025-2030,0.0,507.0769230769231,0.7023579789280856,0.0,3119.8698201956063
Macedonia,Liginiteexisting,2030-2035,0.0,340.6923076923077,0.6064501417316004,0.0,1809.9289889929464
Macedonia,Liginiteexisting,2035-2040,0.0,237.69230769230768,0.007583582940885914,0.0,15.790419729005892
Macedonia,Liginiteexisting,2040-2045,0.0,164.79999999999995,0.00023972958999525282,0.0,0.34608514313746674
Macedonia,Liginiteexisting,2045-2050,0.0,41.20000000000004,4.928194046697131e-07,0.0,0.00017786443697815602
Macedonia,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
