Node,RESGeneratorType,Period,ExpectedAnnualCurtailment_GWh,Expected total available power_GWh,Expected annual curtailment ratio of total capacity_%
Austria,Hydrorun-of-the-river,2020-2025,0.00228986335736911,40897.51883402425,5.599027575883364e-06
Austria,Hydrorun-of-the-river,2025-2030,160.11460197426536,41452.44410823381,0.386260944122379
Austria,Hydrorun-of-the-river,2030-2035,13057.572313351706,53685.39450181861,24.322392402107383
Austria,Hydrorun-of-the-river,2035-2040,13031.872277423008,54745.80389874032,23.80433083333144
Austria,Hydrorun-of-the-river,2040-2045,14938.737967273586,55557.172182553055,26.888945891966916
Austria,Hydrorun-of-the-river,2045-2050,15371.7667102166,55497.30278980234,27.69822304416778
Austria,Hydrorun-of-the-river,2050-2055,14231.683744574597,54669.252115386036,26.032336631452203
Austria,Hydrorun-of-the-river,2055-2060,11240.865351501629,53212.27799608128,21.124570822413283
Belgium,Hydrorun-of-the-river,2020-2025,410.6823740376516,881.4823737973446,46.589970060146506
Belgium,Hydrorun-of-the-river,2025-2030,45.78732508344924,516.5873248535736,8.863424029311528
Belgium,Hydrorun-of-the-river,2030-2035,258.1169833968004,728.9169829861462,35.41102614173913
Belgium,Hydrorun-of-the-river,2035-2040,258.32804304223816,729.128042659258,35.42972261772712
Belgium,Hydrorun-of-the-river,2040-2045,593.2327824042354,1064.0327821416645,55.75324297905446
Belgium,Hydrorun-of-the-river,2045-2050,1409.1837825728644,1879.983782155653,74.95723079892991
Belgium,Hydrorun-of-the-river,2050-2055,818.1149112223367,1288.9149108085114,63.473151281115136
Belgium,Hydrorun-of-the-river,2055-2060,515.7961305636709,986.5961236077598,52.280372709910985
Bulgaria,Hydrorun-of-the-river,2020-2025,2864.583353866972,6836.323336996808,41.90239713157543
Bulgaria,Hydrorun-of-the-river,2025-2030,2884.3778794850946,5523.441236174871,52.220667445402256
Bulgaria,Hydrorun-of-the-river,2030-2035,4624.874937519914,7434.066967398047,62.211908472202516
Bulgaria,Hydrorun-of-the-river,2035-2040,4091.5922609781674,5931.506879705053,68.98065439286188
Bulgaria,Hydrorun-of-the-river,2040-2045,4246.231110796364,6112.502434696144,69.4679659625763
Bulgaria,Hydrorun-of-the-river,2045-2050,5453.914876292214,7066.370593240877,77.18127438021708
Bulgaria,Hydrorun-of-the-river,2050-2055,4837.071837053313,6488.368388368894,74.54989525139001
Bulgaria,Hydrorun-of-the-river,2055-2060,4240.119421732094,5667.7636264277335,74.81115482588585
Switzerland,Hydrorun-of-the-river,2020-2025,0.0013856163657572837,1347.1249350111407,0.00010285730222533702
Switzerland,Hydrorun-of-the-river,2025-2030,0.0010725183772682908,19731.604150699684,5.43553564665577e-06
Switzerland,Hydrorun-of-the-river,2030-2035,0.7369072883634273,19379.388506398343,0.003802531169237504
Switzerland,Hydrorun-of-the-river,2035-2040,0.009590774196148805,17539.123078098477,5.468217626071074e-05
Switzerland,Hydrorun-of-the-river,2040-2045,0.03094967983675208,19918.021728554504,0.00015538531014042714
Switzerland,Hydrorun-of-the-river,2045-2050,179.56483408777643,13012.33040884245,1.3799590730170381
Switzerland,Hydrorun-of-the-river,2050-2055,121.88728695691697,19271.656754006315,0.6324691670921249
