Node,Period,Converter invested capacity [MW],Converter total capacity [MW]
EnergyhubEU,2020-2025,0.08192148466841413,0.08192148466841413
EnergyhubEU,2025-2030,0.00019067777026576886,0.08211194538583248
EnergyhubEU,2030-2035,23067.811202778485,23067.89331430184
EnergyhubEU,2035-2040,18529.186299723508,41597.07961366099
EnergyhubEU,2040-2045,21643.866719022775,63240.94633557894
EnergyhubEU,2045-2050,6.209393171006887e-05,63240.94638809448
EnergyhubEU,2050-2055,4.1744939312803295e-06,63240.94640311428
EnergyhubEU,2055-2060,4.01351065264337e-06,63240.94640217347
EnergyhubNorth,2020-2025,0.0747030995238502,0.0747030995238502
EnergyhubNorth,2025-2030,0.0009571040907082111,0.07565998656165428
EnergyhubNorth,2030-2035,0.19908707455133673,0.27474684406025746
EnergyhubNorth,2035-2040,159.48812008034014,159.76286670734683
EnergyhubNorth,2040-2045,48571.13389079219,48730.89675612235
EnergyhubNorth,2045-2050,12197.040725421617,60927.93748322399
EnergyhubNorth,2050-2055,4.8798901785581306e-06,60927.937488589545
EnergyhubNorth,2055-2060,4.730222368098642e-06,60927.93749048826
EnergyhubCentral,2020-2025,0.08541864135464357,0.08541864135464357
EnergyhubCentral,2025-2030,0.0001406458642476265,0.08555907016610029
EnergyhubCentral,2030-2035,27636.538074904554,27636.623634209154
EnergyhubCentral,2035-2040,14294.246464460848,41930.870097682695
EnergyhubCentral,2040-2045,18997.74009596857,60928.61019414293
EnergyhubCentral,2045-2050,0.00011157832675515463,60928.6103063179
EnergyhubCentral,2050-2055,4.5255299106989915e-06,60928.61031451486
EnergyhubCentral,2055-2060,3.725855543712611e-06,60928.610313414494
