Period,Scenario,AnnualCO2emission_Ton,CO2Price_EuroPerTon,CO2Cap_Ton,AnnualGeneration_GWh,AvgCO2factor_TonPerMWh,AvgELPrice_EuroPerMWh,TotAnnualCurtailedRES_GWh,TotAnnualLossesChargeDischarge_GWh,AnnualLossesTransmission_GWh
2020-2025,scenario1,1059377581.1201093,-7.937307256635355e-09,1100000000.0,3343858.7568473816,0.3168128973601912,39.490677552741076,22994.983094634284,8744.44173425303,17688.596885247163
2020-2025,scenario2,1099999998.9136338,-0.014978247008067231,1100000000.0,3510963.040397717,0.3133043516143203,46.169719137113866,13979.810243763559,8178.971902465867,16259.13155702121
2020-2025,scenario3,1073366709.2670658,-1.4445415072052186e-08,1100000000.0,3396984.688281118,0.3159763165757169,39.38662872856999,27590.68874349129,6466.810362658108,17112.12540027522
2025-2030,scenario1,990000000.0201339,-0.9484175832901492,990000000.0,4469256.304422672,0.22151336432429392,42.71191358393113,55435.337315428624,13057.941983016699,22403.220299948716
2025-2030,scenario2,990000000.019146,-13.472609079771546,990000000.0,4634096.740928316,0.21363386553316832,43.59923521599033,52353.53181323393,15524.41933843481,22980.439828125014
2025-2030,scenario3,989999999.9977812,-37.869445521786105,990000000.0,4547659.177365339,0.21769441406807272,58.03596624824337,59271.156470631206,9102.887827452969,21569.974183566035
2030-2035,scenario1,770000000.0207196,-30.68496342006042,770000000.0,5470527.803342534,0.14075424304584028,40.60529659864857,52606.97869144097,17812.30097156608,58360.03266530673
2030-2035,scenario2,729836907.9221892,-9.296852037653559e-08,770000000.0,5733518.235959153,0.12729302984419313,26.38139226475021,136222.69583837583,27388.828003426774,64036.26175032669
2030-2035,scenario3,677173214.4594842,-1.6825321439706403e-07,770000000.0,5539695.620440289,0.12224014835054778,151.61005661933447,184211.0300424379,26260.9410022167,64561.43510335506
2035-2040,scenario1,330000000.0230322,-63.33951841986812,330000000.0,6691806.934473955,0.04931403479723533,183.26199069094872,101551.64078065116,38748.6960814053,70129.75637550285
2035-2040,scenario2,330000000.02303123,-35.663147349951416,330000000.0,6581695.762255473,0.05013905411968726,30.97596596501627,187677.21108610256,36105.764031606835,69308.4247114343
2035-2040,scenario3,330000000.02255034,-37.8178321524277,330000000.0,6796432.680549361,0.04855488394183201,173.759660224253,178766.24853027938,35158.88471625388,73048.12963592957
2040-2045,scenario1,66000000.02348398,-50.538808752419335,66000000.0,7307552.07847906,0.009031752263231238,20.39716027421155,625661.6763701517,41985.677882773496,97881.14798229912
2040-2045,scenario2,66000000.023059845,-103.70703527809022,66000000.0,7468324.38594533,0.00883732369034053,29.509950533238918,326711.353146826,48038.81005478617,99956.56988867291
2040-2045,scenario3,66000000.0187699,-295.0524759318092,66000000.0,7409441.146027428,0.008907554391488303,33.6120659682297,252618.62124988434,49686.986559504236,99288.78652664053
2045-2050,scenario1,55000000.01871517,-47.82395952329772,55000000.0,7959653.264056466,0.006909848732617555,10.843547519954189,654025.1336333313,56138.74683383309,104556.99995273737
2045-2050,scenario2,55000000.01876012,-47.82396378053618,55000000.0,8245530.253262689,0.006670280543449552,15.83227311127478,451220.66022162925,54289.26515704332,104715.8307069122
2045-2050,scenario3,55000000.015128896,-779.0139470428552,55000000.0,8032773.347047725,0.00684695031702144,62.0290685275721,511167.19742119714,61818.31957742706,102772.29193456042
2050-2055,scenario1,33000000.01518365,-47.67170521925229,33000000.0,8094466.29959078,0.004076859275682087,18.219259895308657,477597.5154948055,65534.659673234695,100686.02851608414
2050-2055,scenario2,33000000.0141943,-64.2092142691844,33000000.0,8183655.072476092,0.004032428019257954,23.501317400967835,455290.5187647025,54204.279735822674,101368.41902011269
2050-2055,scenario3,33000000.013853688,-44.854387012313666,33000000.0,7968992.464348989,0.004141050473003516,13.339090155735017,471181.2973492799,68316.79806351771,100934.29970686387
2055-2060,scenario1,22000000.013639547,-37.35174546882804,22000000.0,8378632.493990061,0.002625726815136027,47.749100582823594,451679.4511391124,62936.96807683068,105075.77874965945
2055-2060,scenario2,22000000.013858546,-37.351797699303,22000000.0,7906462.048889109,0.0027825340686925223,8.456871111000845,434395.3343581566,68305.55446975707,100598.75944925021
2055-2060,scenario3,22000000.013949085,-57.710607376316396,22000000.0,7969345.138363546,0.0027605781443752974,11.3496851265058,491105.6423343201,57624.59240416748,105778.56793916256
""
GeneratorType,Period,genInvCap_MW,genInstalledCap_MW,TotDiscountedInvestmentCost_Euro,genExpectedAnnualProduction_GWh
Liginiteexisting,2020-2025,0.0,61315.0,0.0,351872.26519576815
Liginiteexisting,2025-2030,0.0,37732.307692307695,0.0,222999.6218104595
Liginiteexisting,2030-2035,0.0,25351.39423076923,0.0,137443.96097714672
Liginiteexisting,2035-2040,0.0,17687.01923076923,0.0,4870.217774269008
Liginiteexisting,2040-2045,0.0,12263.0,0.0,10.415708591117205
Liginiteexisting,2045-2050,0.0,3065.7500000000023,0.0,1.976246000836361
Liginiteexisting,2050-2055,0.0,0.0,0.0,0.0
Liginiteexisting,2055-2060,0.0,0.0,0.0,0.0
Lignite,2020-2025,28890.88383383489,28890.88383383489,71520937890.89822,201967.0840481785
Lignite,2025-2030,0.00020768023249268886,28890.88404015846,384.403044225809,198609.92380692842
Lignite,2030-2035,0.001494728725595784,28890.885533530432,2035.1232757583423,181732.19034588686
Lignite,2035-2040,1.9030828529268063e-05,28890.885551204534,18.613540228120343,75752.87467771694
Lignite,2040-2045,1.7171405591972096e-05,28890.885567019144,11.635717143867446,0.8220089409320066
Lignite,2045-2050,3.0115668897961074e-05,28890.885595778167,13.317456772423737,7.417148519685691
Lignite,2050-2055,8.626247777510379e-05,28890.88568068393,22.234944953388805,0.006740017328377974
Lignite,2055-2060,0.00011119471909012545,28890.88579052193,12.591350443667855,188.28962552262288
LigniteCCSadv,2020-2025,0.0,0.0,0.0,0.0
LigniteCCSadv,2025-2030,0.0,0.0,0.0,0.0
LigniteCCSadv,2030-2035,0.0,0.0,0.0,0.0
LigniteCCSadv,2035-2040,0.0,0.0,0.0,0.0
LigniteCCSadv,2040-2045,0.0,0.0,0.0,0.0
LigniteCCSadv,2045-2050,0.0,0.0,0.0,0.0
LigniteCCSadv,2050-2055,0.0,0.0,0.0,0.0
LigniteCCSadv,2055-2060,0.0,0.0,0.0,0.0
Coalexisting,2020-2025,0.0,71229.0,0.0,358646.03704304807
Coalexisting,2025-2030,0.0,43833.23076923077,0.0,246634.09542436476
Coalexisting,2030-2035,0.0,29450.451923076922,0.0,136805.55136329826
Coalexisting,2035-2040,0.0,20546.826923076926,0.0,6872.302201806732
Coalexisting,2040-2045,0.0,14245.799999999997,0.0,20.152244923868437
Coalexisting,2045-2050,0.0,3561.4500000000035,0.0,10.661491702191249
Coalexisting,2050-2055,0.0,0.0,0.0,0.0
Coalexisting,2055-2060,0.0,0.0,0.0,0.0
Coal,2020-2025,0.06471453900927092,0.06471453900927092,138569.1162589023,0.3120371398723803
Coal,2025-2030,0.00869934180952637,0.0734107603967835,13927.406922280155,0.3447312727984895
Coal,2030-2035,0.0014589483106886493,0.07486658823213575,1718.1475550564621,0.30924231007671243
Coal,2035-2040,0.0001533597877547431,0.07501682757247609,129.7403297154875,0.057353463284004584
Coal,2040-2045,6.930917845836555e-05,0.07508301629567052,40.6228390731882,0.010081479185087037
Coal,2045-2050,0.00013343129344906945,0.07521332714794773,51.036242284860464,0.01172021810351026
Coal,2050-2055,0.0008139948662626849,0.07602420156589793,181.47968150687404,0.01683713010410383
Coal,2055-2060,0.002272366568270201,0.07829344768600031,222.56596535260812,0.018460501273430414
CoalCCSadv,2020-2025,0.0,0.0,0.0,0.0
CoalCCSadv,2025-2030,0.0,0.0,0.0,0.0
CoalCCSadv,2030-2035,0.0,0.0,0.0,0.0
CoalCCSadv,2035-2040,0.0,0.0,0.0,0.0
CoalCCSadv,2040-2045,0.0,0.0,0.0,0.0
CoalCCSadv,2045-2050,0.0,0.0,0.0,0.0
CoalCCSadv,2050-2055,0.0,0.0,0.0,0.0
CoalCCSadv,2055-2060,0.0,0.0,0.0,0.0
Gasexisting,2020-2025,0.0,222718.99999999997,0.0,186382.92033211899
Gasexisting,2025-2030,0.0,152048.5480769231,0.0,115548.44312739496
Gasexisting,2030-2035,0.0,94227.26923076923,0.0,52325.39617906164
Gasexisting,2035-2040,0.0,21415.288461538465,0.0,10183.376069558222
Gasexisting,2040-2045,0.0,17817.519999999993,0.0,1195.698591925405
Gasexisting,2045-2050,0.0,0.0,0.0,0.0
Gasexisting,2050-2055,0.0,0.0,0.0,0.0
Gasexisting,2055-2060,0.0,0.0,0.0,0.0
GasOCGT,2020-2025,0.04809032400122005,0.04809032400122005,35334.41051354951,0.030730458795874493
GasOCGT,2025-2030,9400.645791561485,9400.693877424555,5411919662.392268,1556.1092912001136
GasOCGT,2030-2035,86549.02281996426,95949.71667036622,39039956529.70929,11575.771665881457
