Node,RESGeneratorType,Period,ExpectedAnnualCurtailment_GWh,Expected total available power_GWh,Expected annual curtailment ratio of total capacity_%
Austria,Hydrorun-of-the-river,2020-2025,0.0010203185449822797,40897.517596106496,2.494817790797688e-06
Austria,Hydrorun-of-the-river,2025-2030,164.92696351125267,41457.25651389786,0.3978241142318803
Austria,Hydrorun-of-the-river,2030-2035,12668.830382352697,53331.4886391414,23.754878601034786
Austria,Hydrorun-of-the-river,2035-2040,12536.099617529588,54250.03124568323,23.10800441894143
Austria,Hydrorun-of-the-river,2040-2045,14932.664384414615,55557.17227627198,26.87801371559768
Austria,Hydrorun-of-the-river,2045-2050,15484.471341958315,55497.30288251934,27.90130427551939
Austria,Hydrorun-of-the-river,2050-2055,14231.683904786441,54669.25220520606,26.0323368817384
Austria,Hydrorun-of-the-river,2055-2060,11240.865744772478,53212.27808242928,21.124571527194618
Belgium,Hydrorun-of-the-river,2020-2025,410.6823662201861,881.4823660668701,46.58996958187946
Belgium,Hydrorun-of-the-river,2025-2030,45.78732180676546,516.5873218577822,8.863423446417997
Belgium,Hydrorun-of-the-river,2030-2035,258.1169768618972,728.9169767587571,35.41102554774544
Belgium,Hydrorun-of-the-river,2035-2040,247.6694653449922,718.46946531582,34.471815059826284
Belgium,Hydrorun-of-the-river,2040-2045,577.6784714807651,1048.478471521315,55.09683671831323
Belgium,Hydrorun-of-the-river,2045-2050,1409.1838397270876,1879.9838395984834,74.95723154875913
Belgium,Hydrorun-of-the-river,2050-2055,818.1149552234884,1288.9149552130136,63.47315250821044
Belgium,Hydrorun-of-the-river,2055-2060,515.7961579610085,986.5961547572745,52.280373836233565
Bulgaria,Hydrorun-of-the-river,2020-2025,2864.534121543026,6836.323336996808,41.901676973655455
Bulgaria,Hydrorun-of-the-river,2025-2030,2884.348350640465,5523.441236174871,52.220132835846954
Bulgaria,Hydrorun-of-the-river,2030-2035,4651.385422986095,7434.066967398047,62.56851657894197
Bulgaria,Hydrorun-of-the-river,2035-2040,4077.354167378006,5931.506879705053,68.74061263131763
Bulgaria,Hydrorun-of-the-river,2040-2045,4251.305829093838,6112.502434696144,69.55098790574425
Bulgaria,Hydrorun-of-the-river,2045-2050,5444.681501339764,7066.370593240877,77.05060793935304
Bulgaria,Hydrorun-of-the-river,2050-2055,4832.768521641035,6488.368388368894,74.48357171433574
Bulgaria,Hydrorun-of-the-river,2055-2060,4227.668325444884,5667.7636264277335,74.59147212371471
Switzerland,Hydrorun-of-the-river,2020-2025,0.0006088442343595269,1347.124883896136,4.519582717517889e-05
Switzerland,Hydrorun-of-the-river,2025-2030,0.00048380053692678124,19731.604320008642,2.4519067435190154e-06
Switzerland,Hydrorun-of-the-river,2030-2035,3.655601723882858,19379.388646478823,0.01886334904866604
Switzerland,Hydrorun-of-the-river,2035-2040,0.004548520321065511,17539.123213973282,2.593356729167477e-05
Switzerland,Hydrorun-of-the-river,2040-2045,0.014995519440685905,19918.02186799432,7.528618825738796e-05
Switzerland,Hydrorun-of-the-river,2045-2050,177.09599184085158,13012.330503959063,1.3609859647122342
Switzerland,Hydrorun-of-the-river,2050-2055,85.74145457259479,19271.656888444923,0.4449096155505158
Switzerland,Hydrorun-of-the-river,2055-2060,14.635092798533181,17078.51217946866,0.0856930196538262
CzechR,Hydrorun-of-the-river,2020-2025,85.05700694445648,1340.112537553784,6.347004789591621
CzechR,Hydrorun-of-the-river,2025-2030,151.37562744523876,1372.6125274009958,11.028285435501918
CzechR,Hydrorun-of-the-river,2030-2035,276.60726402415,1423.8958570638667,19.426088126594166
CzechR,Hydrorun-of-the-river,2035-2040,419.1389186366477,1951.9957693819451,21.472327205368813
CzechR,Hydrorun-of-the-river,2040-2045,300.5119540174053,1769.286357072348,16.984924617553983
CzechR,Hydrorun-of-the-river,2045-2050,587.0455823295707,1766.420628110698,33.23362357681784
CzechR,Hydrorun-of-the-river,2050-2055,279.6802894522776,1606.0631023860333,17.414028691448863
CzechR,Hydrorun-of-the-river,2055-2060,263.22163232147597,1735.3241295848059,15.168441897045163
Germany,Hydrorun-of-the-river,2020-2025,0.0011183271671957992,22743.060787448965,4.917223665044073e-06
Germany,Hydrorun-of-the-river,2025-2030,0.0004709676997206515,21792.578332855224,2.1611380375795405e-06
Germany,Hydrorun-of-the-river,2030-2035,441.7456377830591,23254.42767522805,1.8996194787181624
Germany,Hydrorun-of-the-river,2035-2040,0.005349934993459189,22720.140499149264,2.3547103477020806e-05
Germany,Hydrorun-of-the-river,2040-2045,493.3870648994956,23008.454613888556,2.1443728976116163
