Node,GeneratorType,Period,genInvCap_MW,genInstalledCap_MW,genExpectedCapacityFactor,DiscountedInvestmentCost_Euro,genExpectedAnnualProduction_GWh
BosniaH,Liginiteexisting,2020-2025,0.0,1888.0,0.7499999346637726,0.0,12404.158919412022
BosniaH,Liginiteexisting,2025-2030,0.0,1161.8461538461538,0.7239579134425946,0.0,7368.278803370732
BosniaH,Liginiteexisting,2030-2035,0.0,780.6153846153845,0.6468162226859473,0.0,4423.052723359757
BosniaH,Liginiteexisting,2035-2040,0.0,544.6153846153845,0.003547486211092206,0.0,16.92445636930058
BosniaH,Liginiteexisting,2040-2045,0.0,377.5999999999999,2.0019217643902096e-07,0.0,0.0006621908766127596
BosniaH,Liginiteexisting,2045-2050,0.0,94.40000000000009,5.671749527796147e-07,0.0,0.0004690219241513866
BosniaH,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
BosniaH,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Bulgaria,Liginiteexisting,2020-2025,0.0,12357.0,0.2806306964522078,0.0,30377.52080068508
Bulgaria,Liginiteexisting,2025-2030,0.0,7604.307692307692,0.46632115870632684,0.0,31063.394270310488
Bulgaria,Liginiteexisting,2030-2035,0.0,5109.1442307692305,0.5737004075385995,0.0,25676.594795724406
Bulgaria,Liginiteexisting,2035-2040,0.0,3564.5192307692305,0.006129662197445055,0.0,191.39985732078986
Bulgaria,Liginiteexisting,2040-2045,0.0,2471.3999999999996,0.0002699244869974528,0.0,5.84372046396982
Bulgaria,Liginiteexisting,2045-2050,0.0,617.8500000000006,1.4685550419519287e-07,0.0,0.0007948357378189205
Bulgaria,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Bulgaria,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
CzechR,Liginiteexisting,2020-2025,0.0,7250.0,0.7499999790661867,0.0,47632.4986704936
CzechR,Liginiteexisting,2025-2030,0.0,4461.538461538462,0.7347224253847882,0.0,28715.213068423425
CzechR,Liginiteexisting,2030-2035,0.0,2997.596153846154,0.6487292901456145,0.0,17034.945003243858
CzechR,Liginiteexisting,2035-2040,0.0,2091.346153846154,0.02048094976827153,0.0,375.21493839892065
CzechR,Liginiteexisting,2040-2045,0.0,1449.9999999999998,3.143637720309447e-08,0.0,0.00039930486323370523
CzechR,Liginiteexisting,2045-2050,0.0,362.50000000000034,1.4316392030926697e-07,0.0,0.0004546170289420777
CzechR,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
CzechR,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Germany,Liginiteexisting,2020-2025,0.0,19106.0,0.749995549370984,0.0,125525.67510463044
Germany,Liginiteexisting,2025-2030,0.0,11757.538461538463,0.7439947310577201,0.0,76628.50879059563
Germany,Liginiteexisting,2030-2035,0.0,7899.596153846153,0.6329352687917711,0.0,43799.4132112341
Germany,Liginiteexisting,2035-2040,0.0,5511.346153846153,0.04852232380713058,0.0,2342.6283067653385
Germany,Liginiteexisting,2040-2045,0.0,3821.1999999999994,1.257247145206057e-08,0.0,0.00042084728851449644
Germany,Liginiteexisting,2045-2050,0.0,955.3000000000009,7.178321616973519e-08,0.0,0.0006007126761248653
Germany,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Germany,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2020-2025,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2025-2030,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2030-2035,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2035-2040,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2040-2045,0.0,0.0,0,0.0,0.0
