Node,Period,Converter invested capacity [MW],Converter total capacity [MW]
EnergyhubEU,2020-2025,0.02505477924415394,0.02505477924415394
EnergyhubEU,2025-2030,0.0027157423910986944,0.027770453799409674
EnergyhubEU,2030-2035,42251.16495789184,42251.192729286064
EnergyhubEU,2035-2040,7700.001506651167,49951.194236370684
EnergyhubEU,2040-2045,17636.279675096812,67587.47392275154
EnergyhubEU,2045-2050,4.416532937162361e-06,67587.47390579373
EnergyhubEU,2050-2055,1.3534897833688758e-06,67587.47391584846
EnergyhubEU,2055-2060,1.3640161279514627e-06,67587.4739201142
EnergyhubNorth,2020-2025,0.023215819527358593,0.023215819527358593
EnergyhubNorth,2025-2030,0.001996309276899892,0.025212060968452674
EnergyhubNorth,2030-2035,0.11854231082725246,0.14375430395990593
EnergyhubNorth,2035-2040,2192.281926507966,2192.4256807358984
EnergyhubNorth,2040-2045,58735.47977419928,60927.90538035272
EnergyhubNorth,2045-2050,3.541313598889371e-05,60927.9054081925
EnergyhubNorth,2050-2055,1.3817654440822766e-06,60927.90538114656
EnergyhubNorth,2055-2060,1.4434372908643213e-06,60927.90546482809
EnergyhubCentral,2020-2025,0.026882368893793744,0.026882368893793744
EnergyhubCentral,2025-2030,0.003236606342867069,0.03011890740084623
EnergyhubCentral,2030-2035,52399.249279043346,52399.27932896181
EnergyhubCentral,2035-2040,2021.2206923244798,54420.500021230495
EnergyhubCentral,2040-2045,10474.437396468062,64894.937417004665
EnergyhubCentral,2045-2050,3.378223429031851e-06,64894.93742142093
EnergyhubCentral,2050-2055,1.3263276796520337e-06,64894.93743976177
EnergyhubCentral,2055-2060,1.2818478761876377e-06,64894.93742790439
