Node,StorageType,Period,storPWInvCap_MW,storPWInstalledCap_MW,storENInvCap_MWh,storENInstalledCap_MWh,DiscountedInvestmentCostPWEN_EuroPerMWMWh,ExpectedAnnualDischargeVolume_GWh,ExpectedAnnualLossesChargeDischarge_GWh
Austria,HydroPumpStorage,2020-2025,9.095685982174473e-06,3503.000009095686,9.779745596460998e-06,124704.00000977975,10.577343568911587,1929.0715925178806,482.26789808137687
Austria,HydroPumpStorage,2025-2030,9.957763627544597e-06,3503.000018985613,8.874825349145985e-06,124704.00001851891,8.922410857582328,2359.4422103963825,589.8606150005835
Austria,HydroPumpStorage,2030-2035,593.807308286145,4096.807327203872,6.296654705977762e-06,124704.00002467987,382773485.8424268,6558.896274458537,1639.7240679236359
Austria,HydroPumpStorage,2035-2040,1157.6924190103528,5254.4997474546335,1.5631670986454107e-06,124704.00002610737,584713340.3469388,9626.774892105075,2406.693723001093
Austria,HydroPumpStorage,2040-2045,1.2781179617835657e-06,5254.499745993309,2.67569112152424e-06,124704.00002864738,0.5408631721235492,11117.69222443747,2779.42305610902
Austria,HydroPumpStorage,2045-2050,7.483208019581457e-06,5254.499746265126,8.859490551464847e-06,124704.00002772713,1.911124710859101,10198.195934173404,2549.5489834561786
Austria,HydroPumpStorage,2050-2055,1.751229286135054e-05,5254.49975329932,5.8771664877349395e-06,124704.0000247295,2.409192265041289,9871.255632294362,2467.8139080562773
Austria,HydroPumpStorage,2055-2060,593.8065427124762,5254.498987725235,1.546772072517857e-05,124704.00003390053,34722553.520223156,10367.012971523289,2591.7532428380423
Austria,Li-Ion_BESS,2020-2025,0.0017165542985743795,0.0017165542985743795,0.003433108597148759,0.003433108597148759,1013.3104252016003,0.004929903488124656,0.000547762118418867
Austria,Li-Ion_BESS,2025-2030,0.020090110192965437,0.021806596655621534,0.04018022038577612,0.04361319331124307,7557.282188637503,0.01630664086637592,0.0018118438477261669
Austria,Li-Ion_BESS,2030-2035,1.1393471229139523e-05,0.021817922291117293,2.2786942536247115e-05,0.04363584458223459,3.3076765201932523,0.02868512596972722,0.003187231133374202
Austria,Li-Ion_BESS,2035-2040,0.2706811845641673,0.29078255255657987,0.5413623691280091,0.5815651051131597,61571.33103035678,0.23957402269658934,0.02661933059387285
Austria,Li-Ion_BESS,2040-2045,3668.6049071702864,3668.8756013596776,7337.209820196616,7337.751202719355,653845172.1485078,2719.165655350199,302.12951725583457
Austria,Li-Ion_BESS,2045-2050,10509.347218182162,14178.22280924113,21018.694454608718,28356.44561848226,1467584865.0624833,10525.370311528031,1169.4855901656945
Austria,Li-Ion_BESS,2050-2055,3310.9640330833954,17488.91616350912,6621.928074107383,34977.83232701824,269505290.25503945,12072.18099209333,1341.3534435598704
Austria,Li-Ion_BESS,2055-2060,2.570424923891711e-05,13820.311280201131,3.528325624518357e-05,27640.622560402262,0.6651273602253458,9246.455291429338,1027.3839212643738
