Node,RESGeneratorType,Period,ExpectedAnnualCurtailment_GWh,Expected total available power_GWh,Expected annual curtailment ratio of total capacity_%
Austria,Hydrorun-of-the-river,2020-2025,0.002484989919881415,40897.51915146267,6.076138532213491e-06
Austria,Hydrorun-of-the-river,2025-2030,168.36626756274555,41460.695820553534,0.4060864494205629
Austria,Hydrorun-of-the-river,2030-2035,13077.94722744703,53746.85092579437,24.332490187198328
Austria,Hydrorun-of-the-river,2035-2040,12539.061409801856,54252.993051024736,23.11220211944605
Austria,Hydrorun-of-the-river,2040-2045,14935.823579325332,55557.1721642831,26.883700155148205
Austria,Hydrorun-of-the-river,2045-2050,15369.174028370862,55497.30277386408,27.693551326261616
Austria,Hydrorun-of-the-river,2050-2055,14231.683603465302,54669.252099933954,26.032336380695604
Austria,Hydrorun-of-the-river,2055-2060,11240.865235159848,53212.27798077906,21.124570609850963
Belgium,Hydrorun-of-the-river,2020-2025,410.6823745065782,881.4823739596649,46.58997010476472
Belgium,Hydrorun-of-the-river,2025-2030,45.78732739457486,516.587327278982,8.863424435080557
Belgium,Hydrorun-of-the-river,2030-2035,258.1169867336804,728.9169862546288,35.41102644074118
Belgium,Hydrorun-of-the-river,2035-2040,234.52590675690254,705.3259064643445,33.25071496842265
Belgium,Hydrorun-of-the-river,2040-2045,558.4977359094709,1029.2977357435989,54.26007621652772
Belgium,Hydrorun-of-the-river,2045-2050,1409.1833300619612,1879.9833295533558,74.9572247747938
Belgium,Hydrorun-of-the-river,2050-2055,818.1146052893466,1288.9146048866248,63.47314261066267
Belgium,Hydrorun-of-the-river,2055-2060,515.7959013888969,986.59589338233,52.28036168087043
Bulgaria,Hydrorun-of-the-river,2020-2025,2864.6129709345037,6836.323336996808,41.902830362510706
Bulgaria,Hydrorun-of-the-river,2025-2030,2884.395294820549,5523.441236174871,52.2209827440487
Bulgaria,Hydrorun-of-the-river,2030-2035,4624.87524483084,7434.066967398047,62.211912606022224
Bulgaria,Hydrorun-of-the-river,2035-2040,4069.593196241311,5931.506879705053,68.60976946963726
Bulgaria,Hydrorun-of-the-river,2040-2045,4221.083101606984,6112.502434696144,69.05654675320906
