Node,Period,Converter invested capacity [MW],Converter total capacity [MW]
EnergyhubEU,2020-2025,0.011421059526851324,0.011421059526851324
EnergyhubEU,2025-2030,0.002086327927780585,0.01350736526358869
EnergyhubEU,2030-2035,24342.787819132973,24342.801340756647
EnergyhubEU,2035-2040,20018.161286586343,44360.96260030169
EnergyhubEU,2040-2045,16566.878924459616,60927.84154261827
EnergyhubEU,2045-2050,1.4250688572813708e-05,60927.84155459794
EnergyhubEU,2050-2055,6.517985673294211e-07,60927.84158656963
EnergyhubEU,2055-2060,5.725795481623832e-07,60927.841561999034
EnergyhubNorth,2020-2025,0.010384922444646769,0.010384922444646769
EnergyhubNorth,2025-2030,0.001236750328754537,0.011621650582360156
EnergyhubNorth,2030-2035,0.02061922585602882,0.03224085424736506
EnergyhubNorth,2035-2040,26.886846648923537,26.919087481011395
EnergyhubNorth,2040-2045,43228.48395330937,43255.40324653788
EnergyhubNorth,2045-2050,17672.43448992528,60927.83786727297
EnergyhubNorth,2050-2055,7.198559485965516e-07,60927.83787589594
EnergyhubNorth,2055-2060,8.36511256713639e-07,60927.83787140014
EnergyhubCentral,2020-2025,0.012157523683357834,0.012157523683357834
EnergyhubCentral,2025-2030,0.0023309784434525026,0.014488479935792218
EnergyhubCentral,2030-2035,15156.831503113452,15156.846001239603
EnergyhubCentral,2035-2040,21174.260685431476,36331.106699755874
EnergyhubCentral,2040-2045,24596.733924728902,60927.84066929734
EnergyhubCentral,2045-2050,0.0008964565662736176,60927.84156284125
EnergyhubCentral,2050-2055,7.076049558139531e-07,60927.841559918525
EnergyhubCentral,2055-2060,5.767127376184807e-07,60927.841572009725
