Period,Scenario,AnnualCO2emission_Ton,CO2Price_EuroPerTon,CO2Cap_Ton,AnnualGeneration_GWh,AvgCO2factor_TonPerMWh,AvgELPrice_EuroPerMWh,TotAnnualCurtailedRES_GWh,TotAnnualLossesChargeDischarge_GWh,AnnualLossesTransmission_GWh
2020-2025,scenario1,1057044640.0067052,-6.596124348951213e-10,1100000000.0,3343738.1992650144,0.3161266154864762,39.79059472562284,23380.387646316914,8609.942148682434,17702.538826918244
2020-2025,scenario2,1099999999.7057695,-0.014977815621228494,1100000000.0,3511033.9468185166,0.3132980245612584,46.538801574608854,13865.701464811376,8217.70963130664,16291.30018230067
2020-2025,scenario3,1070767826.2618395,-7.947771017496476e-10,1100000000.0,3396951.681381746,0.31521432351551615,39.895568511040466,27686.1763640456,6407.396875208059,17138.532510381374
2025-2030,scenario1,990000000.0168487,-0.2272143763505186,990000000.0,4469593.731776077,0.221496641401316,43.03504201814285,54028.13967914647,13257.123899250062,22541.466712595236
2025-2030,scenario2,990000000.8537251,-12.077257149675559,990000000.0,4634537.854458997,0.21361353212407447,43.07033521403911,51843.57096335845,15758.629011821075,23187.343615799906
2025-2030,scenario3,989999999.9566175,-37.869507946799004,990000000.0,4547936.91117686,0.21768111987738378,57.09823725782571,58636.14018427542,9280.489018936505,21670.107238939192
2030-2035,scenario1,770000000.0445685,-36.44402178844246,770000000.0,5447584.081128802,0.14134706111504197,45.839720834528954,67445.81252171092,17480.362320823337,35748.24899702478
2030-2035,scenario2,751621523.5984944,-3.3553548136589516e-10,770000000.0,5714366.356548976,0.1315319103993089,27.221357442038546,206627.63600516142,29532.392939409816,42740.81730609616
2030-2035,scenario3,680102810.304865,-6.195311522968049e-09,770000000.0,5520879.646650179,0.12318740016682585,149.38377728738044,256678.2996985281,28463.067296797108,43538.085876566176
2035-2040,scenario1,330000000.01865816,-67.2233299984184,330000000.0,6676737.001948427,0.049425340540203304,185.1151604897974,136812.51996621257,39379.64587487097,54428.87400257956
2035-2040,scenario2,330000000.0245736,-37.81783152025982,330000000.0,6566313.324467699,0.050256511335656735,31.442870577110547,204869.58359667074,36351.96339780481,53679.7875323216
2035-2040,scenario3,330000000.025554,-37.81783284211517,330000000.0,6781450.678542918,0.04866215440742398,173.52785662498252,210449.58883577673,35928.15396300832,57296.85830674787
2040-2045,scenario1,66000000.02555452,-50.538720130921284,66000000.0,7295080.073102165,0.00904719336377193,21.349702044616762,907145.2129884158,41487.24027212904,85907.57997916502
2040-2045,scenario2,66000000.02686846,-100.57216655401916,66000000.0,7454635.392904995,0.00885355172295688,29.48454345152797,380241.95852946746,49757.42569017971,84548.96109922654
2040-2045,scenario3,66000000.03682448,-307.1813952764241,66000000.0,7397612.950341364,0.008921796866079702,36.61405310194584,314081.3530379733,52800.129773980174,84347.44755877281
2045-2050,scenario1,55000000.02124963,-47.823958987683085,55000000.0,7948627.135726746,0.006919433894948122,11.6688301342251,730805.2043962983,56968.91745967663,92700.7007817467
2045-2050,scenario2,55000000.02126723,-47.82395910339919,55000000.0,8236052.804251252,0.006677956216220237,16.36800360490188,596921.873381659,54783.55582852748,94744.0908383112
2045-2050,scenario3,55000000.01727585,-765.4939047668818,55000000.0,8020446.511100984,0.006857473575960356,63.13133040503502,577169.4649222023,61642.3999002917,90621.37528596395
2050-2055,scenario1,33000000.015936423,-47.6713186183745,33000000.0,8085186.721610147,0.004081538392642554,18.766664789297863,582983.5351479183,67632.92265337145,89308.18732928988
2050-2055,scenario2,33000000.016416915,-58.104470289203796,33000000.0,8173469.394839365,0.004037453182029847,23.417383165423583,607282.8072214874,53775.93733392592,91611.08361191313
2050-2055,scenario3,33000000.015861332,-44.85437242795098,33000000.0,7960592.021284798,0.004145420331506849,13.593713482151186,582717.5976883098,70541.49871717716,90309.15577654152
2055-2060,scenario1,22000000.016173236,-37.35173928171263,22000000.0,8370299.093853121,0.002628340967209743,48.43569021161516,586100.4169816863,63816.609441348264,95862.73692372069
2055-2060,scenario2,22000000.015572537,-39.6271304038876,22000000.0,7895613.075575518,0.0027863574120201126,9.556866543500401,521373.0800889985,68787.08693394523,89268.2533544973
2055-2060,scenario3,22000000.015680354,-60.10475767205374,22000000.0,7960870.908288986,0.0027635167394530077,12.941860187961565,567189.8627845435,59383.72224311561,95545.2077374639
""
GeneratorType,Period,genInvCap_MW,genInstalledCap_MW,TotDiscountedInvestmentCost_Euro,genExpectedAnnualProduction_GWh
Liginiteexisting,2020-2025,0.0,61315.0,0.0,352724.8369025994
Liginiteexisting,2025-2030,0.0,37732.307692307695,0.0,223818.44296192558
Liginiteexisting,2030-2035,0.0,25351.39423076923,0.0,134415.33068935227
Liginiteexisting,2035-2040,0.0,17687.01923076923,0.0,3298.2015737087236
Liginiteexisting,2040-2045,0.0,12263.0,0.0,7.67432388667026
Liginiteexisting,2045-2050,0.0,3065.7500000000023,0.0,2.3261537049302445
Liginiteexisting,2050-2055,0.0,0.0,0.0,0.0
Liginiteexisting,2055-2060,0.0,0.0,0.0,0.0
Lignite,2020-2025,28655.725504292284,28655.725504292284,70938790789.46384,200354.14257870018
Lignite,2025-2030,8.273091774824966e-05,28655.725585516535,153.1297237696503,197173.37938893013
Lignite,2030-2035,0.0005641714731554316,28655.72614818126,768.1383764668383,178155.98690097494
Lignite,2035-2040,1.3966796376840661e-05,28655.726160641378,13.660546928814547,75608.22456314875
Lignite,2040-2045,1.2910700106963649e-05,28655.726172045364,8.74857062628355,1.5673642966413404
Lignite,2045-2050,1.7422114553358102e-05,28655.726187960798,7.704237227294971,6.904218363831015
Lignite,2050-2055,6.246811437873051e-05,28655.726248922223,16.101729516444987,0.0026449852275534373
Lignite,2055-2060,0.00023179483101844003,28655.726479210356,26.247738851863648,186.22798302222702
LigniteCCSadv,2020-2025,0.0,0.0,0.0,0.0
LigniteCCSadv,2025-2030,0.0,0.0,0.0,0.0
LigniteCCSadv,2030-2035,0.0,0.0,0.0,0.0
LigniteCCSadv,2035-2040,0.0,0.0,0.0,0.0
LigniteCCSadv,2040-2045,0.0,0.0,0.0,0.0
LigniteCCSadv,2045-2050,0.0,0.0,0.0,0.0
LigniteCCSadv,2050-2055,0.0,0.0,0.0,0.0
LigniteCCSadv,2055-2060,0.0,0.0,0.0,0.0
Coalexisting,2020-2025,0.0,71229.0,0.0,360158.36849827133
Coalexisting,2025-2030,0.0,43833.23076923077,0.0,247781.62864327303
Coalexisting,2030-2035,0.0,29450.451923076922,0.0,117312.43240986174
Coalexisting,2035-2040,0.0,20546.826923076926,0.0,5513.183688450359
Coalexisting,2040-2045,0.0,14245.799999999997,0.0,22.436268768514434
Coalexisting,2045-2050,0.0,3561.4500000000035,0.0,18.727387655828604
Coalexisting,2050-2055,0.0,0.0,0.0,0.0
Coalexisting,2055-2060,0.0,0.0,0.0,0.0
Coal,2020-2025,0.02647455486735304,0.02647455486735304,56688.27635149157,0.13108297509157443
Coal,2025-2030,0.00416722701918522,0.030638316595982415,6671.615819274609,0.14641842043716569
Coal,2030-2035,0.0006579377672705008,0.03129278884930316,774.828112780454,0.12422117831889133
Coal,2035-2040,0.00017805832626598033,0.03146738177320984,150.63496302746842,0.021507820843283825
Coal,2040-2045,8.545827424239165e-05,0.031549374637565915,50.087994104654506,0.0039507930019950024
Coal,2045-2050,7.038538134833537e-05,0.0316162946242721,26.92176087745925,0.00459406334231856
Coal,2050-2055,0.000401423203337762,0.03201425242531653,89.49706946640208,0.006521866482141207
Coal,2055-2060,0.0016642543251435724,0.033675041348245664,163.00467347123393,0.006567567805799733
CoalCCSadv,2020-2025,0.0,0.0,0.0,0.0
CoalCCSadv,2025-2030,0.0,0.0,0.0,0.0
CoalCCSadv,2030-2035,0.0,0.0,0.0,0.0
CoalCCSadv,2035-2040,0.0,0.0,0.0,0.0
CoalCCSadv,2040-2045,0.0,0.0,0.0,0.0
CoalCCSadv,2045-2050,0.0,0.0,0.0,0.0
CoalCCSadv,2050-2055,0.0,0.0,0.0,0.0
CoalCCSadv,2055-2060,0.0,0.0,0.0,0.0
Gasexisting,2020-2025,0.0,222718.99999999997,0.0,188443.65920939957
Gasexisting,2025-2030,0.0,152048.5480769231,0.0,118110.10241444552
Gasexisting,2030-2035,0.0,94227.26923076923,0.0,52222.44882576117
Gasexisting,2035-2040,0.0,21415.288461538465,0.0,10098.092535260823
Gasexisting,2040-2045,0.0,17817.519999999993,0.0,1136.0442063225655
Gasexisting,2045-2050,0.0,0.0,0.0,0.0
Gasexisting,2050-2055,0.0,0.0,0.0,0.0
Gasexisting,2055-2060,0.0,0.0,0.0,0.0
GasOCGT,2020-2025,0.016908513137579823,0.016908513137579823,12423.545833499338,0.011032024956810646
GasOCGT,2025-2030,9964.04546579085,9964.06236916682,5736266929.841092,1723.2229868281663
GasOCGT,2030-2035,87857.4459891934,97821.50836654095,39630151334.743935,10921.572531288262
