Node,GeneratorType,Period,genInvCap_MW,genInstalledCap_MW,genExpectedCapacityFactor,DiscountedInvestmentCost_Euro,genExpectedAnnualProduction_GWh
BosniaH,Liginiteexisting,2020-2025,0.0,1888.0,0.7499999601767346,0.0,12404.159341367797
BosniaH,Liginiteexisting,2025-2030,0.0,1161.8461538461538,0.7271069172281429,0.0,7400.328646896106
BosniaH,Liginiteexisting,2030-2035,0.0,780.6153846153845,0.6303489919625388,0.0,4310.446658232162
BosniaH,Liginiteexisting,2035-2040,0.0,544.6153846153845,0.003270468547544388,0.0,15.602851976426232
BosniaH,Liginiteexisting,2040-2045,0.0,377.5999999999999,4.322293855272749e-08,0.0,0.00014297179879418668
BosniaH,Liginiteexisting,2045-2050,0.0,94.40000000000009,2.0678021708955025e-07,0.0,0.00017099565984090136
BosniaH,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
BosniaH,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Bulgaria,Liginiteexisting,2020-2025,0.0,12357.0,0.28844566364181734,0.0,31223.470054848116
Bulgaria,Liginiteexisting,2025-2030,0.0,7604.307692307692,0.47278858442403615,0.0,31494.213655689644
Bulgaria,Liginiteexisting,2030-2035,0.0,5109.1442307692305,0.5278655853250324,0.0,23625.206750592737
Bulgaria,Liginiteexisting,2035-2040,0.0,3564.5192307692305,0.001979121343897626,0.0,61.798436951456644
Bulgaria,Liginiteexisting,2040-2045,0.0,2471.3999999999996,0.00025331052414366193,0.0,5.48403707326934
Bulgaria,Liginiteexisting,2045-2050,0.0,617.8500000000006,1.8453573229580384e-05,0.0,0.09987749232629119
Bulgaria,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Bulgaria,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
CzechR,Liginiteexisting,2020-2025,0.0,7250.0,0.7499999883648346,0.0,47632.49926105074
CzechR,Liginiteexisting,2025-2030,0.0,4461.538461538462,0.7378261106365352,0.0,28836.514637862303
CzechR,Liginiteexisting,2030-2035,0.0,2997.596153846154,0.6426688476831662,0.0,16875.804194263357
CzechR,Liginiteexisting,2035-2040,0.0,2091.346153846154,0.01698694226982216,0.0,311.2040491028083
CzechR,Liginiteexisting,2040-2045,0.0,1449.9999999999998,1.200736738438231e-08,0.0,0.00015251758051642393
CzechR,Liginiteexisting,2045-2050,0.0,362.50000000000034,5.310384089459282e-08,0.0,0.00016863124676077973
CzechR,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
CzechR,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Germany,Liginiteexisting,2020-2025,0.0,19106.0,0.7499948622991115,0.0,125525.56011040072
Germany,Liginiteexisting,2025-2030,0.0,11757.538461538463,0.7441578027395485,0.0,76645.30452755824
Germany,Liginiteexisting,2030-2035,0.0,7899.596153846153,0.638132986285007,0.0,44159.09766471083
Germany,Liginiteexisting,2035-2040,0.0,5511.346153846153,0.032996866102865625,0.0,1593.0686435046389
Germany,Liginiteexisting,2040-2045,0.0,3821.1999999999994,5.110146213419345e-09,0.0,0.00017105556262588987
Germany,Liginiteexisting,2045-2050,0.0,955.3000000000009,2.6912181476112463e-08,0.0,0.00022521265300578155
Germany,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Germany,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2020-2025,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2025-2030,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2030-2035,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2035-2040,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2040-2045,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2045-2050,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Greece,Liginiteexisting,2020-2025,0.0,2001.0,0.7492647688460261,0.0,13133.682309557516
Greece,Liginiteexisting,2025-2030,0.0,1231.3846153846155,0.6201609213955794,0.0,6689.631970782782
Greece,Liginiteexisting,2030-2035,0.0,827.3365384615385,0.546682695127973,0.0,3962.0653811462503
Greece,Liginiteexisting,2035-2040,0.0,577.2115384615385,0.052165712843189084,0.0,263.76930595880145
Greece,Liginiteexisting,2040-2045,0.0,400.19999999999993,0.00018158450386362014,0.0,0.6365902375888938
Greece,Liginiteexisting,2045-2050,0.0,100.05000000000008,0.0001312246849887662,0.0,0.11501030046218441
Greece,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Greece,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Hungary,Liginiteexisting,2020-2025,0.0,1007.0,0.7499999380582141,0.0,6615.989453591671
Hungary,Liginiteexisting,2025-2030,0.0,619.6923076923077,0.6658267422397601,0.0,3614.443543295043
Hungary,Liginiteexisting,2030-2035,0.0,416.3557692307692,0.598983679988255,0.0,2184.6591229425126
Hungary,Liginiteexisting,2035-2040,0.0,290.4807692307692,0.01717540510046482,0.0,43.704733996394
Hungary,Liginiteexisting,2040-2045,0.0,201.39999999999995,8.153452014471677e-08,0.0,0.00014384841864859888
Hungary,Liginiteexisting,2045-2050,0.0,50.350000000000044,3.7447521280698994e-07,0.0,0.00016516828421192807
Hungary,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Hungary,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Ireland,Liginiteexisting,2020-2025,0.0,228.0,0.6803973944195314,0.0,1358.944107926245
Ireland,Liginiteexisting,2025-2030,0.0,140.30769230769232,0.5673046531646173,0.0,697.2715308754633
Ireland,Liginiteexisting,2030-2035,0.0,94.26923076923076,0.5363806765438472,0.0,442.9423374888688
Ireland,Liginiteexisting,2035-2040,0.0,65.76923076923076,0.01632037076265293,0.0,9.402793302932166
Ireland,Liginiteexisting,2040-2045,0.0,45.59999999999999,4.1428150232434493e-07,0.0,0.0001654872317924737
Ireland,Liginiteexisting,2045-2050,0.0,11.40000000000001,1.8824024312383362e-06,0.0,0.0001879842363931852
Ireland,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Ireland,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Macedonia,Liginiteexisting,2020-2025,0.0,824.0,0.7499998912158385,0.0,5413.679214769811
Macedonia,Liginiteexisting,2025-2030,0.0,507.0769230769231,0.7028180554214062,0.0,3121.9134771476893
Macedonia,Liginiteexisting,2030-2035,0.0,340.6923076923077,0.5979855283197302,0.0,1784.6666497823148
Macedonia,Liginiteexisting,2035-2040,0.0,237.69230769230768,0.0023616210921177123,0.0,4.917331105375311
Macedonia,Liginiteexisting,2040-2045,0.0,164.79999999999995,0.00024400482431610672,0.0,0.3522570766142986
Macedonia,Liginiteexisting,2045-2050,0.0,41.20000000000004,5.111551197623777e-07,0.0,0.00018448201658367963
Macedonia,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Macedonia,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Poland,Liginiteexisting,2020-2025,0.0,7560.0,0.7499999898050622,0.0,49669.19932483425
Poland,Liginiteexisting,2025-2030,0.0,4652.307692307692,0.7338632989259388,0.0,29908.02294729209
Poland,Liginiteexisting,2030-2035,0.0,3125.7692307692305,0.6111454292588049,0.0,16734.224305929274
Poland,Liginiteexisting,2035-2040,0.0,2180.7692307692305,0.046445642227829764,0.0,887.2761126702042
Poland,Liginiteexisting,2040-2045,0.0,1511.9999999999998,1.1938005561631205e-08,0.0,0.0001581203162244722
Poland,Liginiteexisting,2045-2050,0.0,378.00000000000034,5.30855753878651e-08,0.0,0.00017578120407033034
Poland,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Poland,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Romania,Liginiteexisting,2020-2025,0.0,2497.0,0.7499999735231727,0.0,16405.28942085332
Romania,Liginiteexisting,2025-2030,0.0,1536.6153846153848,0.6993196886525347,0.0,9413.368036967862
Romania,Liginiteexisting,2030-2035,0.0,1032.4134615384614,0.5849209587797894,0.0,5289.991180794895
Romania,Liginiteexisting,2035-2040,0.0,720.2884615384614,0.009355975713013982,0.0,59.03365184805822
Romania,Liginiteexisting,2040-2045,0.0,499.39999999999986,0.0002743456317314693,0.0,1.2001919063434547
Romania,Liginiteexisting,2045-2050,0.0,124.85000000000011,0.0019288495726235096,0.0,2.1095557736843156
Romania,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Romania,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Serbia,Liginiteexisting,2020-2025,0.0,5661.0,0.7499999859367397,0.0,37192.76930259787
Serbia,Liginiteexisting,2025-2030,0.0,3483.692307692308,0.7311895469408004,0.0,22313.817145249974
Serbia,Liginiteexisting,2030-2035,0.0,2340.605769230769,0.6283744059044902,0.0,12884.00441494578
Serbia,Liginiteexisting,2035-2040,0.0,1632.980769230769,0.0028286596982636542,0.0,40.46372675607284
Serbia,Liginiteexisting,2040-2045,0.0,1132.1999999999998,1.5126136733698248e-08,0.0,0.00015002211320666343
Serbia,Liginiteexisting,2045-2050,0.0,283.05000000000024,7.744465014627427e-08,0.0,0.00019202540404138956
Serbia,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Serbia,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Slovenia,Liginiteexisting,2020-2025,0.0,936.0,0.7499999248949145,0.0,6149.519384186384
Slovenia,Liginiteexisting,2025-2030,0.0,576.0,0.7300308759325991,0.0,3683.560592545675
Slovenia,Liginiteexisting,2030-2035,0.0,387.0,0.6377922590608355,0.0,2162.1922932873126
Slovenia,Liginiteexisting,2035-2040,0.0,270.0,0.0033656786471892948,0.0,7.960503136332117
Slovenia,Liginiteexisting,2040-2045,0.0,187.19999999999996,8.594726767747552e-08,0.0,0.00014094251774079698
Slovenia,Liginiteexisting,2045-2050,0.0,46.80000000000004,4.0560660111518705e-07,0.0,0.0001662857270459911
Slovenia,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Slovenia,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Slovakia,Liginiteexisting,2020-2025,0.0,0.0,0,0.0,0.0
Slovakia,Liginiteexisting,2025-2030,0.0,0.0,0,0.0,0.0
Slovakia,Liginiteexisting,2030-2035,0.0,0.0,0,0.0,0.0
Slovakia,Liginiteexisting,2035-2040,0.0,0.0,0,0.0,0.0
Slovakia,Liginiteexisting,2040-2045,0.0,0.0,0,0.0,0.0
Slovakia,Liginiteexisting,2045-2050,0.0,0.0,0,0.0,0.0
Slovakia,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Slovakia,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
BosniaH,Lignite,2020-2025,0.0035446873254202415,0.0035446873254202415,0.7800412412175528,8775.064255636646,0.024221420157188606
BosniaH,Lignite,2025-2030,5.741998794380265e-07,0.0035452192586504687,0.7686423708975765,1.0628078512857033,0.023871050250170632
BosniaH,Lignite,2030-2035,5.791633698392889e-07,0.0035457560726375455,0.6796593547511889,0.7885503464561895,0.021110779051641358
BosniaH,Lignite,2035-2040,9.892811058497066e-07,0.003546702977851424,0.06661016197897618,0.9675891741830069,0.0020695189882509687
BosniaH,Lignite,2040-2045,1.0022812309302114e-06,0.003547662882161353,0.0047919746182972876,0.6791675171404441,0.0001489227198537907
BosniaH,Lignite,2045-2050,2.2148782951972713e-06,0.0035498354760966125,0.005805939458505336,0.979441833166995,0.00018054473758999305
BosniaH,Lignite,2050-2055,5.068796147111683e-06,0.003554861941605907,0.008251754587712956,1.3065287042277045,0.0002569645114175147
BosniaH,Lignite,2055-2060,7.710093942723318e-06,0.003562529704905005,0.008581009586668444,0.8730674943991223,0.00026779408958308896
Bulgaria,Lignite,2020-2025,0.00018059100099266056,0.00018059100099266056,0.40963362457723046,447.06274269549664,0.0006480310416112488
Bulgaria,Lignite,2025-2030,5.9542539450719195e-05,0.00024009120980272023,0.4228719083466988,110.20949442839994,0.0008893837738629247
Bulgaria,Lignite,2030-2035,0.0005361642055777269,0.0007762130847384052,0.5642971844995369,730.0055426209777,0.0038370101586167457
Bulgaria,Lignite,2035-2040,1.1530261865250583e-06,0.0007773237802823133,0.16330147367333014,1.127743822290947,0.0011119779210508887
Bulgaria,Lignite,2040-2045,1.5760449018344701e-06,0.0007788574945426837,0.020609595625068325,1.0679622343993624,0.0001406149769858076
Bulgaria,Lignite,2045-2050,1.8229657199002438e-06,0.0007806381296175668,0.02641278282769992,0.8061340843744457,0.00018062091036918942
Bulgaria,Lignite,2050-2055,4.6208406660193545e-05,0.0008268042056407969,0.030816725455764186,11.910640697707128,0.0002231995283275162
Bulgaria,Lignite,2055-2060,0.00011548587366135027,0.0009422477486574764,0.02816968603029597,13.077267683770286,0.00023251513160372434
CzechR,Lignite,2020-2025,0.005597921938777254,0.005597921938777254,0.7858620824839485,13857.95704984636,0.03853694462933701
CzechR,Lignite,2025-2030,7.79646409090854e-07,0.0055986592704911145,0.7797567340146205,1.4430764520874437,0.03824258826434101
CzechR,Lignite,2030-2035,8.822163707973616e-07,0.005599499157960009,0.7004356890044603,1.2011671681422507,0.034357500084881976
CzechR,Lignite,2035-2040,1.398930129484013e-06,0.005600855739764483,0.08074756333515858,1.3682558382276464,0.003961757773340825
CzechR,Lignite,2040-2045,1.1016451947129974e-06,0.005601915011935611,0.003228623838111638,0.7464986957488229,0.00015843753279631083
CzechR,Lignite,2045-2050,1.096323867275539e-06,0.0056029690475434,0.0035476919710401814,0.4848056259513099,0.00017412784874265813
CzechR,Lignite,2050-2055,3.0720301183444554e-06,0.005605998747019915,0.005454594976977848,0.7918439434886643,0.00026786724483240487
CzechR,Lignite,2055-2060,7.60205905416783e-06,0.005613558475426317,0.0056369842872283525,0.8608339535162842,0.00027719741847160093
Germany,Lignite,2020-2025,25267.701670752183,25267.701670752183,0.7999999968649609,62551555439.89231,177076.05261470654
Germany,Lignite,2025-2030,4.3487276471988e-06,25267.70167505858,0.798985530528149,8.049221276517052,176851.50552592488
Germany,Lignite,2030-2035,2.016932745716364e-06,25267.701677033176,0.7186389343009654,2.7461215578167595,159067.18283946032
Germany,Lignite,2035-2040,2.9505233900691733e-06,25267.701679941376,0.3221508459379017,2.885827368503689,71306.5004868329
Germany,Lignite,2040-2045,2.2696875396280735e-06,25267.701682168725,8.217128721787169e-10,1.5379895416610232,0.00018188209053006228
Germany,Lignite,2045-2050,2.9022464362181193e-06,25267.70168502864,1.0840553854981971e-09,1.2834030546760467,0.00023995031167555841
Germany,Lignite,2050-2055,6.6003256226262124e-06,25267.70169158664,1.2919170340148868e-09,1.7012944756369064,0.00028595946221772337
Germany,Lignite,2055-2060,1.2956218828584296e-05,25267.701704500527,0.0007305948815265049,1.4671226568172504,161.71357295124045
Estonia,Lignite,2020-2025,0.0,0.0,0,0.0,0.0
Estonia,Lignite,2025-2030,0.0,0.0,0,0.0,0.0
Estonia,Lignite,2030-2035,0.0,0.0,0,0.0,0.0
Estonia,Lignite,2035-2040,0.0,0.0,0,0.0,0.0
Estonia,Lignite,2040-2045,0.0,0.0,0,0.0,0.0
Estonia,Lignite,2045-2050,0.0,0.0,0,0.0,0.0
Estonia,Lignite,2050-2055,0.0,0.0,0,0.0,0.0
Estonia,Lignite,2055-2060,0.0,0.0,0,0.0,0.0
Greece,Lignite,2020-2025,0.0,0.0,0,0.0,0.0
Greece,Lignite,2025-2030,0.0,0.0,0,0.0,0.0
Greece,Lignite,2030-2035,0.0,0.0,0,0.0,0.0
Greece,Lignite,2035-2040,0.0,0.0,0,0.0,0.0
Greece,Lignite,2040-2045,0.0,0.0,0,0.0,0.0
Greece,Lignite,2045-2050,0.0,0.0,0,0.0,0.0
Greece,Lignite,2050-2055,0.0,0.0,0,0.0,0.0
Greece,Lignite,2055-2060,0.0,0.0,0,0.0,0.0
Hungary,Lignite,2020-2025,0.018277912307957382,0.018277912307957382,0.7967012947942682,45247.95566903855,0.12756343888051905
Hungary,Lignite,2025-2030,1.0275782252901465e-07,0.018277972777542256,0.7261908579363059,0.19019826453420036,0.11627407937810068
Hungary,Lignite,2030-2035,1.2334294407070072e-06,0.018279163840561975,0.6792283839506293,1.6793555384358396,0.10876176777884859
Hungary,Lignite,2035-2040,1.8559678457875802e-06,0.01828097747024823,0.12188503203387774,1.8152721047607299,0.019518835115249
Hungary,Lignite,2040-2045,8.824691441948868e-07,0.01828181759853375,0.0009836690244205378,0.5979802465817361,0.00015753333729242748
Hungary,Lignite,2045-2050,1.7685236615510899e-06,0.0182835438026669,0.001164443423187587,0.7820592494065358,0.00018650173444213986
Hungary,Lignite,2050-2055,3.976066521130752e-06,0.018287477538543147,0.001624009107686417,1.0248676192543786,0.00026016350349383435
Hungary,Lignite,2055-2060,7.5930053894138696e-06,0.01829502821328842,0.0023342441538081052,0.8598087441659714,0.0003740963488194562
Ireland,Lignite,2020-2025,2487.7134533784492,2487.7134533784492,0.7786541991729771,6158468547.129072,16968.720294875173
Ireland,Lignite,2025-2030,6.223138574184618e-08,2487.71345339834,0.646788736310453,0.11518637974559484,14095.05935763599
Ireland,Lignite,2030-2035,6.820935161196581e-07,2487.7134540381135,0.6178339818991753,0.9286931916998274,13464.066644000823
Ireland,Lignite,2035-2040,1.3469672682664349e-06,2487.7134553427495,0.17485724045885823,1.3174323648221602,3810.55365831758
Ireland,Lignite,2040-2045,8.230935886105588e-07,2487.713456123513,7.18602885596828e-05,0.5577460813388969,1.5660059876629713
Ireland,Lignite,2045-2050,1.935421365364194e-06,2487.7134580166035,0.00031672991049640903,0.8558631208556031,6.9022953654692065
Ireland,Lignite,2050-2055,4.3284999122062684e-06,2487.713462302772,1.2371445329280367e-08,1.115710558761988,0.0002696031131816318
Ireland,Lignite,2055-2060,7.4246825391826784e-06,2487.7134696851235,0.0008604086234567084,0.8407483785993286,18.750343068776836
Macedonia,Lignite,2020-2025,0.0,0.0,0,0.0,0.0
Macedonia,Lignite,2025-2030,0.0,0.0,0,0.0,0.0
Macedonia,Lignite,2030-2035,0.0,0.0,0,0.0,0.0
Macedonia,Lignite,2035-2040,0.0,0.0,0,0.0,0.0
Macedonia,Lignite,2040-2045,0.0,0.0,0,0.0,0.0
Macedonia,Lignite,2045-2050,0.0,0.0,0,0.0,0.0
Macedonia,Lignite,2050-2055,0.0,0.0,0,0.0,0.0
Macedonia,Lignite,2055-2060,0.0,0.0,0,0.0,0.0
Poland,Lignite,2020-2025,0.00392293496901079,0.00392293496901079,0.7820064128595638,9711.436655325442,0.02687358025425786
Poland,Lignite,2025-2030,1.945346944710862e-06,0.003924837985314376,0.770807899001145,3.6007148039405124,0.026501594023289287
Poland,Lignite,2030-2035,1.47516234097958e-06,0.003926270837191771,0.6501377301389475,2.0084829870738488,0.022360923255622805
Poland,Lignite,2035-2040,1.7494549751770784e-06,0.003927977941348123,0.16137756486855137,1.7110947380805517,0.005552854631681587
Poland,Lignite,2040-2045,2.008337951836138e-06,0.0039299439095876396,0.004702970416550348,1.3608933882375072,0.0001619059111225176
Poland,Lignite,2045-2050,1.5292374705445987e-06,0.003931430855486532,0.005233790854286122,0.6762444486208018,0.00018024827285596424
Poland,Lignite,2050-2055,1.800166025092976e-06,0.003933188690868083,0.00794212714738589,0.4640093063319718,0.00027364386977520234
Poland,Lignite,2055-2060,5.677453202725635e-06,0.003938823813430363,0.007593902608472199,0.6428974639083488,0.0002620207492166225
Romania,Lignite,2020-2025,0.0033028005386978266,0.0033028005386978266,0.7810910475581938,8176.260496315779,0.022598942289989904
Romania,Lignite,2025-2030,3.158817349487855e-07,0.003303074191280845,0.7429654037266217,0.5846772178181088,0.021497651886560186
Romania,Lignite,2030-2035,7.537364926209934e-07,0.0033037855339750353,0.644365583645402,1.0262375062806288,0.018648688278030144
Romania,Lignite,2035-2040,1.7983749032924037e-06,0.003305541539892393,0.12240193209339542,1.7589420006698273,0.0035443369188167847
Romania,Lignite,2040-2045,9.93263409510184e-07,0.003306492414479057,0.005180890531072376,0.6730568456094891,0.00015006383911323726
Romania,Lignite,2045-2050,2.012063053270602e-06,0.0033084622050794103,0.010403021140272225,0.8897548590440344,0.00030150169980839946
Romania,Lignite,2050-2055,5.254886901846046e-06,0.0033136747613390135,0.008454704552190433,1.3544953033165998,0.00024542139594114186
Romania,Lignite,2055-2060,8.369776776866925e-06,0.003322002207476895,0.008614430762656652,0.9477679641187479,0.00025068630416499166
Serbia,Lignite,2020-2025,0.0,0.0,0,0.0,0.0
Serbia,Lignite,2025-2030,0.0,0.0,0,0.0,0.0
Serbia,Lignite,2030-2035,0.0,0.0,0,0.0,0.0
Serbia,Lignite,2035-2040,0.0,0.0,0,0.0,0.0
