BetweenNode,AndNode,Period,transmissionInvCap_MW,transmissionInstalledCap_MW,DiscountedInvestmentCost_EuroPerMW,transmissionExpectedAnnualVolume_GWh,ExpectedAnnualLosses_GWh
Switzerland,Austria,2020-2025,0.0,1200.0,0.0,1723.0593602943768,51.69178080883148
Switzerland,Austria,2025-2030,0.0,1200.0,0.0,3936.789304975047,118.10367914925145
Switzerland,Austria,2030-2035,625.7468515775868,1825.7468515775868,149813852.82781038,6987.248632495419,209.61745897486233
Switzerland,Austria,2035-2040,374.2529795094497,2199.9998310659294,64366739.72456895,9889.165910872036,296.6749773261621
Switzerland,Austria,2040-2045,1000.0000587995129,3199.9998898759773,119155006.26273365,17049.92306910647,511.4976920731951
Switzerland,Austria,2045-2050,2.294206202164723e-07,3199.9998897965374,0.017839644306356338,14727.524054354048,441.82572163062207
Switzerland,Austria,2050-2055,2.883260429368085e-07,3199.9998896785687,0.01306841631529078,14292.059642145603,428.76178926436836
Switzerland,Austria,2055-2060,6.330082253830448e-07,3199.9998909320448,0.012604408275283432,16098.498289095913,482.9549486728778
CzechR,Austria,2020-2025,0.0,900.0,0.0,4611.682374857796,138.35047124573407
CzechR,Austria,2025-2030,0.0,900.0,0.0,3359.312788064662,100.77938364193994
CzechR,Austria,2030-2035,999.9998669662305,1899.9998669662305,87917379.31288327,8498.862544056097,254.96587632168308
CzechR,Austria,2035-2040,7.391560691231226e-05,1899.999940860672,4.668247619342762,8691.137005230496,260.7341101569148
CzechR,Austria,2040-2045,3.3269043779500627e-07,1899.9999411721972,0.014557073626519604,8252.125305582254,247.56375916746904
CzechR,Austria,2045-2050,3.523368597692606e-06,1899.9999446744002,0.10060818460887874,10962.9769430639,328.889308291917
CzechR,Austria,2050-2055,1.9168627599301326e-07,1899.999944844921,0.0031904474919752486,8001.9977484799365,240.05993245439782
CzechR,Austria,2055-2060,7.517953418500798e-07,1899.9999455755512,0.0054971075136573495,11083.988442568801,332.51965327706444
Germany,Austria,2020-2025,0.0,5000.0,0.0,15101.785123295393,453.05355369886263
Germany,Austria,2025-2030,1999.998999096786,6999.998999096786,891259.5085984591,18672.533816025145,560.1760144807556
Germany,Austria,2030-2035,500.0009465338949,7499.999944289384,149745.6139785283,31298.674194103805,938.9602258231135
Germany,Austria,2035-2040,3.168508665854426e-07,7499.999945869049,6.816809053900723e-05,36394.456752978374,1091.8337025893538
Germany,Austria,2040-2045,699.9999824205283,8199.999927744171,104337.46523413825,40472.357968105316,1214.1707390431557
Germany,Austria,2045-2050,8.885171912261774e-06,8199.999936786111,0.0008642702440753062,37495.05499094962,1124.8516497284897
Germany,Austria,2050-2055,8.817403960952406e-08,8199.999937372253,4.999307057827411e-06,32335.92309090981,970.0776927272981
Germany,Austria,2055-2060,1.624237725257821e-07,8199.999937320847,4.045690788362408e-06,39606.69487827923,1188.2008463483749
Hungary,Austria,2020-2025,0.0,800.0,0.0,3612.1827067486174,108.36548120245868
Hungary,Austria,2025-2030,0.0,800.0,0.0,4117.528051422275,123.52584154266836
Hungary,Austria,2030-2035,1999.999889743075,2799.999889743075,149305050.97227928,10653.226523537049,319.59679570611144
Hungary,Austria,2035-2040,6.0001696698515153e-05,2799.9999497236067,3.2177404142742443,14873.866648387051,446.2159994516119
Hungary,Austria,2040-2045,1.4910219736810716e-07,2799.999949851543,0.005539716508587443,15692.647175952148,470.7794152785665
Hungary,Austria,2045-2050,1.5641051486526202e-07,2799.9999499867886,0.0037923718614364436,14640.716701758965,439.22150105276984
Hungary,Austria,2050-2055,1.1130642400269349e-07,2799.999950076928,0.0015730790532741104,16006.793566851456,480.2038070055448
Hungary,Austria,2055-2060,2.6010990708473066e-07,2799.999950315873,0.0016149579964502456,16208.174835580436,486.24524506741477
Italy,Austria,2020-2025,0.0,405.0,0.0,2236.102754863974,67.08308264591933
Italy,Austria,2025-2030,389.9997159043595,794.9997159043595,155139630.1539278,4404.608904262418,132.13826712787224
Italy,Austria,2030-2035,500.00005925759257,1294.9997751535345,133671063.49549001,6543.799552768187,196.31398658304573
Italy,Austria,2035-2040,0.00018151873859823247,1294.9999566395838,34.86035118843953,7638.321840671254,229.14965522013844
